Tweet,Date,Link,Relevance,Manual 
# BREAKING : Pound jumps as Bank of England strongly hints at early rate rise to combat stubborn inflation__NEWLINE__ http://www. telegraph.co.uk/business/2018/ 02/08/global-stocks-recovery-hits-buffers-markets-await-bank-england/?utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter Â  â¦ pic.twitter.com/hmPbSuwNUI,2018-02-08,/Telegraph/status/961576442214670338,0,
# Technology Google unveils its new products Pixel 2 and Pixel 2 XL http: // www. diariolasamericas.com/c4133673,2017-10-05,/DLasAmericas/status/916105906806493184,0,
A Moment to Awaken with @KariSanchezC: DOUBLE ROAD http://youtu.be/2Q5dRlWxENc?a,2018-01-18,/CDN37/status/954000602987712513,0,
.@TheOliverStone  Stone slams âlame-brainedâ Spielberg movie over WaPo portrayal  https://on.rt.com/8y2u Â  pic.twitter.com/l1L8eL9eld,2018-01-30,/RT_com/status/958430420487589890,0,
Photos show the fatal moment a man ran into the inferno at Burning Man  http://read.bi/2x54Yol Â   by @BIUK pic.twitter.com/9yDZ6HXWEF,2017-09-04,/businessinsider/status/904766559146696705,0,
"VIDEO: Meet the ""Fragmentation room"" that helps you forget about stress http://exp.mx/2hiDSQq pic.twitter.com/Qv4bp5E2ZX",2017-11-12,/ExpansionMx/status/929929379127484416,0,
World powers gather in Paris against the use of chemical weapons in Syria #AFP http://u.afp.com/oZFb pic.twitter.com/59JB0nwwMr,2018-01-23,/AFPespanol/status/955786695043108864,1,
# ReddeNews: #PLD leaders and relatives of Yuniol caseworkers visit San Luis prison #NCDN pic.twitter.com/rOaHTPVaWM,2017-10-18,/CDN37/status/920790500810088450,0,
VIDEO: The threat of potential tax rules hits the actions of @amazon http://exp.mx/2GfTTFH pic.twitter.com/C7ONc9Cyuo,2018-03-28,/ExpansionMx/status/979176425776472064,0,
"EU migrants coming to UK over next 18 months can stay for good after Brexit, officials concede #Premium http://www. telegraph.co.uk/news/2017/10/1 8/eu-migrants-coming-uk-next-18-months-can-stay-good-brexit-officials/ Â  â¦",2017-10-26,/Telegraph/status/923651702183661568,0,
My hairstyle ended up leaving me bald http://bbc.in/2DJSBge pic.twitter.com/jtTU8OAvjj,2018-03-21,/bbcmundo/status/976569669929832453,0,
"LIVE __PIPE__ Heraldo MuÃ±oz, Chilean Foreign Minister, talks about Pope Francisco's visit http://bit.ly/2e9VTBr pic.twitter.com/PDpyzzTig2",2018-01-15,/NTN24/status/953035138304299011,0,
It appears famous egg after dangerous hurricane step #Irma! I Find out http://bit.ly/2j7CxQf pic.twitter.com/x9QcYedGrq,2017-09-07,/Metro_PR/status/905829783115878400,1,
Electric breakdown left out of RÃ­o Blanco filter plant in Naguabo. Staff is installing emergency generator to reset. -ZB,2018-02-21,/ACUEDUCTOSPR/status/966445134203314179,0,
"At 40, âIâm faster now and quicker now then when I first started,â @Patriots  star #TomBrady  opens up on @CBSSunday    Â  ",2017-09-17,/CBSNews/status/909429238188650497,,
"# OnThisDay  in 1939, Britain and France both declare war on Nazi Germany after their invasion of Poland pic.twitter.com/ZBLgW6g0Vu",2017-09-03,/AFP/status/904275727444578304,0,
"# FamousInside: #SamuelJ will release his album ""It's bachata"" in October pic.twitter.com/24PMbE8JJF",2017-09-28,/CDN37/status/913491640609800192,0,
Goldman just can't stop raising its target on this liquor maker  https://bloom.bg/2jsBFqa Â  pic.twitter.com/fkYuU1tb2x,2017-11-15,/business/status/930666770045784065,0,
# Spay  #Neuter  #Donate  #SAveLives  #Dogs  #dogs  #cats  #horses  #pigs  #animals  #animallovers  #animalabuse  #animalcruelty ,2017-10-14,/SupportPets/status/919250076303872000,,
# UPDATE  @AP  2 law enforcement officials identify driver in New York City bike path attack as Sayfullo Saipov ,2017-10-31,/News3LV/status/925497431059337216,,
Motherhood floors most women. So why do so many suffer in silence? __PIPE__ Emma Svanberg http://trib.al/IKgREtY Â ,2017-09-01,/guardian/status/903661244963586048,0,
I want to congratulate a great professional for her birthday. @yalvarezjaimes thank you for your work and commitment to Puerto Rico. Congratulations! pic.twitter.com/npz1Nze8C6,2017-11-19,/ricardorossello/status/932281235614961665,0,
Iraqi #Kurdistan  leader Barzani to hand over presidential powers   Â  ,2017-10-28,/RT_com/status/924406675494309889,,
Authorities identify soldier killed in Fort Bragg explosion  http://cbsn.ws/2fbRrnD Â  pic.twitter.com/2mMHIQ3oFs,2017-09-16,/CBSNews/status/909028616142573568,0,
"After the earthquake, the refugees in shelters ask themselves ""what now?"" #AFP http://u.afp.com/4R4V pic.twitter.com/cCW4GAAyHs",2017-09-22,/AFPespanol/status/911266846396997632,0,
.@HHSgov  helped evacuate dialysis patients from #PuertoRico  & #USVI  to Atlanta where they are receiving live-saving treatment. pic.twitter.com/PMqasT4m4v,2017-09-29,/PHEgov/status/913878127792857088,0,
We thank God for the lives saved through #ChildrensHeartProject ! See how you can help children in need.   Â   #GiveHope ,2017-10-14,/SamaritansPurse/status/919203683044388864,,
Gas rationing along Corkscrew Road asking drivers to purchase no more than $30 #TrackingIrma ,2017-09-08,/ABC7SWFL/status/906102188149276672,,
