'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
AmeriCorps|2017-10-31 12:51:48|5|13|Homes damaged by #Irma  are tarped by @ConservCorps  AmeriCorps members, part of continued hurricane relief efforts in #Florida . #IrmaRelief https://twitter.com/conservcorps/s tatus/925371843472707586   …|Homes damaged by #Irma  are tarped by @ConservCorps  AmeriCorps members, part of continued hurricane relief efforts in #Florida . #IrmaRelief  tatus/925371843472707586   …|false|925404951983149058|/AmeriCorps/status/925404951983149058
AmeriCorps|2017-10-27 10:49:29|10|15|Dispose your Rx drugs & #opioids  safely &securely tomorrow. Proud of AmeriCorps members supporting local #TakeBackDay  events. #OpioidCrisis https://twitter.com/NationalServic e/status/923923191013179392   …|Dispose your Rx drugs & #opioids  safely &securely tomorrow. Proud of AmeriCorps members supporting local #TakeBackDay  events. #OpioidCrisis  e/status/923923191013179392   …|false|923924618024488961|/AmeriCorps/status/923924618024488961
AmeriCorps|2017-10-01 08:35:03|4|8|How @AmeriCorps  & @SeniorCorps  are taking action to combat the nation's opioid epidemic:  http://bit.ly/2xBENCY    #opioids  #opioidcrisis pic.twitter.com/jKzAHz0r3l|How @AmeriCorps  & @SeniorCorps  are taking action to combat the nation's opioid epidemic:      #opioids  #opioidcrisis |false|914468702850093057|/AmeriCorps/status/914468702850093057
AmeriCorps|2017-10-04 16:59:49|17|37|AmeriCorps members from @EcologyWCC  arrive in #PuertoRico  today, prepared to assist volunteer mgmt, supply delivery, roof tarping, & more. https://twitter.com/EcologyWCC/sta tus/915666831322394624   …|AmeriCorps members from @EcologyWCC  arrive in #PuertoRico  today, prepared to assist volunteer mgmt, supply delivery, roof tarping, & more.  tus/915666831322394624   …|false|915682896240889856|/AmeriCorps/status/915682896240889856
AmeriCorps|2017-10-13 12:12:29|141|246|In #PuertoRico , AmeriCorps members load & distribute @FEMA -supplied infant care goods for families in Vieques, PR. #Maria  ( :@USCG ) pic.twitter.com/4Lwye78E4a|In #PuertoRico , AmeriCorps members load & distribute @FEMA -supplied infant care goods for families in Vieques, PR. #Maria  ( :@USCG ) |false|918872078429949952|/AmeriCorps/status/918872078429949952
AmeriCorps|2017-10-17 16:53:04|2|2|Find alumni networks, job postings, schools that match your Ed Award & share your own story of how #AmeriCorpsWorks :  http://AmeriCorps.gov/Alumni  |Find alumni networks, job postings, schools that match your Ed Award & share your own story of how #AmeriCorpsWorks :    |false|920392240895315968|/AmeriCorps/status/920392240895315968
AmeriCorps|2017-10-23 11:27:40|6|17|Can't wait to see all the ways these #NorthCarolina  AmeriCorps members 'get things done' for the sites they're serving! Welcome aboard!  https://twitter.com/NC_CNCS/status /922476173296308226   …|Can't wait to see all the ways these #NorthCarolina  AmeriCorps members 'get things done' for the sites they're serving! Welcome aboard!   /922476173296308226   …|false|922484676870230017|/AmeriCorps/status/922484676870230017
AmeriCorps|2017-09-07 17:05:50|15|17|Remember: never self-deploy to a disaster. Always sign up with an organization before showing up. #Irma  #HurricaneIrma|Remember: never self-deploy to a disaster. Always sign up with an organization before showing up. #Irma  #HurricaneIrma|false|905899939288506368|/AmeriCorps/status/905899939288506368
AmeriCorps|2017-09-14 12:09:04|12|21|# Irma : AmeriCorps members are lending their hands to relief efforts across #Florida . Thank you to all who are serving. https://twitter.com/cityyearjax/st atus/908355073134272512   …|# Irma : AmeriCorps members are lending their hands to relief efforts across #Florida . Thank you to all who are serving.  atus/908355073134272512   …|false|908361969366917122|/AmeriCorps/status/908361969366917122
AmeriCorps|2017-09-13 09:13:18|3|16|See how AmeriCorps members in #Virginia  paid tribute on #911Day   https://twitter.com/VAservice/stat us/907755743226548224   …|See how AmeriCorps members in #Virginia  paid tribute on #911Day    us/907755743226548224   …|false|907955345967820800|/AmeriCorps/status/907955345967820800
