username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
CityofJax|2017-09-12 09:48:05|20|26|Water distribution for citizens greatly impacted by #HurricaneIrma , 10am - 5pm, while supplies last. Locations here:  http://ow.ly/KPkH30f5SDd   pic.twitter.com/WwjrRLsGc7|Water distribution for citizens greatly impacted by #HurricaneIrma , 10am - 5pm, while supplies last. Locations here:     |false|907601713850408961|/CityofJax/status/907601713850408961||||
CityofJax|2017-09-07 16:53:38|0|1|Great! Stay safe.|Great! Stay safe.|false|905896866155556864|/CityofJax/status/905896866155556864||||
CityofJax|2017-10-26 11:50:19|1|2|Meet Heisman & Wrigley! Find your own fur-ever friends with @COJPets . #ilovejax http://ow.ly/HGeV30g8Ysx  |Meet Heisman & Wrigley! Find your own fur-ever friends with @COJPets . #ilovejax   |false|923577539406237697|/CityofJax/status/923577539406237697||||
CityofJax|2017-09-07 16:44:39|8|9|Visit our website for answers to FAQs about #HurricaneIrma  and how the City is preparing.  http://ow.ly/KSVH30eZCQL   pic.twitter.com/3Wi3cfXm9P|Visit our website for answers to FAQs about #HurricaneIrma  and how the City is preparing.     |false|905894606826561536|/CityofJax/status/905894606826561536||||
CityofJax|2017-09-09 17:07:08|20|15|RIVERSIDE - Cars parked along streets in flood prone neighborhoods may be impacted by storm surge. Know your neighborhood. Know your zone. pic.twitter.com/xtp9nSrcNz|RIVERSIDE - Cars parked along streets in flood prone neighborhoods may be impacted by storm surge. Know your neighborhood. Know your zone. |false|906625040900292611|/CityofJax/status/906625040900292611||||
CityofJax|2017-09-10 10:02:11|0|0|'There''s no web/app to track wind speed, and there will not be warning given. Once winds hit sustained speed of 40 mph+, bridges will close.'|'There''s no web/app to track wind speed, and there will not be warning given. Once winds hit sustained speed of 40 mph+, bridges will close.'|false|906880484097044480|/CityofJax/status/906880484097044480||||
CityofJax|2017-10-23 10:05:20|1|5|The rivalry continues THIS WEEK! #UGAvsUF  #Gators  #Dawgs  #ilovejax http://ow.ly/Ph0W30g47Hr  |The rivalry continues THIS WEEK! #UGAvsUF  #Gators  #Dawgs  #ilovejax   |false|922463955129389057|/CityofJax/status/922463955129389057||||
CityofJax|2017-09-09 11:32:44|16|10|Hurricane Watch has been upgraded to WARNING - conditions resulting from Hurricane Irma possible within 36 hrs. #HurricaneIrma pic.twitter.com/TszmakZ1tx|Hurricane Watch has been upgraded to WARNING - conditions resulting from Hurricane Irma possible within 36 hrs. #HurricaneIrma |false|906540885059493891|/CityofJax/status/906540885059493891||||
CityofJax|2017-09-10 18:41:53|0|0|Everything about this photo is adorable. Great job with preparation! #JaxReady  #JaxPets  #HurricaneIrma|Everything about this photo is adorable. Great job with preparation! #JaxReady  #JaxPets  #HurricaneIrma|false|907011272851550209|/CityofJax/status/907011272851550209||||
CityofJax|2017-10-25 08:45:17|1|5|# WellnessWednesday : Ever heard of Pickleball? You can play it year round in Jacksonville parks. #ilovejax pic.twitter.com/cPtjtU5JPl|# WellnessWednesday : Ever heard of Pickleball? You can play it year round in Jacksonville parks. #ilovejax |false|923168588202172421|/CityofJax/status/923168588202172421||||
CityofJax|2017-10-17 12:30:29|2|0|@ COJPets  is offering $20 adoptions through October. Visit the website for a list of adoptable pets:  http://ow.ly/1Jll30fVYjs   . #BeAHero pic.twitter.com/42wv42rTPT|@ COJPets  is offering $20 adoptions through October. Visit the website for a list of adoptable pets:     . #BeAHero |false|920326159245725696|/CityofJax/status/920326159245725696||||
CityofJax|2017-09-15 10:56:06|58|50|'Don''t forget, free electricity & WiFi are available at the Prime Osborn Convention Center from 9 a.m.-9 p.m. every day through Sunday (9/17) pic.twitter.com/wPIbZmHkmC'|'Don''t forget, free electricity & WiFi are available at the Prime Osborn Convention Center from 9 a.m.-9 p.m. every day through Sunday (9/17) '|false|908705995160997888|/CityofJax/status/908705995160997888||||
CityofJax|2017-09-06 15:01:58|17|9|City offices will be closed Friday; waste collection will continue as scheduled through Thursday. More details to come. #HurricaneIrma pic.twitter.com/9IYNjjj3Ny|City offices will be closed Friday; waste collection will continue as scheduled through Thursday. More details to come. #HurricaneIrma |false|905506377254264832|/CityofJax/status/905506377254264832||||
CityofJax|2017-09-12 14:29:25|0|0|Solid waste pickup resumed today, with normal schedule shifted one day.|Solid waste pickup resumed today, with normal schedule shifted one day.|false|907672512221384704|/CityofJax/status/907672512221384704||||
CityofJax|2017-10-23 13:23:24|0|1|'LOL Of course, Erika! No apology necessary. We''re just glad your street is back to normal. Thank you for your patience.'|'LOL Of course, Erika! No apology necessary. We''re just glad your street is back to normal. Thank you for your patience.'|false|922513803933376512|/CityofJax/status/922513803933376512||||
CityofJax|2017-10-23 14:50:12|1|0|ICYMI: Memorial Dedication, Air Show and Jaguars Game Included in Week of Valor Events  http://ow.ly/9fWb30g47jl  |ICYMI: Memorial Dedication, Air Show and Jaguars Game Included in Week of Valor Events    |false|922535646367027201|/CityofJax/status/922535646367027201||||
CityofJax|2017-10-02 12:02:48|4|4|We want you to be #JaxReady . Download the app to monitor weather threats, emergency situations and more:  http://bit.ly/2gKttMX   pic.twitter.com/IMWYhoQFpS|We want you to be #JaxReady . Download the app to monitor weather threats, emergency situations and more:     |false|914883374141050880|/CityofJax/status/914883374141050880||||
CityofJax|2017-09-22 13:41:11|20|12|ANNOUNCEMENT: The Hart Bridge will be closed for the next three weekends from 7 p.m. Friday to 6 a.m. Sunday for repairs and improvements. pic.twitter.com/I7p4OYxKFT|ANNOUNCEMENT: The Hart Bridge will be closed for the next three weekends from 7 p.m. Friday to 6 a.m. Sunday for repairs and improvements. |false|911284252519616512|/CityofJax/status/911284252519616512||||
CityofJax|2017-10-20 10:35:11|4|5|Do you want to make a difference in your community? Consider applying for a job with the City. #GovJobs  #ilovejax   http://ow.ly/fQN530g0XAR  |Do you want to make a difference in your community? Consider applying for a job with the City. #GovJobs  #ilovejax     |false|921384305397567488|/CityofJax/status/921384305397567488||||
CityofJax|2017-09-10 10:57:13|1|4|There are currently no bridge closures. Recreational beaches are closed (not the communities). So, no dipping your toes in the ocean!|There are currently no bridge closures. Recreational beaches are closed (not the communities). So, no dipping your toes in the ocean!|false|906894335412666368|/CityofJax/status/906894335412666368||||
CityofJax|2017-10-07 12:05:16|0|2|# ShareYourSquare  Saturday: Dames Point Park -  http://ow.ly/lum530fHAe0    #ilovejax  #MyOneThing pic.twitter.com/DksXybJxo9|# ShareYourSquare  Saturday: Dames Point Park -      #ilovejax  #MyOneThing |false|916695934129659905|/CityofJax/status/916695934129659905||||
CityofJax|2017-11-01 09:02:20|3|5|WATCH: Mayor Curry visits Lee High School and surprises #EVAC  Students. #ilovejax  @evacmovement http://ow.ly/CshP30ggYL6  |WATCH: Mayor Curry visits Lee High School and surprises #EVAC  Students. #ilovejax  @evacmovement   |false|925709592625057792|/CityofJax/status/925709592625057792||||
CityofJax|2017-09-28 13:55:34|10|38|'Mayor @lennycurry  & Molly help pack the bags for Nat''l Blessings In A Backpack Day. #ilovejax  @BlessinBackpack pic.twitter.com/MtwAaZNZBt'|'Mayor @lennycurry  & Molly help pack the bags for Nat''l Blessings In A Backpack Day. #ilovejax  @BlessinBackpack '|false|913462198533574657|/CityofJax/status/913462198533574657||||
CityofJax|2017-09-08 19:16:34|10|10|There will be no waste collection services Monday; schedules will shift by a day. More Storm FAQs:  http://ow.ly/Qq5T30f1ygH    #HurricaneIrma pic.twitter.com/0C348hWZAq|There will be no waste collection services Monday; schedules will shift by a day. More Storm FAQs:      #HurricaneIrma |false|906295224850374657|/CityofJax/status/906295224850374657||||
CityofJax|2017-10-22 09:24:52|4|6|'Stop by the Kid''s Zombie Fitness Chase to sign up for the Jax #Mayorthon  Kids Club or online at  http://www. coj.net/kids    club! pic.twitter.com/M35zmlq0HF'|'Stop by the Kid''s Zombie Fitness Chase to sign up for the Jax #Mayorthon  Kids Club or online at   coj.net/kids    club! '|false|922091385028739072|/CityofJax/status/922091385028739072||||
CityofJax|2017-09-10 15:15:12|31|33|Before conditions get too rough, take a moment to check on your senior neighbors. #JaxReady  #Irma pic.twitter.com/Qe2sV4mc35|Before conditions get too rough, take a moment to check on your senior neighbors. #JaxReady  #Irma |false|906959259199557633|/CityofJax/status/906959259199557633||||
CityofJax|2017-09-11 08:50:14|8|3|Mayor Lenny Curry will be LIVE on Periscope at 9:00 a.m. with a #HurricaneIrma  update. Stay tuned! pic.twitter.com/S2mrBN3O5P|Mayor Lenny Curry will be LIVE on Periscope at 9:00 a.m. with a #HurricaneIrma  update. Stay tuned! |false|907224767010353153|/CityofJax/status/907224767010353153||||
CityofJax|2017-11-01 08:05:13|9|14|# WellnessWednesday : Mental health is important too! Take a moment to pause, relax and meditate. #JourneyToONE pic.twitter.com/nNsZeBnhTr|# WellnessWednesday : Mental health is important too! Take a moment to pause, relax and meditate. #JourneyToONE |false|925695220804616194|/CityofJax/status/925695220804616194||||
CityofJax|2017-10-05 14:47:52|0|0|'Thank you for making us aware. We''ll share this with our Traffic Engineering team.'|'Thank you for making us aware. We''ll share this with our Traffic Engineering team.'|false|916012075998117889|/CityofJax/status/916012075998117889||||
CityofJax|2017-10-16 11:28:42|0|0|'Crews are working daily from sunrise to sunset to collect debris. However, there isn''t a set schedule. More info:  http://www. coj.net/welcome/news/s torm-faqs   …'|'Crews are working daily from sunrise to sunset to collect debris. However, there isn''t a set schedule. More info:   coj.net/welcome/news/s torm-faqs   …'|false|919948221178368000|/CityofJax/status/919948221178368000||||
CityofJax|2017-09-12 11:30:18|20|48|Thank our first responders for their commitment and dedication to keeping the people of Jacksonville safe. #HurricaneIrma  #ilovejax pic.twitter.com/bbB6JjUojw|Thank our first responders for their commitment and dedication to keeping the people of Jacksonville safe. #HurricaneIrma  #ilovejax |false|907627435444854784|/CityofJax/status/907627435444854784||||
CityofJax|2017-09-11 07:40:12|10|8|Remain sheltered in place! #HurricaneIrma  #JaxReady pic.twitter.com/Y8W23i6sAN|Remain sheltered in place! #HurricaneIrma  #JaxReady |false|907207142201073665|/CityofJax/status/907207142201073665||||
CityofJax|2017-10-23 13:47:37|4|9|Do you want a FREE pair of tickets to the FL-GA Hall of Fame Luncheon this Friday? Learn more:  http://ow.ly/AUDY30g4AwH    #FLCityWeek  #UGAvUF pic.twitter.com/3NdUHVgOEi|Do you want a FREE pair of tickets to the FL-GA Hall of Fame Luncheon this Friday? Learn more:      #FLCityWeek  #UGAvUF |false|922519896239550465|/CityofJax/status/922519896239550465||||
CityofJax|2017-09-14 12:57:37|0|1|Yes.|Yes.|false|908374188574089216|/CityofJax/status/908374188574089216||||
CityofJax|2017-09-20 14:43:52|10|9|Storm debris collection begins Monday, Sept. 25.  Guidelines:  http://ow.ly/zDah30fiVya    #Irma  #HurricaneIrma pic.twitter.com/Fs30wzSNu8|Storm debris collection begins Monday, Sept. 25.  Guidelines:      #Irma  #HurricaneIrma |false|910575251754450944|/CityofJax/status/910575251754450944||||
