'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
CityofMiami|2017-09-05 17:57:39|13|14|Boaters seeking safe harbor should "up river" before eve of storm. USCG/other agencies will soon issue reminders on bridge lockdown schedule|Boaters seeking safe harbor should "up river" before eve of storm. USCG/other agencies will soon issue reminders on bridge lockdown schedule|false|905188199814897665|/CityofMiami/status/905188199814897665
CityofMiami|2017-09-06 13:07:51|4|11|According to @MiamiDadeCounty  @MayorGimenez , tap water in the County is safe to drink!|According to @MiamiDadeCounty  @MayorGimenez , tap water in the County is safe to drink!|false|905477660972904448|/CityofMiami/status/905477660972904448
CityofMiami|2017-09-08 20:42:23|171|96|UPDATED: List of evacuation shelters in #Miami  - For more information visit  http://miamidade.gov/emergency    #Irma pic.twitter.com/DcwcWzlN9t|UPDATED: List of evacuation shelters in #Miami  - For more information visit      #Irma |false|906316820013084672|/CityofMiami/status/906316820013084672
CityofMiami|2017-10-31 13:20:24|0|2|@ StationCDRKelly  come visit @CityofMiami  on land and we'll give you a tour of City Hall, a historic aviation landmark/old PanAm terminal.|@ StationCDRKelly  come visit @CityofMiami  on land and we'll give you a tour of City Hall, a historic aviation landmark/old PanAm terminal.|false|925412149027135488|/CityofMiami/status/925412149027135488
CityofMiami|2017-10-27 09:00:04|5|2|Help @ArtimeTheater  receive funding to restore & keep our theater culturally strong & beautiful! #Vote  up to 5x/day!  http://goo.gl/c9X85a   pic.twitter.com/c7qR5PSqdM|Help @ArtimeTheater  receive funding to restore & keep our theater culturally strong & beautiful! #Vote  up to 5x/day!     |false|923897081940594693|/CityofMiami/status/923897081940594693
CityofMiami|2017-09-15 12:42:34|7|4|Residential recycling will resume Monday, Sept 18. Residents are requested to place their blue container on their regular scheduled day only pic.twitter.com/QpBs9B9cLs|Residential recycling will resume Monday, Sept 18. Residents are requested to place their blue container on their regular scheduled day only |false|908732785870942208|/CityofMiami/status/908732785870942208
CityofMiami|2017-10-30 20:51:14|10|29|Wow what a view! Thank you @StationCDRKelly https://twitter.com/stationcdrkell y/status/925116037976199168   …|Wow what a view! Thank you @StationCDRKelly  y/status/925116037976199168   …|false|925163218330443778|/CityofMiami/status/925163218330443778
CityofMiami|2017-09-05 12:58:28|37|55|Public Works is targeting #Miami 's flood-prone areas, clearing out drainage systems of debris/blockages. pic.twitter.com/8xhv5CkRDV|Public Works is targeting #Miami 's flood-prone areas, clearing out drainage systems of debris/blockages. |false|905112907754725376|/CityofMiami/status/905112907754725376
CityofMiami|2017-09-07 12:43:19|244|294|ATTENTION - @MiamiDadeCounty  will NOT inquire about anyone's immigration status at its shelters. #Miami|ATTENTION - @MiamiDadeCounty  will NOT inquire about anyone's immigration status at its shelters. #Miami|false|905833871937339392|/CityofMiami/status/905833871937339392
CityofMiami|2017-09-10 08:15:16|753|1687|.@CityofMiamiFire  couldn't respond to woman in labor in Little Haiti. @JacksonHealth  docs talked her through birth at home - it's a girl!|.@CityofMiamiFire  couldn't respond to woman in labor in Little Haiti. @JacksonHealth  docs talked her through birth at home - it's a girl!|false|906853581399236608|/CityofMiami/status/906853581399236608
CityofMiami|2017-09-14 12:41:40|0|0|Please contact @AAarena  for that information|Please contact @AAarena  for that information|false|908370174100860928|/CityofMiami/status/908370174100860928
CityofMiami|2017-10-16 10:58:04|28|17|Starting tomorrow 10/17 - 10/21, #KingTides  will be affecting #Miami .  Please take necessary steps to mitigate the effects of tidal flooding pic.twitter.com/n3ZkBzFc8L|Starting tomorrow 10/17 - 10/21, #KingTides  will be affecting #Miami .  Please take necessary steps to mitigate the effects of tidal flooding |false|919940510940303360|/CityofMiami/status/919940510940303360
CityofMiami|2017-10-17 09:28:46|7|10|TODAY in #Miami  - @miamiparks  is hosting a #HealthExpo  for Active Adults 55 and older at Gibson Park at 10AM! #StayActiveMiami pic.twitter.com/pttZgljBYi|TODAY in #Miami  - @miamiparks  is hosting a #HealthExpo  for Active Adults 55 and older at Gibson Park at 10AM! #StayActiveMiami |false|920280428665298946|/CityofMiami/status/920280428665298946
CityofMiami|2017-09-07 23:04:17|193|160|A Hurricane Warning has now been issued by the National Hurricane Center for our area. #HurricaneIrma|A Hurricane Warning has now been issued by the National Hurricane Center for our area. #HurricaneIrma|false|905990145735843840|/CityofMiami/status/905990145735843840
CityofMiami|2017-09-08 16:14:51|3|1|No more sandbags at Grapeland Park.|No more sandbags at Grapeland Park.|false|906249494781669377|/CityofMiami/status/906249494781669377
CityofMiami|2017-09-23 11:35:40|12|11|.@MiamiZerowaste  crews working overtime to help cleanup #Miami pic.twitter.com/zJCHJ60BlF|.@MiamiZerowaste  crews working overtime to help cleanup #Miami |false|911615053165727745|/CityofMiami/status/911615053165727745
CityofMiami|2017-09-04 18:03:12|22|33|Keep an eye on #Irma . This video has tips on how to prepare for a #hurricane                      https://m.youtube.com/watch?v=H1iUHf WPp_o   …|Keep an eye on #Irma . This video has tips on how to prepare for a #hurricane                       WPp_o   …|false|904827211542343680|/CityofMiami/status/904827211542343680
CityofMiami|2017-09-10 18:38:57|64|101|Miami woman delivers her own baby at home during Hurricane Irma  https://usat.ly/2vYFrNd    via @USATODAY|Miami woman delivers her own baby at home during Hurricane Irma      via @USATODAY|false|907010532552712192|/CityofMiami/status/907010532552712192
CityofMiami|2017-09-06 19:55:55|35|111|Tonight’s sunset. Take this time to prepare #Miami pic.twitter.com/zyDXIFd0hp|Tonight’s sunset. Take this time to prepare #Miami |false|905580352546201600|/CityofMiami/status/905580352546201600
CityofMiami|2017-09-21 11:30:39|3|3|.@MiamiTodayNews  features a story on the @CityofMiami  - http://www. miamitodaynews.com/2017/09/19/mia mi-tucked-away-money-storms-like-hurricane-irma/   …|.@MiamiTodayNews  features a story on the @CityofMiami  -  miamitodaynews.com/2017/09/19/mia mi-tucked-away-money-storms-like-hurricane-irma/   …|false|910889017473986560|/CityofMiami/status/910889017473986560
CityofMiami|2017-09-19 10:42:06|6|4|.@ATT  is down at City Hall so there is no live streaming on  http://miamigov.com    or|.@ATT  is down at City Hall so there is no live streaming on      or|false|910152023554879488|/CityofMiami/status/910152023554879488
CityofMiami|2017-09-10 08:45:32|313|271|We are under a TORNADO WATCH until 2pm|We are under a TORNADO WATCH until 2pm|false|906861196313284609|/CityofMiami/status/906861196313284609
CityofMiami|2017-10-18 17:57:47|8|10|Video of roundtable with @CityofMiami  & community leaders to learn about @sandyhook  programs to prevent gun violence  https://youtu.be/_X9J7KBbfLE   pic.twitter.com/gvBeI6hYfi|Video of roundtable with @CityofMiami  & community leaders to learn about @sandyhook  programs to prevent gun violence     |false|920770911661383680|/CityofMiami/status/920770911661383680
CityofMiami|2017-10-20 13:38:58|8|6|Help @ArtimeTheater  receive funding to restore & keep our theater culturally strong & beautiful!  https://goo.gl/c9X85a    #LittleHavana pic.twitter.com/rlC0yWjp5W|Help @ArtimeTheater  receive funding to restore & keep our theater culturally strong & beautiful!      #LittleHavana |false|921430556373549056|/CityofMiami/status/921430556373549056
CityofMiami|2017-09-14 09:53:27|0|0|If you are having a medical emergency please call 911 if not we are working to try and get you power as soon as possible|If you are having a medical emergency please call 911 if not we are working to try and get you power as soon as possible|false|908327841007378433|/CityofMiami/status/908327841007378433
CityofMiami|2017-10-05 14:03:33|1|1|The first two photos were taken by us at NW 6th Street and 7th Avenue|The first two photos were taken by us at NW 6th Street and 7th Avenue|false|916000923415203843|/CityofMiami/status/916000923415203843
CityofMiami|2017-10-07 11:56:35|17|7|The highest peak of the month is over but #KingTides  will continue thru 10/9 & again from 10/17-10/21. Please view attached for safety tips pic.twitter.com/zWWrsVQX5V|The highest peak of the month is over but #KingTides  will continue thru 10/9 & again from 10/17-10/21. Please view attached for safety tips |false|916693746556788736|/CityofMiami/status/916693746556788736
CityofMiami|2017-10-18 10:14:46|10|11|TODAY in #Miami  - Meet us for coffee & a bite to eat at the Little Haiti Cultural Complex at 6PM. Voice your opinion at #CafeConversations ! pic.twitter.com/dfOuOdxLe1|TODAY in #Miami  - Meet us for coffee & a bite to eat at the Little Haiti Cultural Complex at 6PM. Voice your opinion at #CafeConversations ! |false|920654392780644352|/CityofMiami/status/920654392780644352
CityofMiami|2017-10-27 13:00:05|11|5|Tomorrow in #Miami  - Enjoy Caribbean Market Days at @LHCCmiami , handmade good, caribbean cuisine, live music and more! Every Sat 10AM - 4PM pic.twitter.com/hpCl8GvbcX|Tomorrow in #Miami  - Enjoy Caribbean Market Days at @LHCCmiami , handmade good, caribbean cuisine, live music and more! Every Sat 10AM - 4PM |false|923957484343177216|/CityofMiami/status/923957484343177216
CityofMiami|2017-10-27 17:00:02|3|2|Need #Halloween  plans? The 4th annual #SafeDay  will take place at Gibson Park on 10/31 from 4PM-8PM. FREE food, games, music, candy & more! pic.twitter.com/lQH9HXOvFx|Need #Halloween  plans? The 4th annual #SafeDay  will take place at Gibson Park on 10/31 from 4PM-8PM. FREE food, games, music, candy & more! |false|924017869033058305|/CityofMiami/status/924017869033058305
CityofMiami|2017-09-10 07:43:12|70|34|ADVERTENCIA DE TORNADO! pic.twitter.com/V1dC1WY6wO|ADVERTENCIA DE TORNADO! |false|906845510648115200|/CityofMiami/status/906845510648115200
CityofMiami|2017-09-23 11:38:03|9|25|It might be fall but in #Miami  new    leaves are a sign of #RecoverAfterIrma pic.twitter.com/W4Xxv0eRsr|It might be fall but in #Miami  new    leaves are a sign of #RecoverAfterIrma |false|911615655606210562|/CityofMiami/status/911615655606210562
CityofMiami|2017-09-23 11:32:33|10|32|Neighbors unite at Margaret Pace Park to help clean up their park! Together we can keep our Magic City beautiful as it recovers from #Irma pic.twitter.com/zlanzcZDXX|Neighbors unite at Margaret Pace Park to help clean up their park! Together we can keep our Magic City beautiful as it recovers from #Irma |false|911614269246058498|/CityofMiami/status/911614269246058498
CityofMiami|2017-10-05 14:07:25|3|7|# CafeConversations  was a great success! Join us for the next one on Wednesday October 18 at #LittleHaiti  Cultural Complex @LHCCmiami  #Miami https://twitter.com/_cheriene/stat us/915987570546311168   …|# CafeConversations  was a great success! Join us for the next one on Wednesday October 18 at #LittleHaiti  Cultural Complex @LHCCmiami  #Miami  us/915987570546311168   …|false|916001898200625152|/CityofMiami/status/916001898200625152
CityofMiami|2017-09-10 08:42:58|4|9|it is a girl!!! Don't know name yet though. Will keep you posted!|it is a girl!!! Don't know name yet though. Will keep you posted!|false|906860549350313984|/CityofMiami/status/906860549350313984
CityofMiami|2017-09-06 14:03:26|1|2|It is a slow process that takes about two weeks and there is not enough time.|It is a slow process that takes about two weeks and there is not enough time.|false|905491648850866177|/CityofMiami/status/905491648850866177
CityofMiami|2017-09-07 17:29:52|8|9|Sandbags are being given at Grapeland Water Park, 1550 NW 37th Ave. #Miami  #Irma  @miamiparks|Sandbags are being given at Grapeland Water Park, 1550 NW 37th Ave. #Miami  #Irma  @miamiparks|false|905905985679654913|/CityofMiami/status/905905985679654913
CityofMiami|2017-09-07 18:57:41|60|98|Residents in #Miami  working hard to protect their homes from #HurricaneIrma . There is still time to put up shutters or thick plywood. pic.twitter.com/zj26d4fRnm|Residents in #Miami  working hard to protect their homes from #HurricaneIrma . There is still time to put up shutters or thick plywood. |false|905928085127794689|/CityofMiami/status/905928085127794689
CityofMiami|2017-09-28 14:58:04|0|0|Those are not within City limits, that is @MiamiDadeCounty .|Those are not within City limits, that is @MiamiDadeCounty .|false|913477928083652608|/CityofMiami/status/913477928083652608
CityofMiami|2017-09-15 10:55:42|0|1|@ insideFPL  is aware and working on it now!|@ insideFPL  is aware and working on it now!|false|908705893122011136|/CityofMiami/status/908705893122011136
CityofMiami|2017-09-21 15:50:13|0|1|Register now on @eventbrite !!! https://www. eventbrite.com/o/city-of-miam i-parks-amp-recreation-11054239786   …|Register now on @eventbrite !!!  eventbrite.com/o/city-of-miam i-parks-amp-recreation-11054239786   …|false|910954336653627392|/CityofMiami/status/910954336653627392
CityofMiami|2017-09-08 11:59:00|7|11|If you do not have a garage or utility room, anchor or tie down garbage and recycling containers to a fence or other structure.|If you do not have a garage or utility room, anchor or tie down garbage and recycling containers to a fence or other structure.|false|906185108100612096|/CityofMiami/status/906185108100612096
CityofMiami|2017-10-24 15:35:34|6|2|TODAY - Informational community meeting about the #MiamiForever  GO Bond at Hadley Park, 1350 NW 50th Street, at 6PM. #Miami pic.twitter.com/iAy4phGLSX|TODAY - Informational community meeting about the #MiamiForever  GO Bond at Hadley Park, 1350 NW 50th Street, at 6PM. #Miami |false|922909449920139264|/CityofMiami/status/922909449920139264
CityofMiami|2017-09-17 12:09:45|11|12|Classes will resume tomorrow Monday September 18 in #Miami ! @MDCPS https://twitter.com/mdcps/status/9 09447854879576065   …|Classes will resume tomorrow Monday September 18 in #Miami ! @MDCPS  09447854879576065   …|false|909449303252455424|/CityofMiami/status/909449303252455424
CityofMiami|2017-10-31 11:44:22|15|11|Early voting goes through November 5th in #Miami . Here’s information on the #MiamiForever  GO Bond issue on the ballot pic.twitter.com/l4Sz3dq5Kj|Early voting goes through November 5th in #Miami . Here’s information on the #MiamiForever  GO Bond issue on the ballot |false|925387981137043461|/CityofMiami/status/925387981137043461
CityofMiami|2017-09-06 07:40:05|0|1|# patience|# patience|false|905395174435676161|/CityofMiami/status/905395174435676161
CityofMiami|2017-10-17 18:40:10|10|18|Residents learning about approved Budget and #MiamiForever  General Obligation Bond at community informational meeting in #CoconutGrove . pic.twitter.com/8GN813GHdB|Residents learning about approved Budget and #MiamiForever  General Obligation Bond at community informational meeting in #CoconutGrove . |false|920419189730537472|/CityofMiami/status/920419189730537472
CityofMiami|2017-09-07 08:53:29|51|41|The sun is shining on #Miami  right now. It has been 12 years since a major #hurricane  in this area - #Wilma . Prepare for #Irma pic.twitter.com/hTJVptsuIB|The sun is shining on #Miami  right now. It has been 12 years since a major #hurricane  in this area - #Wilma . Prepare for #Irma |false|905776033466605568|/CityofMiami/status/905776033466605568
CityofMiami|2017-10-11 12:02:06|6|7|Here is the November 7th ballot language for the General Obligation Bond proposal pic.twitter.com/hadxF4Cwby|Here is the November 7th ballot language for the General Obligation Bond proposal |false|918144688321974275|/CityofMiami/status/918144688321974275
CityofMiami|2017-10-16 08:35:51|7|8|TODAY in #Miami  - Ground Breaking Ceremony of Bay of Pigs Memorial Park, 5PM & #MiamiForever  GO Bond Community Meeting at Duarte Park, 6PM. pic.twitter.com/5LKHfkPDIg|TODAY in #Miami  - Ground Breaking Ceremony of Bay of Pigs Memorial Park, 5PM & #MiamiForever  GO Bond Community Meeting at Duarte Park, 6PM. |false|919904722051616768|/CityofMiami/status/919904722051616768
CityofMiami|2017-09-11 10:30:20|8|30|Code compliance inspectors getting read to hit the streets #AfterIrma pic.twitter.com/5qsh0470iA|Code compliance inspectors getting read to hit the streets #AfterIrma |false|907249956590940167|/CityofMiami/status/907249956590940167
CityofMiami|2017-10-12 16:11:35|14|9|To date, more than 500,000 cubic yards of debris have been collected in #Miami . View press release for more info on debris collection update pic.twitter.com/BkiXzBQ3mR|To date, more than 500,000 cubic yards of debris have been collected in #Miami . View press release for more info on debris collection update |false|918569859247693824|/CityofMiami/status/918569859247693824
CityofMiami|2017-09-14 19:29:48|1|5|@ CityofMiamiFire  Chief Joseph Zahralban & @MiamiPD  escorts will lead the caravan.|@ CityofMiamiFire  Chief Joseph Zahralban & @MiamiPD  escorts will lead the caravan.|false|908472883764240384|/CityofMiami/status/908472883764240384
CityofMiami|2017-10-31 14:58:29|7|14|Werewolves, vampires, T-Rex, witches, wizards and even Hurricane Irma! City employees brought the #Halloween  fun with some creative costumes pic.twitter.com/QLGq5TmUlI|Werewolves, vampires, T-Rex, witches, wizards and even Hurricane Irma! City employees brought the #Halloween  fun with some creative costumes |false|925436833927979009|/CityofMiami/status/925436833927979009
CityofMiami|2017-09-17 17:48:35|0|1|Yes they are!|Yes they are!|false|909534573205377025|/CityofMiami/status/909534573205377025
CityofMiami|2017-10-04 09:53:26|1|1|@ MiamiPD  Chief @LlanesMPD  to announce Safe Place Initiative for #LGBTQ  who've been subject to hate crimes/harrassment. Watch on #Periscope pic.twitter.com/bdRGlSUCxn|@ MiamiPD  Chief @LlanesMPD  to announce Safe Place Initiative for #LGBTQ  who've been subject to hate crimes/harrassment. Watch on #Periscope |false|915575592254345216|/CityofMiami/status/915575592254345216
CityofMiami|2017-10-16 14:55:58|7|6|The following properties are eligible to receive a parking permit during #KingTides  to park in designated locations outside of flooded areas pic.twitter.com/me2BJI3zgz|The following properties are eligible to receive a parking permit during #KingTides  to park in designated locations outside of flooded areas |false|920000380599259136|/CityofMiami/status/920000380599259136
CityofMiami|2017-09-15 12:43:35|4|3|Here is the direct link to the recycling calendar and map:  http://www. miamigov.com/solidwaste/COL LECTIONSCHEDULE.html   …  #KeepMiamiBeautiful  @MiamiZerowaste|Here is the direct link to the recycling calendar and map:   miamigov.com/solidwaste/COL LECTIONSCHEDULE.html   …  #KeepMiamiBeautiful  @MiamiZerowaste|false|908733040695939073|/CityofMiami/status/908733040695939073
CityofMiami|2017-09-07 13:27:59|0|3|Yes there will be regular bulk pickup today.|Yes there will be regular bulk pickup today.|false|905845112059686914|/CityofMiami/status/905845112059686914
CityofMiami|2017-09-19 14:55:11|3|1|The following properties are eligible for a parking permit during tidal floods. This allows residents to park outside of flooded areas pic.twitter.com/53FclTG7fS|The following properties are eligible for a parking permit during tidal floods. This allows residents to park outside of flooded areas |false|910215711833944064|/CityofMiami/status/910215711833944064
CityofMiami|2017-10-13 12:05:51|14|11|Online registration now over but you can register at @BayfrontParkMIA  until 5pm https://twitter.com/bayfrontparkmi a/status/918863263202291713   …|Online registration now over but you can register at @BayfrontParkMIA  until 5pm  a/status/918863263202291713   …|false|918870407285010433|/CityofMiami/status/918870407285010433
CityofMiami|2017-09-06 10:17:50|15|15|# HurricaneIrma  Preparedness from Department of Solid Waste @MiamiZerowaste  #Miami  - pic.twitter.com/SCwf1w7xQr|# HurricaneIrma  Preparedness from Department of Solid Waste @MiamiZerowaste  #Miami  - |false|905434873556590593|/CityofMiami/status/905434873556590593
CityofMiami|2017-10-17 12:00:25|8|7|To learn more about this program that teaches youth to recognize warning signs, visit  http://sandyhookpromise.org   , @sandyhook .|To learn more about this program that teaches youth to recognize warning signs, visit     , @sandyhook .|false|920318589994962944|/CityofMiami/status/920318589994962944
CityofMiami|2017-09-23 09:03:49|7|13|At Peacock Park #volunteers  clean up #debris  from storm surge including hull of a small boat. Large  boat the "Lucky Duck" ran aground here pic.twitter.com/G4eGQjwp49|At Peacock Park #volunteers  clean up #debris  from storm surge including hull of a small boat. Large  boat the "Lucky Duck" ran aground here |false|911576840753614848|/CityofMiami/status/911576840753614848
CityofMiami|2017-10-14 08:58:50|35|97|And we’re off!!! The #RacefortheCure  has officially begun! #Miami  #BreastCancerAwareness  @komenmiaftl pic.twitter.com/uf2iqHrYH3|And we’re off!!! The #RacefortheCure  has officially begun! #Miami  #BreastCancerAwareness  @komenmiaftl |false|919185728613093377|/CityofMiami/status/919185728613093377
CityofMiami|2017-09-05 15:48:30|1|1|Here is a photo of the zone map pic.twitter.com/Xx6aMGVqnM|Here is a photo of the zone map |false|905155699348525057|/CityofMiami/status/905155699348525057
CityofMiami|2017-09-25 10:56:15|54|36|Ayudemos a #PuertoRico  / Let’s Help Puerto Rico!!! Please donate supplies at the following locations in #Miami  - pic.twitter.com/FQrIoPCYxW|Ayudemos a #PuertoRico  / Let’s Help Puerto Rico!!! Please donate supplies at the following locations in #Miami  - |false|912329909057531904|/CityofMiami/status/912329909057531904
CityofMiami|2017-09-07 17:27:33|20|21|Storm Surge Zones A, B & parts of C are under an evacuation order. Parts of #Miami  are included. Check here:  http://gisweb.miamidade.gov/communityservi ces/?ShowWhat=OEM   …  #Irma|Storm Surge Zones A, B & parts of C are under an evacuation order. Parts of #Miami  are included. Check here:   ces/?ShowWhat=OEM   …  #Irma|false|905905401165688832|/CityofMiami/status/905905401165688832
CityofMiami|2017-09-06 10:30:14|1|0|they ARE NOT taking them down. That’s why the City URGES to NOT stay in a building next to a construction crane during a major hurricane|they ARE NOT taking them down. That’s why the City URGES to NOT stay in a building next to a construction crane during a major hurricane|false|905437994701737985|/CityofMiami/status/905437994701737985
CityofMiami|2017-09-02 17:15:36|6|15|# HappeningNow  - 6th Annual Paint Me Miami Art Competition Opening Reception and Awards Ceremony at the @LHCCmiami  until 8PM! #ArtsInMiami pic.twitter.com/WvEGEKINSO|# HappeningNow  - 6th Annual Paint Me Miami Art Competition Opening Reception and Awards Ceremony at the @LHCCmiami  until 8PM! #ArtsInMiami |false|904090454538559489|/CityofMiami/status/904090454538559489
