'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
citybeautiful|2017-09-16 15:08:54|0|0|Maggie, still asking residents to conserve water use and avoid activities in lakes|Maggie, still asking residents to conserve water use and avoid activities in lakes|false|909132001097191425|/citybeautiful/status/909132001097191425
citybeautiful|2017-09-11 09:53:41|8|4|Uprooted trees can cause damage to gas lines. Report the smell of gas by calling 9-1-1.  http://bit.ly/2wUdFyC   pic.twitter.com/PIHqXj31vJ|Uprooted trees can cause damage to gas lines. Report the smell of gas by calling 9-1-1.     |false|907240735908487169|/citybeautiful/status/907240735908487169
citybeautiful|2017-09-23 07:48:06|17|22|Bags and bundles are best for your #Irma  yard debris. pic.twitter.com/YKgIM5KJMD|Bags and bundles are best for your #Irma  yard debris. |false|911557784491089921|/citybeautiful/status/911557784491089921
citybeautiful|2017-10-17 06:49:58|0|0|We'll be here. Have a nice trip!|We'll be here. Have a nice trip!|false|920240465173028864|/citybeautiful/status/920240465173028864
citybeautiful|2017-10-01 08:17:03|16|52|With help from @orlandohealth , the @OrlandoFireDept  is ready for #BreastCancerAwarenessMonth . pic.twitter.com/jXvFh5kmPC|With help from @orlandohealth , the @OrlandoFireDept  is ready for #BreastCancerAwarenessMonth . |false|914464171244294145|/citybeautiful/status/914464171244294145
citybeautiful|2017-10-18 15:34:45|0|1|We felt the same way using it for the first time.|We felt the same way using it for the first time.|false|920734916534525952|/citybeautiful/status/920734916534525952
citybeautiful|2017-09-07 20:24:57|0|1|Yes|Yes|false|905950045333278721|/citybeautiful/status/905950045333278721
citybeautiful|2017-09-10 17:47:28|0|0|Yes, @OrangeCoFL  has a 7 p.m. curfew tonight.|Yes, @OrangeCoFL  has a 7 p.m. curfew tonight.|false|906997577262014467|/citybeautiful/status/906997577262014467
citybeautiful|2017-09-11 16:26:51|36|29|If a traffic light is out, treat the intersection as a four way stop.  http://bit.ly/2wUdFyC   pic.twitter.com/mP0b2ISZXj|If a traffic light is out, treat the intersection as a four way stop.     |false|907339678839341056|/citybeautiful/status/907339678839341056
citybeautiful|2017-10-03 18:06:16|0|0|Well welcome! Finally!|Well welcome! Finally!|false|915337228288692226|/citybeautiful/status/915337228288692226
citybeautiful|2017-09-08 11:03:05|33|32|To help prevent #Irma  flooding, remove tree trimmings and yard waste from your curb. These items can clog storm drains and cause flooding. pic.twitter.com/NcXLC5hcGl|To help prevent #Irma  flooding, remove tree trimmings and yard waste from your curb. These items can clog storm drains and cause flooding. |false|906171033987764226|/citybeautiful/status/906171033987764226
citybeautiful|2017-10-29 15:11:17|0|1|Crews are starting their second pass through neighborhoods and will be collecting non-vegetative debris like fencing|Crews are starting their second pass through neighborhoods and will be collecting non-vegetative debris like fencing|false|924715278256222208|/citybeautiful/status/924715278256222208
citybeautiful|2017-10-07 07:05:06|8|23|Our crews & contractors are continuing to collect #Irma  yard debris. You can help by bagging and bundling items -->  http://bit.ly/2yfsFqa   pic.twitter.com/oEO5XVrOGU|Our crews & contractors are continuing to collect #Irma  yard debris. You can help by bagging and bundling items -->     |false|916620393078677510|/citybeautiful/status/916620393078677510
citybeautiful|2017-10-10 20:19:00|0|1|Hi Mary. We've asked Parking Division staff about this and will get back to you. Thanks!|Hi Mary. We've asked Parking Division staff about this and will get back to you. Thanks!|false|917907347246338048|/citybeautiful/status/917907347246338048
citybeautiful|2017-09-28 07:43:43|1|1|Thru Oct. 1 at Orlando location, Kissimmee location to stay open longer|Thru Oct. 1 at Orlando location, Kissimmee location to stay open longer|false|913368619697963008|/citybeautiful/status/913368619697963008
citybeautiful|2017-09-16 15:09:52|18|11|City residents are eligible to receive assistance from federal programs to recover and rebuild damaged properties. https://twitter.com/femaregion4/st atus/907677193727352832   …|City residents are eligible to receive assistance from federal programs to recover and rebuild damaged properties.  atus/907677193727352832   …|false|909132242953363456|/citybeautiful/status/909132242953363456
citybeautiful|2017-09-07 22:38:47|0|0|Regular Friday collection will occur tomorrow.|Regular Friday collection will occur tomorrow.|false|905983725615362050|/citybeautiful/status/905983725615362050
citybeautiful|2017-09-27 21:34:37|0|0|127 out of like 1,117,340. Right?|127 out of like 1,117,340. Right?|false|913215336291471360|/citybeautiful/status/913215336291471360
citybeautiful|2017-09-22 06:16:02|9|14|Bags and bundles are best for your #Irma  yard debris. pic.twitter.com/E7BKlvhIR4|Bags and bundles are best for your #Irma  yard debris. |false|911172229131628545|/citybeautiful/status/911172229131628545
citybeautiful|2017-09-28 10:18:14|0|0|Our crews are working hard 7 days a week to collect, glad they were able to get to your house today.|Our crews are working hard 7 days a week to collect, glad they were able to get to your house today.|false|913407507850317824|/citybeautiful/status/913407507850317824
citybeautiful|2017-10-23 17:22:43|0|0|Thanks for the message. We have informed Transportation staff about this.|Thanks for the message. We have informed Transportation staff about this.|false|922574029004910594|/citybeautiful/status/922574029004910594
citybeautiful|2017-10-22 19:49:31|0|1|Well said, Joy!|Well said, Joy!|false|922248584271204352|/citybeautiful/status/922248584271204352
citybeautiful|2017-09-16 07:08:19|0|0|Christina, the yard waste collection process has begun after Irma, but collection is not occuring on regular pickup days|Christina, the yard waste collection process has begun after Irma, but collection is not occuring on regular pickup days|false|909011057670311938|/citybeautiful/status/909011057670311938
citybeautiful|2017-09-08 09:32:53|0|1|Yes|Yes|false|906148335505039360|/citybeautiful/status/906148335505039360
