username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
CollierSheriff|2017-09-22 14:45:04|0|0|'Hadn''t even thought of that but you are exactly right! :-)'|'Hadn''t even thought of that but you are exactly right! :-)'|false|911300331711139840|/CollierSheriff/status/911300331711139840||||
CollierSheriff|2017-09-15 11:15:03|8|7|Post-#HurricaneIrma  Work Zone Safety tips  http://ow.ly/OQEu30fbtqV    #CollierStrong pic.twitter.com/ojXIG1o64y|Post-#HurricaneIrma  Work Zone Safety tips      #CollierStrong |false|908710762230763520|/CollierSheriff/status/908710762230763520||||
CollierSheriff|2017-09-10 11:51:47|2|4|'Watch Collier Emergency Management Dir. Dan Summer''s 11 a. m. press conference on #HurrcaneIrma https://www. facebook.com/colliersheriff /videos/1530019720391138/   …'|'Watch Collier Emergency Management Dir. Dan Summer''s 11 a. m. press conference on #HurrcaneIrma  facebook.com/colliersheriff /videos/1530019720391138/   …'|false|906908067874426881|/CollierSheriff/status/906908067874426881||||
CollierSheriff|2017-09-09 19:05:14|13|11|There is currently no curfew in place for Collier residents.  https://www. facebook.com/colliersheriff /posts/1529408207118956   …|There is currently no curfew in place for Collier residents.   facebook.com/colliersheriff /posts/1529408207118956   …|false|906654760773844992|/CollierSheriff/status/906654760773844992||||
CollierSheriff|2017-09-11 13:48:51|2|5|4 p.m. news conference today at Collier County Emergency Operations Center. Watch it live on  http://www. facebook.com/colliersheriff   __NEWLINE__#HurricaneIrma pic.twitter.com/qGTvsu1bmB|4 p.m. news conference today at Collier County Emergency Operations Center. Watch it live on   facebook.com/colliersheriff   __NEWLINE__#HurricaneIrma |false|907299917915475969|/CollierSheriff/status/907299917915475969||||
CollierSheriff|2017-09-11 17:09:29|38|24|Be aware. Collier County is under a mandatory curfew. pic.twitter.com/tV4U7w18Oq|Be aware. Collier County is under a mandatory curfew. |false|907350408527577088|/CollierSheriff/status/907350408527577088||||
CollierSheriff|2017-09-21 14:08:30|0|0|Thank you for thanking us! We are honored to be able to help our community during a crisis like #HurricaneIrma .|Thank you for thanking us! We are honored to be able to help our community during a crisis like #HurricaneIrma .|false|910928740636594176|/CollierSheriff/status/910928740636594176||||
CollierSheriff|2017-09-06 12:31:56|15|41|Sheriff Rambosk: CCSO to add extra patrols in neighborhoods as residents voluntarily evacuate|Sheriff Rambosk: CCSO to add extra patrols in neighborhoods as residents voluntarily evacuate|false|905468619089465344|/CollierSheriff/status/905468619089465344||||
CollierSheriff|2017-09-05 11:37:20|3|8|'Don''t forget to register or update your Smart911 profile #HurricaneIrma   http://tinyurl.com/yad87hl3   pic.twitter.com/WVtzELaqSR'|'Don''t forget to register or update your Smart911 profile #HurricaneIrma      '|false|905092490176462848|/CollierSheriff/status/905092490176462848||||
CollierSheriff|2017-09-09 13:54:40|9|7|Tips for sheltering in a high rise building #HurricaneIrma pic.twitter.com/bDF6gJHtVL|Tips for sheltering in a high rise building #HurricaneIrma |false|906576603542671361|/CollierSheriff/status/906576603542671361||||
CollierSheriff|2017-09-14 15:07:24|11|8|Immokalee Road is down to one EB lane at Livingston Rd as crews work to fix the stop lights. FHP is directing traffic. Expect delays.|Immokalee Road is down to one EB lane at Livingston Rd as crews work to fix the stop lights. FHP is directing traffic. Expect delays.|false|908406847970906112|/CollierSheriff/status/908406847970906112||||
CollierSheriff|2017-10-15 15:00:29|4|8|If you value teamwork and making a difference as much as we do, come join our CCSO family.  http://www. colliersheriff.org/careers   pic.twitter.com/uMfgxSO6aS|If you value teamwork and making a difference as much as we do, come join our CCSO family.   colliersheriff.org/careers   |false|919639131159965696|/CollierSheriff/status/919639131159965696||||
CollierSheriff|2017-09-22 09:54:18|2|24|Thanks to all the men and women from @VolusiaSheriff  who responded to support us after #HurricaneIrma !  https://twitter.com/VolusiaSheriff /status/911222212899872768   …|Thanks to all the men and women from @VolusiaSheriff  who responded to support us after #HurricaneIrma !   /status/911222212899872768   …|false|911227154473607168|/CollierSheriff/status/911227154473607168||||
CollierSheriff|2017-09-12 07:14:08|3|3|Make sure your circuit breaker is off. #HurricaneIrma  #CollierStrong .  https://www. facebook.com/colliersheriff /posts/1531742826885494   … pic.twitter.com/CfxxNZNFZF|Make sure your circuit breaker is off. #HurricaneIrma  #CollierStrong .   facebook.com/colliersheriff /posts/1531742826885494   … |false|907562972343619584|/CollierSheriff/status/907562972343619584||||
CollierSheriff|2017-09-08 14:39:40|31|19|@CollierEMannounced mandatory evacuations in effect for all areas west & south of US41. Make preparations to go to a shelter #HurriacaneIrma|@CollierEMannounced mandatory evacuations in effect for all areas west & south of US41. Make preparations to go to a shelter #HurriacaneIrma|false|906225541115719681|/CollierSheriff/status/906225541115719681||||
CollierSheriff|2017-09-09 18:58:12|22|10|500 seats in the auditorium at Gulf Coast High School now open. No cots, mattresses or pets.|500 seats in the auditorium at Gulf Coast High School now open. No cots, mattresses or pets.|false|906652989104037889|/CollierSheriff/status/906652989104037889||||
