'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
DuvalSchools|2017-10-14 07:05:09|7|9|It's finally here! We'll see you at the #JaxGoesToCollege2017  fair TODAY at the Prime Osborn from 9am -1pm. Admission and Parking are FREE! pic.twitter.com/s0Zcptpcv3|It's finally here! We'll see you at the #JaxGoesToCollege2017  fair TODAY at the Prime Osborn from 9am -1pm. Admission and Parking are FREE! |false|919157120880316416|/DuvalSchools/status/919157120880316416
DuvalSchools|2017-09-22 11:53:21|3|15|DCPS schools are on the rise, as see here at Garden City ES, which has gone from a "D" to a "B" school this year!  http://bit.ly/2xXlCGz   pic.twitter.com/oaMiSJ4G8M|DCPS schools are on the rise, as see here at Garden City ES, which has gone from a "D" to a "B" school this year!     |false|911257115456688128|/DuvalSchools/status/911257115456688128
DuvalSchools|2017-09-06 16:19:06|2|18|You got us there. Stay safe.|You got us there. Stay safe.|false|905525790133153792|/DuvalSchools/status/905525790133153792
DuvalSchools|2017-09-26 13:21:37|0|4|Aw, this is great! Thanks so much for sharing. We love our staff and students at @WaterleafES !  https://twitter.com/DawnANjax/stat us/912717921482366976   …|Aw, this is great! Thanks so much for sharing. We love our staff and students at @WaterleafES !   us/912717921482366976   …|false|912728879223263240|/DuvalSchools/status/912728879223263240
DuvalSchools|2017-09-13 09:14:57|0|3|We are still assessing damage, and many schools are without power. We will let you know as soon as possible when it is safe for return.|We are still assessing damage, and many schools are without power. We will let you know as soon as possible when it is safe for return.|false|907955761183182848|/DuvalSchools/status/907955761183182848
DuvalSchools|2017-10-05 11:49:58|3|10|DCPS students are getting in the game - literally! - thanks to an up–and–coming Video Game Design Magnet at @AndrewJacksonHS ! pic.twitter.com/IUhapYCbFK|DCPS students are getting in the game - literally! - thanks to an up–and–coming Video Game Design Magnet at @AndrewJacksonHS ! |false|915967304957034497|/DuvalSchools/status/915967304957034497
DuvalSchools|2017-09-19 14:26:16|1|9|.@AndrewJacksonHS  turns this Friday's game with rivals @wolfsonhigh  into an opportunity to drum up aid for those affected by #HurricaneIrma https://twitter.com/AndrewJacksonH S/status/910204776155140096   …|.@AndrewJacksonHS  turns this Friday's game with rivals @wolfsonhigh  into an opportunity to drum up aid for those affected by #HurricaneIrma  S/status/910204776155140096   …|false|910208435303718912|/DuvalSchools/status/910208435303718912
DuvalSchools|2017-09-12 19:09:35|53|161|# HurricaneIrma  Reminder: No school Wed, September 13th. No decision has been made about Thursday at this time. We will keep you updated. https://twitter.com/DuvalSchools/s tatus/907382666751770624   …|# HurricaneIrma  Reminder: No school Wed, September 13th. No decision has been made about Thursday at this time. We will keep you updated.  tatus/907382666751770624   …|false|907743017485979648|/DuvalSchools/status/907743017485979648
DuvalSchools|2017-09-06 08:40:24|0|0|No closures yet.|No closures yet.|false|905410351629574144|/DuvalSchools/status/905410351629574144
DuvalSchools|2017-09-21 14:13:43|2|20|Students and staff at J. Allen Axson Montessori School "Sing Peace Around the World" to celebrate #PeaceDay .   http://bit.ly/2xr1M5h   pic.twitter.com/DEYJ92Rdjd|Students and staff at J. Allen Axson Montessori School "Sing Peace Around the World" to celebrate #PeaceDay .      |false|910930051503411201|/DuvalSchools/status/910930051503411201
DuvalSchools|2017-09-12 17:10:53|0|8|That is still TBD. We are still assessing damage. We should be able to make a determination soon about other closure dates.|That is still TBD. We are still assessing damage. We should be able to make a determination soon about other closure dates.|false|907713147586445317|/DuvalSchools/status/907713147586445317
DuvalSchools|2017-10-25 14:23:37|4|1|It's report card time, which means that it's also time to fill out the 2017-18 Federal Impact Aid Survey! More info:  http://bit.ly/2xmEv68   pic.twitter.com/DeiD0wdKGL|It's report card time, which means that it's also time to fill out the 2017-18 Federal Impact Aid Survey! More info:     |false|923253730807570435|/DuvalSchools/status/923253730807570435
DuvalSchools|2017-09-25 17:30:14|10|16|9.27.17 is #FLDadsatschoolday ! Fathers and other male role models are invited to take part in the celebration.  http://bit.ly/2xY8sZU   pic.twitter.com/e6z16xemRK|9.27.17 is #FLDadsatschoolday ! Fathers and other male role models are invited to take part in the celebration.     |false|912429060248055808|/DuvalSchools/status/912429060248055808
DuvalSchools|2017-09-15 15:35:16|40|55|# HurricaneIrma  Update: DCPS schools and district offices to open as normal Monday, Sept. 18. Secondary students will follow A day schedule pic.twitter.com/CfryVeoms5|# HurricaneIrma  Update: DCPS schools and district offices to open as normal Monday, Sept. 18. Secondary students will follow A day schedule |false|908776249312645121|/DuvalSchools/status/908776249312645121
DuvalSchools|2017-09-06 13:18:25|0|0|No announcement has been made as of yet. We'll let you know if that changes.|No announcement has been made as of yet. We'll let you know if that changes.|false|905480320119660546|/DuvalSchools/status/905480320119660546
DuvalSchools|2017-09-06 12:50:48|4|3|Darnell-Cookman Update: Students and staff remain safely evacuated at their off-site location and are being provided lunch and water. pic.twitter.com/iqOc3LLfE2|Darnell-Cookman Update: Students and staff remain safely evacuated at their off-site location and are being provided lunch and water. |false|905473368765456385|/DuvalSchools/status/905473368765456385
DuvalSchools|2017-10-25 11:43:06|1|11|We've got our orange on for #UnityDay2017 ! Tag us in your photos and we'll RT our favs. Together we can take a stand against bullying! pic.twitter.com/L6edNoEGoZ|We've got our orange on for #UnityDay2017 ! Tag us in your photos and we'll RT our favs. Together we can take a stand against bullying! |false|923213337692983298|/DuvalSchools/status/923213337692983298
DuvalSchools|2017-09-06 16:06:41|0|1|Monday too.|Monday too.|false|905522662167990272|/DuvalSchools/status/905522662167990272
DuvalSchools|2017-09-13 11:07:35|1|10|That is outstanding to hear. We like the way you are thinking.|That is outstanding to hear. We like the way you are thinking.|false|907984106293735426|/DuvalSchools/status/907984106293735426
DuvalSchools|2017-09-14 16:37:50|17|45|# HurricaneIrma  Update: DCPS continues to address areas of concern as we work toward a safe reopening of schools on Monday, September 18. pic.twitter.com/M5uzKvkBbR|# HurricaneIrma  Update: DCPS continues to address areas of concern as we work toward a safe reopening of schools on Monday, September 18. |false|908429606373462017|/DuvalSchools/status/908429606373462017
DuvalSchools|2017-09-10 11:05:40|4|21|That'd be a nah.  Stay safe.|That'd be a nah.  Stay safe.|false|906896461161533440|/DuvalSchools/status/906896461161533440
DuvalSchools|2017-09-12 11:15:50|0|5|We are still assessing damage. Many schools are without power or sheltering evacuees, but we will make a determination today.|We are still assessing damage. Many schools are without power or sheltering evacuees, but we will make a determination today.|false|907623796391251969|/DuvalSchools/status/907623796391251969
DuvalSchools|2017-10-10 13:59:13|5|5|Questions about report card dates? Make sure you view our newly updated Report Card Schedule on our website here:  https://dcps.duvalschools.org/Page/2   pic.twitter.com/Oq15cV0hok|Questions about report card dates? Make sure you view our newly updated Report Card Schedule on our website here:     |false|917811774824636417|/DuvalSchools/status/917811774824636417
DuvalSchools|2017-09-13 11:04:48|0|0|We are still assessing damage, and many schools are without power. We will let you know as soon as possible when it is safe for return.|We are still assessing damage, and many schools are without power. We will let you know as soon as possible when it is safe for return.|false|907983408550350851|/DuvalSchools/status/907983408550350851
DuvalSchools|2017-10-16 14:18:16|5|2|Our next Financial Aid Nights include a special ESOL session TOMORROW at Englewood HS at 6 p.m. More sessions here:   http://bit.ly/2fXYGfo   pic.twitter.com/r6XKkV205T|Our next Financial Aid Nights include a special ESOL session TOMORROW at Englewood HS at 6 p.m. More sessions here:      |false|919990893804969985|/DuvalSchools/status/919990893804969985
DuvalSchools|2017-10-04 14:23:54|3|5|Volunteers Needed! School Counseling Services is looking for adult volunteers to assist with upcoming BEACON dates.  http://bit.ly/2xTPdQO   pic.twitter.com/G6lfnugsmV|Volunteers Needed! School Counseling Services is looking for adult volunteers to assist with upcoming BEACON dates.     |false|915643658690551808|/DuvalSchools/status/915643658690551808
DuvalSchools|2017-09-20 08:01:28|0|0|You can contact our Communication Department at (904) 390-2996.|You can contact our Communication Department at (904) 390-2996.|false|910473984688508929|/DuvalSchools/status/910473984688508929
DuvalSchools|2017-09-23 12:05:06|10|9|Our online computer sale starts next week! Parents MUST have a verified OneView account to take part in the sale.   http://bit.ly/2yerZl6   pic.twitter.com/nqalRwJnQI|Our online computer sale starts next week! Parents MUST have a verified OneView account to take part in the sale.      |false|911622460650422272|/DuvalSchools/status/911622460650422272
DuvalSchools|2017-10-05 09:58:35|3|4|Are you ready for #JaxGoestoCollege2017 ? We're kicking off the National College Fair with a week of fun activities!  http://www. duvalschools.org/jaxgoestocolle ge   … pic.twitter.com/xQ2lu5inKl|Are you ready for #JaxGoestoCollege2017 ? We're kicking off the National College Fair with a week of fun activities!   duvalschools.org/jaxgoestocolle ge   … |false|915939275761385472|/DuvalSchools/status/915939275761385472
DuvalSchools|2017-09-13 11:05:10|0|7|We are still assessing damage, and many schools are without power. We will let you know as soon as possible when it is safe for return.|We are still assessing damage, and many schools are without power. We will let you know as soon as possible when it is safe for return.|false|907983499818356741|/DuvalSchools/status/907983499818356741
DuvalSchools|2017-09-06 09:40:23|25|18|# Irma  Update: All VARSITY football games this week have been moved to Thurs evening due to weather. JV moved to Oct.  http://bit.ly/2eKr3ks   pic.twitter.com/86AIapQ1rz|# Irma  Update: All VARSITY football games this week have been moved to Thurs evening due to weather. JV moved to Oct.     |false|905425448586416128|/DuvalSchools/status/905425448586416128
DuvalSchools|2017-10-17 13:59:48|1|8|First Graders at Biscayne ES took part in a special, hands-on activity to wrap up their module on the human body. -  http://bit.ly/2xMLt4s   pic.twitter.com/ZRmk9xJHug|First Graders at Biscayne ES took part in a special, hands-on activity to wrap up their module on the human body. -     |false|920348634314608640|/DuvalSchools/status/920348634314608640
DuvalSchools|2017-09-13 15:16:38|0|5|We will address makeup days once school is back in session. For now we're concentrating on getting our schools back up and running ASAP.|We will address makeup days once school is back in session. For now we're concentrating on getting our schools back up and running ASAP.|false|908046783946919936|/DuvalSchools/status/908046783946919936
DuvalSchools|2017-10-19 08:17:22|0|0|Good Morning - We're very sorry to hear this. Would you mind sending us a DM with the name of your child's school so we can assist?|Good Morning - We're very sorry to hear this. Would you mind sending us a DM with the name of your child's school so we can assist?|false|920987234052067328|/DuvalSchools/status/920987234052067328
DuvalSchools|2017-10-15 11:39:21|21|50|Reminder that Monday, 10/16 is a teacher planning day and there's no school for students. Enjoy your long weekend and we'll see you on Tues! pic.twitter.com/qkgHj1O4FT|Reminder that Monday, 10/16 is a teacher planning day and there's no school for students. Enjoy your long weekend and we'll see you on Tues! |false|919588514362265600|/DuvalSchools/status/919588514362265600
DuvalSchools|2017-09-22 15:12:57|1|14|We're feeling the love!   Thank you so much for supporting our duPont teachers and staff! #ExtraYardWeek https://twitter.com/taxslayerbowl/ status/911215530903789570   …|We're feeling the love!   Thank you so much for supporting our duPont teachers and staff! #ExtraYardWeek  status/911215530903789570   …|false|911307348232347648|/DuvalSchools/status/911307348232347648
DuvalSchools|2017-10-13 07:39:42|0|1|Congrats!|Congrats!|false|918803426892500993|/DuvalSchools/status/918803426892500993
DuvalSchools|2017-09-24 09:05:09|2|10|Congrats to this season’s Real School student hosts! Catch the season premiere of Real School next Sunday, October 1 at 6 p.m. on the CW-17. pic.twitter.com/G1MxCCKwyl|Congrats to this season’s Real School student hosts! Catch the season premiere of Real School next Sunday, October 1 at 6 p.m. on the CW-17. |false|911939562011807746|/DuvalSchools/status/911939562011807746
DuvalSchools|2017-10-24 09:00:13|0|0|Hi, Brian - We appreciate your feedback and will be sure to forward it to our district leadership.|Hi, Brian - We appreciate your feedback and will be sure to forward it to our district leadership.|false|922809957325647874|/DuvalSchools/status/922809957325647874
DuvalSchools|2017-10-27 09:54:07|5|12|Talk about your rock star treatment! Pine Forest SOTA students board the @lennonbus  to create an original song. -  http://bit.ly/2yOWmCH   pic.twitter.com/gcii4R4q8Q|Talk about your rock star treatment! Pine Forest SOTA students board the @lennonbus  to create an original song. -     |false|923910685054177280|/DuvalSchools/status/923910685054177280
DuvalSchools|2017-10-06 08:06:57|2|1|Have you applied for your #FAFSA ? We have several FREE financial aid workshops for students starting on 10/10! -   http://bit.ly/2xmEv68   pic.twitter.com/5JzagxlOoc|Have you applied for your #FAFSA ? We have several FREE financial aid workshops for students starting on 10/10! -      |false|916273570430451712|/DuvalSchools/status/916273570430451712
DuvalSchools|2017-09-06 16:21:15|0|0|Yes. School is also closed on Monday. Stay safe. http://bit.ly/2eKr3ks  |Yes. School is also closed on Monday. Stay safe.   |false|905526330506309632|/DuvalSchools/status/905526330506309632
DuvalSchools|2017-10-13 09:40:07|1|3|Right back at ya! Congrats on being named #LibraryoftheYear ! |Right back at ya! Congrats on being named #LibraryoftheYear ! |false|918833731468709890|/DuvalSchools/status/918833731468709890
DuvalSchools|2017-10-06 13:45:57|17|66|Mandarin’s volleyball game had a very special guest! Welcome home, Navy Chief Vincent Stolp!  http://bit.ly/2wCr9OP    #FridayFeeling pic.twitter.com/3xCq2TLJL9|Mandarin’s volleyball game had a very special guest! Welcome home, Navy Chief Vincent Stolp!      #FridayFeeling |false|916358884486414338|/DuvalSchools/status/916358884486414338
DuvalSchools|2017-09-29 16:35:36|0|6|Returning host Sean Bussey is ready for the season premiere of Real School! Tune in this Sunday, October 1st at 5:30pm on the CW-17. pic.twitter.com/bymPn8pLDE|Returning host Sean Bussey is ready for the season premiere of Real School! Tune in this Sunday, October 1st at 5:30pm on the CW-17. |false|913864863063080965|/DuvalSchools/status/913864863063080965
DuvalSchools|2017-09-29 10:29:02|1|12|Two DCPS teachers have gone the extra mile to help homeless students and those in need with @GCPWearsLove -  http://bit.ly/2hC3ETc   pic.twitter.com/GEnUaeADKc|Two DCPS teachers have gone the extra mile to help homeless students and those in need with @GCPWearsLove -     |false|913772611183706117|/DuvalSchools/status/913772611183706117
