username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
EPA|2017-09-13 20:01:22|11|16|# Irma  response fact: Our teams are assessing 185 priority facilities, within 23 counties in Florida. https://www. epa.gov/newsreleases/e pa-irma-update-wednesday-september-13-2017   …|# Irma  response fact: Our teams are assessing 185 priority facilities, within 23 counties in Florida.  epa.gov/newsreleases/e pa-irma-update-wednesday-september-13-2017   …|false|908118439079936000|/EPA/status/908118439079936000||||
EPA|2017-09-05 18:05:00|36|40|If you lose power after Hurricane Irma and use a generator, put it outside far away from doors, windows and vents:  https://www. epa.gov/natural-disast ers/hurricanes#recover   …|If you lose power after Hurricane Irma and use a generator, put it outside far away from doors, windows and vents:   epa.gov/natural-disast ers/hurricanes#recover   …|false|905190052069642241|/EPA/status/905190052069642241||||
EPA|2017-09-15 10:22:04|13|23|We have 2 teams in PR & 4 teams in VI to conduct water & debris assessments & hazard evaluations.  https://www. epa.gov/newsreleases/e pa-irma-update-thursday-september-14-2017   …|We have 2 teams in PR & 4 teams in VI to conduct water & debris assessments & hazard evaluations.   epa.gov/newsreleases/e pa-irma-update-thursday-september-14-2017   …|false|908697429482070018|/EPA/status/908697429482070018||||
EPA|2017-09-25 18:31:12|30|39|'We''re helping @FEMA  w/hurricane response in PR & VI & focused on environmental impacts, potential threats to health.  https://www. epa.gov/newsreleases/e pa-hurricane-maria-update-monday-september-25   …'|'We''re helping @FEMA  w/hurricane response in PR & VI & focused on environmental impacts, potential threats to health.   epa.gov/newsreleases/e pa-hurricane-maria-update-monday-september-25   …'|false|912444400076296193|/EPA/status/912444400076296193||||
EPA|2017-09-10 09:16:00|25|22|'Want to learn more about what we''re doing to support the response to hurricanes #Harvey  and #Irma ? Here''s the facts: https://www. epa.gov/hurricane-resp onse/hurricane-response-fact-sheets   …'|'Want to learn more about what we''re doing to support the response to hurricanes #Harvey  and #Irma ? Here''s the facts:  epa.gov/hurricane-resp onse/hurricane-response-fact-sheets   …'|false|906868864360751104|/EPA/status/906868864360751104||||
EPA|2017-09-15 18:15:01|6|12|Our field assessment teams are deploying to assess sites in Florida.  https://www. epa.gov/newsreleases/e pa-irma-update-thursday-september-14-2017   …|Our field assessment teams are deploying to assess sites in Florida.   epa.gov/newsreleases/e pa-irma-update-thursday-september-14-2017   …|false|908816449279467520|/EPA/status/908816449279467520||||
EPA|2017-10-06 09:15:00|9|7|Kids are curious. Prevent pesticide poisoning & make your home safe for your family.  http://go.usa.gov/3aBhR     #KidsEnvHealth|Kids are curious. Prevent pesticide poisoning & make your home safe for your family.       #KidsEnvHealth|false|916290698160345088|/EPA/status/916290698160345088||||
EPA|2017-09-29 10:05:01|12|10|Take caution when cleaning up after a hurricane – learn about the dangers and how to properly dispose of debris: https://www. epa.gov/natural-disast ers/dealing-debris-and-damaged-buildings   …|Take caution when cleaning up after a hurricane – learn about the dangers and how to properly dispose of debris:  epa.gov/natural-disast ers/dealing-debris-and-damaged-buildings   …|false|913766566885502976|/EPA/status/913766566885502976||||
EPA|2017-10-06 12:45:00|7|11|The environment can affect pregnancy & child health. Take steps to ensure a healthy pregnancy.  http://youtu.be/J6XqDRdGScY    #KidsEnvHealth|The environment can affect pregnancy & child health. Take steps to ensure a healthy pregnancy.      #KidsEnvHealth|false|916343545501442048|/EPA/status/916343545501442048||||
EPA|2017-09-23 09:02:00|10|22|We have teams of On Scene Coordinators, scientists, & others deploying to PR & VI to help w/response efforts.  https://www. epa.gov/hurricane-resp onse/epa-hurricane-maria-update-september-22-2017   …  #Maria|We have teams of On Scene Coordinators, scientists, & others deploying to PR & VI to help w/response efforts.   epa.gov/hurricane-resp onse/epa-hurricane-maria-update-september-22-2017   …  #Maria|false|911576383196946432|/EPA/status/911576383196946432||||
