username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
femaregion4|2017-09-23 20:15:54|0|0|We apologize it has taken so long to speak to someone. Please try calling in the morning/evening, during the off peak hours.|We apologize it has taken so long to speak to someone. Please try calling in the morning/evening, during the off peak hours.|false|911745975789768706|/femaregion4/status/911745975789768706||||
femaregion4|2017-10-10 19:46:04|18|10|Florida: You have until 11/9 to apply for #Irma  assistance. Apply online or follow-up in person:  http://www. fema.gov/drc   pic.twitter.com/goxpzQqRoI|Florida: You have until 11/9 to apply for #Irma  assistance. Apply online or follow-up in person:   fema.gov/drc   |false|917899058810892288|/femaregion4/status/917899058810892288||||
femaregion4|2017-10-03 10:58:20|70|95|We created an #Irma  rumor control page to help you verify what’s true and what’s not. Visit it here:  https://www. fema.gov/hurricane-irma -rumor-control   … pic.twitter.com/fV8WbVxYLR|We created an #Irma  rumor control page to help you verify what’s true and what’s not. Visit it here:   fema.gov/hurricane-irma -rumor-control   … |false|915229537998458880|/femaregion4/status/915229537998458880||||
femaregion4|2017-09-08 12:16:07|83|55|# PlanAhead  and have alternative power sources for important devices and keep them charged. #Irma pic.twitter.com/SM5OIOnA8j|# PlanAhead  and have alternative power sources for important devices and keep them charged. #Irma |false|906189413750894593|/femaregion4/status/906189413750894593||||
femaregion4|2017-09-22 13:18:08|0|3|We are so sorry about our long wait times. Please try calling in the morning or evening when wait times are shorter.|We are so sorry about our long wait times. Please try calling in the morning or evening when wait times are shorter.|false|911278453244219397|/femaregion4/status/911278453244219397||||
femaregion4|2017-09-22 13:05:31|0|0|Your husband can update your registration to include you as a co-applicant so that you can also receive information on the status.|Your husband can update your registration to include you as a co-applicant so that you can also receive information on the status.|false|911275278416084992|/femaregion4/status/911275278416084992||||
femaregion4|2017-09-22 16:07:18|3|2|GA: Disaster Recovery Centers are located in Camden & Chatham counties. For hours and locations visit:  http://fema.gov/disaster/4338   https://twitter.com/CamdenCountyEM A/status/911295527232446465   …|GA: Disaster Recovery Centers are located in Camden & Chatham counties. For hours and locations visit:      A/status/911295527232446465   …|false|911321023370362881|/femaregion4/status/911321023370362881||||
femaregion4|2017-09-25 18:39:20|9|15|Governor Rick Scott met with Federal Coordinating Officer Willie Nunn & Monroe County to discuss #Irma  recovery efforts in the Keys. pic.twitter.com/G5EFRcXOEB|Governor Rick Scott met with Federal Coordinating Officer Willie Nunn & Monroe County to discuss #Irma  recovery efforts in the Keys. |false|912446449656500225|/femaregion4/status/912446449656500225||||
femaregion4|2017-09-06 19:10:40|14|19|Shift change briefing as we continue 24-hour monitoring of Hurricane #Irma pic.twitter.com/cgeupGMBzs|Shift change briefing as we continue 24-hour monitoring of Hurricane #Irma |false|905568965753270272|/femaregion4/status/905568965753270272||||
femaregion4|2017-10-22 16:49:33|3|2|# FL : Most Disaster Recovery Centers are open 7 days a week from 8 am-8pm. Visit one close to you to review your aid:  https://www. fema.gov/disaster/updat es/4337/visit-us-disaster-recovery-center-drc   … pic.twitter.com/xHGJpf3K9w|# FL : Most Disaster Recovery Centers are open 7 days a week from 8 am-8pm. Visit one close to you to review your aid:   fema.gov/disaster/updat es/4337/visit-us-disaster-recovery-center-drc   … |false|922203294944124928|/femaregion4/status/922203294944124928||||
