username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
FLDEO|2017-09-15 13:28:00|4|3|RT @NassauFL : How East Coast seaports are increasing imports in Nassau County:  http://bit.ly/2hhQb2f     #JaxPort pic.twitter.com/0ketOI1APg|RT @NassauFL : How East Coast seaports are increasing imports in Nassau County:       #JaxPort |false|908744221674426369|/FLDEO/status/908744221674426369||||
FLDEO|2017-09-07 14:33:47|1|1|'Stay up-to-date with @FLGovScott ''s latest hurricane preparation info that is designed to keep us Floridians safe:  http://bit.ly/2wH1oyZ  '|'Stay up-to-date with @FLGovScott ''s latest hurricane preparation info that is designed to keep us Floridians safe:    '|false|905861671121543169|/FLDEO/status/905861671121543169||||
FLDEO|2017-10-10 11:56:00|4|5|'RT @SBAgov : Today at 3 p.m. -- Get tips to protect your #smallbiz  from cybercrime during SBA''s Twitter chat __PIPE__ #SBAchat pic.twitter.com/LzhhMSv9H7'|'RT @SBAgov : Today at 3 p.m. -- Get tips to protect your #smallbiz  from cybercrime during SBA''s Twitter chat __PIPE__ #SBAchat '|false|917780764644696064|/FLDEO/status/917780764644696064||||
FLDEO|2017-10-30 09:50:10|0|1|@ CareerSourceCLM  11/2 Hiring Event 12-6 pm FedEx 200 pt time package handlers College CFL Klein Conf Center, Ocala  http://www. employflorida.com  |@ CareerSourceCLM  11/2 Hiring Event 12-6 pm FedEx 200 pt time package handlers College CFL Klein Conf Center, Ocala   employflorida.com  |false|924996853162217472|/FLDEO/status/924996853162217472||||
FLDEO|2017-09-28 11:32:00|2|1|'RT @CareerSourceFL : Closing the achievement gap starts at birth. Childcare and early learning affects FL''s future workforce. #FutureofFL'|'RT @CareerSourceFL : Closing the achievement gap starts at birth. Childcare and early learning affects FL''s future workforce. #FutureofFL'|false|913426071726456832|/FLDEO/status/913426071726456832||||
FLDEO|2017-09-26 12:19:00|0|1|RT @ORLPartnership : Orlando is primed to meet the demands of the fast-growing aviation training industry. Read more:  http://bit.ly/2fNZjbR   pic.twitter.com/PKmVqC3PCN|RT @ORLPartnership : Orlando is primed to meet the demands of the fast-growing aviation training industry. Read more:     |false|912713123303383041|/FLDEO/status/912713123303383041||||
FLDEO|2017-10-12 15:45:20|1|1|Florida employers, post your #Irma  recovery and cleanup jobs at  http://Irma.EmployFlorida.com   . Select “Hurricane Irma Recovery Jobs” in your post!|Florida employers, post your #Irma  recovery and cleanup jobs at     . Select “Hurricane Irma Recovery Jobs” in your post!|false|918563256050044930|/FLDEO/status/918563256050044930||||
FLDEO|2017-09-09 16:31:13|1|3|If you live in a mandatory evacuation zone, travel to a safer location immediately. Visit  http://fl511.com    for evacuation routes.|If you live in a mandatory evacuation zone, travel to a safer location immediately. Visit      for evacuation routes.|false|906616003249012736|/FLDEO/status/906616003249012736||||
FLDEO|2017-09-22 14:24:25|17|19|DEO’s Bridge Loan Program can help your #FLSmallBusiness  recover quickly with interest-free loans. Apply today:  http://www. floridadisasterloan.org   .|DEO’s Bridge Loan Program can help your #FLSmallBusiness  recover quickly with interest-free loans. Apply today:   floridadisasterloan.org   .|false|911295134138081280|/FLDEO/status/911295134138081280||||
FLDEO|2017-09-21 11:20:18|2|7|DEO Director @cissy_proctor  joined @FLGovScott  and local leaders in Marathon and Fort Myers, FL for discussions about #Irma  recovery. pic.twitter.com/hBDAjpLjEk|DEO Director @cissy_proctor  joined @FLGovScott  and local leaders in Marathon and Fort Myers, FL for discussions about #Irma  recovery. |false|910886410730778624|/FLDEO/status/910886410730778624|Fort Myers, FL|26.640628|-81.8723084|
FLDEO|2017-09-21 09:32:57|0|0|'RT @CSChipola : If you''re looking for work in the #Chipley  area, you won''t want to miss this hiring event today! #CSCWorks  #FLjobs pic.twitter.com/SESIrMoYM4'|'RT @CSChipola : If you''re looking for work in the #Chipley  area, you won''t want to miss this hiring event today! #CSCWorks  #FLjobs '|false|910859397433368576|/FLDEO/status/910859397433368576||||
FLDEO|2017-10-05 11:33:30|1|4|'Don''t miss out on today''s Hurricane Irma Recovery Business Roundtable events! The first roundtable begins at 1 p.m. in #DaytonaBeach . pic.twitter.com/h5Qb4DSVxa'|'Don''t miss out on today''s Hurricane Irma Recovery Business Roundtable events! The first roundtable begins at 1 p.m. in #DaytonaBeach . '|false|915963162989559808|/FLDEO/status/915963162989559808||||
FLDEO|2017-10-06 15:48:00|6|3|RT @CollierEDO : Unemployed due to #HurricaneIrma ? Deadline for Disaster Unemployment Assistance is Oct. 16. Apply:  http://bit.ly/2vJvQpf   pic.twitter.com/vvJ6vwxbU3|RT @CollierEDO : Unemployed due to #HurricaneIrma ? Deadline for Disaster Unemployment Assistance is Oct. 16. Apply:     |false|916389598426566656|/FLDEO/status/916389598426566656||||
FLDEO|2017-10-20 14:34:01|1|4|RT @CareerSourcePBC : Palm Beach County unemployment rate lowest in decade – 3.6 percent! http://bit.ly/2inxRpp  |RT @CareerSourcePBC : Palm Beach County unemployment rate lowest in decade – 3.6 percent!   |false|921444408603455488|/FLDEO/status/921444408603455488||||
