'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
MyFDOT|2017-10-25 16:27:48|3|3|http://fdot.gov    will be unavailable between 8 a.m. – 12 p.m. on 10/28/2017 for maintenance. We apologize for any inconvenience.|    will be unavailable between 8 a.m. – 12 p.m. on 10/28/2017 for maintenance. We apologize for any inconvenience.|false|923284984277938176|/MyFDOT/status/923284984277938176
MyFDOT|2017-09-15 16:01:01|2|2|Te está dando problemas tu carro en la carretera durante #Irma ? Llame a los #RoadRangers  de @MyFDOT . Marque *FHP (*347) para recibir ayuda|Te está dando problemas tu carro en la carretera durante #Irma ? Llame a los #RoadRangers  de @MyFDOT . Marque *FHP (*347) para recibir ayuda|false|908782729252282368|/MyFDOT/status/908782729252282368
MyFDOT|2017-10-28 07:00:03|1|2|http://FDOT.gov    will be unavailable between 8 a.m. – 12 p.m. EDT on 10/28/2017 for maintenance. We apologize for any inconvenience.|    will be unavailable between 8 a.m. – 12 p.m. EDT on 10/28/2017 for maintenance. We apologize for any inconvenience.|false|924229268648869889|/MyFDOT/status/924229268648869889
MyFDOT|2017-09-13 13:30:01|51|28|Download the Florida 511 app for roadway status updates #FLResponds  #Irma   https://fl511.com/App   pic.twitter.com/mOBZU76Ix0|Download the Florida 511 app for roadway status updates #FLResponds  #Irma      |false|908019953541906432|/MyFDOT/status/908019953541906432
MyFDOT|2017-09-13 12:28:56|3|4|El Rio Santa Fe sube rápidamente de #HurricaneIrma . Si I-75 se cierra, mira la mapa de desvió. @MyFDOT  @FLHSMV    http://bit.ly/2eVRLTA   pic.twitter.com/7vf7t3woMZ|El Rio Santa Fe sube rápidamente de #HurricaneIrma . Si I-75 se cierra, mira la mapa de desvió. @MyFDOT  @FLHSMV       |false|908004578184097793|/MyFDOT/status/908004578184097793
MyFDOT|2017-09-13 16:00:01|12|9|Check the #FL511  interactive map at  http://FL511.com    for road closures, detours, travel times & more. #FL511  #Irma pic.twitter.com/xtShX535J7|Check the #FL511  interactive map at      for road closures, detours, travel times & more. #FL511  #Irma |false|908057700126179328|/MyFDOT/status/908057700126179328
MyFDOT|2017-09-08 09:15:00|12|6|Sepa antes de salir de casa a mediante de la tormenta – use #FL511 , disponible en español, para información de tráfico #Irma  #FLPrepares pic.twitter.com/I5TqlMiZb5|Sepa antes de salir de casa a mediante de la tormenta – use #FL511 , disponible en español, para información de tráfico #Irma  #FLPrepares |false|906143838061813760|/MyFDOT/status/906143838061813760
MyFDOT|2017-09-07 19:12:30|48|61|Remain alert while evacuating to avoid crashes that could extend travel times. Download the 511 app for up-to-date traffic info. #FLPrepares|Remain alert while evacuating to avoid crashes that could extend travel times. Download the 511 app for up-to-date traffic info. #FLPrepares|false|905931812396044295|/MyFDOT/status/905931812396044295
MyFDOT|2017-09-11 12:47:34|113|62|US 1 in the Keys is CLOSED. Residents and visitors cannot return to Monroe Co until assessment of damage on roads and bridges is complete.|US 1 in the Keys is CLOSED. Residents and visitors cannot return to Monroe Co until assessment of damage on roads and bridges is complete.|false|907284495623213056|/MyFDOT/status/907284495623213056
MyFDOT|2017-09-12 13:08:09|17|19|@ TimTebow  stopped by the State EOC today to thank workers for their emergency response efforts and met with @FDOT_Secretary  Mike Dew. pic.twitter.com/8rE9lXsxY4|@ TimTebow  stopped by the State EOC today to thank workers for their emergency response efforts and met with @FDOT_Secretary  Mike Dew. |false|907652062732845057|/MyFDOT/status/907652062732845057
