username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
FHPOrlando|2017-09-08 07:56:10|61|37|Traveling north on turnpike? Able to pass Canoe Creek Plaza? Come to Turkey Lake Plaza. No wait for gas. 33miles from Canoe to Turkey Lake|Traveling north on turnpike? Able to pass Canoe Creek Plaza? Come to Turkey Lake Plaza. No wait for gas. 33miles from Canoe to Turkey Lake|false|906123997183705088|/FHPOrlando/status/906123997183705088||||
FHPOrlando|2017-09-06 17:00:34|9|42|Central #Florida  #Troopers  are ALL hands on deck. __NEWLINE____NEWLINE__Protecting the heart of Florida. __NEWLINE__#Courtesy  #Service  #Protection __NEWLINE__#HurricaneIrma pic.twitter.com/MZwQhqcNVA|Central #Florida  #Troopers  are ALL hands on deck. __NEWLINE____NEWLINE__Protecting the heart of Florida. __NEWLINE__#Courtesy  #Service  #Protection __NEWLINE__#HurricaneIrma |false|905536225855057920|/FHPOrlando/status/905536225855057920||||
FHPOrlando|2017-09-08 09:55:54|13|5|This is extremely dangerous. Please do not sleep on the side of the road. https://twitter.com/flhsmv/status/ 906152123007684609   …|This is extremely dangerous. Please do not sleep on the side of the road.  906152123007684609   …|false|906154129151680513|/FHPOrlando/status/906154129151680513||||
FHPOrlando|2017-09-08 08:08:16|17|8|Brevard: Causeways/Bridges will remain open for drivers needing to travel. Please continue to monitor and use care|Brevard: Causeways/Bridges will remain open for drivers needing to travel. Please continue to monitor and use care|false|906127042944655360|/FHPOrlando/status/906127042944655360||||
FHPOrlando|2017-09-07 14:40:47|36|36|'NB turnpike by the #Osceola /#Orange  County line there is temporary backup. This is ONLY due to congestion. Be patient and you''ll get through pic.twitter.com/PMFrGBq7xm'|'NB turnpike by the #Osceola /#Orange  County line there is temporary backup. This is ONLY due to congestion. Be patient and you''ll get through '|false|905863432527806464|/FHPOrlando/status/905863432527806464||||
FHPOrlando|2017-09-21 20:02:47|19|40|Bonds that will last forever. #ThinBlueLine   grows stronger and stronger everyday. #HurricaneIrma  #Missions  #FHP  @MarcoIslandPD pic.twitter.com/QSeeFBCjgA|Bonds that will last forever. #ThinBlueLine   grows stronger and stronger everyday. #HurricaneIrma  #Missions  #FHP  @MarcoIslandPD |false|911017896284913664|/FHPOrlando/status/911017896284913664||||
FHPOrlando|2017-09-09 11:38:35|14|25|'Today''s the day. Finish up ur last min #HurricaneIrma  prep. If you do not need to be on the road, don''t. __NEWLINE____NEWLINE__#Troopers  stand ready pic.twitter.com/EZrD8F4eOt'|'Today''s the day. Finish up ur last min #HurricaneIrma  prep. If you do not need to be on the road, don''t. __NEWLINE____NEWLINE__#Troopers  stand ready '|false|906542358992433152|/FHPOrlando/status/906542358992433152||||
FHPOrlando|2017-09-11 08:34:17|0|2|Thanks @Fox35Bob  this is seriously a big issue right now.|Thanks @Fox35Bob  this is seriously a big issue right now.|false|907220753325678592|/FHPOrlando/status/907220753325678592||||
FHPOrlando|2017-09-06 11:04:17|0|0|@ AGPamBondi|@ AGPamBondi|false|905446564302336000|/FHPOrlando/status/905446564302336000||||
FHPOrlando|2017-09-09 09:55:03|24|82|https://twitter.com/cait_tvreporte r/status/906513671374999552   …| r/status/906513671374999552   …|false|906516302906437633|/FHPOrlando/status/906516302906437633||||
