'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
HillsboroughSch|2017-10-17 14:37:24|8|36|Newsome High School’s Elite Show Choir performs before today’s Board meeting. Jeff Bogue, Director pic.twitter.com/5IzkCcrSel|Newsome High School’s Elite Show Choir performs before today’s Board meeting. Jeff Bogue, Director |false|920358096286953474|/HillsboroughSch/status/920358096286953474
HillsboroughSch|2017-09-11 21:20:01|1|3|The superintendent's message covers the details of the decision — it's at the link in the tweet:  http://tinyurl.com/irmahcps  |The superintendent's message covers the details of the decision — it's at the link in the tweet:    |false|907413455283671040|/HillsboroughSch/status/907413455283671040
HillsboroughSch|2017-10-17 17:35:20|10|26|.@BloomingdaleSHS  senior Ashley Russell is our Student School Board Rep for tonight's meeting, representing all students. pic.twitter.com/C1RMxbE9oa|.@BloomingdaleSHS  senior Ashley Russell is our Student School Board Rep for tonight's meeting, representing all students. |false|920402875691319296|/HillsboroughSch/status/920402875691319296
HillsboroughSch|2017-09-12 16:42:40|1|3|After an update from TECO, Supt Eakins has moved the start of school to Monday, Sept 18, when all schools should have power.|After an update from TECO, Supt Eakins has moved the start of school to Monday, Sept 18, when all schools should have power.|false|907706048441671681|/HillsboroughSch/status/907706048441671681
HillsboroughSch|2017-10-13 06:30:00|3|3|It's not too late to join the @LynnGray88  #Walk2Run  Clinic #2!  Get registered today and get your move on!  http://bit.ly/Walk2Run10-14- 17   … pic.twitter.com/jqeakU9lra|It's not too late to join the @LynnGray88  #Walk2Run  Clinic #2!  Get registered today and get your move on!   17   … |false|918785888154456064|/HillsboroughSch/status/918785888154456064
HillsboroughSch|2017-10-27 09:04:36|8|37|Our Dual Language Academy kindergarteners are a) great learners & b) adorable! Reading   with @Jeff_Eakins  & @SusanLValdes  this morning! pic.twitter.com/w9kXevvohk  – at  Crestwood Elementary|Our Dual Language Academy kindergarteners are a) great learners & b) adorable! Reading   with @Jeff_Eakins  & @SusanLValdes  this morning!   – at  Crestwood Elementary|false|923898224137719809|/HillsboroughSch/status/923898224137719809
HillsboroughSch|2017-10-06 08:21:48|2|11|Progress Village Teaches Suicide Prevention: ACT Now!  http://ow.ly/JFjd30fGJz1   pic.twitter.com/F40eGmCtzL|Progress Village Teaches Suicide Prevention: ACT Now!     |false|916277308369129472|/HillsboroughSch/status/916277308369129472
HillsboroughSch|2017-10-15 14:05:07|12|8|Join us for a district-wide Puerto Rico's Monetary Relief from Mon, Oct. 9 - Fri, Oct. 20. Learn more:  http://bit.ly/2y0M4yt    #HCPSGIVES pic.twitter.com/WNXpw6nGG8|Join us for a district-wide Puerto Rico's Monetary Relief from Mon, Oct. 9 - Fri, Oct. 20. Learn more:      #HCPSGIVES |false|919625196004413440|/HillsboroughSch/status/919625196004413440
HillsboroughSch|2017-09-30 12:45:07|5|12|HCPS laces up to celebrate Walk to School Day on October 4th  http://ow.ly/vDoH30fwVkw  |HCPS laces up to celebrate Walk to School Day on October 4th    |false|914169245700943874|/HillsboroughSch/status/914169245700943874
HillsboroughSch|2017-09-12 14:32:16|0|1|Got it! You should contact your direct supervisor or site administrator for directions. Stay safe!|Got it! You should contact your direct supervisor or site administrator for directions. Stay safe!|false|907673229799706626|/HillsboroughSch/status/907673229799706626
HillsboroughSch|2017-09-11 00:26:14|4|7|Right now, school is closed through Tuesday. Supt Eakins will assess the damage & impact of Irma and decide when schools will reopen.|Right now, school is closed through Tuesday. Supt Eakins will assess the damage & impact of Irma and decide when schools will reopen.|false|907097930259206144|/HillsboroughSch/status/907097930259206144
HillsboroughSch|2017-09-12 16:37:23|0|4|We are reviewing options to make up the missed days. We are aiming to have a plan in place in the near future.|We are reviewing options to make up the missed days. We are aiming to have a plan in place in the near future.|false|907704718167867392|/HillsboroughSch/status/907704718167867392
HillsboroughSch|2017-09-05 08:05:09|10|25|Of 4,300 magnet schools in the country, only 55 are nationally certified- including six here in Hillsborough County.  http://ow.ly/XhbD30eQ8mE   pic.twitter.com/80fwclznS7|Of 4,300 magnet schools in the country, only 55 are nationally certified- including six here in Hillsborough County.     |false|905039092722933767|/HillsboroughSch/status/905039092722933767
HillsboroughSch|2017-10-18 12:53:19|1|5|# STEMtastic  news for #STEMtober ! https://twitter.com/mrsditarando/s tatus/920690831190888454   …|# STEMtastic  news for #STEMtober !  tatus/920690831190888454   …|false|920694293009960960|/HillsboroughSch/status/920694293009960960
