'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
LAPDHQ|2017-10-18 20:21:50|5|11|# ICYMI : #LAPD  press conference regarding a recent school threat over social media and #EndItDontSendIt  campaign  https://www. facebook.com/lapdhq/videos/ 1878526792176188/   … pic.twitter.com/0Kth6YtVig|# ICYMI : #LAPD  press conference regarding a recent school threat over social media and #EndItDontSendIt  campaign   facebook.com/lapdhq/videos/ 1878526792176188/   … |false|920807163475275776|/LAPDHQ/status/920807163475275776
LAPDHQ|2017-10-30 11:55:11|0|0|Sometimes money is returned to the arrested person & other times, if approved by the DA’s Office & judge, goes through Asset Forfeiture|Sometimes money is returned to the arrested person & other times, if approved by the DA’s Office & judge, goes through Asset Forfeiture|false|925028316947537920|/LAPDHQ/status/925028316947537920
LAPDHQ|2017-10-26 15:37:33|12|15|# LAPD  Safety Tip #5: #Halloween  is 5 days away.  Make sure you & your kids are safe while they are having fun getting lots of candies! pic.twitter.com/eLEbEU8cZF|# LAPD  Safety Tip #5: #Halloween  is 5 days away.  Make sure you & your kids are safe while they are having fun getting lots of candies! |false|923634724630753280|/LAPDHQ/status/923634724630753280
LAPDHQ|2017-10-21 12:51:05|31|58|We are aware of social media posts regarding enforcement activity at a local taco stand. We can confirm no #LAPD  involvement in this matter|We are aware of social media posts regarding enforcement activity at a local taco stand. We can confirm no #LAPD  involvement in this matter|false|921780894720974849|/LAPDHQ/status/921780894720974849
LAPDHQ|2017-10-28 15:46:00|13|11|Serial burglar wanted by #LAPD  West LA Division caught on camera without his usual ski mask. Visit  http://bit.ly/2yV3qeB    for details/video pic.twitter.com/HXC9G7XHkO|Serial burglar wanted by #LAPD  West LA Division caught on camera without his usual ski mask. Visit      for details/video |false|924361626601406464|/LAPDHQ/status/924361626601406464
LAPDHQ|2017-10-22 15:00:29|18|38|# LAPD  Safety Tip #3: #Halloween2017  is 9 days away.  Make sure you & your kids are safe while they are having fun getting lots of candies pic.twitter.com/6KJaXBsmkA|# LAPD  Safety Tip #3: #Halloween2017  is 9 days away.  Make sure you & your kids are safe while they are having fun getting lots of candies |false|922175845258682368|/LAPDHQ/status/922175845258682368
LAPDHQ|2017-10-19 16:44:22|4|23|# LAPD  Remembering Our Fallen Sergeant John Francis Toolen EOW 10/19/1915 @ODMP  @NLEOMF   http://bit.ly/2dSnWDc   pic.twitter.com/dPeLUcF4pk|# LAPD  Remembering Our Fallen Sergeant John Francis Toolen EOW 10/19/1915 @ODMP  @NLEOMF      |false|921114823949041664|/LAPDHQ/status/921114823949041664
LAPDHQ|2017-10-26 17:03:43|8|42|Today #LAPD  hosted a luncheon in honor of our civilian employees. TY 4 all you do. We couldn't do what we do w/o you #CivilianAppreciation pic.twitter.com/OQLxoX4svS|Today #LAPD  hosted a luncheon in honor of our civilian employees. TY 4 all you do. We couldn't do what we do w/o you #CivilianAppreciation |false|923656410063298560|/LAPDHQ/status/923656410063298560
LAPDHQ|2017-09-20 21:10:02|25|36|# LAPD  News: Narco Lab Unit at scene of an explosion at a Canoga Park residence. Ongoing investigation as to cause. Fortunately no injuries. pic.twitter.com/9ODCb9OPqw|# LAPD  News: Narco Lab Unit at scene of an explosion at a Canoga Park residence. Ongoing investigation as to cause. Fortunately no injuries. |false|910672436051402752|/LAPDHQ/status/910672436051402752
LAPDHQ|2017-10-21 19:22:39|37|118|Tonight’s #ALCS  Game 7 determines the @Dodgers  #WorldSeries  opponent. Whichever team it is, we ask all fans to treat each other with RESPECT pic.twitter.com/2su7qoQTpA|Tonight’s #ALCS  Game 7 determines the @Dodgers  #WorldSeries  opponent. Whichever team it is, we ask all fans to treat each other with RESPECT |false|921879433132130306|/LAPDHQ/status/921879433132130306
