'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
Mayor_Jacobs|2017-09-10 12:26:45|4|7|Curbside residential yard waste pick up has ceased operations. @OrangeCoFL  landfill and transfer stations have closed until after the storm.|Curbside residential yard waste pick up has ceased operations. @OrangeCoFL  landfill and transfer stations have closed until after the storm.|false|906916867654275073|/Mayor_Jacobs/status/906916867654275073
Mayor_Jacobs|2017-09-08 22:09:47|11|47|As we prepare for the potential impact of #HurricaneIrma , let us keep the people of #Chiapas , #Mexico  in our prayers.|As we prepare for the potential impact of #HurricaneIrma , let us keep the people of #Chiapas , #Mexico  in our prayers.|false|906338818680336385|/Mayor_Jacobs/status/906338818680336385
Mayor_Jacobs|2017-10-09 18:35:32|7|14|Mayor Jacobs joins the community for the @onePULSEorg  Town Hall Forum to discuss onePulse memorial plans. #OrlandoUnited pic.twitter.com/QOIHpoHc70|Mayor Jacobs joins the community for the @onePULSEorg  Town Hall Forum to discuss onePulse memorial plans. #OrlandoUnited |false|917518920768282624|/Mayor_Jacobs/status/917518920768282624
Mayor_Jacobs|2017-09-02 13:00:02|0|2|Mayor Jacobs and @ncsinformation  will host the 2017 Florida Simulation Summit on Sept. 7 at @OCCC . Register:  http://bit.ly/OCFLFSS2017    #FLSim pic.twitter.com/O5IsdWAPeC|Mayor Jacobs and @ncsinformation  will host the 2017 Florida Simulation Summit on Sept. 7 at @OCCC . Register:      #FLSim |false|904026141257846786|/Mayor_Jacobs/status/904026141257846786
Mayor_Jacobs|2017-09-12 17:05:27|3|2|The @OrangeCoFL  landfill is open and is operating under regular business hours.  http://www. ocfl.net/greenclean    #Irma|The @OrangeCoFL  landfill is open and is operating under regular business hours.   ocfl.net/greenclean    #Irma|false|907711778855022592|/Mayor_Jacobs/status/907711778855022592
Mayor_Jacobs|2017-09-28 14:32:16|0|3|As we continue to celebrate #HispanicHeritageMonth  watch a recap of @OrangeCoFL 's recent Kick-Off Ceremony: https://youtu.be/8Jq1EO1gkzI  |As we continue to celebrate #HispanicHeritageMonth  watch a recap of @OrangeCoFL 's recent Kick-Off Ceremony:   |false|913471435829600257|/Mayor_Jacobs/status/913471435829600257
Mayor_Jacobs|2017-09-06 14:28:25|5|2|.@OrangeCoFL  residents with special medical needs may visit,  http://www. ocfl.net/emergencymedic al   … . #Irma  #HurricaneIrma|.@OrangeCoFL  residents with special medical needs may visit,   ocfl.net/emergencymedic al   … . #Irma  #HurricaneIrma|false|905497932413198336|/Mayor_Jacobs/status/905497932413198336
Mayor_Jacobs|2017-10-27 16:00:50|4|13|Watch a recap of Mayor Jacobs' Millennial Lifestyle Workshop featuring local millennial community leaders and young professionals. pic.twitter.com/mVRL03XSl2|Watch a recap of Mayor Jacobs' Millennial Lifestyle Workshop featuring local millennial community leaders and young professionals. |false|924002973537193986|/Mayor_Jacobs/status/924002973537193986
Mayor_Jacobs|2017-10-17 17:58:28|5|47|Excited to welcome @AndrettiOrlando  to @OrangeCoFL ! pic.twitter.com/cbS0NYUJN5|Excited to welcome @AndrettiOrlando  to @OrangeCoFL ! |false|920408695690981377|/Mayor_Jacobs/status/920408695690981377
Mayor_Jacobs|2017-10-12 17:05:20|1|2|Looking forward to engaging with local millennials as we discuss housing, transportation and sustainability in @OrangeCoFL . #CFLHousing https://twitter.com/orangecofl/sta tus/918568814727581697   …|Looking forward to engaging with local millennials as we discuss housing, transportation and sustainability in @OrangeCoFL . #CFLHousing  tus/918568814727581697   …|false|918583385228013568|/Mayor_Jacobs/status/918583385228013568
