username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
MiamiBeachFire|2017-09-11 10:54:35|6|10|Fire Boat 4 ready to serve our citizens on the water. Please be patient as our safety teams clear the roads #IrmaCleanUp pic.twitter.com/isBtAiuD1g|Fire Boat 4 ready to serve our citizens on the water. Please be patient as our safety teams clear the roads #IrmaCleanUp |false|907256060490199042|/MiamiBeachFire/status/907256060490199042||||
MiamiBeachFire|2017-09-07 22:54:15|0|1|Thank you!|Thank you!|false|905987618097246208|/MiamiBeachFire/status/905987618097246208||||
MiamiBeachFire|2017-09-13 10:23:59|4|3|Please help us, as we help the citizens of the Florida Keys! https://twitter.com/jamienbc6/stat us/907969584405381125   …|Please help us, as we help the citizens of the Florida Keys!  us/907969584405381125   …|false|907973133965123585|/MiamiBeachFire/status/907973133965123585||||
MiamiBeachFire|2017-09-29 11:10:43|0|16|Thank you @Publix  for showing love to our crew at Station 4  pic.twitter.com/UtHDUo8hiA|Thank you @Publix  for showing love to our crew at Station 4  |false|913783101603696641|/MiamiBeachFire/status/913783101603696641||||
MiamiBeachFire|2017-09-14 12:02:42|5|9|Residents from @VillKeyBiscayne  even made their way to the City to drop off goods to take down to @thefloridakeys ! #IrmaCleanUp pic.twitter.com/ByxBciCkYq|Residents from @VillKeyBiscayne  even made their way to the City to drop off goods to take down to @thefloridakeys ! #IrmaCleanUp |false|908360364441702402|/MiamiBeachFire/status/908360364441702402||||
MiamiBeachFire|2017-10-30 15:46:50|6|6|Traffic has reopened on Washington Ave https://twitter.com/miamibeachfire /status/925068994046021632   …|Traffic has reopened on Washington Ave  /status/925068994046021632   …|false|925086615038513152|/MiamiBeachFire/status/925086615038513152||||
MiamiBeachFire|2017-09-08 13:02:35|1|0|Hey @BrowardCounty  & @ReadyBroward  can you help out?|Hey @BrowardCounty  & @ReadyBroward  can you help out?|false|906201107399143424|/MiamiBeachFire/status/906201107399143424||||
MiamiBeachFire|2017-09-08 19:10:54|0|1|Thank you!|Thank you!|false|906293797251932161|/MiamiBeachFire/status/906293797251932161||||
MiamiBeachFire|2017-09-08 07:52:54|7|18|Our re-entry teams are in place & ready w/ boats, fire engines & rescue trucks. Your MBFD is #IrmaReady !|Our re-entry teams are in place & ready w/ boats, fire engines & rescue trucks. Your MBFD is #IrmaReady !|false|906123174160584704|/MiamiBeachFire/status/906123174160584704||||
MiamiBeachFire|2017-09-12 11:37:52|56|122|The beach is open & our Ocean Rescue are back at their lifeguard towers! #OurCityOurHome pic.twitter.com/uLUJTJj3ur|The beach is open & our Ocean Rescue are back at their lifeguard towers! #OurCityOurHome |false|907629342141947906|/MiamiBeachFire/status/907629342141947906||||
MiamiBeachFire|2017-09-09 17:10:35|0|2|Thank you!|Thank you!|false|906625909947551745|/MiamiBeachFire/status/906625909947551745||||
MiamiBeachFire|2017-09-12 21:09:08|50|53|Want to give this kitten a good home? Stop by Fire Station 1! https://twitter.com/miamibeachfire /status/907772916078702592   …|Want to give this kitten a good home? Stop by Fire Station 1!  /status/907772916078702592   …|false|907773105501765632|/MiamiBeachFire/status/907773105501765632||||
MiamiBeachFire|2017-09-08 11:58:16|8|12|'Chief Fernandez talking with @LesterHoltNBC  from @NBCNightlyNews  on MBFD''s preparations for #HurricaneIrma pic.twitter.com/am0FBCZp8y'|'Chief Fernandez talking with @LesterHoltNBC  from @NBCNightlyNews  on MBFD''s preparations for #HurricaneIrma '|false|906184924268507137|/MiamiBeachFire/status/906184924268507137||||
MiamiBeachFire|2017-09-12 21:08:23|79|116|Kitten rescue today. She was stuck btwn a window & trashcan hiding from #HurricaneIrma . pic.twitter.com/7YLcGcCVwH|Kitten rescue today. She was stuck btwn a window & trashcan hiding from #HurricaneIrma . |false|907772916078702592|/MiamiBeachFire/status/907772916078702592||||
MiamiBeachFire|2017-09-11 08:02:57|15|76|'From our family to yours, we promise you Miami Beach we''re working hard to get you back into your homes quickly & safely. pic.twitter.com/BP46zvl11S'|'From our family to yours, we promise you Miami Beach we''re working hard to get you back into your homes quickly & safely. '|false|907212866075447297|/MiamiBeachFire/status/907212866075447297||||
