username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
miamiparks|2017-10-13 16:00:02|0|3|It’s coming up fast! Join us on October 16th at #DuartePark  to discuss the budget pic.twitter.com/JgrJSR0QHO|It’s coming up fast! Join us on October 16th at #DuartePark  to discuss the budget |false|918929339248529414|/miamiparks/status/918929339248529414||||
miamiparks|2017-10-26 10:08:17|0|1|'Did you miss the Teen Talk last night? Tomorrow''s the last one at #WestEndPark   at 4:00pm pic.twitter.com/RtWfgK56Cs'|'Did you miss the Teen Talk last night? Tomorrow''s the last one at #WestEndPark   at 4:00pm '|false|923551860883156992|/miamiparks/status/923551860883156992||||
miamiparks|2017-10-02 10:27:57|0|2|Morningside is reopening with restricted access due to ongoing recovery efforts from Hurricane Irma. We ask that you are mindful of debris.|Morningside is reopening with restricted access due to ongoing recovery efforts from Hurricane Irma. We ask that you are mindful of debris.|false|914859503170015232|/miamiparks/status/914859503170015232||||
miamiparks|2017-09-19 07:00:03|23|13|Today through Thursday the King Tides are expected. Please be alert and prepare for flooding if you live in a low lying area. @miamidade311 pic.twitter.com/NWIHvXbwsq|Today through Thursday the King Tides are expected. Please be alert and prepare for flooding if you live in a low lying area. @miamidade311 |false|910096142943215616|/miamiparks/status/910096142943215616||||
miamiparks|2017-09-21 10:47:23|12|12|We are looking for volunteers for #HurricaneIrma  park cleanups. 9/23 from 8a-12p. To signup, go to Eventbrite or contact us at 305-416-1300 pic.twitter.com/9OVdpcb49h|We are looking for volunteers for #HurricaneIrma  park cleanups. 9/23 from 8a-12p. To signup, go to Eventbrite or contact us at 305-416-1300 |false|910878127068532736|/miamiparks/status/910878127068532736||||
miamiparks|2017-09-28 11:40:01|5|23|New playground coming soon to #westendpark pic.twitter.com/cYY1W1QQXj|New playground coming soon to #westendpark |false|913428088129802241|/miamiparks/status/913428088129802241||||
miamiparks|2017-10-02 09:40:19|0|3|Information on Parks reopening #ParksPeoplePower pic.twitter.com/bjHXVd5We3|Information on Parks reopening #ParksPeoplePower |false|914847516876734465|/miamiparks/status/914847516876734465||||
miamiparks|2017-09-06 10:34:23|1|2|For the safety of our staff and participants, we are suspending all Park Programs from 9/7-9/11 due to #HurricaneIrma|For the safety of our staff and participants, we are suspending all Park Programs from 9/7-9/11 due to #HurricaneIrma|false|905439039356104704|/miamiparks/status/905439039356104704||||
miamiparks|2017-09-29 17:20:00|15|13|# SouthFloridaKingTides  are anticipated 10/5-10/9 with the peak on 10/7. Please prepare and reach out to@miamidade311 if assistance is needed pic.twitter.com/sMOmhvdiU4|# SouthFloridaKingTides  are anticipated 10/5-10/9 with the peak on 10/7. Please prepare and reach out to@miamidade311 if assistance is needed |false|913876036458209280|/miamiparks/status/913876036458209280||||
miamiparks|2017-09-16 14:20:55|2|6|Working hard after #HurricaneIrma ! #Community  #MiamiParksFamily  @CityofMiami pic.twitter.com/yzt5b5eExL|Working hard after #HurricaneIrma ! #Community  #MiamiParksFamily  @CityofMiami |false|909119925125513216|/miamiparks/status/909119925125513216||||
miamiparks|2017-10-21 07:30:58|9|36|'It''s a beautiful day at Virginia Key Beach! Volunteer with us today from 8am-12pm and help preserve its beauty pic.twitter.com/DW6HaxQR8W'|'It''s a beautiful day at Virginia Key Beach! Volunteer with us today from 8am-12pm and help preserve its beauty '|false|921700334304669696|/miamiparks/status/921700334304669696|VA|37.1232245|-78.4927721|180.67107514204758
miamiparks|2017-10-16 14:54:27|2|2|Saturday, 10/28 8a-12p, we are hosting a cleanup with @MiamiZerowaste  and @DHTrust  at the City Cemetery #ParksPeoplePower pic.twitter.com/Eu5r8JgSsu|Saturday, 10/28 8a-12p, we are hosting a cleanup with @MiamiZerowaste  and @DHTrust  at the City Cemetery #ParksPeoplePower |false|919999998447751168|/miamiparks/status/919999998447751168||||
miamiparks|2017-10-23 15:05:32|2|11|Our Special Olympics Team practiced their softball skills at Marlins Stadium today! #SandraDeLuccaCenter  #Service4All pic.twitter.com/i4i6RNuR7T|Our Special Olympics Team practiced their softball skills at Marlins Stadium today! #SandraDeLuccaCenter  #Service4All |false|922539506628210688|/miamiparks/status/922539506628210688||||
miamiparks|2017-09-15 10:50:57|11|47|# HurricaneIrma  didn’t destroy our smiles. We can’t wait to open and serve our community @CityofMiami  #cleanupeffort pic.twitter.com/fQKPrMnCzb|# HurricaneIrma  didn’t destroy our smiles. We can’t wait to open and serve our community @CityofMiami  #cleanupeffort |false|908704696923299842|/miamiparks/status/908704696923299842||||
miamiparks|2017-10-17 06:22:01|6|1|Today through Saturday the King Tides are expected. Please be alert and prepare for flooding if you live in a low lying area. @miamidade311 pic.twitter.com/fyJWubL9R1|Today through Saturday the King Tides are expected. Please be alert and prepare for flooding if you live in a low lying area. @miamidade311 |false|920233429479825408|/miamiparks/status/920233429479825408||||
miamiparks|2017-10-19 15:33:01|1|3|We hope to see you there @CityofMiami  @MiamiZerowaste  @DHTrust  #ParksPeoplePower pic.twitter.com/RjaqW6A9Ii|We hope to see you there @CityofMiami  @MiamiZerowaste  @DHTrust  #ParksPeoplePower |false|921096867894530049|/miamiparks/status/921096867894530049||||
miamiparks|2017-10-16 11:17:42|0|2|Our goal is to help people live happier, healthier lives! Check out this #free  program for #55yrs + pic.twitter.com/mFxvWzwIcv|Our goal is to help people live happier, healthier lives! Check out this #free  program for #55yrs + |false|919945453617246209|/miamiparks/status/919945453617246209||||
miamiparks|2017-09-08 18:00:00|0|1|# SouthFloridaKingTides  are anticipated 9/19-9/21 with the peak on 9/19. Please prepare and reach out to@miamidade311 if assistance is needed pic.twitter.com/Mj4htCxgsc|# SouthFloridaKingTides  are anticipated 9/19-9/21 with the peak on 9/19. Please prepare and reach out to@miamidade311 if assistance is needed |false|906275956100218880|/miamiparks/status/906275956100218880||||
miamiparks|2017-10-12 14:48:09|5|9|Did you want to learn about living a healthier, happier life as an older adult? Join us on October 17th #55yrs + #Free pic.twitter.com/67PIrPlZJ5|Did you want to learn about living a healthier, happier life as an older adult? Join us on October 17th #55yrs + #Free |false|918548863438458880|/miamiparks/status/918548863438458880||||
miamiparks|2017-10-24 08:58:10|1|1|We loved partnering with the Y.E.S Club in the restoration of Simpson Park! Shout-out to Juan Fernandez for spearheading the partnership pic.twitter.com/fsmeN8nVY9|We loved partnering with the Y.E.S Club in the restoration of Simpson Park! Shout-out to Juan Fernandez for spearheading the partnership |false|922809440360951809|/miamiparks/status/922809440360951809||||
miamiparks|2017-10-17 16:01:44|0|2|Did you miss the meeting at #DuartePark  last night? Tonight at #VirrickPark  is another session pic.twitter.com/GOAtBU9Edu|Did you miss the meeting at #DuartePark  last night? Tonight at #VirrickPark  is another session |false|920379320178282496|/miamiparks/status/920379320178282496||||
miamiparks|2017-09-06 15:42:49|0|1|Tomorrow 9/7, all @CityofMiami  Pools will be closed until after #HurricaneIrma  & conditions have been reviewed to ensure users’ safety pic.twitter.com/EfFJ55JcPC|Tomorrow 9/7, all @CityofMiami  Pools will be closed until after #HurricaneIrma  & conditions have been reviewed to ensure users’ safety |false|905516658889981952|/miamiparks/status/905516658889981952||||
