username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
NASAEarth|2017-10-31 11:24:50|18|49|A close look at some @dscovr_epic  images shows mysterious flares of light, caused by ice crystals in the atmosphere: https://go.nasa.gov/2qpxCdo  |A close look at some @dscovr_epic  images shows mysterious flares of light, caused by ice crystals in the atmosphere:   |false|925383068051017728|/NASAEarth/status/925383068051017728||||
NASAEarth|2017-10-01 10:00:03|87|145|Australian Winter Was Unusually Warm and Dry  https://go.nasa.gov/2yhKs4r    #NASA pic.twitter.com/vOssiSA4tm|Australian Winter Was Unusually Warm and Dry      #NASA |false|914490093313957888|/NASAEarth/status/914490093313957888||||
NASAEarth|2017-09-06 10:00:03|41|60|Fires near the Montana-Canada Border  https://go.nasa.gov/2gLEBwy    #NASA pic.twitter.com/sWhqMbYUtS|Fires near the Montana-Canada Border      #NASA |false|905430397437267969|/NASAEarth/status/905430397437267969||||
NASAEarth|2017-09-27 15:17:27|18|43|Searching for the Bluest Blue, an #EarthExpedition  blog from the South Pacific:  https://blogs.nasa.gov/earthexpeditio ns/2017/09/27/searching-for-the-bluest-blue/   … pic.twitter.com/Iage5vqrqg|Searching for the Bluest Blue, an #EarthExpedition  blog from the South Pacific:   ns/2017/09/27/searching-for-the-bluest-blue/   … |false|913120417509892096|/NASAEarth/status/913120417509892096||||
NASAEarth|2017-10-11 10:43:06|18|34|Have questions? #AskNASA  and follow @NASAJPL  for answers on Thursday, Oct. 12. https://twitter.com/NASAJPL/status /917830661477621760   …|Have questions? #AskNASA  and follow @NASAJPL  for answers on Thursday, Oct. 12.  /917830661477621760   …|false|918124805102084096|/NASAEarth/status/918124805102084096||||
NASAEarth|2017-10-15 10:00:03|69|181|Connecticut River Oxbow  https://go.nasa.gov/2gHEb7N    #NASA pic.twitter.com/O0kx3WWw76|Connecticut River Oxbow      #NASA |false|919563523138650114|/NASAEarth/status/919563523138650114|CT|41.6500201|-72.7342163|63.200546008201734
NASAEarth|2017-09-05 15:32:34|14|39|Drifters that float & floats that sink: an #EarthExpedition  blog from the North Atlantic  https://blogs.nasa.gov/earthexpeditio ns/2017/09/01/drifters-that-float-and-floats-that-sink/   … pic.twitter.com/NPPBt2OOih|Drifters that float & floats that sink: an #EarthExpedition  blog from the North Atlantic   ns/2017/09/01/drifters-that-float-and-floats-that-sink/   … |false|905151691464388609|/NASAEarth/status/905151691464388609||||
NASAEarth|2017-10-10 14:00:03|148|107|Explosive Fires in Northern California  https://go.nasa.gov/2i1ibbm    #NASA pic.twitter.com/F3FgUSnTb0|Explosive Fires in Northern California      #NASA |false|917811981297516544|/NASAEarth/status/917811981297516544|CA|36.7014631|-118.7559974|358.57430104148074
NASAEarth|2017-09-08 11:26:26|461|436|# GOES16  sees three hurricanes: #Katia , #Irma  and #Jose .  https://go.nasa.gov/2wTNUkL   pic.twitter.com/Mu1oNctUvk|# GOES16  sees three hurricanes: #Katia , #Irma  and #Jose .     |false|906176911256109056|/NASAEarth/status/906176911256109056||||
NASAEarth|2017-09-20 16:51:24|30|80|Making It Work in the Field with ORACLES — a new #EarthExpedition  blog  https://blogs.nasa.gov/earthexpeditio ns/2017/09/20/making-it-work-in-the-field-with-oracles/   … pic.twitter.com/yXULFVorjw|Making It Work in the Field with ORACLES — a new #EarthExpedition  blog   ns/2017/09/20/making-it-work-in-the-field-with-oracles/   … |false|910607345931059200|/NASAEarth/status/910607345931059200||||
NASAEarth|2017-09-07 12:27:36|23|39|LIVE today at 1 pm! Watch here:  http://www. facebook.com/nasa   pic.twitter.com/JuiRFD1fYy|LIVE today at 1 pm! Watch here:   facebook.com/nasa   |false|905829917253931008|/NASAEarth/status/905829917253931008||||
NASAEarth|2017-10-31 10:00:02|20|46|The Amazon Makes its Own Wet Season  https://go.nasa.gov/2hrQXaT    #NASA pic.twitter.com/RM9TUJVOCo|The Amazon Makes its Own Wet Season      #NASA |false|925361726396223488|/NASAEarth/status/925361726396223488||||
NASAEarth|2017-09-08 14:50:02|32|115|Darkness Blooms  https://go.nasa.gov/2f8o81J    #NASA pic.twitter.com/g9d5bYt4E2|Darkness Blooms      #NASA |false|906228151868682240|/NASAEarth/status/906228151868682240||||
NASAEarth|2017-09-16 15:00:01|98|163|.@NASA_ICE  is surveying some of the fastest-melting areas in Greenland. pic.twitter.com/4qibWEgOGV|.@NASA_ICE  is surveying some of the fastest-melting areas in Greenland. |false|909129766749577216|/NASAEarth/status/909129766749577216||||
NASAEarth|2017-09-08 14:00:02|2337|3993|A Cauldron of Hurricanes   https://go.nasa.gov/2fa1Z36    #NASA pic.twitter.com/XZIDRnUS7N|A Cauldron of Hurricanes       #NASA |false|906215567245365249|/NASAEarth/status/906215567245365249||||
NASAEarth|2017-10-03 15:25:08|70|156|'Space-based study by NASA and university scientists reveals conservation helped Silicon Valley''s aquifer rebound.  https://go.nasa.gov/2xOJwDL   pic.twitter.com/L0akozdx9k'|'Space-based study by NASA and university scientists reveals conservation helped Silicon Valley''s aquifer rebound.     '|false|915296680332763137|/NASAEarth/status/915296680332763137||||
NASAEarth|2017-09-12 11:27:17|76|120|# Irma ’s heavy rainfall calculated: >20 inches seen over Cuba.  https://go.nasa.gov/2wTNUkL   pic.twitter.com/7xkCeAUy4P|# Irma ’s heavy rainfall calculated: >20 inches seen over Cuba.     |false|907626678020534272|/NASAEarth/status/907626678020534272||||
NASAEarth|2017-09-11 10:00:02|67|158|Hurricane Irma Strikes Florida  https://go.nasa.gov/2fe0LEj    #NASA pic.twitter.com/2GQaHcOWYg|Hurricane Irma Strikes Florida      #NASA |false|907242331920846849|/NASAEarth/status/907242331920846849|FL|27.7567667|-81.4639835|210.85168210265104
NASAEarth|2017-11-01 10:00:03|58|126|Finding Life in the Benguela Current  https://go.nasa.gov/2iRAb8C    #NASA pic.twitter.com/HqKIgmxaTD|Finding Life in the Benguela Current      #NASA |false|925724118649135106|/NASAEarth/status/925724118649135106||||
