username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
NationalGuard|2017-10-10 13:09:33|13|24|Always ready, always there. @theCAGuard  dispatched 3 medevac helicopters and 100 military police officers to battle the raging #wildfires . https://twitter.com/ABC/status/917 732574507581442   …|Always ready, always there. @theCAGuard  dispatched 3 medevac helicopters and 100 military police officers to battle the raging #wildfires .  732574507581442   …|false|917799276226531328|/NationalGuard/status/917799276226531328||||
NationalGuard|2017-10-06 15:25:08|11|53|The #APFT  is designed to ensure the maintenance of a base level of physical fitness essential for every #Soldier . Tell us your max score! pic.twitter.com/glvTWkkNTD|The #APFT  is designed to ensure the maintenance of a base level of physical fitness essential for every #Soldier . Tell us your max score! |false|916383842633748481|/NationalGuard/status/916383842633748481||||
NationalGuard|2017-09-26 11:41:21|1|1|You got it!|You got it!|false|912703648391745537|/NationalGuard/status/912703648391745537||||
NationalGuard|2017-09-19 10:29:24|8|35|'Soldiers from the 91st Cyber Brigade receive new sleeve insignia - they are ARNG''s first cyber brigade. DM us for details on #cyber  careers. pic.twitter.com/FKa9svPYxb'|'Soldiers from the 91st Cyber Brigade receive new sleeve insignia - they are ARNG''s first cyber brigade. DM us for details on #cyber  careers. '|false|910148826710921216|/NationalGuard/status/910148826710921216||||
NationalGuard|2017-09-06 16:34:15|13|38|'It is #ReadABookDay ! We''d suggest: "The Soldier''s Blue Book." Read it cover to cover and keep it with you at BCT.   pic.twitter.com/mwPTFc4pPP'|'It is #ReadABookDay ! We''d suggest: "The Soldier''s Blue Book." Read it cover to cover and keep it with you at BCT.   '|false|905529603179114497|/NationalGuard/status/905529603179114497||||
NationalGuard|2017-10-14 18:28:55|0|1|Great picture!!|Great picture!!|false|919329195313979392|/NationalGuard/status/919329195313979392||||
NationalGuard|2017-10-16 16:46:44|0|1|Thank you for your support!!|Thank you for your support!!|false|920028257558216706|/NationalGuard/status/920028257558216706||||
NationalGuard|2017-09-07 22:59:27|30|71|With #HurricaneIrma  rolling into #Florida , the @FLGuard  is prepared to help those in need by land, air, and sea.  https://twitter.com/flguard/status /905887994929872896   …|With #HurricaneIrma  rolling into #Florida , the @FLGuard  is prepared to help those in need by land, air, and sea.   /905887994929872896   …|false|905988927709999104|/NationalGuard/status/905988927709999104||||
NationalGuard|2017-10-17 13:10:04|48|138|# Humvee  Egress Assistance Training helps prepare Guard #Soldiers  for the unexpected. Have you been through the HEAT? If not, DM us. pic.twitter.com/ESGsdwdrn5|# Humvee  Egress Assistance Training helps prepare Guard #Soldiers  for the unexpected. Have you been through the HEAT? If not, DM us. |false|920336119778168833|/NationalGuard/status/920336119778168833||||
NationalGuard|2017-10-23 19:05:08|12|43|The ones who are crazy enough to think they can change the world, are the ones that usually do. Make a difference, DM us. #MondayMotivation pic.twitter.com/oxJ1pc1k4w|The ones who are crazy enough to think they can change the world, are the ones that usually do. Make a difference, DM us. #MondayMotivation |false|922599803284086785|/NationalGuard/status/922599803284086785||||
NationalGuard|2017-10-25 19:15:19|5|29|A small arms/artillery repairer with the @MEARNG  disassembles a M2 50 Caliber Machine Gun. If you can do the same, reach out to us. pic.twitter.com/5JPnj00OVw|A small arms/artillery repairer with the @MEARNG  disassembles a M2 50 Caliber Machine Gun. If you can do the same, reach out to us. |false|923327139482689536|/NationalGuard/status/923327139482689536||||
NationalGuard|2017-09-28 18:45:36|18|37|'# Medics  train on life-saving measures to make sure they''re ready to #help  anyone at any time. Ask us how you can get #medical  training. pic.twitter.com/gU3xcxvzlm'|'# Medics  train on life-saving measures to make sure they''re ready to #help  anyone at any time. Ask us how you can get #medical  training. '|false|913535189858553856|/NationalGuard/status/913535189858553856||||
NationalGuard|2017-10-16 14:25:09|33|61|Want to get paid to drive huge machines? consider MOS 12N: Horizontal Construction Engineer in the Guard. Find more:  http://bit.ly/2gdFRoB   pic.twitter.com/tCo8ukTKFJ|Want to get paid to drive huge machines? consider MOS 12N: Horizontal Construction Engineer in the Guard. Find more:     |false|919992625347858432|/NationalGuard/status/919992625347858432||||
NationalGuard|2017-09-12 12:59:29|8|27|'Skip #VideoGamesDay  on your couch and try one of the #NationalGuard ''s virtual trainers instead. Send us a message to get started.  pic.twitter.com/g0U976HaPM'|'Skip #VideoGamesDay  on your couch and try one of the #NationalGuard ''s virtual trainers instead. Send us a message to get started.  '|false|907649878616133637|/NationalGuard/status/907649878616133637||||
NationalGuard|2017-10-13 15:40:14|11|53|'A #Soldier  proceeds through a combination of thick smoke, tear gas and razor wire. If you''re #GuardStrong , reach out to us to learn more. pic.twitter.com/JSoCRL6Gat'|'A #Soldier  proceeds through a combination of thick smoke, tear gas and razor wire. If you''re #GuardStrong , reach out to us to learn more. '|false|918924357480697856|/NationalGuard/status/918924357480697856||||
NationalGuard|2017-09-26 17:45:04|17|34|Never stop practicing. One way to test your skills is through a competition. Want to become a trained marksman? http://bit.ly/2wRMPWt   pic.twitter.com/TBux3fx6Xz|Never stop practicing. One way to test your skills is through a competition. Want to become a trained marksman?    |false|912795181572923392|/NationalGuard/status/912795181572923392||||
NationalGuard|2017-10-25 12:30:22|12|47|'Yesterday, you said tomorrow. What''s holding you back? Reach out to us if you''re looking to find a #recruiter . #WednesdayWisdom pic.twitter.com/xBZrjSWFxl'|'Yesterday, you said tomorrow. What''s holding you back? Reach out to us if you''re looking to find a #recruiter . #WednesdayWisdom '|false|923225231208189952|/NationalGuard/status/923225231208189952||||
NationalGuard|2017-10-03 14:15:11|14|34|Watch and listen as #tanks  and #helicopters  execute an ambush. Want to be a part of a #mission  like this? Start at:  http://bit.ly/2xMSOxz   pic.twitter.com/8XRy7YFzVX|Watch and listen as #tanks  and #helicopters  execute an ambush. Want to be a part of a #mission  like this? Start at:     |false|915279076704874496|/NationalGuard/status/915279076704874496||||
NationalGuard|2017-10-14 18:28:53|8|36|Sounds like a successful drill weekend!  https://twitter.com/mynameisraph/s tatus/919324784940539904   …|Sounds like a successful drill weekend!   tatus/919324784940539904   …|false|919329186954797056|/NationalGuard/status/919329186954797056||||
NationalGuard|2017-09-12 13:25:27|3|12|Give us an answer to this practice #ASVAB  question and reach out to learn about next steps:  http://bit.ly/2xr8dqg   pic.twitter.com/iBrFw00uMu|Give us an answer to this practice #ASVAB  question and reach out to learn about next steps:     |false|907656415736684546|/NationalGuard/status/907656415736684546||||
NationalGuard|2017-10-12 18:00:16|0|1|@ AZNationalGuard  #Infantrymen  assault through an objective after popping smoke during a field training exercise. Could you do the same? pic.twitter.com/ThL2Lz3NwU|@ AZNationalGuard  #Infantrymen  assault through an objective after popping smoke during a field training exercise. Could you do the same? |false|918597210618712064|/NationalGuard/status/918597210618712064||||
