'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
NWSKeyWest|2017-09-14 01:00:12|19|34|Only a few isolated showers remain well off shore overnight tonight. These are expected to dissipate in the next few hours. #flwx pic.twitter.com/4xbcY7HdeF|Only a few isolated showers remain well off shore overnight tonight. These are expected to dissipate in the next few hours. #flwx |false|908193643160379392|/NWSKeyWest/status/908193643160379392
NWSKeyWest|2017-10-02 14:48:00|5|14|Tea Table NOAA Weather Radio broadcast is now back in service! Thank you for your patience during this extended outage! #FLwx  #FLKeys|Tea Table NOAA Weather Radio broadcast is now back in service! Thank you for your patience during this extended outage! #FLwx  #FLKeys|false|914924946601758722|/NWSKeyWest/status/914924946601758722
NWSKeyWest|2017-09-29 14:37:45|20|7|Locally heavy rainfall remains possible, use caution as roads may flood easier due to storm debris. #FLwx  #FLKeys  #KeyWest pic.twitter.com/b3aRdJ1RKm|Locally heavy rainfall remains possible, use caution as roads may flood easier due to storm debris. #FLwx  #FLKeys  #KeyWest |false|913835202245521408|/NWSKeyWest/status/913835202245521408
NWSKeyWest|2017-09-09 15:39:38|0|1|Unfortunately we do not.|Unfortunately we do not.|false|906603019172765697|/NWSKeyWest/status/906603019172765697
NWSKeyWest|2017-10-07 05:10:57|18|11|Hurricane #Nate  should continue to strengthen until it makes landfall along the northern Gulf Coast Saturday night. pic.twitter.com/wNr3DbIUxj|Hurricane #Nate  should continue to strengthen until it makes landfall along the northern Gulf Coast Saturday night. |false|916591665212788736|/NWSKeyWest/status/916591665212788736
NWSKeyWest|2017-09-09 11:13:58|260|126|Hurricane #Irma  will likely strengthen into a powerful, category 4 hurricane, before reaching the Lower #FLKeys  Sunday morning. #FLwx pic.twitter.com/PPCJ3EJu4d|Hurricane #Irma  will likely strengthen into a powerful, category 4 hurricane, before reaching the Lower #FLKeys  Sunday morning. #FLwx |false|906536161941901315|/NWSKeyWest/status/906536161941901315
NWSKeyWest|2017-09-09 07:53:14|201|112|Outer rain bands associated with #Irma  moving across the #FLKeys  this AM. #Hurricane  force gusts possible. #FLwx pic.twitter.com/FYE8TKsBnq|Outer rain bands associated with #Irma  moving across the #FLKeys  this AM. #Hurricane  force gusts possible. #FLwx |false|906485646138789888|/NWSKeyWest/status/906485646138789888
NWSKeyWest|2017-09-10 09:57:38|102|78|93 mph (81 knot) wind gust reported by the Weatherflow Mesonet station on Carysfort Reef Light at 9:35 AM EDT.|93 mph (81 knot) wind gust reported by the Weatherflow Mesonet station on Carysfort Reef Light at 9:35 AM EDT.|false|906879341283479552|/NWSKeyWest/status/906879341283479552
NWSKeyWest|2017-09-12 18:00:11|22|17|Here's the general forecast and weather hazards for the Florida Keys for tomorrow and into the weekend. pic.twitter.com/4dTvtp0ncS|Here's the general forecast and weather hazards for the Florida Keys for tomorrow and into the weekend. |false|907725553159077889|/NWSKeyWest/status/907725553159077889
NWSKeyWest|2017-10-16 08:46:02|8|8|Mostly sunny skies on tap today for the #FLKeys . Temps remain a few degrees above normal for mid-October.  http://weather.gov/key    #FLwx pic.twitter.com/gooCg6IoB3|Mostly sunny skies on tap today for the #FLKeys . Temps remain a few degrees above normal for mid-October.      #FLwx |false|919907287195627520|/NWSKeyWest/status/919907287195627520
NWSKeyWest|2017-09-09 09:06:38|294|153|Shelter of Last Resort. No services available. Go there if you feel unsafe. #Irma  #FLwx  #FLKeys __NEWLINE____NEWLINE__Coral Shores HS; (MM89.9 ocean side)__NEWLINE____NEWLINE__(1/4)|Shelter of Last Resort. No services available. Go there if you feel unsafe. #Irma  #FLwx  #FLKeys __NEWLINE____NEWLINE__Coral Shores HS; (MM89.9 ocean side)__NEWLINE____NEWLINE__(1/4)|false|906504118017171456|/NWSKeyWest/status/906504118017171456
NWSKeyWest|2017-09-13 09:56:18|0|3|This is not the NWS Key West Office.|This is not the NWS Key West Office.|false|907966169738629120|/NWSKeyWest/status/907966169738629120
NWSKeyWest|2017-09-10 13:32:43|30|22|Have seen reports of 3+ feet in storm surge from around the Keys. 5-10 feet of storm surge is possible in spots through the afternoon.|Have seen reports of 3+ feet in storm surge from around the Keys. 5-10 feet of storm surge is possible in spots through the afternoon.|false|906933466582933505|/NWSKeyWest/status/906933466582933505
NWSKeyWest|2017-10-06 23:33:23|52|32|1130pm Update: #Nate  becomes a hurricane with max winds of 75 mph. More:  http://hurricanes.gov   pic.twitter.com/JfFHSXgMmh|1130pm Update: #Nate  becomes a hurricane with max winds of 75 mph. More:     |false|916506713938948096|/NWSKeyWest/status/916506713938948096
NWSKeyWest|2017-09-11 17:45:15|109|87|Before/after Irma satellite imagery of S Florida and the Florida Keys. https://twitter.com/NWSCaribou/sta tus/907296983718748161   …|Before/after Irma satellite imagery of S Florida and the Florida Keys.  tus/907296983718748161   …|false|907359408983826432|/NWSKeyWest/status/907359408983826432
NWSKeyWest|2017-09-24 08:56:07|0|0|# Irma|# Irma|false|911937290775261184|/NWSKeyWest/status/911937290775261184
NWSKeyWest|2017-09-10 05:40:53|458|377|Extreme, hurricane-force winds are imminent in the Lower #FLKeys . If you are here, please go to interior room away from windows! #Irma|Extreme, hurricane-force winds are imminent in the Lower #FLKeys . If you are here, please go to interior room away from windows! #Irma|false|906814727120195584|/NWSKeyWest/status/906814727120195584
NWSKeyWest|2017-09-16 20:20:31|1|5|This is from @NWSMiami . The staff in Key West are still in recovery mode|This is from @NWSMiami . The staff in Key West are still in recovery mode|false|909210422250795010|/NWSKeyWest/status/909210422250795010
NWSKeyWest|2017-09-13 10:12:53|1|3|Mike...can you give approx location|Mike...can you give approx location|false|907970342479650816|/NWSKeyWest/status/907970342479650816
NWSKeyWest|2017-10-11 09:31:07|33|29|108 years ago today, a category 3 hurricane made landfall near Long Key, with max sustained winds of around 115 mph. #FLwx  #FLKeys  #KeyWest pic.twitter.com/rboxF0xjT5|108 years ago today, a category 3 hurricane made landfall near Long Key, with max sustained winds of around 115 mph. #FLwx  #FLKeys  #KeyWest |false|918106692419772416|/NWSKeyWest/status/918106692419772416
NWSKeyWest|2017-09-10 01:29:23|0|8|real time when we took the picture|real time when we took the picture|false|906751434829570048|/NWSKeyWest/status/906751434829570048
NWSKeyWest|2017-09-18 12:21:05|15|71|Taking back our social media accounts, thank you @NWSSanAntonio __NEWLINE__@NWSMiami ! __NEWLINE____NEWLINE__Heat indices in 90s stay hydrated during cleanup. #flwx  #FLKeys pic.twitter.com/d2Bt64WxqN|Taking back our social media accounts, thank you @NWSSanAntonio __NEWLINE__@NWSMiami ! __NEWLINE____NEWLINE__Heat indices in 90s stay hydrated during cleanup. #flwx  #FLKeys |false|909814543118995457|/NWSKeyWest/status/909814543118995457
NWSKeyWest|2017-10-31 08:47:30|60|118|Daily record low temp of 60F was set at #KeyWest  International Airport. Breaks old record of 62 degrees back in 1953. #FLwx  #FLKey pic.twitter.com/UwSDlH0u42|Daily record low temp of 60F was set at #KeyWest  International Airport. Breaks old record of 62 degrees back in 1953. #FLwx  #FLKey |false|925343473351393280|/NWSKeyWest/status/925343473351393280
NWSKeyWest|2017-10-06 23:13:16|14|5|# Nate  continues to strengthen this evening, almost a hurricane as it moves in to the southern Gulf of Mexico.  http://hurricanes.gov   pic.twitter.com/EP6fLivkzQ|# Nate  continues to strengthen this evening, almost a hurricane as it moves in to the southern Gulf of Mexico.     |false|916501652760354817|/NWSKeyWest/status/916501652760354817
NWSKeyWest|2017-09-23 13:10:48|11|16|# Maria   https://twitter.com/EricBlake12/st atus/911638150954569728   …|# Maria    atus/911638150954569728   …|false|911638996031299584|/NWSKeyWest/status/911638996031299584
NWSKeyWest|2017-10-14 07:39:25|36|28|Category 2 Hurricane #Ophelia  will approach SW coast of Ireland Mon AM as strong extra tropical system w/ sustained hurricane force winds. pic.twitter.com/82i6vLaWnm|Category 2 Hurricane #Ophelia  will approach SW coast of Ireland Mon AM as strong extra tropical system w/ sustained hurricane force winds. |false|919165745732472832|/NWSKeyWest/status/919165745732472832
NWSKeyWest|2017-10-10 07:56:54|8|2|Some dry air intrusion is main limiting factor as other conditions are conducive for TS #Ophelia  continued gradual strengthening. pic.twitter.com/dOQBJoH4Hs|Some dry air intrusion is main limiting factor as other conditions are conducive for TS #Ophelia  continued gradual strengthening. |false|917720595160354816|/NWSKeyWest/status/917720595160354816
NWSKeyWest|2017-09-10 23:01:57|127|117|Some information regarding Florida Keys impacts can be found here, including info from Monroe County officials. __NEWLINE__ http://www. miamiherald.com/news/weather/h urricane/article172503266.html   … pic.twitter.com/5BHokZtdsr|Some information regarding Florida Keys impacts can be found here, including info from Monroe County officials. __NEWLINE__  miamiherald.com/news/weather/h urricane/article172503266.html   … |false|907076720876036096|/NWSKeyWest/status/907076720876036096
NWSKeyWest|2017-09-08 10:59:48|3|3|@ City_of_KeyWest  @KWPOLICE  #Irma https://twitter.com/J_Martinez_WC/ status/906168508437979136   …|@ City_of_KeyWest  @KWPOLICE  #Irma  status/906168508437979136   …|false|906170210239094785|/NWSKeyWest/status/906170210239094785
NWSKeyWest|2017-09-21 07:45:08|13|26|A relatively dry air mass aloft will remain in place over the #FLKeys  today, resulting in only a slight chance of showers. #FLwx  #KeyWest pic.twitter.com/BToQarF0ti|A relatively dry air mass aloft will remain in place over the #FLKeys  today, resulting in only a slight chance of showers. #FLwx  #KeyWest |false|910832261548867584|/NWSKeyWest/status/910832261548867584
NWSKeyWest|2017-09-07 23:18:54|62|34|Hurricane Warning now in effect for the Florida Keys and surrounding coastal waters. Here is what that means. #Irma  #FLKeys  #KeyWest  #FLwx pic.twitter.com/FXmXWD7CYq|Hurricane Warning now in effect for the Florida Keys and surrounding coastal waters. Here is what that means. #Irma  #FLKeys  #KeyWest  #FLwx |false|905993822789935105|/NWSKeyWest/status/905993822789935105
NWSKeyWest|2017-10-05 23:12:47|19|8|Hurricane & tropical storm watches have been issued for the northern Gulf Coast. Latest on #Nate :  http://hurricanes.gov   pic.twitter.com/Q5RbPeIZMB|Hurricane & tropical storm watches have been issued for the northern Gulf Coast. Latest on #Nate :     |false|916139141418676225|/NWSKeyWest/status/916139141418676225
NWSKeyWest|2017-09-01 21:46:56|3|5|Quick look back at August 2017! More details/past climate summaries on our climate data page:  http://ow.ly/K0q930eRmpR    #FLwx  #FLKeys  #KeyWest pic.twitter.com/UdszGj3euW|Quick look back at August 2017! More details/past climate summaries on our climate data page:      #FLwx  #FLKeys  #KeyWest |false|903796349484793857|/NWSKeyWest/status/903796349484793857
NWSKeyWest|2017-09-21 08:45:02|12|35|Our @NOAA  Weather Radio transmitter on Sugarloaf Key is back on air, operating on frequency 162.400 MHz & VHF channel 2. #FLKeys  #FLwx|Our @NOAA  Weather Radio transmitter on Sugarloaf Key is back on air, operating on frequency 162.400 MHz & VHF channel 2. #FLKeys  #FLwx|false|910847335508439040|/NWSKeyWest/status/910847335508439040
NWSKeyWest|2017-09-10 12:44:03|3|8|We still have power. Storm surge is a few feet above normal at the moment. Could get as high as 5-10 feet above ground level this afternoon.|We still have power. Storm surge is a few feet above normal at the moment. Could get as high as 5-10 feet above ground level this afternoon.|false|906921222210035713|/NWSKeyWest/status/906921222210035713
NWSKeyWest|2017-09-09 14:50:09|1|45|Our facility is elevated to 15 feet above mean sea level.|Our facility is elevated to 15 feet above mean sea level.|false|906590566414262272|/NWSKeyWest/status/906590566414262272
NWSKeyWest|2017-09-09 15:11:34|1|8|We have been updating that graphic every 3-6 hours.|We have been updating that graphic every 3-6 hours.|false|906595958233985024|/NWSKeyWest/status/906595958233985024
NWSKeyWest|2017-09-10 09:31:30|3|22|Radar is still up.|Radar is still up.|false|906872763931140096|/NWSKeyWest/status/906872763931140096
NWSKeyWest|2017-10-11 13:26:02|10|5|TS #Ophelia  is forecast to strengthen slightly before becoming extra tropical sometime this weekend as it approaches the Azores. pic.twitter.com/DKTfUxkhw6|TS #Ophelia  is forecast to strengthen slightly before becoming extra tropical sometime this weekend as it approaches the Azores. |false|918165811788906505|/NWSKeyWest/status/918165811788906505
NWSKeyWest|2017-09-30 08:43:18|18|28|8 AM Tropical Weather Outlook: low chances for formation over the next 5 days. #FLwx  #FLKeys  #KeyWest pic.twitter.com/0GZqy17cwQ|8 AM Tropical Weather Outlook: low chances for formation over the next 5 days. #FLwx  #FLKeys  #KeyWest |false|914108391324307461|/NWSKeyWest/status/914108391324307461
NWSKeyWest|2017-09-10 15:59:07|95|230|For those asking about specific locations in the Keys, we along with @monroecounty  are still gathering reports as winds/surge continue.|For those asking about specific locations in the Keys, we along with @monroecounty  are still gathering reports as winds/surge continue.|false|906970312364961792|/NWSKeyWest/status/906970312364961792
