username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
NWSTallahassee|2017-09-10 14:32:28|24|20|Winds already gusting to ~20 MPH over the area well ahead of #Irma  & will continue to increase through the evening as the storm approaches. pic.twitter.com/N3fCzzHBhT|Winds already gusting to ~20 MPH over the area well ahead of #Irma  & will continue to increase through the evening as the storm approaches. |false|906948506673451008|/NWSTallahassee/status/906948506673451008||||
NWSTallahassee|2017-09-11 10:51:25|25|25|'Highest area gust we''ve seen so this morning was 63 MPH in Blakely, GA. Please shelter in place until TS #Irma  passes. https://twitter.com/iembot_tae/sta tus/907249737287524354   …'|'Highest area gust we''ve seen so this morning was 63 MPH in Blakely, GA. Please shelter in place until TS #Irma  passes.  tus/907249737287524354   …'|false|907255263652179968|/NWSTallahassee/status/907255263652179968|Blakely, GA|31.3776754|-84.934092|3.798332363841297
NWSTallahassee|2017-09-07 19:09:43|0|1|'The greatest threat will be from wind. We''re still far out to get specific with how impactful winds will be due to changes in track.'|'The greatest threat will be from wind. We''re still far out to get specific with how impactful winds will be due to changes in track.'|false|905931111850799104|/NWSTallahassee/status/905931111850799104||||
NWSTallahassee|2017-09-10 23:46:40|0|4|Will be weakening to a tropical storm when it reaches you tomorrow afternoon. Gusts 40-60 MPH possible.|Will be weakening to a tropical storm when it reaches you tomorrow afternoon. Gusts 40-60 MPH possible.|false|907087974646648837|/NWSTallahassee/status/907087974646648837||||
NWSTallahassee|2017-09-28 19:36:15|3|4|Social media is also an effective method to report severe weather to us. Use #TLHSpotter  for reports on twitter! pic.twitter.com/IIYXcvkwts|Social media is also an effective method to report severe weather to us. Use #TLHSpotter  for reports on twitter! |false|913547937979916288|/NWSTallahassee/status/913547937979916288||||
NWSTallahassee|2017-10-06 14:08:07|0|1|It has been for the past few advisories.|It has been for the past few advisories.|false|916364463506382848|/NWSTallahassee/status/916364463506382848||||
NWSTallahassee|2017-09-04 23:52:00|26|13|11pm Mon. key messages from NHC on Irma - read key point 4 and make sure your hurricane kit is stocked  https://www. ready.gov/build-a-kit   pic.twitter.com/HGU1QvXNFL|11pm Mon. key messages from NHC on Irma - read key point 4 and make sure your hurricane kit is stocked   ready.gov/build-a-kit   |false|904914987864424449|/NWSTallahassee/status/904914987864424449||||
NWSTallahassee|2017-10-07 21:19:57|9|7|Minor coastal flooding tonight across N FL coast. 2-3 ft of water above ground possible at the coast. Monitor here:  https://goo.gl/HoJFau   pic.twitter.com/7xYx3HeYKl|Minor coastal flooding tonight across N FL coast. 2-3 ft of water above ground possible at the coast. Monitor here:     |false|916835524089974784|/NWSTallahassee/status/916835524089974784||||
NWSTallahassee|2017-09-12 08:42:01|0|1|Thank you!|Thank you!|false|907585084877930497|/NWSTallahassee/status/907585084877930497||||
NWSTallahassee|2017-09-07 08:16:46|66|38|'Here''s the 8AM EDT update from NHC on Hurricane Irma. pic.twitter.com/Se9yWp3oiL'|'Here''s the 8AM EDT update from NHC on Hurricane Irma. '|false|905766792659914752|/NWSTallahassee/status/905766792659914752||||
NWSTallahassee|2017-09-12 08:54:13|0|2|Thanks Eryn, Will, and everyone at the News Herald! :)|Thanks Eryn, Will, and everyone at the News Herald! :)|false|907588155133624320|/NWSTallahassee/status/907588155133624320||||
NWSTallahassee|2017-09-27 11:43:42|0|1|'Fall = Sep - Nov in the northern hemisphere, unless you''re an astronomer, then it''s 9/22-12/21. ;) It can still be toasty down here though!'|'Fall = Sep - Nov in the northern hemisphere, unless you''re an astronomer, then it''s 9/22-12/21. ;) It can still be toasty down here though!'|false|913066625443786752|/NWSTallahassee/status/913066625443786752||||
NWSTallahassee|2017-10-05 08:27:38|17|3|Tropical Storm Nate forms off the Central American Coast. pic.twitter.com/Ic8LKIuNTm|Tropical Storm Nate forms off the Central American Coast. |false|915916388484689921|/NWSTallahassee/status/915916388484689921||||
NWSTallahassee|2017-10-16 16:52:55|0|0|Could you tell us if these were due to trees down from wind or lightning?  This will help us verify the strength of the storm.|Could you tell us if these were due to trees down from wind or lightning?  This will help us verify the strength of the storm.|false|920029814869970946|/NWSTallahassee/status/920029814869970946||||
NWSTallahassee|2017-10-04 08:11:34|40|27|90% chance of tropical cyclone formation with the disturbance in the Caribbean. It may may affect us this weekend:__NEWLINE__ http://www. nhc.noaa.gov/gtwo.php?basin =atlc&fdays=5   …|90% chance of tropical cyclone formation with the disturbance in the Caribbean. It may may affect us this weekend:__NEWLINE__  nhc.noaa.gov/gtwo.php?basin =atlc&fdays=5   …|false|915549957020626944|/NWSTallahassee/status/915549957020626944||||
NWSTallahassee|2017-10-09 05:51:24|4|2|Your Monday morning (10/9) forecast- scattered storms, mostly in SE AL & S central GA, with highs in the upper 80s. pic.twitter.com/OKMN927W19|Your Monday morning (10/9) forecast- scattered storms, mostly in SE AL & S central GA, with highs in the upper 80s. |false|917326622520377346|/NWSTallahassee/status/917326622520377346||||
NWSTallahassee|2017-10-07 14:35:29|38|32|Double Red Flags along North Florida beaches.  Stay out of the water. https://twitter.com/wx4taylor/stat us/916730569815478273   …|Double Red Flags along North Florida beaches.  Stay out of the water.  us/916730569815478273   …|false|916733738389852160|/NWSTallahassee/status/916733738389852160|FL|27.7567667|-81.4639835|210.85168210265104
NWSTallahassee|2017-09-09 15:41:59|1|0|'John''s correct, Gainesville is in @NWSJacksonville ''s area.'|'John''s correct, Gainesville is in @NWSJacksonville ''s area.'|false|906603609370058752|/NWSTallahassee/status/906603609370058752||||
NWSTallahassee|2017-09-09 20:59:52|1|2|The wind threat is for tomorrow night through Monday|The wind threat is for tomorrow night through Monday|false|906683609716752384|/NWSTallahassee/status/906683609716752384||||
