username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
NYPDnews|2017-10-01 21:29:46|109|44|WANTED: Driver of wht Infinity for striking/killing a bicyclist at Nostrand Ave & Church Ave, #Brooklyn  & leaving the scene.   #800577TIPS pic.twitter.com/3tcHyaowmn|WANTED: Driver of wht Infinity for striking/killing a bicyclist at Nostrand Ave & Church Ave, #Brooklyn  & leaving the scene.   #800577TIPS |false|914663668243103745|/NYPDnews/status/914663668243103745||||
NYPDnews|2017-09-21 22:32:29|74|29|'# SilverAlert : Virginia Sanchez, 73, 5''6" 170lbs last seen at 502 Marcy Ave, #Brooklyn . Call 911 if seen, #800577TIPS  with info. pic.twitter.com/ZJYX8lwbSp'|'# SilverAlert : Virginia Sanchez, 73, 5''6" 170lbs last seen at 502 Marcy Ave, #Brooklyn . Call 911 if seen, #800577TIPS  with info. '|false|911055573164150784|/NYPDnews/status/911055573164150784|502 Marcy Ave|40.5436447777778|-74.2028669259259|0.0
NYPDnews|2017-09-06 08:45:20|18|113|Some of our newest “recruits” stopped by the @NYPD101Pct  to say hello & offer some help. Our officers gladly welcomed them! #NYPDconnecting pic.twitter.com/yiYLZ07AWd|Some of our newest “recruits” stopped by the @NYPD101Pct  to say hello & offer some help. Our officers gladly welcomed them! #NYPDconnecting |false|905411594376622080|/NYPDnews/status/905411594376622080||||
NYPDnews|2017-10-19 12:18:26|155|842|These men and women will be protecting NYC in just a few months. Help us say congrats and thank you! pic.twitter.com/nxR7kM0kYl|These men and women will be protecting NYC in just a few months. Help us say congrats and thank you! |false|921047900377042944|/NYPDnews/status/921047900377042944||||
NYPDnews|2017-10-10 08:15:18|30|121|Great rescue! These @NYPDPSA7  officers saved an overdose victim in the #Bronx  using their department issued Naloxone. #NYPDprotecting pic.twitter.com/9kKPbkRgd5|Great rescue! These @NYPDPSA7  officers saved an overdose victim in the #Bronx  using their department issued Naloxone. #NYPDprotecting |false|917725223839027200|/NYPDnews/status/917725223839027200||||
NYPDnews|2017-09-18 17:43:39|25|19|Help ID this woman WANTED for a bank robbery in #Queens . Call #800577TIPS  with info. http://nypdnews.com/2017/09/wanted -bank-robbery-queens-9/   …|Help ID this woman WANTED for a bank robbery in #Queens . Call #800577TIPS  with info.  -bank-robbery-queens-9/   …|false|909895721024983042|/NYPDnews/status/909895721024983042|Help, ID|||
NYPDnews|2017-09-11 06:20:14|84|250|Detective Robert Williamson, PBMS Anti-Crime __PIPE__ End of Tour: 5/13/07 ~  http://ow.ly/RYpSG      #NeverForget|Detective Robert Williamson, PBMS Anti-Crime __PIPE__ End of Tour: 5/13/07 ~        #NeverForget|false|907187019113222144|/NYPDnews/status/907187019113222144||||
NYPDnews|2017-09-22 08:00:15|103|40|WANTED: Black male, approx 30yrs & 190lbs for raping a woman near W. 110 St & Lenox Ave in Central Park. Call #800577TIPS . @NYPDCentralPark pic.twitter.com/ufCBu9cEcY|WANTED: Black male, approx 30yrs & 190lbs for raping a woman near W. 110 St & Lenox Ave in Central Park. Call #800577TIPS . @NYPDCentralPark |false|911198454029922304|/NYPDnews/status/911198454029922304||||
NYPDnews|2017-09-28 08:45:16|10|29|An amazing turnout in W.Harlem & Morningside Heights for a Neighborhood Coordination Officer meeting. Find yours  http://www. buildtheblock.nyc   pic.twitter.com/gDVUQgUZve|An amazing turnout in W.Harlem & Morningside Heights for a Neighborhood Coordination Officer meeting. Find yours   buildtheblock.nyc   |false|913384110642614272|/NYPDnews/status/913384110642614272||||
NYPDnews|2017-10-05 10:22:56|22|38|Update regarding shooting in construction site this morning (10/5) at W. 59 St. & 12 Ave, Manhattan. Information is preliminary. pic.twitter.com/cg4fXtTmpN|Update regarding shooting in construction site this morning (10/5) at W. 59 St. & 12 Ave, Manhattan. Information is preliminary. |false|915945405271199745|/NYPDnews/status/915945405271199745||||
NYPDnews|2017-10-21 09:45:15|36|48|Stalking is a crime- save texts, emails and notes from the abuser to share with police.__NEWLINE__   http://ow.ly/1quu30fZLxw   __NEWLINE__ #DVAM2017 pic.twitter.com/0BBgnTq0Wn|Stalking is a crime- save texts, emails and notes from the abuser to share with police.__NEWLINE__      __NEWLINE__ #DVAM2017 |false|921734125417127937|/NYPDnews/status/921734125417127937||||
NYPDnews|2017-10-12 23:29:40|25|53|There’s been a police involved shooting in Brooklyn. Expect police presence near E. 34 St. & Linden Blvd. for investigation. More when avail pic.twitter.com/LIBL9ofTHk|There’s been a police involved shooting in Brooklyn. Expect police presence near E. 34 St. & Linden Blvd. for investigation. More when avail |false|918680105374965760|/NYPDnews/status/918680105374965760||||
