'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
Readygov|2017-09-30 18:07:24|54|47|Even though #NatlPrep  Month is coming to a close, we urge you to #PlanAhead  for disasters all year by visiting:  http://www. ready.gov   pic.twitter.com/CHay9xGg7G|Even though #NatlPrep  Month is coming to a close, we urge you to #PlanAhead  for disasters all year by visiting:   ready.gov   |false|914250353683595265|/Readygov/status/914250353683595265
Readygov|2017-09-27 09:52:49|16|9|A los Desastres no les importa si has duplicado tus reservaciones. Haz un plan para tu familia hoy.  http://www. listo.gov    #PlanAhead pic.twitter.com/rC9yP28Xri|A los Desastres no les importa si has duplicado tus reservaciones. Haz un plan para tu familia hoy.   listo.gov    #PlanAhead |false|913038723226439686|/Readygov/status/913038723226439686
Readygov|2017-10-30 12:47:15|19|21|Join @FEMA  & the 2017 #ICPAwards  winners for a webinar to share ideas on preparedness initiatives, 10/31 at 2pm ET:  http://bit.ly/2ytt1xG   pic.twitter.com/AEfiY8PPn5|Join @FEMA  & the 2017 #ICPAwards  winners for a webinar to share ideas on preparedness initiatives, 10/31 at 2pm ET:     |false|925041419579940865|/Readygov/status/925041419579940865
Readygov|2017-10-13 18:45:29|143|119|If you need to evacuate, make sure you have a go bag packed with supplies. Don't forget cash, meds  & personal supplies. #CAFires pic.twitter.com/LZIbWx5afu|If you need to evacuate, make sure you have a go bag packed with supplies. Don't forget cash, meds  & personal supplies. #CAFires |false|918970978230775808|/Readygov/status/918970978230775808
Readygov|2017-10-07 09:34:39|278|524|Have alternative power sources for devices in case you lose power like-__NEWLINE__ batteries__NEWLINE__ back-up chargers__NEWLINE__ plan for medical equipment #Nate pic.twitter.com/d2ZjjQiNn1|Have alternative power sources for devices in case you lose power like-__NEWLINE__ batteries__NEWLINE__ back-up chargers__NEWLINE__ plan for medical equipment #Nate |false|916658030196019200|/Readygov/status/916658030196019200
Readygov|2017-10-09 08:56:24|65|45|It's Fire Prevention Week! Share tips using @usfire  checklists, graphics, & fire escape plans:  http://go.usa.gov/xRuxR   pic.twitter.com/5MaQl3XHHX|It's Fire Prevention Week! Share tips using @usfire  checklists, graphics, & fire escape plans:     |false|917373178208489472|/Readygov/status/917373178208489472
Readygov|2017-09-03 19:26:31|0|1|This tweet is in English too: https://twitter.com/readygov/statu s/904406504240971778   …|This tweet is in English too:  s/904406504240971778   …|false|904485788951474185|/Readygov/status/904485788951474185
Readygov|2017-09-14 18:03:02|66|70|Do you know what to do when an emergency happens? Learn actions to save a life #UntilHelpArrives :  http://www. ready.gov/until-help-arr ives   …  #NatlPrep pic.twitter.com/fteYcOusqP|Do you know what to do when an emergency happens? Learn actions to save a life #UntilHelpArrives :   ready.gov/until-help-arr ives   …  #NatlPrep |false|908451047299076097|/Readygov/status/908451047299076097
Readygov|2017-09-05 13:09:17|0|0|We agree! |We agree! |false|905115630650740737|/Readygov/status/905115630650740737
Readygov|2017-09-04 14:25:42|29|18|A los desastres no les importan sus documentos importantes. Tome fotos y guárdelas en un lugar seguro ahora. #Irma  Video en inglés pic.twitter.com/syAkI5abcK|A los desastres no les importan sus documentos importantes. Tome fotos y guárdelas en un lugar seguro ahora. #Irma  Video en inglés |false|904772474281361408|/Readygov/status/904772474281361408
Readygov|2017-10-07 20:35:48|19|17|If you receive a wireless emergency alert, take action & listen to local officials directions.  http://www. ready.gov/alerts    #HurricaneNate pic.twitter.com/yg8Fx7GeHR|If you receive a wireless emergency alert, take action & listen to local officials directions.   ready.gov/alerts    #HurricaneNate |false|916824414037200896|/Readygov/status/916824414037200896
Readygov|2017-10-10 09:22:03|65|58|Listen to local officials for the most up-to-date directions & safety information if you are in the path of the #CAfires pic.twitter.com/xgei4iQwRM|Listen to local officials for the most up-to-date directions & safety information if you are in the path of the #CAfires |false|917742023762989058|/Readygov/status/917742023762989058
Readygov|2017-09-03 11:58:40|109|96|Have a plan for your pets   in case you need to evacuate quickly. More pet tips:  http://www. ready.gov/pets    #HurricanePrep  #Irma pic.twitter.com/JrpgWq8Pgv|Have a plan for your pets   in case you need to evacuate quickly. More pet tips:   ready.gov/pets    #HurricanePrep  #Irma |false|904373084882444288|/Readygov/status/904373084882444288
Readygov|2017-10-11 17:15:51|13|9|Spread the word about #ShakeOut ! See  http://ShakeOut.org/messaging    for news alert, social media, and email templates + graphics/videos! pic.twitter.com/wRNfg00KYH|Spread the word about #ShakeOut ! See      for news alert, social media, and email templates + graphics/videos! |false|918223645251645440|/Readygov/status/918223645251645440
Readygov|2017-09-17 10:12:04|15|10|Follow your local forecasts #PlanAhead  by talking to your family about your hurricane plans:  http://www. ready.gov/plan    #Jose https://twitter.com/nhc_atlantic/s tatus/909338650235801603   …|Follow your local forecasts #PlanAhead  by talking to your family about your hurricane plans:   ready.gov/plan    #Jose  tatus/909338650235801603   …|false|909419689268404224|/Readygov/status/909419689268404224
Readygov|2017-09-15 11:33:56|46|39|It’s National #Prepareathon  Day! Share how you have prepared over the past year with the hashtags #HowIPrepare  #HowWePrepare . @PrepareAthon pic.twitter.com/rlQPSwnpiW|It’s National #Prepareathon  Day! Share how you have prepared over the past year with the hashtags #HowIPrepare  #HowWePrepare . @PrepareAthon |false|908715515606175745|/Readygov/status/908715515606175745
Readygov|2017-09-05 16:39:34|505|752|# Irma  prep tips: keep devices charged, locate flashlights & radios, let family/friends know your location in case of power loss. pic.twitter.com/9zx3hnhA2F|# Irma  prep tips: keep devices charged, locate flashlights & radios, let family/friends know your location in case of power loss. |false|905168550448517125|/Readygov/status/905168550448517125
Readygov|2017-10-08 20:53:01|25|26|Check in on neighbors after any storm to make sure they are OK. pic.twitter.com/l9bRpqGLkK|Check in on neighbors after any storm to make sure they are OK. |false|917191134367178753|/Readygov/status/917191134367178753
Readygov|2017-09-09 20:31:23|119|83|Check in with your neighbors during an emergency to see if they are ok. #Irma pic.twitter.com/22cr1cesr8|Check in with your neighbors during an emergency to see if they are ok. #Irma |false|906676441567330305|/Readygov/status/906676441567330305
Readygov|2017-09-07 14:21:00|48|28|Follow local officials on social media & sign up for emergency alerts & warnings to have the most up-to-date info in your area. #PlanAhead pic.twitter.com/kKjKQOx2Gu|Follow local officials on social media & sign up for emergency alerts & warnings to have the most up-to-date info in your area. #PlanAhead |false|905858456665587713|/Readygov/status/905858456665587713
Readygov|2017-09-02 08:46:54|97|77|Disasters Don't #PlanAhead . Make sure your family & pets have supplies ready to go in case of an evacuation.  http://ready.gov/kit    #Irma pic.twitter.com/gOrrzsEKY1|Disasters Don't #PlanAhead . Make sure your family & pets have supplies ready to go in case of an evacuation.      #Irma |false|903962438479081472|/Readygov/status/903962438479081472
Readygov|2017-09-17 14:55:46|75|67|# BeInformed : have multiple ways to receive emergency alerts & listen closely to directions from local officials. #Maria pic.twitter.com/LWWGVpAGnC|# BeInformed : have multiple ways to receive emergency alerts & listen closely to directions from local officials. #Maria |false|909491085373734912|/Readygov/status/909491085373734912
Readygov|2017-09-21 15:25:58|49|42|After a disaster, it's always a good idea to check in with neighbors, family, & friends to make sure they’re safe or see if they need help. pic.twitter.com/XeYxHiyeSL|After a disaster, it's always a good idea to check in with neighbors, family, & friends to make sure they’re safe or see if they need help. |false|910948236340416515|/Readygov/status/910948236340416515
Readygov|2017-10-07 17:40:32|41|38|# HurricaneNate  tips: keep devices charged, flashlights & radios close, and check-in with family/friends. pic.twitter.com/H91KisLvRw|# HurricaneNate  tips: keep devices charged, flashlights & radios close, and check-in with family/friends. |false|916780305230508033|/Readygov/status/916780305230508033
Readygov|2017-09-24 10:34:07|22|28|Get involved and share preparedness info in your community.  http://www. ready.gov    #PlanAhead  #NatlPrep pic.twitter.com/784HRlyg3r|Get involved and share preparedness info in your community.   ready.gov    #PlanAhead  #NatlPrep |false|911961951135289344|/Readygov/status/911961951135289344
Readygov|2017-10-23 11:33:36|63|40|Make sure your passwords are complex & unique. #CyberAware pic.twitter.com/jkG9zIajMD|Make sure your passwords are complex & unique. #CyberAware |false|922486169945899008|/Readygov/status/922486169945899008
Readygov|2017-09-06 08:44:41|244|173|Your local officials have the best tips during an emergency. Connect with them before, during, & after emergencies. #PlanAhead  #BeInformed pic.twitter.com/SBsw7MxzOT|Your local officials have the best tips during an emergency. Connect with them before, during, & after emergencies. #PlanAhead  #BeInformed |false|905411430526189569|/Readygov/status/905411430526189569
Readygov|2017-09-16 18:35:15|55|50|Make sure your hurricane plan is up-to-date. Gather supplies & talk to your family about where you would go if you had to evacuate. #Jose pic.twitter.com/jXHO66VeXr|Make sure your hurricane plan is up-to-date. Gather supplies & talk to your family about where you would go if you had to evacuate. #Jose |false|909183932100423680|/Readygov/status/909183932100423680
Readygov|2017-09-04 11:54:48|16|12|Great tip. Sign up for local alerts in your area to get emergency alerts & warnings. #PlanAhead https://twitter.com/flsert/status/ 904728349846667268   …|Great tip. Sign up for local alerts in your area to get emergency alerts & warnings. #PlanAhead  904728349846667268   …|false|904734499942084608|/Readygov/status/904734499942084608
Readygov|2017-10-11 17:21:19|53|35|For information on what to do before, during, and after a #wildfire  visit:  http://www. ready.gov/wildfires   pic.twitter.com/5meuZ3MuUl|For information on what to do before, during, and after a #wildfire  visit:   ready.gov/wildfires   |false|918225020752728069|/Readygov/status/918225020752728069
Readygov|2017-09-08 14:20:21|265|182|ATMs don't work without power. Keep cash on hand in case of a power outage.  http://www. ready.gov/power-outage    #PlanAhead  #Irma pic.twitter.com/trP6ovEcNe|ATMs don't work without power. Keep cash on hand in case of a power outage.   ready.gov/power-outage    #PlanAhead  #Irma |false|906220678025805824|/Readygov/status/906220678025805824
