username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
SarasotaPD|2017-09-09 20:00:50|26|22|We are only allowing residents on & off the islands.  This is for the safety of everyone. #Irma  #Sarasota https://twitter.com/imascarenas/st atus/906668064137207808   …|We are only allowing residents on & off the islands.  This is for the safety of everyone. #Irma  #Sarasota  atus/906668064137207808   …|false|906668751550140416|/SarasotaPD/status/906668751550140416||||
SarasotaPD|2017-09-08 19:43:36|1|3|.@ChiefDiPino  on WWSB @mysuncoast  until 8pm with @Suncoastweather  & Alan Cohn talking about preparation for #HurricaneIrma . Tune in! pic.twitter.com/w5y7vImOPC|.@ChiefDiPino  on WWSB @mysuncoast  until 8pm with @Suncoastweather  & Alan Cohn talking about preparation for #HurricaneIrma . Tune in! |false|906302027453648897|/SarasotaPD/status/906302027453648897||||
SarasotaPD|2017-10-08 13:05:09|0|6|'We hope you''re having a great Sunday! As you''re out & about enjoying the day, make sure to lock your  , lock your   & remove  . Be safe!'|'We hope you''re having a great Sunday! As you''re out & about enjoying the day, make sure to lock your  , lock your   & remove  . Be safe!'|false|917073391395463169|/SarasotaPD/status/917073391395463169||||
SarasotaPD|2017-10-06 08:21:57|18|24|LOCK YOUR CARS! 4 vehicle burglaries in @CityofSarasota  this wk. All vehicles UNLOCKED! 3 of the 4 had firearms stolen. LOCK YOUR CARS! pic.twitter.com/ecluMkU8UK|LOCK YOUR CARS! 4 vehicle burglaries in @CityofSarasota  this wk. All vehicles UNLOCKED! 3 of the 4 had firearms stolen. LOCK YOUR CARS! |false|916277344729489408|/SarasotaPD/status/916277344729489408||||
SarasotaPD|2017-09-11 16:49:06|1|30|'We''re grateful for @PoloGrillandBar  & @caterfete  who are feeding Officers & @CityofSarasota  employees who are working post #HurricaneIrma pic.twitter.com/1eDXea9eVe'|'We''re grateful for @PoloGrillandBar  & @caterfete  who are feeding Officers & @CityofSarasota  employees who are working post #HurricaneIrma '|false|907345279594127360|/SarasotaPD/status/907345279594127360||||
SarasotaPD|2017-09-06 12:07:45|6|5|Per @sarasotaschools : #Sarasota  Schools open Thursday & closed Friday.  #HurricaneIrma  #Irma https://twitter.com/sarasotaschool s/status/905460176307793921   …|Per @sarasotaschools : #Sarasota  Schools open Thursday & closed Friday.  #HurricaneIrma  #Irma  s/status/905460176307793921   …|false|905462533921931266|/SarasotaPD/status/905462533921931266||||
SarasotaPD|2017-09-15 20:31:28|18|55|'THANK YOU because of your generosity & a semi truck from Gold Coast Eagle Distributing, we''re packing up supplies to head to @KeysRecovery ! pic.twitter.com/4jSvYuvuWI'|'THANK YOU because of your generosity & a semi truck from Gold Coast Eagle Distributing, we''re packing up supplies to head to @KeysRecovery ! '|false|908850789254385667|/SarasotaPD/status/908850789254385667||||
SarasotaPD|2017-09-12 14:35:58|3|5|'We''re grateful for @PoloGrillandBar  & @caterfete  who are feeding Officers & @CityofSarasota  employees for 2nd day who are working post #Irma pic.twitter.com/GlVxDOKSiE'|'We''re grateful for @PoloGrillandBar  & @caterfete  who are feeding Officers & @CityofSarasota  employees for 2nd day who are working post #Irma '|false|907674161094565889|/SarasotaPD/status/907674161094565889||||
SarasotaPD|2017-09-12 19:10:30|11|38|'We''re making sure power trucks can get in&out of the staging area@Robarts as quick as possible. Hang in there! @insideFPL  #Sarasota  #Irma pic.twitter.com/Fd5FjdPNdg'|'We''re making sure power trucks can get in&out of the staging area@Robarts as quick as possible. Hang in there! @insideFPL  #Sarasota  #Irma '|false|907743248466276352|/SarasotaPD/status/907743248466276352||||
SarasotaPD|2017-10-03 15:40:36|6|16|'LIVE: Ofc Frank''s personal invitation to #NationalNightOut https://www. pscp.tv/w/bKKNUTEzMzE2 MzY0fDF5b0pNcHdhUE9XR1GLgvi8Q4Qg9AO4Hqe5U18nVmOU6QAhgA39rb9_Rn1yng==   …'|'LIVE: Ofc Frank''s personal invitation to #NationalNightOut  pscp.tv/w/bKKNUTEzMzE2 MzY0fDF5b0pNcHdhUE9XR1GLgvi8Q4Qg9AO4Hqe5U18nVmOU6QAhgA39rb9_Rn1yng==   …'|false|915300574068920321|/SarasotaPD/status/915300574068920321||||
SarasotaPD|2017-10-27 12:12:28|3|1|Heads up if you’re heading out of the @CityofSarasota  & south on I-75. Overturned car carrier in SB lanes of 75 south of Clark Rd. https://twitter.com/sarasotasherif f/status/923944733130584064   …|Heads up if you’re heading out of the @CityofSarasota  & south on I-75. Overturned car carrier in SB lanes of 75 south of Clark Rd.  f/status/923944733130584064   …|false|923945500927315969|/SarasotaPD/status/923945500927315969||||
SarasotaPD|2017-09-09 16:09:40|21|49|'Our Officers keeping an eye on things on Lido.  ALL #Sarasota  beaches are CLOSED. We''re all in this together.  Be safe & be smart.  #Irma pic.twitter.com/Xll4WGuuau'|'Our Officers keeping an eye on things on Lido.  ALL #Sarasota  beaches are CLOSED. We''re all in this together.  Be safe & be smart.  #Irma '|false|906610578688536576|/SarasotaPD/status/906610578688536576||||
SarasotaPD|2017-09-18 16:56:29|3|3|Thanks for your tweet.  Here is the photo of Jabez Spann.  Thank you! pic.twitter.com/F08fYKgb8J|Thanks for your tweet.  Here is the photo of Jabez Spann.  Thank you! |false|909883850964307968|/SarasotaPD/status/909883850964307968||||
SarasotaPD|2017-09-11 07:02:47|9|19|'This is why we need you to stay in. We know you''re anxious. This tree is blocking the 2500 blk of Ringling. We''re almost through this. #Irma pic.twitter.com/9J7NtulhBF'|'This is why we need you to stay in. We know you''re anxious. This tree is blocking the 2500 blk of Ringling. We''re almost through this. #Irma '|false|907197727485972480|/SarasotaPD/status/907197727485972480||||
SarasotaPD|2017-09-10 14:34:51|11|48|'We''re grateful for our Officers & @CityofSarasota  employees who took a few minutes to grill up lunch for everyone working  #HurricaneIrma . pic.twitter.com/iWGjGe6FHz'|'We''re grateful for our Officers & @CityofSarasota  employees who took a few minutes to grill up lunch for everyone working  #HurricaneIrma . '|false|906949104886059014|/SarasotaPD/status/906949104886059014||||
SarasotaPD|2017-09-19 13:05:20|2|2|From @CityofSarasota : IRMA RECOVERY – Need help? Contact @fema @1-800-621-3362 or visit  http://disasterassistance.gov   https://twitter.com/cityofsarasota /status/910187928437051392   …|From @CityofSarasota : IRMA RECOVERY – Need help? Contact @fema @1-800-621-3362 or visit      /status/910187928437051392   …|false|910188067289518080|/SarasotaPD/status/910188067289518080||||
SarasotaPD|2017-09-13 16:53:01|10|37|Thx @washingtonpost  for highlighting work @ChiefDiPino  & Officers were doing to protect @CityofSarasota  during #Irma   https://www. washingtonpost.com/national/2017/ live-updates/weather/hurricane-irma-a-monster-storms-devastating-path/dont-you-people-realize-there-is-a-storm-coming/?tid=ss_tw&utm_term=.084ddf3ab7ef   … pic.twitter.com/itIWQpZ0K7|Thx @washingtonpost  for highlighting work @ChiefDiPino  & Officers were doing to protect @CityofSarasota  during #Irma    washingtonpost.com/national/2017/ live-updates/weather/hurricane-irma-a-monster-storms-devastating-path/dont-you-people-realize-there-is-a-storm-coming/?tid=ss_tw&utm_term=.084ddf3ab7ef   … |false|908071038419955713|/SarasotaPD/status/908071038419955713||||
SarasotaPD|2017-10-03 07:47:47|8|9|'TONIGHT:  We''re looking forward to seeing everyone at our #NationalNightOut , 5:30p-7:30p.  RT to tell your friends & family! #Sarasota pic.twitter.com/sgx1UxrTAc'|'TONIGHT:  We''re looking forward to seeing everyone at our #NationalNightOut , 5:30p-7:30p.  RT to tell your friends & family! #Sarasota '|false|915181585762308096|/SarasotaPD/status/915181585762308096||||
SarasotaPD|2017-09-10 12:46:08|8|6|Schools in the @CityofSarasota  are now closed on Monday & Tuesday because of #HurricaneIrma .  #Sarasota  #Irma  #Schools https://twitter.com/sarasotaschool s/status/906902662288994304   …|Schools in the @CityofSarasota  are now closed on Monday & Tuesday because of #HurricaneIrma .  #Sarasota  #Irma  #Schools  s/status/906902662288994304   …|false|906921745214570497|/SarasotaPD/status/906921745214570497||||
SarasotaPD|2017-09-15 10:57:51|4|16|Catch @mysuncoastview  on @mysuncoast  today at 4p or Monday at 10a as Officers Craig, Glockener & Raulerson taped a segment for the show! pic.twitter.com/fC37rB7KaC|Catch @mysuncoastview  on @mysuncoast  today at 4p or Monday at 10a as Officers Craig, Glockener & Raulerson taped a segment for the show! |false|908706434661142528|/SarasotaPD/status/908706434661142528||||
SarasotaPD|2017-09-10 12:45:11|9|7|.@CityofSarasota  is now under a tornado watch.  Please continue to be safe & be smart.  #HurricaneIrma  #Irma  #Sarasota https://twitter.com/NWSTampaBay/st atus/906910695534579712   …|.@CityofSarasota  is now under a tornado watch.  Please continue to be safe & be smart.  #HurricaneIrma  #Irma  #Sarasota  atus/906910695534579712   …|false|906921506055356416|/SarasotaPD/status/906921506055356416||||
SarasotaPD|2017-09-12 13:14:46|73|16|'PLEASE CONTINUE TO RE-TWEET We''re still looking for Jabez Spann, age 14. He''s been missing since Sept. 4th. Info? Call 911 or 941-954-7067 https://twitter.com/sarasotapd/sta tus/905564330623733760   …'|'PLEASE CONTINUE TO RE-TWEET We''re still looking for Jabez Spann, age 14. He''s been missing since Sept. 4th. Info? Call 911 or 941-954-7067  tus/905564330623733760   …'|false|907653727083012096|/SarasotaPD/status/907653727083012096||||
SarasotaPD|2017-09-08 22:26:14|6|13|Thank you, @LimaPolice    We love you too!__NEWLINE____NEWLINE__#Irma  #IrmaHurricane2017  #LESM https://twitter.com/limapolice/sta tus/906336443731247106   …|Thank you, @LimaPolice    We love you too!__NEWLINE____NEWLINE__#Irma  #IrmaHurricane2017  #LESM  tus/906336443731247106   …|false|906342957334364160|/SarasotaPD/status/906342957334364160||||
SarasotaPD|2017-10-30 12:34:01|1|6|We couldn’t say it better ourselves, @AlachuaSheriff ! #MondayMotivaton  #LESM https://twitter.com/alachuasheriff /status/925029814834262016   …|We couldn’t say it better ourselves, @AlachuaSheriff ! #MondayMotivaton  #LESM  /status/925029814834262016   …|false|925038088862048256|/SarasotaPD/status/925038088862048256||||
SarasotaPD|2017-09-16 13:52:13|2|8|'.@KeysRecovery  Drive taking to the streets! These girls selling lemonade on FieldRd, halfway to Camino Real. They''ll be there until 4p today pic.twitter.com/thRxvgEAm4'|'.@KeysRecovery  Drive taking to the streets! These girls selling lemonade on FieldRd, halfway to Camino Real. They''ll be there until 4p today '|false|909112703180034048|/SarasotaPD/status/909112703180034048||||
