username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
pbcsd|2017-09-13 14:25:48|0|8|Great photos @BocaRatonMiddle  Thank you for working hard to #MakeItSafePBC  __NEWLINE__Keep sharing. https://twitter.com/brcms_principa l/status/908002131805921282   …|Great photos @BocaRatonMiddle  Thank you for working hard to #MakeItSafePBC  __NEWLINE__Keep sharing.  l/status/908002131805921282   …|false|908033990661156878|/pbcsd/status/908033990661156878||||
pbcsd|2017-10-09 18:48:46|4|22|Way to #MakeItCountPBC , Peyton!  https://twitter.com/mskarl_brcms/s tatus/917517781523881984   …|Way to #MakeItCountPBC , Peyton!   tatus/917517781523881984   …|false|917522253176360960|/pbcsd/status/917522253176360960||||
pbcsd|2017-10-25 18:30:50|1|21|The @pbcsd  Principal of the Year event at @SFScienceCenter  is about to begin! Thank you to @comcast , @EcoCouncilPBC  and @SFScienceCenter . pic.twitter.com/4nF9UomwfK|The @pbcsd  Principal of the Year event at @SFScienceCenter  is about to begin! Thank you to @comcast , @EcoCouncilPBC  and @SFScienceCenter . |false|923315947284451329|/pbcsd/status/923315947284451329||||
pbcsd|2017-10-20 14:33:06|2|23|.@MrsDorvilus  is our hero.   https://twitter.com/VerdePrincipal /status/921416036485910529   …|.@MrsDorvilus  is our hero.    /status/921416036485910529   …|false|921444180777406464|/pbcsd/status/921444180777406464||||
pbcsd|2017-10-06 20:39:26|2|26|# ThankAPrincipal , indeed.  https://twitter.com/meganleepbc/st atus/916303724141862912   …|# ThankAPrincipal , indeed.   atus/916303724141862912   …|false|916462937920991232|/pbcsd/status/916462937920991232||||
pbcsd|2017-09-13 14:36:46|11|17|PBC parents: @BGC_PBC  will open their facilities to member & nonmember children ages 6-18 Thur & Fri. Lunch provided. #MakeItSafePBC|PBC parents: @BGC_PBC  will open their facilities to member & nonmember children ages 6-18 Thur & Fri. Lunch provided. #MakeItSafePBC|false|908036750341234689|/pbcsd/status/908036750341234689||||
pbcsd|2017-09-28 15:05:08|1|15|And the best dressed award goes to.... @RollingGreenEl !  https://twitter.com/RollingGreenEl /status/913479340230365185   …|And the best dressed award goes to.... @RollingGreenEl !   /status/913479340230365185   …|false|913479706325942272|/pbcsd/status/913479706325942272||||
pbcsd|2017-09-08 12:40:35|4|4|Know your zone, enter your address here to determine if you live in an evacuation zone  http://pbcgov.com/knowurzone/   https://twitter.com/wellingtonflgo v/status/906193817874944000   …|Know your zone, enter your address here to determine if you live in an evacuation zone      v/status/906193817874944000   …|false|906195570913665024|/pbcsd/status/906195570913665024||||
pbcsd|2017-09-18 08:25:42|6|29|Welcome back teachers and students.  #MakeItCountPBC https://twitter.com/RollingGreenEl /status/909740955653287936   …|Welcome back teachers and students.  #MakeItCountPBC  /status/909740955653287936   …|false|909755309723471873|/pbcsd/status/909755309723471873||||
pbcsd|2017-09-20 14:06:34|1|5|.@pbcsd  has gone whenever, wherever with our new mobile app! #MakeItYoursPBC  today via @AppStore  or @GooglePlay :  http://goo.gl/hi8G8g    . pic.twitter.com/5AgFY6adtp|.@pbcsd  has gone whenever, wherever with our new mobile app! #MakeItYoursPBC  today via @AppStore  or @GooglePlay :      . |false|910565866575671296|/pbcsd/status/910565866575671296||||
pbcsd|2017-09-09 13:10:06|6|16|Please make sure that you have found safety and stay current with PBCSD 13 operating shelters. https://twitter.com/schoolpolicepb c/status/906547032856449026   …|Please make sure that you have found safety and stay current with PBCSD 13 operating shelters.  c/status/906547032856449026   …|false|906565388061888512|/pbcsd/status/906565388061888512||||
pbcsd|2017-09-08 15:52:40|47|41|PBC countywide curfew beginning tomorrow at 3PM.  Please make sure you have found shelter and stay safely inside. https://twitter.com/pbcountysherif f/status/906214651331039232   …|PBC countywide curfew beginning tomorrow at 3PM.  Please make sure you have found shelter and stay safely inside.  f/status/906214651331039232   …|false|906243914016882689|/pbcsd/status/906243914016882689||||
pbcsd|2017-10-17 14:10:58|0|5|.@ConnistonMiddle  is setting up to show you why they’re your #BestChoicePBCSD ! See you in a bit at the @SoFlaFair . https://twitter.com/myavidtude/sta tus/920340164479766529   …|.@ConnistonMiddle  is setting up to show you why they’re your #BestChoicePBCSD ! See you in a bit at the @SoFlaFair .  tus/920340164479766529   …|false|920351445781766144|/pbcsd/status/920351445781766144||||
pbcsd|2017-09-21 08:27:09|2|9|Thanks so much!  __NEWLINE__Share with parents and faculty, and let us know what they think. #MakeItYoursPBC https://twitter.com/pbccPTA/status /910716314343309312   …|Thanks so much!  __NEWLINE__Share with parents and faculty, and let us know what they think. #MakeItYoursPBC  /910716314343309312   …|false|910842836156862465|/pbcsd/status/910842836156862465||||
pbcsd|2017-09-20 13:40:49|0|0|Schools will be closed tomorrow in observance of Rosh Hashanah.|Schools will be closed tomorrow in observance of Rosh Hashanah.|false|910559387160375296|/pbcsd/status/910559387160375296||||
pbcsd|2017-09-18 09:48:05|0|2|Love to see that positive energy on campus.  Make it a great Monday #SantalucesHS|Love to see that positive energy on campus.  Make it a great Monday #SantalucesHS|false|909776039823511553|/pbcsd/status/909776039823511553||||
pbcsd|2017-09-09 14:27:36|5|11|Stay current on 13 active PBCSD shelters:   http://fb.me/1wpPzMZhI   https://twitter.com/schoolpolicepb c/status/906578386117693441   …|Stay current on 13 active PBCSD shelters:       c/status/906578386117693441   …|false|906584894108831745|/pbcsd/status/906584894108831745||||
pbcsd|2017-10-26 16:33:49|1|1|We #MakeItCountPBC alongside our families, communities & business partners. Check out our Five Star Schools!  https://goo.gl/nQ2wD4   . pic.twitter.com/2gSSZ8MLBX|We #MakeItCountPBC alongside our families, communities & business partners. Check out our Five Star Schools!     . |false|923648885419118593|/pbcsd/status/923648885419118593||||
pbcsd|2017-09-19 16:24:30|8|13|Extra! Extra! @okeeheeleems  scholars #MakeItCountPBC  by acing college-level coursework! Read all about it:  https://goo.gl/9ZJb9m   . pic.twitter.com/1VHsP8X02N|Extra! Extra! @okeeheeleems  scholars #MakeItCountPBC  by acing college-level coursework! Read all about it:     . |false|910238188404445184|/pbcsd/status/910238188404445184||||
pbcsd|2017-09-07 21:52:39|213|192|Schools will be closed on Monday, due to the continued implications from #IrmaHurricane2017 https://twitter.com/flgovscott/sta tus/905952975436251136   …|Schools will be closed on Monday, due to the continued implications from #IrmaHurricane2017  tus/905952975436251136   …|false|905972117958795265|/pbcsd/status/905972117958795265||||
pbcsd|2017-10-26 08:50:22|5|18|# ThankATeacherPBC : Betty Baez reconnects with 2 special students 24 years after she taught them @SeminoleTrails !  https://goo.gl/wU3Vf1   pic.twitter.com/grsQ1f5x9Q|# ThankATeacherPBC : Betty Baez reconnects with 2 special students 24 years after she taught them @SeminoleTrails !     |false|923532253069791232|/pbcsd/status/923532253069791232||||
