username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
DeptofDefense|2017-09-07 22:00:00|128|463|Navigating the water. #Ukranian  amphibious armored personnel carrier moves though a lake during training in western #Ukraine . #WeAreNATO pic.twitter.com/dxNrS9WCZG|Navigating the water. #Ukranian  amphibious armored personnel carrier moves though a lake during training in western #Ukraine . #WeAreNATO |false|905973968242401280|/DeptofDefense/status/905973968242401280||||
DeptofDefense|2017-09-18 22:00:01|236|582|# MedalofHonorMonday : The only Hispanic-American @NavalAcademy  grad to receive the #MOH  gave his life to save others:  https://go.usa.gov/xRMTK   pic.twitter.com/kzL4JJxa3t|# MedalofHonorMonday : The only Hispanic-American @NavalAcademy  grad to receive the #MOH  gave his life to save others:     |false|909960237460987909|/DeptofDefense/status/909960237460987909||||
DeptofDefense|2017-09-15 16:00:01|62|180|17 Nations, 12 sports, 8 days of incredible adaptive sport competition! Follow @InvictusToronto  & become inspired. #IAM  #InvictusGames pic.twitter.com/XPCt19XuMm|17 Nations, 12 sports, 8 days of incredible adaptive sport competition! Follow @InvictusToronto  & become inspired. #IAM  #InvictusGames |false|908782477002498048|/DeptofDefense/status/908782477002498048||||
DeptofDefense|2017-09-05 16:00:01|144|303|During natural disasters, fast access to resources is critical. Find service member #mentalhealth  resources here:  https://go.usa.gov/xRsQJ   pic.twitter.com/NHj2xz5Abh|During natural disasters, fast access to resources is critical. Find service member #mentalhealth  resources here:     |false|905158597234933760|/DeptofDefense/status/905158597234933760||||
DeptofDefense|2017-10-24 00:00:01|708|2573|“You guys train too much!”__NEWLINE____NEWLINE__First of all, this is a spa day. Training starts next week.  pic.twitter.com/wKhmCpP1dB|“You guys train too much!”__NEWLINE____NEWLINE__First of all, this is a spa day. Training starts next week.  |false|922674012882219011|/DeptofDefense/status/922674012882219011||||
DeptofDefense|2017-10-21 00:00:02|230|717|# Sailors  transport a patient from a local   hospital to #USNSComfort . #DoD  is supporting @FEMA  #reliefefforts  following #HurricaneMaria . pic.twitter.com/gcCVjbGbA8|# Sailors  transport a patient from a local   hospital to #USNSComfort . #DoD  is supporting @FEMA  #reliefefforts  following #HurricaneMaria . |false|921586850422231045|/DeptofDefense/status/921586850422231045||||
DeptofDefense|2017-09-20 08:48:58|1|0|Anabelle is a cutie!|Anabelle is a cutie!|false|910485939859984385|/DeptofDefense/status/910485939859984385||||
DeptofDefense|2017-10-13 12:00:00|119|313|.@southcomwatch  at work! @USCG  team works to recover jettisoned cocaine bales in the #PacificOcean . The boarding team recovered 17 bales. pic.twitter.com/hZdyvcILJB|.@southcomwatch  at work! @USCG  team works to recover jettisoned cocaine bales in the #PacificOcean . The boarding team recovered 17 bales. |false|918868936153862144|/DeptofDefense/status/918868936153862144||||
DeptofDefense|2017-09-11 22:00:01|260|715|# MedalofHonorMonday : The youngest @USMC  #Marine  to receive the #MOH  escaped death twice.  https://go.usa.gov/xRFNU   pic.twitter.com/CqGbRrJk52|# MedalofHonorMonday : The youngest @USMC  #Marine  to receive the #MOH  escaped death twice.     |false|907423523618086913|/DeptofDefense/status/907423523618086913||||
DeptofDefense|2017-09-21 08:00:03|132|397|Splish splash! An amphibious assault vehicle launches into the ocean from #USSAshland  south of #Japan . pic.twitter.com/pdWBQp23yF|Splish splash! An amphibious assault vehicle launches into the ocean from #USSAshland  south of #Japan . |false|910836015111311360|/DeptofDefense/status/910836015111311360||||
DeptofDefense|2017-09-03 00:00:55|445|1366|Although #militarychaplains  are not always in the forefront, they play a vital role when transporting fallen #warriors  back home. pic.twitter.com/HPOZ3cnP6n|Although #militarychaplains  are not always in the forefront, they play a vital role when transporting fallen #warriors  back home. |false|904192456207474689|/DeptofDefense/status/904192456207474689||||
