username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
USArmy|2017-09-13 08:01:32|84|327|The #USArmy  Expert Infantry Badge test week for #Soldiers  has begun! @2dCavalryRegt  shows how to #GetErDone pic.twitter.com/aIWFuqA4UW|The #USArmy  Expert Infantry Badge test week for #Soldiers  has begun! @2dCavalryRegt  shows how to #GetErDone |false|907937285324333056|/USArmy/status/907937285324333056||||
USArmy|2017-09-07 13:00:53|70|146|.@JaxStrong  has begun releasing water from Lake Okeechobee in a pre-storm draw-down, preparing for #Irma .  https://go.usa.gov/xR6GN   pic.twitter.com/oSlsad7W1b|.@JaxStrong  has begun releasing water from Lake Okeechobee in a pre-storm draw-down, preparing for #Irma .     |false|905838292029100033|/USArmy/status/905838292029100033||||
USArmy|2017-10-02 11:39:17|0|0|Great pic!! Thank you for your service!|Great pic!! Thank you for your service!|false|914877456724742145|/USArmy/status/914877456724742145||||
USArmy|2017-10-11 11:32:06|23|72|# ICYMI : @ArmyChiefStaff  presents the State of the #USArmy  address. Watch here: https://youtu.be/LKBpNW9rE44  |# ICYMI : @ArmyChiefStaff  presents the State of the #USArmy  address. Watch here:   |false|918137139572936704|/USArmy/status/918137139572936704||||
USArmy|2017-10-09 09:44:00|77|260|'The #AUSA2017  opening ceremony is live on the @USArmy ''s Facebook page. #Watch pic.twitter.com/U6PNk22Wa1'|'The #AUSA2017  opening ceremony is live on the @USArmy ''s Facebook page. #Watch '|false|917385159523094528|/USArmy/status/917385159523094528||||
USArmy|2017-10-05 12:28:48|2|1|Thank you for participating in the #WednesdayWisdom  question. The answer is Selfless Service! #USArmy  #ArmyValues|Thank you for participating in the #WednesdayWisdom  question. The answer is Selfless Service! #USArmy  #ArmyValues|false|915977080864636928|/USArmy/status/915977080864636928||||
USArmy|2017-09-06 11:01:57|121|324|.@USNationalGuard  prepare to assist with relief efforts as Hurricane Irma makes begins to make landfall.  https://go.usa.gov/xR62q   pic.twitter.com/Ecr8LgRp2u|.@USNationalGuard  prepare to assist with relief efforts as Hurricane Irma makes begins to make landfall.     |false|905445975501787138|/USArmy/status/905445975501787138||||
USArmy|2017-10-10 09:20:30|1|6|'@ TRADOC ''s CSM Davenport: We''re going to work on NCO''s written & oral skills to help them get jobs post Army in the 21st Century. #AUSA2017'|'@ TRADOC ''s CSM Davenport: We''re going to work on NCO''s written & oral skills to help them get jobs post Army in the 21st Century. #AUSA2017'|false|917741631901716480|/USArmy/status/917741631901716480||||
USArmy|2017-09-03 16:00:23|144|410|# Volunteers  and @TexasGuard  with the #133rdFieldArtillery  provide support to help the victims of #Harvey  in Orange, Texas, Sept. 2, 2017. pic.twitter.com/V2xvXhI5Iy|# Volunteers  and @TexasGuard  with the #133rdFieldArtillery  provide support to help the victims of #Harvey  in Orange, Texas, Sept. 2, 2017. |false|904433915137581056|/USArmy/status/904433915137581056||||
USArmy|2017-09-24 15:30:22|94|366|.@fortleonardwood  #Soldiers  participated in gas chamber training, learning how to gain trust in their equipment. #USArmy pic.twitter.com/SQpfRWCldw|.@fortleonardwood  #Soldiers  participated in gas chamber training, learning how to gain trust in their equipment. #USArmy |false|912036506482692096|/USArmy/status/912036506482692096||||
