username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
USNationalGuard|2017-10-17 12:01:25|36|159|Photos of the day: Welcome home! @OHNationalGuard  members of the 323rd MP Co from their year long deployment to Turkey. pic.twitter.com/AV9flSTgn4|Photos of the day: Welcome home! @OHNationalGuard  members of the 323rd MP Co from their year long deployment to Turkey. |false|920318842664046592|/USNationalGuard/status/920318842664046592||||
USNationalGuard|2017-09-06 15:01:26|30|78|RT @USArmy : @USNationalGuard  prepare to assist with relief efforts as Hurricane Irma makes landfall.  https://go.usa.gov/xR62q   pic.twitter.com/aACRZrl5R2|RT @USArmy : @USNationalGuard  prepare to assist with relief efforts as Hurricane Irma makes landfall.     |false|905506241014894594|/USNationalGuard/status/905506241014894594||||
USNationalGuard|2017-09-02 10:35:13|22|80|.@SCNationalGuard  engineers bridge partnership with Colombian army:  https://ngpa.us/4293   pic.twitter.com/GHjb9silyw|.@SCNationalGuard  engineers bridge partnership with Colombian army:     |false|903989694274424832|/USNationalGuard/status/903989694274424832||||
USNationalGuard|2017-10-20 12:02:13|31|78|Photos of the day: @PANationalGuard  Soldiers provide in-home medical care to citizens of the #VirginIslands :  https://ngpa.us/4614   pic.twitter.com/MXa7BPmTDY|Photos of the day: @PANationalGuard  Soldiers provide in-home medical care to citizens of the #VirginIslands :     |false|921406209223282689|/USNationalGuard/status/921406209223282689||||
USNationalGuard|2017-09-26 14:02:52|0|0|Please visit this site for information and assistance:  https://www. fema.gov/hurricane-maria  |Please visit this site for information and assistance:   fema.gov/hurricane-maria  |false|912739263007125505|/USNationalGuard/status/912739263007125505||||
USNationalGuard|2017-09-19 09:01:53|26|78|.@GeorgiaGuard  continues relief from Hurricane Irma, prepares for Hurricane Maria:  https://ngpa.us/4423   pic.twitter.com/ilqlSySx6m|.@GeorgiaGuard  continues relief from Hurricane Irma, prepares for Hurricane Maria:     |false|910126801367764994|/USNationalGuard/status/910126801367764994||||
USNationalGuard|2017-10-31 15:01:43|8|31|No tricks just treats this Halloween thanks to @ARNGHealth : https://ngpa.us/4642  |No tricks just treats this Halloween thanks to @ARNGHealth :   |false|925437648738705411|/USNationalGuard/status/925437648738705411||||
USNationalGuard|2017-09-29 13:31:10|46|107|Always Ready, Always There! https://twitter.com/DeptofDefense/ status/913791366014128128   …|Always Ready, Always There!  status/913791366014128128   …|false|913818446525353984|/USNationalGuard/status/913818446525353984||||
USNationalGuard|2017-09-22 16:30:38|15|62|.@nationalguardMS  joins forces with state narcotics officials in huge pot bust:  https://ngpa.us/4443   pic.twitter.com/GFZmRTw09N|.@nationalguardMS  joins forces with state narcotics officials in huge pot bust:     |false|911326897707143169|/USNationalGuard/status/911326897707143169||||
USNationalGuard|2017-09-08 10:30:47|6|34|RT @ArmyOEI : .@OregonGuard  becomes first in @USNationalGuard  to achieve net zero #energy . Learn more: https://www. army.mil/article/193414/  |RT @ArmyOEI : .@OregonGuard  becomes first in @USNationalGuard  to achieve net zero #energy . Learn more:  army.mil/article/193414/  |false|906162908643590145|/USNationalGuard/status/906162908643590145||||
USNationalGuard|2017-09-29 16:30:31|47|84|.@JFHQDC  partners with Metropolitan Police to support Maria relief efforts:  https://ngpa.us/4490   pic.twitter.com/LTilORPqmv|.@JFHQDC  partners with Metropolitan Police to support Maria relief efforts:     |false|913863580755349505|/USNationalGuard/status/913863580755349505||||
USNationalGuard|2017-09-04 12:01:58|14|58|.@OregonGuard  deployment to wildfires approaches record: https://ngpa.us/4318  |.@OregonGuard  deployment to wildfires approaches record:   |false|904736304126205953|/USNationalGuard/status/904736304126205953||||
USNationalGuard|2017-10-14 10:30:30|25|111|.@theCaGuard  makes a difference at fire evacuation center:  https://ngpa.us/4573    #NorCalFires pic.twitter.com/vEfoSqX0jD|.@theCaGuard  makes a difference at fire evacuation center:      #NorCalFires |false|919208798568542211|/USNationalGuard/status/919208798568542211||||
USNationalGuard|2017-09-19 10:30:42|10|37|'.@VaNationalGuard ''s 91st Cyber Brigade activated as Army National Guard’s first cyber brigade:  https://ngpa.us/4424   pic.twitter.com/n3hzvDYd4M'|'.@VaNationalGuard ''s 91st Cyber Brigade activated as Army National Guard’s first cyber brigade:     '|false|910149154088898563|/USNationalGuard/status/910149154088898563||||
USNationalGuard|2017-09-25 12:01:39|29|80|Photo of the Day: @AlabamaNG  members conduct MEDEVAC hoist operations to better for future mission requirements:  https://ngpa.us/4456   pic.twitter.com/7tB965EOAS|Photo of the Day: @AlabamaNG  members conduct MEDEVAC hoist operations to better for future mission requirements:     |false|912346369855295489|/USNationalGuard/status/912346369855295489||||
USNationalGuard|2017-10-07 16:30:23|66|134|PHOTOS: @NationalGuardNY  & @PRNationalGuard  Soldiers bring a generator to a medical clinic in Culebra:  https://ngpa.us/4546   pic.twitter.com/2fSjWlXutq|PHOTOS: @NationalGuardNY  & @PRNationalGuard  Soldiers bring a generator to a medical clinic in Culebra:     |false|916762653871214594|/USNationalGuard/status/916762653871214594||||
