'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
USNavy|2017-09-23 18:22:18|93|359|Around the fleet in today's #USNavy  photos of the day.__NEWLINE__  info and   download:  http://www. navy.mil/viewPhoto.asp? utm_source=twitter&utm_medium=social&utm_campaign=PDA   … pic.twitter.com/PMYUdrbMz4|Around the fleet in today's #USNavy  photos of the day.__NEWLINE__  info and   download:   navy.mil/viewPhoto.asp? utm_source=twitter&utm_medium=social&utm_campaign=PDA   … |false|911717387141083136|/USNavy/status/911717387141083136
USNavy|2017-09-07 19:08:28|244|369| Important Hurricane #Irma  information about when #USNavy  personnel should evacuate -  http://www. navy.mil/submit/display .asp?story_id=102312   … pic.twitter.com/WWk0FrfZ32| Important Hurricane #Irma  information about when #USNavy  personnel should evacuate -   navy.mil/submit/display .asp?story_id=102312   … |false|905930798225911809|/USNavy/status/905930798225911809
USNavy|2017-09-30 11:30:37|35|163|MT @SECNAV76 : #SECNAV76  visited with industry partners at @GDBIW  with Maine Delegation and toured DDGs USS Thomas Hudner and Michael Monsoor pic.twitter.com/ohrCv30ZqX|MT @SECNAV76 : #SECNAV76  visited with industry partners at @GDBIW  with Maine Delegation and toured DDGs USS Thomas Hudner and Michael Monsoor |false|914150496113393664|/USNavy/status/914150496113393664
USNavy|2017-09-25 08:55:53|472|1169|: #USSWasp  Sailors evacuated U.S. citizens from the island of Dominica, Saturday, following Hurricane #Maria . pic.twitter.com/OwGg0Go1y6|: #USSWasp  Sailors evacuated U.S. citizens from the island of Dominica, Saturday, following Hurricane #Maria . |false|912299617877929984|/USNavy/status/912299617877929984
USNavy|2017-10-09 07:11:01|192|678|MT @USPacificFleet : #USSRonaldReagan  wraps up first port visit by #USNavy  aircraft carrier to #HongKong  in 3 years -  http://www. cpf.navy.mil/news.aspx/1302 04   … pic.twitter.com/btCskwwbUm|MT @USPacificFleet : #USSRonaldReagan  wraps up first port visit by #USNavy  aircraft carrier to #HongKong  in 3 years -   cpf.navy.mil/news.aspx/1302 04   … |false|917346657804673024|/USNavy/status/917346657804673024
USNavy|2017-09-11 08:06:29|310|886|# NeverForget  MT @DeptOfDefense : Please join us as we go live at the Pentagon #September11   Memorial Observance Ceremony at 9:15A ET pic.twitter.com/DCM4G2L16r|# NeverForget  MT @DeptOfDefense : Please join us as we go live at the Pentagon #September11   Memorial Observance Ceremony at 9:15A ET |false|907213758589751299|/USNavy/status/907213758589751299
USNavy|2017-09-06 11:48:37|72|249|Today's top photos from  http://Navy.mil   .__NEWLINE__  Info and   download:  http://www. navy.mil/viewPhoto.asp   pic.twitter.com/BpzKrVR0iv|Today's top photos from     .__NEWLINE__  Info and   download:   navy.mil/viewPhoto.asp   |false|905457717350981633|/USNavy/status/905457717350981633
USNavy|2017-10-24 16:12:00|153|618|# USSTheodoreRoosevelt  Carrier Strike Group enters @US7thFleet  -  http://www. navy.mil/submit/display .asp?story_id=103005   …  (File photo) pic.twitter.com/5ykIgABBnZ|# USSTheodoreRoosevelt  Carrier Strike Group enters @US7thFleet  -   navy.mil/submit/display .asp?story_id=103005   …  (File photo) |false|922918617435348992|/USNavy/status/922918617435348992
USNavy|2017-09-20 07:09:21|246|822|# USNavy  accepts delivery of future littoral combat ship #USSOmaha  -  http://www. navy.mil/submit/display .asp?story_id=102486&utm_source=twitter&utm_medium=social   … pic.twitter.com/xHsCVIzHaF|# USNavy  accepts delivery of future littoral combat ship #USSOmaha  -   navy.mil/submit/display .asp?story_id=102486&utm_source=twitter&utm_medium=social   … |false|910460868730769408|/USNavy/status/910460868730769408
USNavy|2017-09-15 09:46:38|51|254|LIVE NOW: Watch #USNavy 's newest Sailors graduate boot camp -  http://navylive.dodlive.mil/2017/09/15/nav y-recruit-graduation-september-15-2017/?utm_source=twitter&utm_medium=social   … pic.twitter.com/xhqR32xJr3|LIVE NOW: Watch #USNavy 's newest Sailors graduate boot camp -   y-recruit-graduation-september-15-2017/?utm_source=twitter&utm_medium=social   … |false|908688513788497920|/USNavy/status/908688513788497920
USNavy|2017-09-14 08:52:54|59|233|# USNavy  deploys Arctic buoys to better predict #weather , reducing operational risks -  http://www. navy.mil/submit/display .asp?story_id=102375&utm_source=twitter&utm_medium=social   …  via @navyoceans pic.twitter.com/OtOrhfxdZb|# USNavy  deploys Arctic buoys to better predict #weather , reducing operational risks -   navy.mil/submit/display .asp?story_id=102375&utm_source=twitter&utm_medium=social   …  via @navyoceans |false|908312600127135745|/USNavy/status/908312600127135745
USNavy|2017-10-02 12:17:40|266|439|UPDATE: Training Air Wing ONE confirms T-45 crashed Sunday in Tennessee. Two pilots did not survive -  http://www. navy.mil/submit/display .asp?story_id=102681&utm_source=twitter&utm_medium=social   …  (File photo) pic.twitter.com/IduYMYWsCO|UPDATE: Training Air Wing ONE confirms T-45 crashed Sunday in Tennessee. Two pilots did not survive -   navy.mil/submit/display .asp?story_id=102681&utm_source=twitter&utm_medium=social   …  (File photo) |false|914887112801079296|/USNavy/status/914887112801079296
USNavy|2017-10-07 11:00:47|296|736|LIVE #Periscope : Commissioning of #USNavy ’s #USSWashington  #SSN787 https://www. pscp.tv/w/bKeSHzF4a1FE cVJKYVpLem18MUJSSmp5d21kTU5HdxS5qFG1EiOjcLeoVJtaQCGIN4jnoJ3qY7o4NpgGBJai   …|LIVE #Periscope : Commissioning of #USNavy ’s #USSWashington  #SSN787  pscp.tv/w/bKeSHzF4a1FE cVJKYVpLem18MUJSSmp5d21kTU5HdxS5qFG1EiOjcLeoVJtaQCGIN4jnoJ3qY7o4NpgGBJai   …|false|916679707210391553|/USNavy/status/916679707210391553
USNavy|2017-10-16 14:37:01|90|334|.@MSCSealift  #USNSComfort  welcomes newest arrival, first baby born aboard hospital ship since 2010 -  http://www. navy.mil/submit/display .asp?story_id=102886   … pic.twitter.com/ukX1yAxiqJ|.@MSCSealift  #USNSComfort  welcomes newest arrival, first baby born aboard hospital ship since 2010 -   navy.mil/submit/display .asp?story_id=102886   … |false|919995612191514626|/USNavy/status/919995612191514626
USNavy|2017-10-21 21:44:32|300|1268|MT @BlueAngels : We had a great demonstration today, and we're doing it all again tomorrow at the #WONG17  #GeorgiaAirShow ! pic.twitter.com/t5anVmTTzh|MT @BlueAngels : We had a great demonstration today, and we're doing it all again tomorrow at the #WONG17  #GeorgiaAirShow ! |false|921915140538281984|/USNavy/status/921915140538281984
USNavy|2017-10-18 07:33:20|1|1|Sexual harassment and assault are not a joke. They are contrary to our core values.|Sexual harassment and assault are not a joke. They are contrary to our core values.|false|920613766789844992|/USNavy/status/920613766789844992
USNavy|2017-09-04 13:38:28|263|831|Teamwork in Texas.__NEWLINE__#USNavy  Sailors and @USArmy  Soldiers load bottled water onto MH-60S Sea Hawk in Beaumont, Sunday. @GovAbbott  @texasgov pic.twitter.com/6wIhwZuRuE|Teamwork in Texas.__NEWLINE__#USNavy  Sailors and @USArmy  Soldiers load bottled water onto MH-60S Sea Hawk in Beaumont, Sunday. @GovAbbott  @texasgov |false|904760588965990400|/USNavy/status/904760588965990400
USNavy|2017-09-10 20:30:59|191|501|# USNavy  @NASKeyWest  essential personnel weathering #HurricaneIrma  -  http://www. navy.mil/submit/display .asp?story_id=102346&utm_source=twitter&utm_medium=social&utm_campaign=irma   … pic.twitter.com/y5ran9GFFV|# USNavy  @NASKeyWest  essential personnel weathering #HurricaneIrma  -   navy.mil/submit/display .asp?story_id=102346&utm_source=twitter&utm_medium=social&utm_campaign=irma   … |false|907038727100358656|/USNavy/status/907038727100358656
USNavy|2017-09-13 10:11:57|106|283|Fly with us on one of our Hurricane #Irma  search & rescue missions above Florida Keys -  https://www. nbcnews.com/nightly-news/v ideo/navy-deploys-search-and-rescue-crews-to-florida-keys-1045136963668   …  @NBCNightlyNews  @Miguelnbc pic.twitter.com/ojRp3mOJFK|Fly with us on one of our Hurricane #Irma  search & rescue missions above Florida Keys -   nbcnews.com/nightly-news/v ideo/navy-deploys-search-and-rescue-crews-to-florida-keys-1045136963668   …  @NBCNightlyNews  @Miguelnbc |false|907970106961092608|/USNavy/status/907970106961092608
USNavy|2017-09-13 14:47:20|69|279|MT @USNavyEurope : MH-60R Sea Hawk helicopter prepares for take off from #USSOscarAustin  #DDG79 , Monday. #ReadyForces pic.twitter.com/4dkVLeTGH2|MT @USNavyEurope : MH-60R Sea Hawk helicopter prepares for take off from #USSOscarAustin  #DDG79 , Monday. #ReadyForces |false|908039411207737344|/USNavy/status/908039411207737344
