'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
USMarineCorps|2017-10-06 15:02:42|19|113|Your determination is what sets you apart as a 2017 Semper Fidelis All-American. https://twitter.com/FightingSpirit /status/916376793405362176   …|Your determination is what sets you apart as a 2017 Semper Fidelis All-American.  /status/916376793405362176   …|false|916378195812933634|/USMarineCorps/status/916378195812933634
USMarineCorps|2017-09-12 18:10:07|119|394|Drill instructor Sgt Quaylain Brown received the Navy and Marine Corps Achievement Medal for his fight in saving the life of a recruit. pic.twitter.com/vkqtbhglnO|Drill instructor Sgt Quaylain Brown received the Navy and Marine Corps Achievement Medal for his fight in saving the life of a recruit. |false|907728054981709824|/USMarineCorps/status/907728054981709824
USMarineCorps|2017-10-05 14:04:00|21|101|SSgt Walter Vaughn will answer your questions today on Facebook Live at 6:30 PM EDT #AskAMarine   https://www. facebook.com/marinecorps/   pic.twitter.com/DYnp3WBnV2|SSgt Walter Vaughn will answer your questions today on Facebook Live at 6:30 PM EDT #AskAMarine    facebook.com/marinecorps/   |false|916001037550538762|/USMarineCorps/status/916001037550538762
USMarineCorps|2017-09-28 12:45:13|113|475|Marines come from different backgrounds. The oath we take is the same.__NEWLINE__Do you have what it takes to become one of us? pic.twitter.com/dGU0A96MGh|Marines come from different backgrounds. The oath we take is the same.__NEWLINE__Do you have what it takes to become one of us? |false|913444495051694081|/USMarineCorps/status/913444495051694081
USMarineCorps|2017-10-14 16:45:04|102|397|After four years in the Marines, Kyle Boyd took his determination to @BUFootball  as their starting fullback.  http://usmarin.es/HnQdFc   pic.twitter.com/7Mld0e6Pbt|After four years in the Marines, Kyle Boyd took his determination to @BUFootball  as their starting fullback.     |false|919303062916825088|/USMarineCorps/status/919303062916825088
USMarineCorps|2017-09-16 11:30:19|17|67|For decades, Combat Art Marines have documented the fighting spirit. See their artwork at the Marine Corps Museum.  http://usmarin.es/5kdVen   pic.twitter.com/UXmtXRPo0u|For decades, Combat Art Marines have documented the fighting spirit. See their artwork at the Marine Corps Museum.     |false|909076993039269889|/USMarineCorps/status/909076993039269889
USMarineCorps|2017-10-09 14:45:11|23|152|Exercise Aurora 17 in Sweden trains Marines to improve defense capabilities, promote security & strengthen relations with partner nations. pic.twitter.com/fgS61Rzvqr|Exercise Aurora 17 in Sweden trains Marines to improve defense capabilities, promote security & strengthen relations with partner nations. |false|917460952701984769|/USMarineCorps/status/917460952701984769
USMarineCorps|2017-09-06 10:50:08|16|109|LCpl Josiah Light, named Company Honor Man, fought to overcome the challenges, rigors of recruit training. See more:  http://usmarin.es/oUHatb   pic.twitter.com/UYPNPFDymt|LCpl Josiah Light, named Company Honor Man, fought to overcome the challenges, rigors of recruit training. See more:     |false|905442999475331073|/USMarineCorps/status/905442999475331073
USMarineCorps|2017-09-07 17:16:33|32|153|Marines salute our nation and the city of Detroit during a reception with community leaders. #MarineWeek pic.twitter.com/Z7sQh0m6eq|Marines salute our nation and the city of Detroit during a reception with community leaders. #MarineWeek |false|905902633956859905|/USMarineCorps/status/905902633956859905
USMarineCorps|2017-09-29 14:30:17|48|237|At Camp Pendleton, Bravo Company strengthens patrol and search capabilities to identify potential enemies and develop deployment readiness. pic.twitter.com/z560weUpyP|At Camp Pendleton, Bravo Company strengthens patrol and search capabilities to identify potential enemies and develop deployment readiness. |false|913833324652777472|/USMarineCorps/status/913833324652777472
