username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
7Weather|2017-10-10 16:05:30|10|4|Following an Upper Low and a wave. If they do not fall apart... we may see abetter chance of rain by Thursday. pic.twitter.com/zSVwPhAImE|Following an Upper Low and a wave. If they do not fall apart... we may see abetter chance of rain by Thursday. |false|917843552335548416|/7Weather/status/917843552335548416||||
7Weather|2017-09-25 18:56:33|2|3|Miami sunset at 7:14 PM pic.twitter.com/34h2F4s8ge|Miami sunset at 7:14 PM |false|912450783605555200|/7Weather/status/912450783605555200||||
7Weather|2017-09-10 13:25:46|1|1|Impacts -- tropical storm force winds and flood risk until early Monday morning|Impacts -- tropical storm force winds and flood risk until early Monday morning|false|906931720758419457|/7Weather/status/906931720758419457||||
7Weather|2017-10-22 22:18:11|10|5|Strong storms tonight, especially from the FL panhandle into Alabama. pic.twitter.com/3zT3DzQonO|Strong storms tonight, especially from the FL panhandle into Alabama. |false|922285997798371328|/7Weather/status/922285997798371328||||
7Weather|2017-09-18 20:13:55|103|55|Eye of Hurricane Maria is about to pass over Dominica, at Cat. 5 strength. pic.twitter.com/1kMuZfslAx|Eye of Hurricane Maria is about to pass over Dominica, at Cat. 5 strength. |false|909933535234023424|/7Weather/status/909933535234023424||||
7Weather|2017-09-07 04:01:14|3|4|Here is the latest forecast track on #Irma pic.twitter.com/BvJ9wmRpaC|Here is the latest forecast track on #Irma |false|905702487210024960|/7Weather/status/905702487210024960||||
7Weather|2017-09-09 13:46:25|87|94|Here is the latest forecast track on #Irma pic.twitter.com/9gEhI1WLTr|Here is the latest forecast track on #Irma |false|906574528997883905|/7Weather/status/906574528997883905||||
7Weather|2017-10-12 16:42:53|5|8|One big downpour approaching Cutler bay, Naranja, & Homestead. pic.twitter.com/2vkSZN45FI|One big downpour approaching Cutler bay, Naranja, & Homestead. |false|918577736276463616|/7Weather/status/918577736276463616||||
7Weather|2017-10-02 17:50:03|10|5|Tropical Wave now crossing the Bahamas.  IF IT HOLDS may reach south FL. Rain & wind impacts possible by daybreak. pic.twitter.com/gRfKyexvKK|Tropical Wave now crossing the Bahamas.  IF IT HOLDS may reach south FL. Rain & wind impacts possible by daybreak. |false|914970760850149376|/7Weather/status/914970760850149376||||
7Weather|2017-10-28 23:30:12|16|14|Poorly organized TS Philippe over So FL. Rain should start moving out overnight. Strongest winds to remain offshore. pic.twitter.com/my0RZotTLX|Poorly organized TS Philippe over So FL. Rain should start moving out overnight. Strongest winds to remain offshore. |false|924478447849701376|/7Weather/status/924478447849701376|So, FL|||
7Weather|2017-09-06 08:50:37|11|15|The time window of concern is late Friday night through Monday. #Irma  @wsvn pic.twitter.com/QuVZYGl3S2|The time window of concern is late Friday night through Monday. #Irma  @wsvn |false|905412925237731328|/7Weather/status/905412925237731328||||
7Weather|2017-09-10 08:02:08|0|0|Yes, around 7pm on Saturday night|Yes, around 7pm on Saturday night|false|906850274370883585|/7Weather/status/906850274370883585||||
7Weather|2017-09-05 13:43:38|116|85|Here is the latest forecast track on #Irma pic.twitter.com/0KprZfsswX|Here is the latest forecast track on #Irma |false|905124277497757696|/7Weather/status/905124277497757696||||
7Weather|2017-10-04 16:38:02|31|22|1 - 2 punch, Flood Watch until 6am Friday from possible heavy downpours, coastal advisory due to king tides. pic.twitter.com/zhABx4rny9|1 - 2 punch, Flood Watch until 6am Friday from possible heavy downpours, coastal advisory due to king tides. |false|915677414398812161|/7Weather/status/915677414398812161||||
7Weather|2017-09-07 17:54:54|2|2|There is a high risk of Weston and all of South Florida being impacted.|There is a high risk of Weston and all of South Florida being impacted.|false|905912286711123968|/7Weather/status/905912286711123968|FL|27.7567667|-81.4639835|210.85168210265104
7Weather|2017-09-02 16:38:33|8|5|Here is the latest forecast track on #Irma pic.twitter.com/MxDHgjdnYN|Here is the latest forecast track on #Irma |false|904081132643393536|/7Weather/status/904081132643393536||||
7Weather|2017-09-09 21:55:41|0|3|No threat to Florida. Jose will remain over the open Atlantic waters|No threat to Florida. Jose will remain over the open Atlantic waters|false|906697655262126080|/7Weather/status/906697655262126080||||
7Weather|2017-09-21 23:10:29|16|23|Maria future track - well east of FL and the SE coast of the U.S. pic.twitter.com/c2y8xYMx0L|Maria future track - well east of FL and the SE coast of the U.S. |false|911065133857869825|/7Weather/status/911065133857869825||||
7Weather|2017-10-29 21:29:50|35|44|Close to a cold weather RECORD tomorrow morning in Ft. Lauderdale!   Forecast is 53.  Record is 52. pic.twitter.com/1qHBHNbHFC|Close to a cold weather RECORD tomorrow morning in Ft. Lauderdale!   Forecast is 53.  Record is 52. |false|924810542547693568|/7Weather/status/924810542547693568||||
7Weather|2017-09-07 07:43:38|47|33|Here is the latest forecast track on #Irma pic.twitter.com/4pY19otMpM|Here is the latest forecast track on #Irma |false|905758455121797121|/7Weather/status/905758455121797121||||
7Weather|2017-10-19 18:29:15|4|2|Batch of clouds from the ocean, over the past hour. pic.twitter.com/2A5wBNAnKO|Batch of clouds from the ocean, over the past hour. |false|921141221430620161|/7Weather/status/921141221430620161||||
7Weather|2017-09-27 14:52:18|8|11|Heavy rain in parts of Miami Dade for area highlighted in Green until 3:45 pm. pic.twitter.com/WCOu9hP7z7|Heavy rain in parts of Miami Dade for area highlighted in Green until 3:45 pm. |false|913114088103907329|/7Weather/status/913114088103907329||||
7Weather|2017-10-29 23:50:22|7|6|Current temps across Broward and Miami-Dade pic.twitter.com/l5Ows1nUgR|Current temps across Broward and Miami-Dade |false|924845911573979136|/7Weather/status/924845911573979136||||
7Weather|2017-10-06 23:06:57|4|2|The eye of #Nate  set to make landfall in highlighted area. But its effects will be felt far away from the center. pic.twitter.com/nT0HjFl28G|The eye of #Nate  set to make landfall in highlighted area. But its effects will be felt far away from the center. |false|916500061827280896|/7Weather/status/916500061827280896||||
7Weather|2017-09-08 21:33:11|0|1|Impacts along the east coast could be more along the lines of a category 3 system|Impacts along the east coast could be more along the lines of a category 3 system|false|906329606843760640|/7Weather/status/906329606843760640||||
7Weather|2017-09-10 12:56:45|2|0|Tropical storm force winds are expected for all South Florida until early Sunday morning. Improving tomorrow|Tropical storm force winds are expected for all South Florida until early Sunday morning. Improving tomorrow|false|906924416977829888|/7Weather/status/906924416977829888|FL|27.7567667|-81.4639835|210.85168210265104
7Weather|2017-09-07 18:31:30|1|2|Unfortunately, it is possible|Unfortunately, it is possible|false|905921493984579585|/7Weather/status/905921493984579585||||
7Weather|2017-09-08 23:34:22|287|263|New Irma Forecast Cone.  Shift west in future track.  Serious impacts toward Keys.  SE coast WILL still be impacted. pic.twitter.com/LNHoHGBRwM|New Irma Forecast Cone.  Shift west in future track.  Serious impacts toward Keys.  SE coast WILL still be impacted. |false|906360102504079360|/7Weather/status/906360102504079360||||
7Weather|2017-10-13 23:28:59|6|4|In case you missed the Forecast on 7 News. pic.twitter.com/27TmriAD31|In case you missed the Forecast on 7 News. |false|919042324209942530|/7Weather/status/919042324209942530||||
7Weather|2017-09-16 19:24:41|15|11|Hurricane Jose in the W Atlantic, T.S. Maria heading for the Lesser Antilles, distant Lee in E Atlantic. pic.twitter.com/omxRN9N72n|Hurricane Jose in the W Atlantic, T.S. Maria heading for the Lesser Antilles, distant Lee in E Atlantic. |false|909196370652876800|/7Weather/status/909196370652876800||||
7Weather|2017-09-06 05:56:31|21|14|'Irma''s exact path to south Florida are still in question, but chances for an impact go up. #Irma  @wsvn pic.twitter.com/i90szwvMTx'|'Irma''s exact path to south Florida are still in question, but chances for an impact go up. #Irma  @wsvn '|false|905369109310963712|/7Weather/status/905369109310963712|FL|27.7567667|-81.4639835|210.85168210265104
7Weather|2017-10-16 15:12:31|4|5|Weakening cold front over FL panhandle.   Ahead of it?   Just a few showers with a sluggish Sea Breeze moving inland pic.twitter.com/HDGe55q4RX|Weakening cold front over FL panhandle.   Ahead of it?   Just a few showers with a sluggish Sea Breeze moving inland |false|920004547539431425|/7Weather/status/920004547539431425||||
7Weather|2017-09-06 16:16:54|1|1|'Here''s an explainer for the different models.  http://www. nhc.noaa.gov/modelsummary.s html   …'|'Here''s an explainer for the different models.   nhc.noaa.gov/modelsummary.s html   …'|false|905525235579052032|/7Weather/status/905525235579052032||||
7Weather|2017-09-08 21:24:21|0|0|Yes it is possible|Yes it is possible|false|906327381585092613|/7Weather/status/906327381585092613||||
7Weather|2017-09-09 13:47:38|1|1|Irma will still impact The Keys and SW Florida. But, Irma is so big. East dealing with hurricane force winds on 2nd worst part, the NE side.|Irma will still impact The Keys and SW Florida. But, Irma is so big. East dealing with hurricane force winds on 2nd worst part, the NE side.|false|906574834741673985|/7Weather/status/906574834741673985||||
