username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
APSouthRegion|2017-09-05 11:06:15|0|1|Thanks Mike. What city was the video shot in?|Thanks Mike. What city was the video shot in?|false|905084668139245569|/APSouthRegion/status/905084668139245569||||
APSouthRegion|2017-10-25 16:00:39|0|1|Police: A 100-year-old woman was found lying in her urine at a Georgia home. Her daughter was charged with neglect. http://apne.ws/f2voZrq  |Police: A 100-year-old woman was found lying in her urine at a Georgia home. Her daughter was charged with neglect.   |false|923278152754921473|/APSouthRegion/status/923278152754921473||||
APSouthRegion|2017-09-18 13:19:45|8|1|Hurricane Maria strengthens as it heads to Caribbean; the Category 3 storm could hit Puerto Rico as a Category 4. http://apne.ws/eQwj0oS  |Hurricane Maria strengthens as it heads to Caribbean; the Category 3 storm could hit Puerto Rico as a Category 4.   |false|909829308205666304|/APSouthRegion/status/909829308205666304||||
APSouthRegion|2017-10-29 20:19:16|2|3|12-year-old boy jumped from an overpass above a northern Virginia interstate and fell onto a car, killing driver. http://apne.ws/QmtfYX2  |12-year-old boy jumped from an overpass above a northern Virginia interstate and fell onto a car, killing driver.   |false|924792784766275585|/APSouthRegion/status/924792784766275585||||
APSouthRegion|2017-09-13 14:55:47|18|3|# HurricaneIrma  left a soggy swath of damage throughout Florida and beyond. Follow @AP ’s coverage here:  http://apne.ws/XVz0QYh   pic.twitter.com/Q5KathbHla|# HurricaneIrma  left a soggy swath of damage throughout Florida and beyond. Follow @AP ’s coverage here:     |false|908041536662798336|/APSouthRegion/status/908041536662798336||||
APSouthRegion|2017-09-20 12:27:54|2|2|Chocolate overload: Rig carrying 47,000 pounds of candy overturns on Virginia road; driver may be cited. http://apne.ws/2FgWbVW  |Chocolate overload: Rig carrying 47,000 pounds of candy overturns on Virginia road; driver may be cited.   |false|910541036740542464|/APSouthRegion/status/910541036740542464||||
APSouthRegion|2017-10-26 16:03:02|31|25|Officials say prison cellphones are a scourge. Will the FCC allow airwaves to be jammed? http://apne.ws/KdZsTLD  |Officials say prison cellphones are a scourge. Will the FCC allow airwaves to be jammed?   |false|923641140091543558|/APSouthRegion/status/923641140091543558||||
APSouthRegion|2017-09-21 07:43:42|3|1|Caribbean communities in the U.S. working to get help for islands ravaged by Hurricane Irma http://apne.ws/G7bpJrk  |Caribbean communities in the U.S. working to get help for islands ravaged by Hurricane Irma   |false|910831903833559040|/APSouthRegion/status/910831903833559040||||
APSouthRegion|2017-09-05 12:29:03|0|1|Hi Zach. Did you shoot this video in Miramar today and may The Associated Press have your permission to use it? Standard release attached. pic.twitter.com/rlzDS19iU2|Hi Zach. Did you shoot this video in Miramar today and may The Associated Press have your permission to use it? Standard release attached. |false|905105505416294401|/APSouthRegion/status/905105505416294401||||
APSouthRegion|2017-10-17 09:52:18|3|0|Woman runs over and kills over toddler in Florida; is later dragged from her SUV and beaten. http://apne.ws/Xh4yI9f  |Woman runs over and kills over toddler in Florida; is later dragged from her SUV and beaten.   |false|920286350514978816|/APSouthRegion/status/920286350514978816||||
APSouthRegion|2017-09-04 16:28:57|4|3|Kentucky’s last abortion clinic is bracing for a legal showdown with its anti-abortion governor, health regulators. http://apne.ws/GxMcAk5  |Kentucky’s last abortion clinic is bracing for a legal showdown with its anti-abortion governor, health regulators.   |false|904803490962300931|/APSouthRegion/status/904803490962300931||||
APSouthRegion|2017-09-10 17:35:45|52|64|Reporter @TamaraLush  is not only covering #HurricaneIrma  - she also had to flee home for a safer spot. Her story: http://apne.ws/2N1Tsd5  |Reporter @TamaraLush  is not only covering #HurricaneIrma  - she also had to flee home for a safer spot. Her story:   |false|906994629379280897|/APSouthRegion/status/906994629379280897||||
APSouthRegion|2017-10-18 20:13:56|0|1|Police: The suspect in the shootings of 6 at a Maryland office park and a Delaware car lot is in custody. http://apne.ws/kD3mGx2  |Police: The suspect in the shootings of 6 at a Maryland office park and a Delaware car lot is in custody.   |false|920805175316570112|/APSouthRegion/status/920805175316570112||||
APSouthRegion|2017-10-20 13:20:00|5|3|Deputies on child porn raid at Florida home say they found guns, explosives and note promising "bloody revenge." http://apne.ws/1vrCF44  |Deputies on child porn raid at Florida home say they found guns, explosives and note promising "bloody revenge."   |false|921425782324555778|/APSouthRegion/status/921425782324555778||||
APSouthRegion|2017-10-06 10:32:22|6|2|A Tennessee county commission votes to keep a Confederate bust on courthouse lawn. http://apne.ws/jbaWUah  |A Tennessee county commission votes to keep a Confederate bust on courthouse lawn.   |false|916310166253039617|/APSouthRegion/status/916310166253039617||||
