username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
CBSNews|2017-09-22 00:33:08|96|152|D.C. court rules tracking phones without a warrant is unconstitutional  http://cbsn.ws/2flXeac   pic.twitter.com/8VFbsJBxUv|D.C. court rules tracking phones without a warrant is unconstitutional     |false|911085932660514816|/CBSNews/status/911085932660514816||||
CBSNews|2017-09-25 19:01:50|37|71|'"We''re going forward very slowly, because the forces of opposition keep pushing back." pic.twitter.com/WJEqxqG1kl'|'"We''re going forward very slowly, because the forces of opposition keep pushing back." '|false|912452109076922368|/CBSNews/status/912452109076922368||||
CBSNews|2017-10-11 06:45:08|20|29|Commander and executive officer of the USS John S. McCain were relieved of their duties after August collision  http://cbsn.ws/2yep3rW   pic.twitter.com/kmgMFxXzWq|Commander and executive officer of the USS John S. McCain were relieved of their duties after August collision     |false|918064922403188736|/CBSNews/status/918064922403188736||||
CBSNews|2017-10-26 08:08:58|24|48|“We need to make sure we continue to encourage retirement savings, so that fewer people are challenged” later in life, @SenatorTimScott  says pic.twitter.com/FIb4pheqn4|“We need to make sure we continue to encourage retirement savings, so that fewer people are challenged” later in life, @SenatorTimScott  says |false|923521836352245761|/CBSNews/status/923521836352245761||||
CBSNews|2017-09-28 00:48:05|32|24|Opioid commission unveils new partnerships, drug supply limits to stop epidemic  http://cbsn.ws/2xMxUB5   pic.twitter.com/dna9PMH5YW|Opioid commission unveils new partnerships, drug supply limits to stop epidemic     |false|913264025093443584|/CBSNews/status/913264025093443584||||
CBSNews|2017-10-07 04:48:04|3|22|'Undergoing massive change, Rolling Stone president discusses the magazine''s future, legacy and controversies  http://cbsn.ws/2y5BqXi   pic.twitter.com/u6128HYcHj'|'Undergoing massive change, Rolling Stone president discusses the magazine''s future, legacy and controversies     '|false|916585909981794304|/CBSNews/status/916585909981794304||||
CBSNews|2017-10-26 00:18:06|46|87|'America''s fortress: Inside the base that defends U.S. in outer space  http://cbsn.ws/2yLoTce   pic.twitter.com/W3PKqD2Wv8'|'America''s fortress: Inside the base that defends U.S. in outer space     '|false|923403340062646272|/CBSNews/status/923403340062646272||||
CBSNews|2017-10-12 13:56:45|553|1343|"Our country will stand with the American citizens in Puerto Rico until the job is done," John Kelly says  http://cbsn.ws/2gzvdZR   pic.twitter.com/KtR5lN7hgz|"Our country will stand with the American citizens in Puerto Rico until the job is done," John Kelly says     |false|918535928506920960|/CBSNews/status/918535928506920960||||
CBSNews|2017-09-08 05:33:06|25|91|'Ohio Gov. Kasich signs onto Schwarzenegger''s gerrymandering reform  http://cbsn.ws/2f9mI7r   pic.twitter.com/NaQjrp6NmT'|'Ohio Gov. Kasich signs onto Schwarzenegger''s gerrymandering reform     '|false|906087994771296256|/CBSNews/status/906087994771296256||||
CBSNews|2017-10-15 04:18:07|82|205|Inmates in Texas prisons donate more than $53,000 for Hurricane Harvey relief  http://cbsn.ws/2hHN7cR   pic.twitter.com/KDs1ZUoYJH|Inmates in Texas prisons donate more than $53,000 for Hurricane Harvey relief     |false|919477472063885312|/CBSNews/status/919477472063885312||||
