username|date|retweets|favorites|text|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
CNN|2017-09-09 10:11:02|195|274|Ahead of  Irma , @BillWeirCNN  calls Key West "the most vulnerable neighborhood in America right now" http://snpy.tv/2wgR8Kw  |false|906520324707110913|/CNN/status/906520324707110913||||
CNN|2017-09-13 17:57:10|103|138|A week after  Irma , Caribbean devastation is laid bare  http://cnn.it/2fjsRxR   pic.twitter.com/5fswZao77g|false|908087184544206848|/CNN/status/908087184544206848||||
CNN|2017-09-14 01:32:15|206|665|This nun grabbed a chainsaw to help clean up debris from Hurricane  Irma   http://cnn.it/2jofJM8   pic.twitter.com/TN2t2NUxhr|false|908201709398355968|/CNN/status/908201709398355968||||
CNN|2017-09-06 04:52:57|425|438|Hurricane  Irma  hits Caribbean island of Barbuda with winds of up to 185 mph  http://cnn.it/2eDQnoB   pic.twitter.com/W4CqgWGw8T|false|905353114299109377|/CNN/status/905353114299109377||||
CNN|2017-09-08 20:34:32|172|233|'NOAA flight director describes what #Irma ''s path looks like from the air  http://snpy.tv/2vLBqYu  '|false|906314847612104704|/CNN/status/906314847612104704||||
CNN|2017-09-20 11:31:03|128|232|'This couple survived Hurricane  Irma , but their nightmare isn''t over yet. They now face Maria''s wrath.  http://cnn.it/2wyiMHK   pic.twitter.com/HzAgvANXe9'|false|910526727859863559|/CNN/status/910526727859863559||||
CNN|2017-09-10 13:00:19|215|269|'We''re tracking Hurricane  Irma ''s path:__NEWLINE____NEWLINE__Watch:  http://CNN.it/go    __NEWLINE____NEWLINE__Updates:  http://cnn.it/2xeo36t   __NEWLINE____NEWLINE__Radar:  http://cnn.it/2fbj8th   pic.twitter.com/9lQuopjI1b'|false|906925315326431233|/CNN/status/906925315326431233||||
CNN|2017-09-13 04:15:43|171|228|This drone footage shows the destruction caused by Hurricane  Irma  in Islamorada, Florida  http://cnn.it/2xvNi5v   pic.twitter.com/Y8hXbh247z|false|907880456414167040|/CNN/status/907880456414167040||||
CNN|2017-09-10 04:30:11|48|106|'Inside FEMA''s command center as Hurricane #Irma  approaches  http://cnn.it/2eWp2S7   pic.twitter.com/SWoLgcZAoc'|false|906796937235623938|/CNN/status/906796937235623938||||
CNN|2017-09-08 13:10:15|326|441|Only 4 hurricanes have ever hit Florida with 150 mph or greater winds.  Irma  is forecast to be the fifth.  http://cnn.it/2xRuxWd   pic.twitter.com/6d6I0N1vRG|false|906203039782010880|/CNN/status/906203039782010880||||
CNN|2017-10-10 04:20:05|127|147|'Two more former residents of a Florida nursing home have died after Hurricane  Irma  knocked out the facility''s A/C  http://cnn.it/2fYKoLG  '|false|917666030469697536|/CNN/status/917666030469697536||||
CNN|2017-09-11 22:00:05|68|243|I fled  Irma  and found the best side of America, writes a @CNNOpinion  contributor http://cnn.it/2f1bghc  |false|907423538650468353|/CNN/status/907423538650468353||||
CNN|2017-09-12 00:23:13|169|206|Satellite images show how  Irma  devastated parts of the Caribbean, leaving behind wrecked houses and scattered debris  http://cnn.it/2xh8WcF   pic.twitter.com/dxvZXRTqrW|false|907459558435680261|/CNN/status/907459558435680261||||
CNN|2017-09-11 19:16:17|140|262|'"I just want to get home":  Irma ''s desperate Caribbean survivors assess the damage and begin to pick up the pieces  http://cnn.it/2xt0dVM   pic.twitter.com/Z5dyCJTJQ8'|false|907382317349568518|/CNN/status/907382317349568518||||
CNN|2017-09-11 10:50:32|601|793|'NASA video shows Hurricane  Irma ''s path as seen from space  http://cnn.it/2gYuHnM   pic.twitter.com/m8FeESEZxQ'|false|907255039311466496|/CNN/status/907255039311466496||||
CNN|2017-09-11 02:47:11|82|204|'Despite downed trees and power lines in Miami Beach, CNN''s Derek Van Dam says  Irma  has only had a "glancing blow."  http://cnn.it/2fcYs4c  '|false|907133401215447042|/CNN/status/907133401215447042||||
CNN|2017-09-13 07:37:06|160|301|28 years ago, Hurricane Hugo washed this iconic boat ashore. And Hurricane  Irma  just washed it away  http://cnn.it/2w8aEh9   pic.twitter.com/Iz69rBvQBV|false|907931138542522368|/CNN/status/907931138542522368||||
CNN|2017-09-06 03:00:24|75|126|Businesses in Florida are preparing for massive damage from Hurricane  Irma   http://cnn.it/2w51L2N   pic.twitter.com/53nuuJgQP8|false|905324790730326016|/CNN/status/905324790730326016||||
CNN|2017-09-06 22:39:26|54|175|The Trump Organization, which has multiple properties in South Florida, is taking precautions ahead of #Irma   http://cnn.it/2wHUIAE   pic.twitter.com/0iZ8aMYZ5W|false|905621500841136128|/CNN/status/905621500841136128||||
CNN|2017-09-26 21:16:04|124|228|3 storms, 3 responses: Comparing the recovery efforts after Harvey,  Irma  and Maria  http://cnn.it/2hvX28V   pic.twitter.com/tPqHvLVGLF|false|912848277971902464|/CNN/status/912848277971902464||||
CNN|2017-09-10 03:15:07|85|180|Inside the Kennedy Space Center as Hurricane #Irma  nears  http://cnn.it/2eWYTCW   pic.twitter.com/QfJVBo8OAl|false|906778044999839744|/CNN/status/906778044999839744||||
CNN|2017-09-07 22:04:45|1339|1541|'A local news cameraman was shooting footage in Nagua, Dominican Republic, when #Irma ''s waves almost took him down  http://cnn.it/2xaqO8R   pic.twitter.com/AFQdLYONXN'|false|905975161270267905|/CNN/status/905975161270267905||||
