username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
CNNweather|2017-10-27 08:10:18|4|11|Floods could strike NYC every five years, climate study says  http://cnn.it/2y9V7yf  |Floods could strike NYC every five years, climate study says    |false|923884560017952768|/CNNweather/status/923884560017952768||||
CNNweather|2017-09-14 23:52:12|4|7|Track #Jose  with us at home with our interactive tracker! http://www. cnn.com/interactive/st orm-tracker/   …|Track #Jose  with us at home with our interactive tracker!  cnn.com/interactive/st orm-tracker/   …|false|908538917498040320|/CNNweather/status/908538917498040320||||
CNNweather|2017-09-15 21:49:11|28|63|'Meteorologist Allison Chinchar maps out #HurricaneJose ''s path and notes that the NE will not be the only part of the #UnitedStates  affected. pic.twitter.com/NTFMGj0emz'|'Meteorologist Allison Chinchar maps out #HurricaneJose ''s path and notes that the NE will not be the only part of the #UnitedStates  affected. '|false|908870348652789761|/CNNweather/status/908870348652789761||||
CNNweather|2017-09-10 14:04:19|17|22|# HurricaneIrma  still dangerous; now Cat 3 storm w/ 120 mph max winds. Worst winds headed to Marco Islands /Naples http://cnn.it/2gREG1P  |# HurricaneIrma  still dangerous; now Cat 3 storm w/ 120 mph max winds. Worst winds headed to Marco Islands /Naples   |false|906941420111572997|/CNNweather/status/906941420111572997||||
CNNweather|2017-10-09 05:28:15|9|10|# TropicalDepression  Twentythree could bring upwards of 500mm to #Vinh , #Vietnam  over the next 48 hours. pic.twitter.com/Q2BZcFspGf|# TropicalDepression  Twentythree could bring upwards of 500mm to #Vinh , #Vietnam  over the next 48 hours. |false|917320797362024448|/CNNweather/status/917320797362024448||||
CNNweather|2017-10-01 16:46:57|22|18|Heavy rain from a tropical wave deluging parts of northern Florida with 7"-9" and reports of flooding in Palm Harbor #flwx pic.twitter.com/kqhW3lXykX|Heavy rain from a tropical wave deluging parts of northern Florida with 7"-9" and reports of flooding in Palm Harbor #flwx |false|914592492431052800|/CNNweather/status/914592492431052800|FL|27.7567667|-81.4639835|210.85168210265104
CNNweather|2017-09-23 13:56:49|0|1|'@ khcmartin  HI - I''m with CNN; we''d like to use your photo "Scottish Borders". Can you message me your name and where pic was taken? Thx'|'@ khcmartin  HI - I''m with CNN; we''d like to use your photo "Scottish Borders". Can you message me your name and where pic was taken? Thx'|false|911650576953479173|/CNNweather/status/911650576953479173||||
CNNweather|2017-09-24 17:00:09|13|14|Tropical Depression TwentyTwo, moves through #Hainan  and toward #Vietnam  Monday. #Rainfall  accumulations upwards of 100 mm (4 in) expected. pic.twitter.com/ydarRPTGzf|Tropical Depression TwentyTwo, moves through #Hainan  and toward #Vietnam  Monday. #Rainfall  accumulations upwards of 100 mm (4 in) expected. |false|912059102330843136|/CNNweather/status/912059102330843136||||
CNNweather|2017-09-04 12:50:01|15|24|Firefighters gaining against massive brush fire in Los Angeles County http://cnn.it/2gzuQOm  |Firefighters gaining against massive brush fire in Los Angeles County   |false|904748393674792960|/CNNweather/status/904748393674792960||||
CNNweather|2017-09-07 14:35:39|35|39|'Irma broke Haiyan''s global record by maintaining wind speeds of 185mph or above for 37 hours. Keep updated on Irma: http://cnn.it/2wcbYKQ  '|'Irma broke Haiyan''s global record by maintaining wind speeds of 185mph or above for 37 hours. Keep updated on Irma:   '|false|905862141860827137|/CNNweather/status/905862141860827137||||
CNNweather|2017-09-14 02:11:00|2|11|"The windows exploded in the bedroom. We could feel the wind coming down the hallway through the kitchen." #Irma   http://cnn.it/2jqD0x2  |"The windows exploded in the bedroom. We could feel the wind coming down the hallway through the kitchen." #Irma     |false|908211459192127488|/CNNweather/status/908211459192127488||||
CNNweather|2017-10-09 03:28:17|16|18|Although #Nate  moved quite fast once it made #landfall , #rainfall  totals in parts of the #southeast  exceeded 4 inches. #HurricaneNate pic.twitter.com/IDGRDRSOMi|Although #Nate  moved quite fast once it made #landfall , #rainfall  totals in parts of the #southeast  exceeded 4 inches. #HurricaneNate |false|917290606094946304|/CNNweather/status/917290606094946304||||
CNNweather|2017-10-04 18:07:04|183|179|'TD #16 hasn''t strenghtened this afternoon. Poised to become Hurricane Nate by Friday, aimed at the FL panhandle pic.twitter.com/rGSckxmFeh'|'TD #16 hasn''t strenghtened this afternoon. Poised to become Hurricane Nate by Friday, aimed at the FL panhandle '|false|915699818869207040|/CNNweather/status/915699818869207040||||
