'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
capitalweather|2017-09-08 16:36:50|7|19|PM Update: Awesome weather sticks around through the weekend http://wapo.st/2wNOUXk  |PM Update: Awesome weather sticks around through the weekend   |false|906255025512607744|/capitalweather/status/906255025512607744
capitalweather|2017-09-09 12:50:59|28|24|AT LEAST tropical-storm-force winds predicted for almost entire Florida peninsula thru Monday. More:  http://wapo.st/2eVnesu   pic.twitter.com/EWZCOwhzXj|AT LEAST tropical-storm-force winds predicted for almost entire Florida peninsula thru Monday. More:     |false|906560579858522113|/capitalweather/status/906560579858522113
capitalweather|2017-09-12 17:32:15|3|5|PM Update: Clouds float by into Wednesday, and any rain shouldn’t be too big of a deal http://wapo.st/2eUSPqW  |PM Update: Clouds float by into Wednesday, and any rain shouldn’t be too big of a deal   |false|907718524940046337|/capitalweather/status/907718524940046337
capitalweather|2017-10-24 15:05:59|0|2|Also worth noting Trump's NOAA budget was DOA in Congress and its cuts to NWS were small. Well-written piece though!|Also worth noting Trump's NOAA budget was DOA in Congress and its cuts to NWS were small. Well-written piece though!|false|922902003768004609|/capitalweather/status/922902003768004609
capitalweather|2017-09-11 14:44:51|0|1|Hey: Great chart. Link for it? Thanks.|Hey: Great chart. Link for it? Thanks.|false|907314007547285505|/capitalweather/status/907314007547285505
capitalweather|2017-09-19 22:04:54|3|12|Wednesday Digit: 7/10 - Kind of fun to hang on to summer sun, though starting to feel too hot for the calendar. Dan, CWG|Wednesday Digit: 7/10 - Kind of fun to hang on to summer sun, though starting to feel too hot for the calendar. Dan, CWG|false|910323854999982080|/capitalweather/status/910323854999982080
capitalweather|2017-10-30 05:01:54|6|3|D.C.-area forecast: Quite brisk today, but it’ll be more tranquil and mild as the week progresses http://wapo.st/2lqIAAB  |D.C.-area forecast: Quite brisk today, but it’ll be more tranquil and mild as the week progresses   |false|924924308853583872|/capitalweather/status/924924308853583872
capitalweather|2017-09-27 10:59:24|56|69|Dear Government: Send in troops to Puerto Rico – this catastrophe demands it, by @TWCBryan : http://wapo.st/2fRlSMY  |Dear Government: Send in troops to Puerto Rico – this catastrophe demands it, by @TWCBryan :   |false|913055479793901569|/capitalweather/status/913055479793901569
capitalweather|2017-11-01 05:01:42|5|12|D.C.-area forecast: Cool and cloudy today, but 70s on their way back for brief visit http://wapo.st/2z2BNmr  |D.C.-area forecast: Cool and cloudy today, but 70s on their way back for brief visit   |false|925649036153098240|/capitalweather/status/925649036153098240
capitalweather|2017-10-21 05:02:06|4|7|D.C.-area forecast: Warmth dominates through early week, then a stormy transition by Tuesday http://wapo.st/2yx7Drd  |D.C.-area forecast: Warmth dominates through early week, then a stormy transition by Tuesday   |false|921662870307426304|/capitalweather/status/921662870307426304
