'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
XHNews|2017-09-24 13:31:02|570|1263|World's longest tunnel-to-tunnel bridge, Aizhai suspension bridge in Hunan, China, is believed to have broken 4 records in its construction pic.twitter.com/mitYcAsBFx|World's longest tunnel-to-tunnel bridge, Aizhai suspension bridge in Hunan, China, is believed to have broken 4 records in its construction |false|912006474271825921|/XHNews/status/912006474271825921
XHNews|2017-09-09 23:23:36|42|92|Indian scholar expresses optimism about BRICS next golden decade  http://xhne.ws/dvLue   pic.twitter.com/7GtEfyJUUb|Indian scholar expresses optimism about BRICS next golden decade     |false|906719782644445184|/XHNews/status/906719782644445184
XHNews|2017-09-13 10:11:22|37|90|Declining cattle rearing is threatening the central status of cattle in Malawi tribal cultures  http://xhne.ws/lXaga   pic.twitter.com/9usIBq8fKC|Declining cattle rearing is threatening the central status of cattle in Malawi tribal cultures     |false|907969961192292353|/XHNews/status/907969961192292353
XHNews|2017-10-15 11:29:00|61|148|# BREAKING : Austrian People's Party becomes strongest party in parliament of #Austriat pic.twitter.com/2BEDmDv65s|# BREAKING : Austrian People's Party becomes strongest party in parliament of #Austriat |false|919585908537643008|/XHNews/status/919585908537643008
XHNews|2017-10-05 03:49:05|43|131|Oct. 4th is both #WorldAnimalDay  & #MidAutumnFestival2017 . Do you know the link between Chinese traditional festivals and animals? pic.twitter.com/M5hrnLplEi|Oct. 4th is both #WorldAnimalDay  & #MidAutumnFestival2017 . Do you know the link between Chinese traditional festivals and animals? |false|915846288276586496|/XHNews/status/915846288276586496
XHNews|2017-10-18 03:04:32|46|335|China to further ease market access, open service sectors, protect legitimate rights& interests of foreign investors  http://xhne.ws/HoV7b   pic.twitter.com/oITpiFVQRg|China to further ease market access, open service sectors, protect legitimate rights& interests of foreign investors     |false|920546120165605376|/XHNews/status/920546120165605376
XHNews|2017-10-10 21:48:07|13|43|S.Korean envoy to China vows all efforts to forge bilateral ties which are historically, geographically fateful  http://xhne.ws/Zy9fP   pic.twitter.com/9znkddizYu|S.Korean envoy to China vows all efforts to forge bilateral ties which are historically, geographically fateful     |false|917929774529564673|/XHNews/status/917929774529564673
XHNews|2017-10-24 00:32:24|72|161|# CPC  includes #XiJinping 's military thinking and the Party's "absolute" leadership over the armed forces into its Constitution pic.twitter.com/i8FaAhGUbg|# CPC  includes #XiJinping 's military thinking and the Party's "absolute" leadership over the armed forces into its Constitution |false|922682159994933248|/XHNews/status/922682159994933248
XHNews|2017-10-20 10:56:32|35|99|Former Finnish diplomat says 19th #CPC  National Congress deserves world attention  http://xhne.ws/FkezP   pic.twitter.com/i4d9fORO08|Former Finnish diplomat says 19th #CPC  National Congress deserves world attention     |false|921389679651454976|/XHNews/status/921389679651454976
XHNews|2017-09-18 17:59:06|27|63|Cubans take to streets to clean up after Hurricane Irma, click to read the feature story  http://xhne.ws/wCnS0   pic.twitter.com/jk3zRv6tf2|Cubans take to streets to clean up after Hurricane Irma, click to read the feature story     |false|909899610000326656|/XHNews/status/909899610000326656
XHNews|2017-10-17 11:20:51|28|51|# XinhuaDialogue360 : China's development is a "miracle", says an analyst from leading Chinese think tank in 360°video https://www. youtube.com/watch?v=PqxriR zBaP8   …|# XinhuaDialogue360 : China's development is a "miracle", says an analyst from leading Chinese think tank in 360°video  youtube.com/watch?v=PqxriR zBaP8   …|false|920308635380498432|/XHNews/status/920308635380498432
XHNews|2017-10-11 04:49:56|50|212|Harvest season, sweet time. These are presents in return for your hard work pic.twitter.com/hoPi9qxtPM|Harvest season, sweet time. These are presents in return for your hard work |false|918035930514149376|/XHNews/status/918035930514149376
XHNews|2017-09-19 14:25:36|134|169|# BREAKING ： Strong earthquake shakes Mexico City pic.twitter.com/fMOrSkGcHF|# BREAKING ： Strong earthquake shakes Mexico City |false|910208269460951043|/XHNews/status/910208269460951043
