'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
News3LV|2017-11-01 19:37:44|0|1|# BREAKING  @AP  Family spokesman: American parents and two young children missing for days in Brazil have been found alive in jungle|# BREAKING  @AP  Family spokesman: American parents and two young children missing for days in Brazil have been found alive in jungle|false|925869495595384832|/News3LV/status/925869495595384832
News3LV|2017-10-18 10:41:02|0|0|Multiple injuries have been reported.__NEWLINE__ http://news3lv.com/news/breaking- news-shooting-reported-in-edgewood-business-park   …|Multiple injuries have been reported.__NEWLINE__  news-shooting-reported-in-edgewood-business-park   …|false|920661001023950848|/News3LV/status/920661001023950848
News3LV|2017-10-17 21:00:02|1|1|Family of toddler killed by vehicle: 'Whoever did it could have stopped'.__NEWLINE__ http://bit.ly/2gqCDlJ   pic.twitter.com/M0IvULqIR6|Family of toddler killed by vehicle: 'Whoever did it could have stopped'.__NEWLINE__    |false|920454388958793734|/News3LV/status/920454388958793734
News3LV|2017-10-16 21:00:01|0|1|Metro says officers fired 5 times at man who rushed them in domestic violence incident__NEWLINE__ http://bit.ly/2x16eF4   pic.twitter.com/gOa4WUUzmS|Metro says officers fired 5 times at man who rushed them in domestic violence incident__NEWLINE__    |false|920091996101865472|/News3LV/status/920091996101865472
News3LV|2017-09-27 18:10:46|0|0|# TRAFFICALERT  (3:06 p.m.): Crash on Carey at Nellis. Intersection blocked, use caution|# TRAFFICALERT  (3:06 p.m.): Crash on Carey at Nellis. Intersection blocked, use caution|false|913164035788435457|/News3LV/status/913164035788435457
News3LV|2017-10-06 21:17:58|0|3|Community comes together to remember three boys killed by hit-and-run driver__NEWLINE__ http://bit.ly/2ywSm9W   pic.twitter.com/COWAB1Ccbv|Community comes together to remember three boys killed by hit-and-run driver__NEWLINE__    |false|916472635571167232|/News3LV/status/916472635571167232
News3LV|2017-11-01 14:10:25|0|1|# TrafficAuthority  (11:08 a.m.): Crash on Town Center at CC-215 (Western Beltway), Intersection blocked, use caution|# TrafficAuthority  (11:08 a.m.): Crash on Town Center at CC-215 (Western Beltway), Intersection blocked, use caution|false|925787123298340864|/News3LV/status/925787123298340864
News3LV|2017-09-10 11:47:00|1|2|# hurricaneirma2017  Latest__NEWLINE__ http://bit.ly/2wSA0yn   pic.twitter.com/3JA119FSg3|# hurricaneirma2017  Latest__NEWLINE__    |false|906906864356487168|/News3LV/status/906906864356487168
News3LV|2017-10-09 19:01:21|1|0|# TrafficAuthority  Crash on I-15 NB CD Rd to Russell & Tropicana. Ramp blocked. Use other routes. Expect delays|# TrafficAuthority  Crash on I-15 NB CD Rd to Russell & Tropicana. Ramp blocked. Use other routes. Expect delays|false|917525419271659520|/News3LV/status/917525419271659520
News3LV|2017-10-03 19:28:01|6|5|How you can help victims in the Las Vegas massacre http://bit.ly/2xPKnnK  |How you can help victims in the Las Vegas massacre   |false|915357804419997696|/News3LV/status/915357804419997696
