username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
MiamiNewTimes|2017-09-25 10:35:00|0|7|REVIEW + PHOTOS: @arcadefire  finally made good on its four-year-old promise. http://www. miaminewtimes.com/music/concert- review-arcade-fire-at-the-watsco-center-in-miami-september-23-9695570   …|REVIEW + PHOTOS: @arcadefire  finally made good on its four-year-old promise.  miaminewtimes.com/music/concert- review-arcade-fire-at-the-watsco-center-in-miami-september-23-9695570   …|false|912324564327178240|/MiamiNewTimes/status/912324564327178240||||
MiamiNewTimes|2017-10-17 16:05:01|3|6|'Please, be kind to your neighbors and don''t slash the fire alarms in your building with a machete. http://www. miaminewtimes.com/news/miami-man -slashed-11-fire-alarms-with-machete-cops-say-9753382   …'|'Please, be kind to your neighbors and don''t slash the fire alarms in your building with a machete.  miaminewtimes.com/news/miami-man -slashed-11-fire-alarms-with-machete-cops-say-9753382   …'|false|920380144987942912|/MiamiNewTimes/status/920380144987942912||||
MiamiNewTimes|2017-10-09 13:35:00|3|7|'Four years later, the facts surrounding #Reefa ''s death are just as incomprehensible. http://www. miaminewtimes.com/news/settlemen t-in-israel-hernandez-miami-beach-taser-death-reached-9728669   …'|'Four years later, the facts surrounding #Reefa ''s death are just as incomprehensible.  miaminewtimes.com/news/settlemen t-in-israel-hernandez-miami-beach-taser-death-reached-9728669   …'|false|917443291423031297|/MiamiNewTimes/status/917443291423031297||||
MiamiNewTimes|2017-10-25 15:35:00|0|2|Join @MiamiNewTimes  for a holiday party filled with sweets and libations. http://www. miaminewtimes.com/restaurants/ne w-times-sips-and-sweets-early-bird-tickets-on-sale-now-9776814   …|Join @MiamiNewTimes  for a holiday party filled with sweets and libations.  miaminewtimes.com/restaurants/ne w-times-sips-and-sweets-early-bird-tickets-on-sale-now-9776814   …|false|923271696991379456|/MiamiNewTimes/status/923271696991379456||||
MiamiNewTimes|2017-09-09 12:30:19|7|8|Update: Florida counties use prison labor to fill sandbags ahead of #HurricaneIrma , raising human rights questions  http://www. miaminewtimes.com/news/hurricane -irma-live-blog-9659109   …|Update: Florida counties use prison labor to fill sandbags ahead of #HurricaneIrma , raising human rights questions   miaminewtimes.com/news/hurricane -irma-live-blog-9659109   …|false|906555376740552705|/MiamiNewTimes/status/906555376740552705|FL|27.7567667|-81.4639835|210.85168210265104
MiamiNewTimes|2017-09-11 13:54:02|4|14|Huge lines are forming at grocery stores and restaurants that have reopened in Miami after #Irma   http://www. miaminewtimes.com/news/miami-bea ch-blocks-cars-from-returning-as-hundreds-stuck-on-causeways-9663413   … pic.twitter.com/ZMQvCnjBLg|Huge lines are forming at grocery stores and restaurants that have reopened in Miami after #Irma    miaminewtimes.com/news/miami-bea ch-blocks-cars-from-returning-as-hundreds-stuck-on-causeways-9663413   … |false|907301220070686721|/MiamiNewTimes/status/907301220070686721||||
MiamiNewTimes|2017-11-01 09:05:02|1|2|'# SouthBeach  isn''t into vanilla play. http://www. miaminewtimes.com/news/south-bea ch-loves-ball-stretchers-bondage-sex-toys-9792810   …'|'# SouthBeach  isn''t into vanilla play.  miaminewtimes.com/news/south-bea ch-loves-ball-stretchers-bondage-sex-toys-9792810   …'|false|925710273935114240|/MiamiNewTimes/status/925710273935114240||||
MiamiNewTimes|2017-09-14 12:05:00|0|2|'Miami''s nightlife scene is coming together to help the victims of #HurricaneIrma . http://www. miaminewtimes.com/music/hurrican e-irma-benefit-parties-in-miami-9667769   …'|'Miami''s nightlife scene is coming together to help the victims of #HurricaneIrma .  miaminewtimes.com/music/hurrican e-irma-benefit-parties-in-miami-9667769   …'|false|908360945373605888|/MiamiNewTimes/status/908360945373605888||||
MiamiNewTimes|2017-09-29 16:05:00|0|3|REVIEW: Think of #AmericanMade  as the real, secret sequel to Top Gun. http://www. miaminewtimes.com/film/american- made-movie-review-9692251   …|REVIEW: Think of #AmericanMade  as the real, secret sequel to Top Gun.  miaminewtimes.com/film/american- made-movie-review-9692251   …|false|913857161813356544|/MiamiNewTimes/status/913857161813356544||||
MiamiNewTimes|2017-10-04 15:35:00|3|15|Expand your record collection at @sweatrecords , @radioactiverecs , @wegotthebeats , @Museo_disco , and more. http://www. miaminewtimes.com/music/south-fl oridas-six-best-record-stores-9692275   …|Expand your record collection at @sweatrecords , @radioactiverecs , @wegotthebeats , @Museo_disco , and more.  miaminewtimes.com/music/south-fl oridas-six-best-record-stores-9692275   …|false|915661550496522240|/MiamiNewTimes/status/915661550496522240||||
