username|date|retweets|favorites|text|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
NBCNews|2017-09-05 16:58:52|172|144|JUST IN: Category 5 Hurricane  Irma  maintains 185 mph winds, now 130 miles east of Antigua  pic.twitter.com/qhjDAXs0uO|false|905173408601780229|/NBCNews/status/905173408601780229||||
NBCNews|2017-09-10 12:24:43|137|97|UPDATE: Hurricane  Irma  is leaving the Florida Keys and headed for the southwest Florida coast  pic.twitter.com/gRLZ33bmzL|false|906916356288925697|/NBCNews/status/906916356288925697||||
NBCNews|2017-09-05 04:04:16|54|39|WATCH LIVE: The latest forecast as Category 4 Hurricane  Irma  nears the Caribbean  http://nbcnews.to/2w1y9DI   pic.twitter.com/rSLRffllal|false|904978474003202048|/NBCNews/status/904978474003202048||||
NBCNews|2017-09-14 12:27:45|41|102|President Trump surveys damage caused by Hurricane  Irma  in Naples: "We love the people of Florida"  http://snpy.tv/2xn8J7U  |false|908366671529644032|/NBCNews/status/908366671529644032||||
NBCNews|2017-09-11 14:17:15|37|31|'LATEST: Georgia state emergency officials say there''s been one  Irma -related fatality in Worth County, GA'|false|907307061431730176|/NBCNews/status/907307061431730176|Worth County, GA|31.750735|-83.6757245|
NBCNews|2017-09-07 12:59:34|31|54|President Trump on  Irma  preparation: "Florida is as well prepared as you can be for something like this"   http://snpy.tv/2vPbrTP  |false|905837960267874305|/NBCNews/status/905837960267874305||||
NBCNews|2017-09-12 23:14:04|124|126|How to help in Florida: Diaper bank seeks donations for  Irma  victims  http://nbcnews.to/2fgv5xR    via @todayshow pic.twitter.com/piJ8rZu52x|false|907804544985387008|/NBCNews/status/907804544985387008||||
NBCNews|2017-09-05 08:17:02|149|126|FULL STORY:  Irma  strengthens to Category 5 hurricane as it heads toward the Caribbean  https://www. nbcnews.com/news/weather/h urricane-irma-strengthens-category-4-storm-en-route-florida-n798621   …|false|905042086696759296|/NBCNews/status/905042086696759296||||
NBCNews|2017-09-14 10:50:59|48|120|JUST IN: President Trump and Melania Trump arrive in Florida to meet with U.S. Coast Guard and FEMA following Hurricane  Irma   pic.twitter.com/clZA1gQoy7|false|908342320273215490|/NBCNews/status/908342320273215490||||
NBCNews|2017-09-10 15:46:08|130|115|JUST IN: Center of Hurricane  Irma  makes landfall at Marco Island  pic.twitter.com/0PXfdpbew6|false|906967043685146624|/NBCNews/status/906967043685146624||||
