username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
OrlandoInformer|2017-09-28 14:05:12|5|16|"Buckle in – it’s going to be a thrilling, visceral, bloody ride." https://oi.tips/2xy5OZR  |"Buckle in – it’s going to be a thrilling, visceral, bloody ride."   |false|913464623873101825|/OrlandoInformer/status/913464623873101825||||
OrlandoInformer|2017-09-18 08:00:00|3|16|Today at #UniversalOrlando :__NEWLINE__USF: 8am - 7pm __PIPE__ IoA: 9am - 7pm __PIPE__ VB: 9am - 6pm__NEWLINE__Crowds: Slow__NEWLINE__High: 86° __PIPE__ Low: 73°__NEWLINE__Rain: 26%|Today at #UniversalOrlando :__NEWLINE__USF: 8am - 7pm __PIPE__ IoA: 9am - 7pm __PIPE__ VB: 9am - 6pm__NEWLINE__Crowds: Slow__NEWLINE__High: 86° __PIPE__ Low: 73°__NEWLINE__Rain: 26%|false|909748841917943808|/OrlandoInformer/status/909748841917943808||||
OrlandoInformer|2017-09-13 15:15:57|10|31|The #HHN27  store, located next to Mummy, is open for Annual Passholders and Team Members today. Features merchandise we shared last week. pic.twitter.com/ShOdR8rdfM|The #HHN27  store, located next to Mummy, is open for Annual Passholders and Team Members today. Features merchandise we shared last week. |false|908046613184176128|/OrlandoInformer/status/908046613184176128||||
OrlandoInformer|2017-10-11 08:00:01|3|8|Today at #UniversalOrlando :__NEWLINE__USF: 8am - 5pm __PIPE__ IoA: 9am - 8pm __PIPE__ VB: 10am - 6pm__NEWLINE__Crowds: Slow__NEWLINE__High: 87° __PIPE__ Low: 73°__NEWLINE__Rain: 2%|Today at #UniversalOrlando :__NEWLINE__USF: 8am - 5pm __PIPE__ IoA: 9am - 8pm __PIPE__ VB: 10am - 6pm__NEWLINE__Crowds: Slow__NEWLINE__High: 87° __PIPE__ Low: 73°__NEWLINE__Rain: 2%|false|918083765246840832|/OrlandoInformer/status/918083765246840832||||
OrlandoInformer|2017-09-13 11:05:28|1|6|This week on the #OIPodcast : #HurricaneIrma , #T23D , and #VoodooDoughnuts . pic.twitter.com/GHVYtKdmX6|This week on the #OIPodcast : #HurricaneIrma , #T23D , and #VoodooDoughnuts . |false|907983575047393282|/OrlandoInformer/status/907983575047393282||||
OrlandoInformer|2017-09-17 21:51:06|1|37|What a beautiful evening for a purge. TAG who would be in your purge crew at #HHN27 ! pic.twitter.com/PzoaBoG58o|What a beautiful evening for a purge. TAG who would be in your purge crew at #HHN27 ! |false|909595604912832512|/OrlandoInformer/status/909595604912832512||||
OrlandoInformer|2017-09-06 11:55:13|3|16|# DisneyWorld ’s new biannual #StarWars  party.  https://oi.tips/2eLrr24  |# DisneyWorld ’s new biannual #StarWars  party.    |false|905459378064695296|/OrlandoInformer/status/905459378064695296||||
OrlandoInformer|2017-10-25 11:39:54|5|13|# Epcot  International Festival of the Arts will be back for its second year, from January 12 to February 19, 2018. pic.twitter.com/HtreiAwUJg|# Epcot  International Festival of the Arts will be back for its second year, from January 12 to February 19, 2018. |false|923212530822115328|/OrlandoInformer/status/923212530822115328||||
OrlandoInformer|2017-10-20 10:33:51|5|35|# DisneyWorld  will be introducing new Mouse Ears into the parks these last few months of the year. pic.twitter.com/tI0GjWBS84|# DisneyWorld  will be introducing new Mouse Ears into the parks these last few months of the year. |false|921383969261801472|/OrlandoInformer/status/921383969261801472||||
OrlandoInformer|2017-10-17 15:28:52|0|0|Sorry for the brief confusion!|Sorry for the brief confusion!|false|920371049430179841|/OrlandoInformer/status/920371049430179841||||
