username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
PBS|2017-10-23 14:47:18|14|26|'What happened to the legendary knight as battlefields changed? Find out in @novapbs '' Secrets of the Shining Knight. http://to.pbs.org/2yMpZnt  '|'What happened to the legendary knight as battlefields changed? Find out in @novapbs '' Secrets of the Shining Knight.   '|false|922534917816320000|/PBS/status/922534917816320000||||
PBS|2017-10-20 09:31:08|9|25|'Ready for Sunday''s episode of #PoldarkPBS  from @masterpiecepbs ? Watch a preview! pic.twitter.com/Cnyp8GUJ2z'|'Ready for Sunday''s episode of #PoldarkPBS  from @masterpiecepbs ? Watch a preview! '|false|921368185605148672|/PBS/status/921368185605148672||||
PBS|2017-10-15 09:00:08|20|27|'Billy sets the stage in tonight''s episode of #TheCollectionPBS  from @masterpiecepbs , airing at 10/9c. pic.twitter.com/3MzuEx0ayD'|'Billy sets the stage in tonight''s episode of #TheCollectionPBS  from @masterpiecepbs , airing at 10/9c. '|false|919548445869858823|/PBS/status/919548445869858823||||
PBS|2017-10-26 11:00:05|22|28|'Daly City''s DJ crews created their own subculture and went on to influence the world. (From @KQEDarts ) pic.twitter.com/yrg8ezmOwZ'|'Daly City''s DJ crews created their own subculture and went on to influence the world. (From @KQEDarts ) '|false|923564896570114048|/PBS/status/923564896570114048||||
PBS|2017-09-15 15:01:05|61|57|A youth volunteer on the Ho Chi Minh Trail describes her experiences. #VietnamWarPBS  premieres this Sunday, 8/7c. pic.twitter.com/xfErulyfTm|A youth volunteer on the Ho Chi Minh Trail describes her experiences. #VietnamWarPBS  premieres this Sunday, 8/7c. |false|908767644823597056|/PBS/status/908767644823597056||||
PBS|2017-09-19 11:00:07|38|103|Revealing hidden histories and untold family stories. #FindingYourRoots  with @HenryLouisGates  returns on Oct 3 at 8/7c. pic.twitter.com/mU6Udeupsi|Revealing hidden histories and untold family stories. #FindingYourRoots  with @HenryLouisGates  returns on Oct 3 at 8/7c. |false|910156556779405312|/PBS/status/910156556779405312||||
PBS|2017-09-17 14:00:01|17|47|Learn about a new way educators are dealing with classroom disruptions. #k12  #teaching  (From @MindShiftKQED ) http://to.pbs.org/2w1pn9u  |Learn about a new way educators are dealing with classroom disruptions. #k12  #teaching  (From @MindShiftKQED )   |false|909477052784435200|/PBS/status/909477052784435200||||
PBS|2017-10-07 10:00:03|29|96|An unbelievable connection was brought to light on #FindingYourRoots . Stream the full episode here:  http://to.pbs.org/2kl9qd2   pic.twitter.com/jevpuHcNyT|An unbelievable connection was brought to light on #FindingYourRoots . Stream the full episode here:     |false|916664421056790528|/PBS/status/916664421056790528||||
PBS|2017-09-14 12:00:05|23|40|Did you miss #USSIndianapolisPBS  last night? Stream it now and dive to the bottom of the Pacific. http://to.pbs.org/2y16q7v  |Did you miss #USSIndianapolisPBS  last night? Stream it now and dive to the bottom of the Pacific.   |false|908359705847894016|/PBS/status/908359705847894016||||
PBS|2017-09-21 12:00:07|72|116|President Lyndon B. Johnson escalates the war while promising the public victory is in sight when #VietnamWarPBS  continues tonight at 8/7c. pic.twitter.com/yJwhmOZ0zO|President Lyndon B. Johnson escalates the war while promising the public victory is in sight when #VietnamWarPBS  continues tonight at 8/7c. |false|910896431963111425|/PBS/status/910896431963111425||||
PBS|2017-09-10 09:00:06|211|344|ONE WEEK from today: Set your calendar for #VietnamWarPBS , a film by @KenBurns  & Lynn Novick, premiering SUN Sept 17 8/7c pic.twitter.com/1KGm5rPVDT|ONE WEEK from today: Set your calendar for #VietnamWarPBS , a film by @KenBurns  & Lynn Novick, premiering SUN Sept 17 8/7c |false|906864860557750272|/PBS/status/906864860557750272||||
PBS|2017-10-16 13:55:12|10|24|Did you miss the latest episode of #PoldarkPBS  from @masterpiecepbs ? Stream it now. http://to.pbs.org/2yqSqW4  |Did you miss the latest episode of #PoldarkPBS  from @masterpiecepbs ? Stream it now.   |false|919985088900759552|/PBS/status/919985088900759552||||
PBS|2017-10-05 18:45:29|135|305|By popular demand, all 10 episodes of #VietnamWarPBS  will be available to stream online & on the app through 10/15. http://to.pbs.org/2xjQRvI  |By popular demand, all 10 episodes of #VietnamWarPBS  will be available to stream online & on the app through 10/15.   |false|916071874492358659|/PBS/status/916071874492358659||||
PBS|2017-09-03 14:00:02|17|28|Fifty years after the Summer of Love, The Ace of Cups are back to record their first album. #music  (From @KQEDarts ) http://to.pbs.org/2wuZMbG  |Fifty years after the Summer of Love, The Ace of Cups are back to record their first album. #music  (From @KQEDarts )   |false|904403627820843009|/PBS/status/904403627820843009||||
PBS|2017-09-29 11:01:05|15|10|This week, @ThirdRailPBS  asks: Are all protests protected speech? Watch tonight at 8:30 ET and join the conversation using #ThirdRailPBS pic.twitter.com/izG7NxG8GW|This week, @ThirdRailPBS  asks: Are all protests protected speech? Watch tonight at 8:30 ET and join the conversation using #ThirdRailPBS |false|913780675869732866|/PBS/status/913780675869732866||||
