username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
Telegraph|2017-10-31 10:30:02|4|15|20 hauntingly beautiful cemeteries you must visit in your lifetime #Halloween2017   http://www. telegraph.co.uk/travel/galleri es/Great-cemeteries-of-the-world/   … pic.twitter.com/iacYCBMwCR|20 hauntingly beautiful cemeteries you must visit in your lifetime #Halloween2017    telegraph.co.uk/travel/galleri es/Great-cemeteries-of-the-world/   … |false|925369274910367744|/Telegraph/status/925369274910367744||||
Telegraph|2017-10-18 11:00:01|13|19|The liberation of Raqqa is only the start: Major General Rupert Jones – the man who vowed to defeat Isil http://www. telegraph.co.uk/men/thinking-m an/major-general-rupert-jones-liberation-raqqa-crushing-islamic/   …|The liberation of Raqqa is only the start: Major General Rupert Jones – the man who vowed to defeat Isil  telegraph.co.uk/men/thinking-m an/major-general-rupert-jones-liberation-raqqa-crushing-islamic/   …|false|920665780336975873|/Telegraph/status/920665780336975873||||
Telegraph|2017-10-10 09:15:00|17|9|'Uber''s sexism scandal is being made into a Hollywood movie http://www. telegraph.co.uk/films/2017/10/ 10/ubers-sexism-scandal-made-hollywood-movie/   …'|'Uber''s sexism scandal is being made into a Hollywood movie  telegraph.co.uk/films/2017/10/ 10/ubers-sexism-scandal-made-hollywood-movie/   …'|false|917740248703975424|/Telegraph/status/917740248703975424||||
Telegraph|2017-09-30 14:45:00|20|39|Backing Brexit Britain: The businesses ploughing ahead with expansion plans despite doom-laden forecasts #premium http://www. telegraph.co.uk/business/2017/ 09/30/backing-brexit-britain-businesses-ploughing-ahead-expansion/   …|Backing Brexit Britain: The businesses ploughing ahead with expansion plans despite doom-laden forecasts #premium  telegraph.co.uk/business/2017/ 09/30/backing-brexit-britain-businesses-ploughing-ahead-expansion/   …|false|914199416986157057|/Telegraph/status/914199416986157057||||
Telegraph|2017-09-14 06:26:05|46|79|'Maria Sharapova hits out at critics saying they ''don''t have the facts'' and questions why melodium is banned  http://www. telegraph.co.uk/tennis/2017/09 /14/maria-sharapova-hits-critics-saying-dont-have-facts-questions/   … pic.twitter.com/rnUyRQwKSe'|'Maria Sharapova hits out at critics saying they ''don''t have the facts'' and questions why melodium is banned   telegraph.co.uk/tennis/2017/09 /14/maria-sharapova-hits-critics-saying-dont-have-facts-questions/   … '|false|908275654701015042|/Telegraph/status/908275654701015042||||
Telegraph|2017-09-11 15:15:01|36|21|'France told to get grip on ''societal anti-Semitism'' after robbers attack Jewish family near Paris http://www. telegraph.co.uk/news/2017/09/1 1/france-told-get-grip-societal-anti-semitism-anti-jewish-robbers/   …'|'France told to get grip on ''societal anti-Semitism'' after robbers attack Jewish family near Paris  telegraph.co.uk/news/2017/09/1 1/france-told-get-grip-societal-anti-semitism-anti-jewish-robbers/   …'|false|907321601347260417|/Telegraph/status/907321601347260417||||
Telegraph|2017-09-14 03:00:01|16|26|Six meals a day may be better than three for those who weigh too much http://www. telegraph.co.uk/news/2017/09/1 4/six-meals-day-may-better-three-weigh-much/   …|Six meals a day may be better than three for those who weigh too much  telegraph.co.uk/news/2017/09/1 4/six-meals-day-may-better-three-weigh-much/   …|false|908223796246601730|/Telegraph/status/908223796246601730||||
Telegraph|2017-10-20 03:00:01|12|40|'Barack Obama urges voters to reject ''politics of division'' as he returns to campaign trail http://www. telegraph.co.uk/news/2017/10/2 0/barack-obama-urges-voters-reject-politics-division-returns-campaign/   …'|'Barack Obama urges voters to reject ''politics of division'' as he returns to campaign trail  telegraph.co.uk/news/2017/10/2 0/barack-obama-urges-voters-reject-politics-division-returns-campaign/   …'|false|921269758728609792|/Telegraph/status/921269758728609792||||
Telegraph|2017-09-08 17:05:33|17|15|DUP MP Ian Paisley Jr facing parliamentary inquiry over Sri Lanka holidays http://www. telegraph.co.uk/news/2017/09/0 8/dup-mp-ian-paisley-jr-facing-parliamentary-inquiry-sri-lanka/   …|DUP MP Ian Paisley Jr facing parliamentary inquiry over Sri Lanka holidays  telegraph.co.uk/news/2017/09/0 8/dup-mp-ian-paisley-jr-facing-parliamentary-inquiry-sri-lanka/   …|false|906262252357132288|/Telegraph/status/906262252357132288||||
Telegraph|2017-10-23 18:50:00|41|27|Catalan leaders ready to defy Spanish government direct rule over the region http://www. telegraph.co.uk/news/2017/10/2 3/catalan-leaders-ready-defy-spanish-government-direct-rule-region/   …|Catalan leaders ready to defy Spanish government direct rule over the region  telegraph.co.uk/news/2017/10/2 3/catalan-leaders-ready-defy-spanish-government-direct-rule-region/   …|false|922595994323238912|/Telegraph/status/922595994323238912||||
Telegraph|2017-09-26 14:30:06|27|13|Exposed: Raymond Matimba, the British Isil sniper with links to the Manchester bomber  http://tgr.ph/matimba   pic.twitter.com/Gs4GFEao7Z|Exposed: Raymond Matimba, the British Isil sniper with links to the Manchester bomber     |false|912746114989793282|/Telegraph/status/912746114989793282||||
Telegraph|2017-10-04 02:15:00|17|12|'Las Vegas gunman''s girlfriend arrives back in the US as dramatic images emerge from inside hotel room http://www. telegraph.co.uk/news/2017/10/0 3/dramatic-images-emerge-inside-las-vegas-gunmans-hotel-room-police/   …'|'Las Vegas gunman''s girlfriend arrives back in the US as dramatic images emerge from inside hotel room  telegraph.co.uk/news/2017/10/0 3/dramatic-images-emerge-inside-las-vegas-gunmans-hotel-room-police/   …'|false|915460224344920065|/Telegraph/status/915460224344920065||||
Telegraph|2017-09-19 12:42:03|0|4|Our new daily Snapchat edition is now live - use the Snapcode to view and subscribe to our channel. Mobile users:  http://tgr.ph/snapcode   pic.twitter.com/V2nCawUx6y|Our new daily Snapchat edition is now live - use the Snapcode to view and subscribe to our channel. Mobile users:     |false|910182209864204294|/Telegraph/status/910182209864204294||||
Telegraph|2017-10-31 15:15:01|38|72|pic.twitter.com/50U9fqTMRf||false|925440992907366400|/Telegraph/status/925440992907366400||||
