username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
UKWeatherLive|2017-09-09 19:26:15|0|1|Some prefer to stick it out and feel they can protect themselves and their property. Or just wanted to record footage and report.|Some prefer to stick it out and feel they can protect themselves and their property. Or just wanted to record footage and report.|false|906660051254902784|/UKWeatherLive/status/906660051254902784||||
UKWeatherLive|2017-10-24 09:51:04|0|2|'Models almost always over estimate snowfall. Scotland may well see snow at low levels but wouldn''t trust model accuracy this far out'|'Models almost always over estimate snowfall. Scotland may well see snow at low levels but wouldn''t trust model accuracy this far out'|false|922822755720024064|/UKWeatherLive/status/922822755720024064||||
UKWeatherLive|2017-10-31 14:26:04|0|1|'Hahaa that''s more like it'|'Hahaa that''s more like it'|false|925428673712394240|/UKWeatherLive/status/925428673712394240||||
UKWeatherLive|2017-10-30 04:07:02|1|7|Feeling cold out there this morning with temps widely around or below 0C   first frosts of the season for some pic.twitter.com/Rd9nsEpayB|Feeling cold out there this morning with temps widely around or below 0C   first frosts of the season for some |false|924910501120892928|/UKWeatherLive/status/924910501120892928||||
UKWeatherLive|2017-09-09 18:08:41|22|13|Watch this live video feed of #hurricane  #irma  from the southern most point of #Keywest  #Florida https://www. pscp.tv/w/bIMEFzF4bmpy WE1xSk94UVl8MXlwS2RsT3JETlFLV_uLMTOIXueG82MnlotwbRkU4kIGvw2dgNA9nOFVrkam   …|Watch this live video feed of #hurricane  #irma  from the southern most point of #Keywest  #Florida  pscp.tv/w/bIMEFzF4bmpy WE1xSk94UVl8MXlwS2RsT3JETlFLV_uLMTOIXueG82MnlotwbRkU4kIGvw2dgNA9nOFVrkam   …|false|906640527751356416|/UKWeatherLive/status/906640527751356416||||
UKWeatherLive|2017-10-21 13:36:32|0|2|'I''ll trade you a Supercell for one of these storms though?'|'I''ll trade you a Supercell for one of these storms though?'|false|921792331254239232|/UKWeatherLive/status/921792331254239232||||
UKWeatherLive|2017-09-10 12:17:41|59|34|# Brickell  is dealing with this storm surge from #HurricaneIrma  #Irma pic.twitter.com/iLfiSPyVLU|# Brickell  is dealing with this storm surge from #HurricaneIrma  #Irma |false|906914585474715652|/UKWeatherLive/status/906914585474715652||||
UKWeatherLive|2017-09-12 04:11:24|7|8|Winds picking up later today as the first storm of the autumn approaches the UK. Here are the predicted max wind speed gust... pic.twitter.com/6oRtWEYgpH|Winds picking up later today as the first storm of the autumn approaches the UK. Here are the predicted max wind speed gust... |false|907516982777536513|/UKWeatherLive/status/907516982777536513||||
UKWeatherLive|2017-09-09 15:22:53|0|0|@ TaylorsGroup  Caught this amazing shelf cloud over Spalding. Great structure! pic.twitter.com/Y2DG5EQR4q|@ TaylorsGroup  Caught this amazing shelf cloud over Spalding. Great structure! |false|906598806686507008|/UKWeatherLive/status/906598806686507008||||
UKWeatherLive|2017-09-12 16:41:11|0|3|10pm onwards, mainly overnight and into the morning|10pm onwards, mainly overnight and into the morning|false|907705673210884097|/UKWeatherLive/status/907705673210884097||||
UKWeatherLive|2017-09-12 06:21:09|57|61|# StormAileen  is now officially the first named storm of the season. Potential for wind gusts up to 75mph in places across the North England pic.twitter.com/gkhHquoHVT|# StormAileen  is now officially the first named storm of the season. Potential for wind gusts up to 75mph in places across the North England |false|907549635253850112|/UKWeatherLive/status/907549635253850112||||
UKWeatherLive|2017-09-09 19:29:14|24|24|Another shot of the waterspout across southern #Florida  generated by #irma  #tornado  #hurricane pic.twitter.com/yV8kzCNY5f|Another shot of the waterspout across southern #Florida  generated by #irma  #tornado  #hurricane |false|906660800265375744|/UKWeatherLive/status/906660800265375744||||
UKWeatherLive|2017-09-09 09:24:44|0|3|Lightning activity has now indeed increased amongst showers. Torrential rain, hail & gusty winds too. Not great driving conditions at times pic.twitter.com/I8v6ASOsTB|Lightning activity has now indeed increased amongst showers. Torrential rain, hail & gusty winds too. Not great driving conditions at times |false|906508675040280576|/UKWeatherLive/status/906508675040280576||||
UKWeatherLive|2017-10-23 03:34:02|0|2|Loving the pictures guys |Loving the pictures guys |false|922365483868966912|/UKWeatherLive/status/922365483868966912||||
UKWeatherLive|2017-10-26 07:14:58|11|25|A cooler northerly this weekend which will be a shock to the system although nothing unusual. What is more interesting is after that...???  pic.twitter.com/vegj62raeB|A cooler northerly this weekend which will be a shock to the system although nothing unusual. What is more interesting is after that...???  |false|923508248032022528|/UKWeatherLive/status/923508248032022528||||
UKWeatherLive|2017-09-10 15:20:56|92|70|# Miami  not long ago now! Extreme weather #HurricaneIrma  #Irma pic.twitter.com/g4WGQJyPfa|# Miami  not long ago now! Extreme weather #HurricaneIrma  #Irma |false|906960703063576576|/UKWeatherLive/status/906960703063576576||||
UKWeatherLive|2017-09-07 02:06:37|4|9|Scenes in Antigua after #Irma  struck. Locals saying that they  pulse imagine being hit full on! pic.twitter.com/G4fPY1K6CT|Scenes in Antigua after #Irma  struck. Locals saying that they  pulse imagine being hit full on! |false|905673641429409792|/UKWeatherLive/status/905673641429409792||||
UKWeatherLive|2017-09-12 15:24:34|0|1|Stunning mammatus!!|Stunning mammatus!!|false|907686390233747458|/UKWeatherLive/status/907686390233747458||||
UKWeatherLive|2017-09-07 03:52:15|2|3|'We can see wind gusts of around 100-110mph in vulnerable areas around the UK but Imagine 214mph! That''s was #Irma  is unleashing! '|'We can see wind gusts of around 100-110mph in vulnerable areas around the UK but Imagine 214mph! That''s was #Irma  is unleashing! '|false|905700227348344832|/UKWeatherLive/status/905700227348344832||||
UKWeatherLive|2017-09-10 02:44:29|74|65|# Miami  beach is flooded and the water levels will continue to rise   #HurrcaneIrma  #Irma  #Irmaflorida pic.twitter.com/Yqe2reMDwT|# Miami  beach is flooded and the water levels will continue to rise   #HurrcaneIrma  #Irma  #Irmaflorida |false|906770333650362368|/UKWeatherLive/status/906770333650362368||||
UKWeatherLive|2017-10-24 08:33:31|5|19|Rumours of cold air on the way...nothing unusual for this time of year. Hill snow & frost. Will update you if things become more exciting |Rumours of cold air on the way...nothing unusual for this time of year. Hill snow & frost. Will update you if things become more exciting |false|922803237660643328|/UKWeatherLive/status/922803237660643328||||
UKWeatherLive|2017-09-11 02:14:31|9|19|Look at this unbelievable photo of the eye of #HurricaneJose  #Hurricane pic.twitter.com/uhUA5YAFM4|Look at this unbelievable photo of the eye of #HurricaneJose  #Hurricane |false|907125183013670912|/UKWeatherLive/status/907125183013670912||||
UKWeatherLive|2017-09-10 02:53:17|0|0|'@ lordcmurphy  Here''s one place. If you google it you''ll find loads '|'@ lordcmurphy  Here''s one place. If you google it you''ll find loads '|false|906772550692327424|/UKWeatherLive/status/906772550692327424||||
UKWeatherLive|2017-09-08 14:40:38|65|183|Look at this incredible shelf cloud at Southend Airport taken by @SS9weatherman   pic.twitter.com/10RMAQTMaM|Look at this incredible shelf cloud at Southend Airport taken by @SS9weatherman   |false|906225785111015424|/UKWeatherLive/status/906225785111015424||||
UKWeatherLive|2017-09-07 15:53:39|0|1|Wind staffs got nothing on Irma|Wind staffs got nothing on Irma|false|905881769882341380|/UKWeatherLive/status/905881769882341380||||
UKWeatherLive|2017-10-21 08:54:45|14|23|Choppy sea at Southsea in #Portsmouth  from #StormBrian pic.twitter.com/aI5CdyrIte|Choppy sea at Southsea in #Portsmouth  from #StormBrian |false|921721416172625920|/UKWeatherLive/status/921721416172625920||||
UKWeatherLive|2017-10-26 07:16:27|1|6|Just awaiting more runs for some solid evidence of a trend to a colder scenario |Just awaiting more runs for some solid evidence of a trend to a colder scenario |false|923508621559975936|/UKWeatherLive/status/923508621559975936||||
UKWeatherLive|2017-11-01 04:57:22|1|1|Oooh I like it |Oooh I like it |false|925647947056009216|/UKWeatherLive/status/925647947056009216||||
UKWeatherLive|2017-09-09 11:41:51|0|1|'There has been a thundery shower to your north but doesn''t look likely to affect you I''m afraid'|'There has been a thundery shower to your north but doesn''t look likely to affect you I''m afraid'|false|906543181919129602|/UKWeatherLive/status/906543181919129602||||
UKWeatherLive|2017-09-07 03:53:44|0|1|Absolutely terrifying!|Absolutely terrifying!|false|905700598699479041|/UKWeatherLive/status/905700598699479041||||
UKWeatherLive|2017-09-10 16:51:36|16|19|# HurricaneIrma  causing a lot of damage across #Florida  Very scary! #Irma pic.twitter.com/1p10DDYgiR|# HurricaneIrma  causing a lot of damage across #Florida  Very scary! #Irma |false|906983519116840961|/UKWeatherLive/status/906983519116840961||||
UKWeatherLive|2017-10-21 13:32:15|10|27|Stormy seas in Cornwall #StormBrian pic.twitter.com/Fp6IPgmBRC|Stormy seas in Cornwall #StormBrian |false|921791253074927617|/UKWeatherLive/status/921791253074927617||||
UKWeatherLive|2017-09-08 15:20:29|6|33|Look at this incredible cell off the north Kent coast around 30 mins ago! Fantastically shot by @ukradiom3zzf pic.twitter.com/ja0pHsFGJW|Look at this incredible cell off the north Kent coast around 30 mins ago! Fantastically shot by @ukradiom3zzf |false|906235814002257920|/UKWeatherLive/status/906235814002257920||||
UKWeatherLive|2017-09-11 14:09:21|3|17|I think this video sums up most the weather for the majority of us today! Credit: @Macredphoto pic.twitter.com/AQ3KlPSPP1|I think this video sums up most the weather for the majority of us today! Credit: @Macredphoto |false|907305076116652032|/UKWeatherLive/status/907305076116652032||||
UKWeatherLive|2017-10-22 16:50:49|6|21|Over in the States yesterday but this some insane structure  pic.twitter.com/4uUV3AyLye|Over in the States yesterday but this some insane structure  |false|922203610821296129|/UKWeatherLive/status/922203610821296129||||
UKWeatherLive|2017-10-21 13:02:47|0|1|Yes, wish I made it down for high tide although wind as definitely picked now|Yes, wish I made it down for high tide although wind as definitely picked now|false|921783839604822016|/UKWeatherLive/status/921783839604822016||||
UKWeatherLive|2017-09-08 11:29:19|2|4|Watch area 2 is less electric but is developing and strengthening quickly. Flash flooding is the main risk here. Bad driving conditions  pic.twitter.com/hndAKl057x|Watch area 2 is less electric but is developing and strengthening quickly. Flash flooding is the main risk here. Bad driving conditions  |false|906177639492321282|/UKWeatherLive/status/906177639492321282||||
UKWeatherLive|2017-10-21 08:58:49|2|8|Coastal areas are really feeling the effects of #StormBrian pic.twitter.com/2zkd5eVGJS|Coastal areas are really feeling the effects of #StormBrian |false|921722442875375616|/UKWeatherLive/status/921722442875375616||||
UKWeatherLive|2017-09-07 12:10:58|11|14|# Anguilla  View of #hurricaneirma  you can see the astonishing power of the wind #Irma   pic.twitter.com/VZX7ndLrUP|# Anguilla  View of #hurricaneirma  you can see the astonishing power of the wind #Irma   |false|905825733112684544|/UKWeatherLive/status/905825733112684544||||
UKWeatherLive|2017-09-09 08:23:38|4|9|There appears to be a rash across the UK. Heavy thundery showers affecting many areas through the afternoon becoming increasingly electric  pic.twitter.com/mpu6TwlvXq|There appears to be a rash across the UK. Heavy thundery showers affecting many areas through the afternoon becoming increasingly electric  |false|906493297966940160|/UKWeatherLive/status/906493297966940160||||
UKWeatherLive|2017-09-06 12:22:17|15|36|The moon last night illuminating the terrific eye of #hurricanirma  You can see the stadium effect! Absolutely unbelievable... pic.twitter.com/8b3qKp5728|The moon last night illuminating the terrific eye of #hurricanirma  You can see the stadium effect! Absolutely unbelievable... |false|905466192093212672|/UKWeatherLive/status/905466192093212672||||
UKWeatherLive|2017-09-08 05:25:38|1|0|'Bands of showers/storms may become organised with torrential rain. Areas that don''t drain well may see some surface water flooding.'|'Bands of showers/storms may become organised with torrential rain. Areas that don''t drain well may see some surface water flooding.'|false|906086112984256512|/UKWeatherLive/status/906086112984256512||||
UKWeatherLive|2017-09-08 15:20:44|0|1|Wow! Amazing!!!!|Wow! Amazing!!!!|false|906235876543528961|/UKWeatherLive/status/906235876543528961||||
UKWeatherLive|2017-09-10 03:43:30|7|8|This footage was taken from  Biscayne Bay not far from #Miami  #HurricaneIrma  #IRMA pic.twitter.com/yQk5skHpdl|This footage was taken from  Biscayne Bay not far from #Miami  #HurricaneIrma  #IRMA |false|906785187249508352|/UKWeatherLive/status/906785187249508352||||
UKWeatherLive|2017-09-08 11:27:01|2|3|Watch area 1 is certainly the more electric one. Torrential rain, lightning are the main risks. A lot of water in a short space of time  pic.twitter.com/phY5PllkAK|Watch area 1 is certainly the more electric one. Torrential rain, lightning are the main risks. A lot of water in a short space of time  |false|906177057847209988|/UKWeatherLive/status/906177057847209988||||
UKWeatherLive|2017-09-10 08:57:10|8|16|Just look at those wind speeds, look how powerful that is! Mother Nature at her strongest #HurricaneIrma  #Irma pic.twitter.com/0qAkWyPb82|Just look at those wind speeds, look how powerful that is! Mother Nature at her strongest #HurricaneIrma  #Irma |false|906864124696637441|/UKWeatherLive/status/906864124696637441||||
UKWeatherLive|2017-10-21 13:48:13|0|1|I saw 2 thunderstorms in my part of the uk, a duff year for us |I saw 2 thunderstorms in my part of the uk, a duff year for us |false|921795272476430336|/UKWeatherLive/status/921795272476430336||||
UKWeatherLive|2017-09-12 16:03:19|0|1|'I''m sure we''ll find a way! Thank you for the feedback. Really appreciate it!!'|'I''m sure we''ll find a way! Thank you for the feedback. Really appreciate it!!'|false|907696142770733056|/UKWeatherLive/status/907696142770733056||||
UKWeatherLive|2017-10-20 16:11:07|1|5|Becoming breezy in the west and south but #StormBrian  is fast approaching  pic.twitter.com/I4LHmzMiHd|Becoming breezy in the west and south but #StormBrian  is fast approaching  |false|921468846489395200|/UKWeatherLive/status/921468846489395200||||
UKWeatherLive|2017-09-08 14:27:59|0|1|'Hope you can get a good view from the air!! Fantastic evening for cloudscapes if the light doesn''t fade'|'Hope you can get a good view from the air!! Fantastic evening for cloudscapes if the light doesn''t fade'|false|906222599222460417|/UKWeatherLive/status/906222599222460417||||
UKWeatherLive|2017-09-10 09:49:56|18|17|'Ever wonder what it''s like to be in a #Hurricane  Just look at this? #Irma  #Florida pic.twitter.com/hynvMWwZ5X'|'Ever wonder what it''s like to be in a #Hurricane  Just look at this? #Irma  #Florida '|false|906877403364020224|/UKWeatherLive/status/906877403364020224||||
UKWeatherLive|2017-09-16 10:55:27|4|13|Plenty of heavy showers around today. Some with thunder and hail. Feel free to share your images  pic.twitter.com/PE0jNjFiC6|Plenty of heavy showers around today. Some with thunder and hail. Feel free to share your images  |false|909068217498394625|/UKWeatherLive/status/909068217498394625||||
UKWeatherLive|2017-09-12 15:41:20|0|2|'Ooh that''s a good one!'|'Ooh that''s a good one!'|false|907690611062525952|/UKWeatherLive/status/907690611062525952||||
UKWeatherLive|2017-10-20 11:27:06|0|0|Yes|Yes|false|921397371644338177|/UKWeatherLive/status/921397371644338177||||
UKWeatherLive|2017-10-19 17:41:45|11|10|Strong winds to come on Saturday as #stormbrian  sweeps in   Follow us for live updates during the event  pic.twitter.com/71TCvBUY2D|Strong winds to come on Saturday as #stormbrian  sweeps in   Follow us for live updates during the event  |false|921129266498146305|/UKWeatherLive/status/921129266498146305||||
UKWeatherLive|2017-09-10 04:40:32|1|5|'Can''t even imagine how scary this must be right now! #HurricanIrma  #Irma  #Florida pic.twitter.com/mWL6ixCTEs'|'Can''t even imagine how scary this must be right now! #HurricanIrma  #Irma  #Florida '|false|906799541780873216|/UKWeatherLive/status/906799541780873216||||
UKWeatherLive|2017-09-05 04:41:22|11|13|# hurricanirma  is now a Category 4 and dangerous. Serious situation for parts of the Caribbean and possible Florida pic.twitter.com/mtwGObbAJb|# hurricanirma  is now a Category 4 and dangerous. Serious situation for parts of the Caribbean and possible Florida |false|904987811841019904|/UKWeatherLive/status/904987811841019904||||
UKWeatherLive|2017-09-07 15:02:25|6|12|Will never get over the terrific beauty of these storms. Just wished they stayed or at sea  pic.twitter.com/zmzJ56QRMA|Will never get over the terrific beauty of these storms. Just wished they stayed or at sea  |false|905868880177975298|/UKWeatherLive/status/905868880177975298||||
UKWeatherLive|2017-09-08 12:14:30|4|3|Driving conditions not good as we head into rush hour. Lightning activity sporadic for now. Torrential rain main risk leading to flooding. pic.twitter.com/n3KE7TsNdX|Driving conditions not good as we head into rush hour. Lightning activity sporadic for now. Torrential rain main risk leading to flooding. |false|906189009600249856|/UKWeatherLive/status/906189009600249856||||
UKWeatherLive|2017-10-16 13:46:29|75|111|Look at this shed stolen by #stormophilia  #ophelia pic.twitter.com/eZshDfTUJy|Look at this shed stolen by #stormophilia  #ophelia |false|919982893925044230|/UKWeatherLive/status/919982893925044230||||
UKWeatherLive|2017-10-26 08:53:02|0|0|Hahaha |Hahaha |false|923532926540832768|/UKWeatherLive/status/923532926540832768||||
UKWeatherLive|2017-09-09 11:06:46|0|1|'Whilst I''m out and about I use an app called home & dry'|'Whilst I''m out and about I use an app called home & dry'|false|906534348995874816|/UKWeatherLive/status/906534348995874816||||
UKWeatherLive|2017-09-12 15:34:43|14|52|Look at these incredible Mammatus clouds ahead of #StormAileen  Credit: left @castlefordtiger  right @LuckmanSimon pic.twitter.com/vXJ6DIg9kH|Look at these incredible Mammatus clouds ahead of #StormAileen  Credit: left @castlefordtiger  right @LuckmanSimon |false|907688946573996034|/UKWeatherLive/status/907688946573996034||||
UKWeatherLive|2017-09-10 17:36:18|33|41|Powerful storm just powerful   #HurricaneIrma  #Irma  #Florida pic.twitter.com/JuKijVQPsc|Powerful storm just powerful   #HurricaneIrma  #Irma  #Florida |false|906994767451627525|/UKWeatherLive/status/906994767451627525||||
UKWeatherLive|2017-09-09 14:11:25|0|0|You would thought so |You would thought so |false|906580820852445185|/UKWeatherLive/status/906580820852445185||||
