'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
FOX10News|2017-10-06 23:13:03|0|0|WAVE Transit System to suspend bus service early Saturday http://www. fox10tv.com/story/36542448 /wave-transit-system-to-suspend-bus-service-early-saturday   …|WAVE Transit System to suspend bus service early Saturday  fox10tv.com/story/36542448 /wave-transit-system-to-suspend-bus-service-early-saturday   …|false|916501597806571521|/FOX10News/status/916501597806571521
FOX10News|2017-10-02 15:14:00|1|0|Emergency crews in Mobile train for mass casualty incidents http://www. fox10tv.com/story/36501786 /emergency-crews-in-mobile-train-for-mass-casualty-incidents   …|Emergency crews in Mobile train for mass casualty incidents  fox10tv.com/story/36501786 /emergency-crews-in-mobile-train-for-mass-casualty-incidents   …|false|914931492140265472|/FOX10News/status/914931492140265472
FOX10News|2017-10-16 20:46:09|0|1|South Alabama football looks ahead to ULM http://www. fox10tv.com/story/36610161 /south-alabama-football-looks-ahead-to-ulm   …|South Alabama football looks ahead to ULM  fox10tv.com/story/36610161 /south-alabama-football-looks-ahead-to-ulm   …|false|920088509620383745|/FOX10News/status/920088509620383745
FOX10News|2017-09-13 03:33:01|0|0|FEMA estimates 25 percent of Florida Keys homes are gone http://www. fox10tv.com/story/36350208 /fema-estimates-25-percent-of-florida-keys-homes-are-gone   …|FEMA estimates 25 percent of Florida Keys homes are gone  fox10tv.com/story/36350208 /fema-estimates-25-percent-of-florida-keys-homes-are-gone   …|false|907869710955540480|/FOX10News/status/907869710955540480
FOX10News|2017-09-10 01:24:01|0|0|The Latest: More than 170K without power in Florida  http://www. fox10tv.com/story/36328918 /the-latest-more-than-170k-without-power-in-florida   …|The Latest: More than 170K without power in Florida   fox10tv.com/story/36328918 /the-latest-more-than-170k-without-power-in-florida   …|false|906750082854375425|/FOX10News/status/906750082854375425
FOX10News|2017-10-04 13:10:00|0|1|Early morning shooting investigated in Crestview, FL http://www. fox10tv.com/story/36520069 /early-morning-shooting-investigated-in-crestview-fl   …|Early morning shooting investigated in Crestview, FL  fox10tv.com/story/36520069 /early-morning-shooting-investigated-in-crestview-fl   …|false|915625061826121728|/FOX10News/status/915625061826121728
FOX10News|2017-10-28 01:31:01|0|0|FOX10 EXCLUSIVE: MPD ride along for undercover operation http://www. fox10tv.com/story/36706298 /fox10-exclusive-mpd-ride-along-for-undercover-operation   …|FOX10 EXCLUSIVE: MPD ride along for undercover operation  fox10tv.com/story/36706298 /fox10-exclusive-mpd-ride-along-for-undercover-operation   …|false|924146462275010560|/FOX10News/status/924146462275010560
FOX10News|2017-10-07 13:28:01|0|0|LIVE BLOG: Auburn Tigers vs. Ole Miss Rebels http://www. fox10tv.com/story/36542178 /live-blog-auburn-tigers-vs-ole-miss-rebels   …|LIVE BLOG: Auburn Tigers vs. Ole Miss Rebels  fox10tv.com/story/36542178 /live-blog-auburn-tigers-vs-ole-miss-rebels   …|false|916716756772769792|/FOX10News/status/916716756772769792
FOX10News|2017-09-12 17:16:00|0|0|MPD: Man arrested following carjacking http://www. fox10tv.com/story/36349289 /mpd-man-arrested-following-carjacking   …|MPD: Man arrested following carjacking  fox10tv.com/story/36349289 /mpd-man-arrested-following-carjacking   …|false|907714437150322690|/FOX10News/status/907714437150322690
FOX10News|2017-10-08 23:28:01|1|2|Southern Mobile County takes hit from Nate http://www. fox10tv.com/story/36549317 /southern-mobile-county-takes-hit-from-nate   …|Southern Mobile County takes hit from Nate  fox10tv.com/story/36549317 /southern-mobile-county-takes-hit-from-nate   …|false|917230141289492480|/FOX10News/status/917230141289492480
FOX10News|2017-10-20 17:45:06|0|0|Mobilians enjoy day two of Greek Festival http://www. fox10tv.com/story/36646590 /mobilians-enjoy-day-two-of-greek-festival   …|Mobilians enjoy day two of Greek Festival  fox10tv.com/story/36646590 /mobilians-enjoy-day-two-of-greek-festival   …|false|921492496634523648|/FOX10News/status/921492496634523648
FOX10News|2017-09-11 07:21:02|0|1|The Latest: Key Largo storm rider: Surge left a big mess  http://www. fox10tv.com/story/36330157 /the-latest-key-largo-storm-rider-surge-left-a-big-mess   …|The Latest: Key Largo storm rider: Surge left a big mess   fox10tv.com/story/36330157 /the-latest-key-largo-storm-rider-surge-left-a-big-mess   …|false|907202317128290306|/FOX10News/status/907202317128290306
FOX10News|2017-09-09 21:08:00|3|3|Auburn University cancels Monday classes ahead of Irma http://www. fox10tv.com/story/36328923 /auburn-university-cancels-monday-classes-ahead-of-irma   …|Auburn University cancels Monday classes ahead of Irma  fox10tv.com/story/36328923 /auburn-university-cancels-monday-classes-ahead-of-irma   …|false|906685656704929792|/FOX10News/status/906685656704929792
FOX10News|2017-09-06 05:32:02|1|0|http://www. fox10tv.com/story//  | fox10tv.com/story//  |false|905362946875949056|/FOX10News/status/905362946875949056
FOX10News|2017-10-31 17:17:01|0|0|NYPD: One person in custody after police respond to shots fired http://www. fox10tv.com/story/36729413 /nypd-responding-to-shots-fired-near-world-trade-center-site   …|NYPD: One person in custody after police respond to shots fired  fox10tv.com/story/36729413 /nypd-responding-to-shots-fired-near-world-trade-center-site   …|false|925471697188347905|/FOX10News/status/925471697188347905
FOX10News|2017-10-20 00:08:01|2|3|Fairhope and Theodore are victorious during Thursday night football http://www. fox10tv.com/story/36640844 /fairhope-theodore-victorious-during-thursday-night-football   …|Fairhope and Theodore are victorious during Thursday night football  fox10tv.com/story/36640844 /fairhope-theodore-victorious-during-thursday-night-football   …|false|921226473947643904|/FOX10News/status/921226473947643904
FOX10News|2017-10-30 11:19:01|3|1|UA student hit by soccer ball dies after weeks in coma http://www. fox10tv.com/story/36711877 /ua-student-hit-by-soccer-ball-dies-after-weeks-in-coma   …|UA student hit by soccer ball dies after weeks in coma  fox10tv.com/story/36711877 /ua-student-hit-by-soccer-ball-dies-after-weeks-in-coma   …|false|925019215106641921|/FOX10News/status/925019215106641921
FOX10News|2017-09-18 23:54:01|0|0|1 dead in boat crash east of Ono Island http://www. fox10tv.com/story/36396637 /1-dead-in-boat-crash-east-of-ono-island   …|1 dead in boat crash east of Ono Island  fox10tv.com/story/36396637 /1-dead-in-boat-crash-east-of-ono-island   …|false|909988924512194560|/FOX10News/status/909988924512194560
FOX10News|2017-10-11 17:03:01|6|4|Heightened security at Saraland High following "security threat" http://www. fox10tv.com/story/36574560 /heightened-security-at-saraland-high-following-security-threat   …|Heightened security at Saraland High following "security threat"  fox10tv.com/story/36574560 /heightened-security-at-saraland-high-following-security-threat   …|false|918220413972439040|/FOX10News/status/918220413972439040
FOX10News|2017-09-18 18:03:03|2|7|PHOTOS: Meet Axle, the newest member of the MCSO K-9 unit http://www. fox10tv.com/story/36393752 /photos-meet-axle-the-newest-member-of-the-mcso-k-9-unit   …|PHOTOS: Meet Axle, the newest member of the MCSO K-9 unit  fox10tv.com/story/36393752 /photos-meet-axle-the-newest-member-of-the-mcso-k-9-unit   …|false|909900600820797441|/FOX10News/status/909900600820797441
FOX10News|2017-09-02 13:17:01|0|2|The Latest: Firefighters snuff out blaze in flooded Houston  http://www. fox10tv.com/story/36277069 /the-latest-firefighters-snuff-out-blaze-in-flooded-houston   …|The Latest: Firefighters snuff out blaze in flooded Houston   fox10tv.com/story/36277069 /the-latest-firefighters-snuff-out-blaze-in-flooded-houston   …|false|904030416243437569|/FOX10News/status/904030416243437569
FOX10News|2017-09-11 00:15:42|5|1|Death toll now at 90 as aftershocks rattle southern Mexico  http://www. fox10tv.com/story/36326257 /death-toll-now-at-90-as-aftershocks-rattle-southern-mexico   …|Death toll now at 90 as aftershocks rattle southern Mexico   fox10tv.com/story/36326257 /death-toll-now-at-90-as-aftershocks-rattle-southern-mexico   …|false|907095280344031237|/FOX10News/status/907095280344031237
FOX10News|2017-09-22 23:53:00|1|2|President Trump backs Luther Strange at rally in Huntsville http://www. fox10tv.com/story/36434495 /president-trump-backs-luther-strange-at-rally-in-huntsville   …|President Trump backs Luther Strange at rally in Huntsville  fox10tv.com/story/36434495 /president-trump-backs-luther-strange-at-rally-in-huntsville   …|false|911438223477547015|/FOX10News/status/911438223477547015
FOX10News|2017-09-02 14:21:01|0|1|We're still fighting, more than 150 years after Appomattox  http://www. fox10tv.com/story/36277119 /were-still-fighting-more-than-150-years-after-appomattox   …|We're still fighting, more than 150 years after Appomattox   fox10tv.com/story/36277119 /were-still-fighting-more-than-150-years-after-appomattox   …|false|904046521745846273|/FOX10News/status/904046521745846273
FOX10News|2017-10-06 11:04:00|0|1|Baldwin school officials watch Nate; other systems closed for Columbus Day http://www. fox10tv.com/story/36537221 /baldwin-school-officials-watch-nate-other-systems-closed-for-columbus-day   …|Baldwin school officials watch Nate; other systems closed for Columbus Day  fox10tv.com/story/36537221 /baldwin-school-officials-watch-nate-other-systems-closed-for-columbus-day   …|false|916318127948009473|/FOX10News/status/916318127948009473
