username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
WCJB20|2017-10-05 19:04:36|3|6|'Paging "Grey''s Anatomy" fans… a U.F. College of Medicine surgeon joined the writing team for the 14th season. TV20''s Kelly Gonzalez reports. pic.twitter.com/ySLeyOxsN4'|'Paging "Grey''s Anatomy" fans… a U.F. College of Medicine surgeon joined the writing team for the 14th season. TV20''s Kelly Gonzalez reports. '|false|916076684738203648|/WCJB20/status/916076684738203648||||
WCJB20|2017-09-06 10:01:54|0|1|Mike Potter has the latest update on Hurricane Irma. http://www. wcjb.com/content/news/U PDATE-Hurricane-Irma-has-expanded-to-a-category-5-442750893.html   …|Mike Potter has the latest update on Hurricane Irma.  wcjb.com/content/news/U PDATE-Hurricane-Irma-has-expanded-to-a-category-5-442750893.html   …|false|905430861356683264|/WCJB20/status/905430861356683264||||
WCJB20|2017-09-09 00:11:34|1|0|More mandatory and voluntary evacuations have been announced for North Central Florida:  http://www. wcjb.com/content/news/E vacuations-for-NCFL-443293843.html   … pic.twitter.com/1XyeGFvfWo|More mandatory and voluntary evacuations have been announced for North Central Florida:   wcjb.com/content/news/E vacuations-for-NCFL-443293843.html   … |false|906369462944878593|/WCJB20/status/906369462944878593||||
WCJB20|2017-10-10 14:04:16|6|0|What do you think of this? https://twitter.com/cbaileytv20new s/status/917812772569837568   …|What do you think of this?  s/status/917812772569837568   …|false|917813043404398592|/WCJB20/status/917813043404398592||||
WCJB20|2017-09-09 20:21:42|1|0|'Here''s a link to the counties and cities that have curfews:  http://bit.ly/2xne9k8   pic.twitter.com/DqB8TeFOQX'|'Here''s a link to the counties and cities that have curfews:     '|false|906674004374835200|/WCJB20/status/906674004374835200||||
WCJB20|2017-10-12 13:10:47|0|0|Governor Scott says he is working with FDOT to make evacuations on I-75 faster and easier. http://bit.ly/2i75ziS  |Governor Scott says he is working with FDOT to make evacuations on I-75 faster and easier.   |false|918524359916097536|/WCJB20/status/918524359916097536||||
WCJB20|2017-09-10 19:44:45|2|3|TV20s Bill Quinlan will be answering some questions about Hurricane Irma tonight on the 11 p.m. show. Comment with some of your questions.|TV20s Bill Quinlan will be answering some questions about Hurricane Irma tonight on the 11 p.m. show. Comment with some of your questions.|false|907027095255216128|/WCJB20/status/907027095255216128||||
WCJB20|2017-09-29 19:41:44|2|0|FULL STORY: Escaped inmate in Alachua County captured__NEWLINE__ http://www. wcjb.com/content/news/E scaped-inmate-in-Alachua-County-captured-448741443.html   … pic.twitter.com/6RKKmRad0W|FULL STORY: Escaped inmate in Alachua County captured__NEWLINE__  wcjb.com/content/news/E scaped-inmate-in-Alachua-County-captured-448741443.html   … |false|913911703179530241|/WCJB20/status/913911703179530241||||
WCJB20|2017-09-10 20:38:45|1|0|Head to our website for updated maps of power outages.  http://www. wcjb.com/content/news/C ontacts-for-power-outage-reports-443304253.html   … pic.twitter.com/FdxWvEIVpD|Head to our website for updated maps of power outages.   wcjb.com/content/news/C ontacts-for-power-outage-reports-443304253.html   … |false|907040683495706624|/WCJB20/status/907040683495706624||||
WCJB20|2017-09-10 17:57:04|2|1|Updated list of curfews in place for North Central Florida area on our website! __NEWLINE__ http://www. wcjb.com/content/news/C urfews-443470493.html   … pic.twitter.com/9uEyKI6oPn|Updated list of curfews in place for North Central Florida area on our website! __NEWLINE__  wcjb.com/content/news/C urfews-443470493.html   … |false|906999995177545734|/WCJB20/status/906999995177545734|FL|27.7567667|-81.4639835|210.85168210265104
WCJB20|2017-09-14 15:58:19|2|1|Gainesville Police have created a donation page to help those affected by Irma in North Central Florida.  http://bit.ly/2ya7d79   pic.twitter.com/keejA2dqdB|Gainesville Police have created a donation page to help those affected by Irma in North Central Florida.     |false|908419663201218561|/WCJB20/status/908419663201218561||||
WCJB20|2017-10-27 18:00:39|0|0|'A Gainesville resident''s well water has been contaminated for over a month. Hear his story: http://www. wcjb.com/content/news/R esident-Has-Dirty-Drinking-Water-for-over-a-Month-453596153.html   …'|'A Gainesville resident''s well water has been contaminated for over a month. Hear his story:  wcjb.com/content/news/R esident-Has-Dirty-Drinking-Water-for-over-a-Month-453596153.html   …'|false|924033123985317888|/WCJB20/status/924033123985317888||||
WCJB20|2017-09-30 18:33:20|7|16|The tropics are finally QUIET! (For now). There are no named storms in the Atlantic for the first time in over 5 weeks. pic.twitter.com/TqOAjXvwuo|The tropics are finally QUIET! (For now). There are no named storms in the Atlantic for the first time in over 5 weeks. |false|914256877772472322|/WCJB20/status/914256877772472322||||
WCJB20|2017-10-14 21:29:21|1|0|17-year-old arrested after knocking man unconscious in East Gainesville. READ MORE: http://www. wcjb.com/content/news/1 7-year-old-arrested-charged-with--450938313.html   …|17-year-old arrested after knocking man unconscious in East Gainesville. READ MORE:  wcjb.com/content/news/1 7-year-old-arrested-charged-with--450938313.html   …|false|919374604665278464|/WCJB20/status/919374604665278464||||
WCJB20|2017-09-09 13:16:28|9|3|Hurricane warnings are in effect for the entire FL peninsula including NCFL. Winds 75+ mph. Worst is Late Sun - Mon early pm for NCFL. #Irma pic.twitter.com/7UWdczh8ib|Hurricane warnings are in effect for the entire FL peninsula including NCFL. Winds 75+ mph. Worst is Late Sun - Mon early pm for NCFL. #Irma |false|906566991867252736|/WCJB20/status/906566991867252736||||
WCJB20|2017-10-29 17:40:31|5|5|Update: University Athletic Association announced they have mutually agreed to part ways with Jim McElwain|Update: University Athletic Association announced they have mutually agreed to part ways with Jim McElwain|false|924752832523390978|/WCJB20/status/924752832523390978||||
WCJB20|2017-09-10 19:14:49|2|0|2.5 million of approximately 5 million FPL customers across the state are without power at this time.  http://www. wcjb.com/content/news/C ontacts-for-power-outage-reports-443304253.html   … pic.twitter.com/pz9ybztMrO|2.5 million of approximately 5 million FPL customers across the state are without power at this time.   wcjb.com/content/news/C ontacts-for-power-outage-reports-443304253.html   … |false|907019560016076801|/WCJB20/status/907019560016076801||||
WCJB20|2017-09-29 13:16:53|2|0|Ocala police say they made a major bust Thursday at an internet cafe. DETAILS: http://bit.ly/2fX8JSm  |Ocala police say they made a major bust Thursday at an internet cafe. DETAILS:   |false|913814855160823808|/WCJB20/status/913814855160823808||||
WCJB20|2017-09-10 18:07:39|3|1|Some schools are now closed Wednesday! Check our list to see which ones:__NEWLINE____NEWLINE__ http://www. wcjb.com/content/news/N CFL-school-closings-announced-442890713.html   … pic.twitter.com/21rgWSELWO|Some schools are now closed Wednesday! Check our list to see which ones:__NEWLINE____NEWLINE__  wcjb.com/content/news/N CFL-school-closings-announced-442890713.html   … |false|907002656991977472|/WCJB20/status/907002656991977472||||
WCJB20|2017-10-27 10:47:47|0|4|This morning the Malcom Randall VA Medical Center in Gainesville celebrates 50 years.  http://www. wcjb.com   pic.twitter.com/AQ0gEzXouW|This morning the Malcom Randall VA Medical Center in Gainesville celebrates 50 years.   wcjb.com   |false|923924189979037696|/WCJB20/status/923924189979037696|Malcom Randall, VA|||
WCJB20|2017-09-08 19:20:18|10|3|'**UPDATE**__NEWLINE__Mandatory evacuations have been called for Dixie County as well as Levy County. Here''s a full list:  http://bit.ly/2gPHJUF   pic.twitter.com/XhggqYR7uD'|'**UPDATE**__NEWLINE__Mandatory evacuations have been called for Dixie County as well as Levy County. Here''s a full list:     '|false|906296165465018368|/WCJB20/status/906296165465018368||||
WCJB20|2017-10-12 13:11:39|0|1|A Marion County man was arrested for uploading and distributing child porn on his computer. http://bit.ly/2yHqmAE  |A Marion County man was arrested for uploading and distributing child porn on his computer.   |false|918524579076861958|/WCJB20/status/918524579076861958||||
WCJB20|2017-10-15 22:59:18|1|5|'A cold front is moving through the SE. We''ll see some rain and a taste of fall, but just a taste! Details at 11.  http://www. wcjb.com/weather   pic.twitter.com/rYCsnueCMN'|'A cold front is moving through the SE. We''ll see some rain and a taste of fall, but just a taste! Details at 11.   wcjb.com/weather   '|false|919759628451401729|/WCJB20/status/919759628451401729||||
WCJB20|2017-09-08 11:50:41|2|0|Limited use of the shoulders on I-75 has been announced by Florida highway patrol and department of transportation.  http://bit.ly/2xRLDmF   pic.twitter.com/yMv9JbfACM|Limited use of the shoulders on I-75 has been announced by Florida highway patrol and department of transportation.     |false|906183013683281921|/WCJB20/status/906183013683281921|FL|27.7567667|-81.4639835|210.85168210265104
WCJB20|2017-09-11 15:48:40|1|0|If you have any pictures of flooding or storm damage, you can submit them to our website here:  http://www. wcjb.com/mycapture/subm it   …|If you have any pictures of flooding or storm damage, you can submit them to our website here:   wcjb.com/mycapture/subm it   …|false|907330071089893378|/WCJB20/status/907330071089893378||||
WCJB20|2017-10-12 13:12:55|1|0|Gainesville Police say a resident at the Spyglass Apartments is in custody for arson. http://bit.ly/2yeIgKF  |Gainesville Police say a resident at the Spyglass Apartments is in custody for arson.   |false|918524898439507968|/WCJB20/status/918524898439507968||||
WCJB20|2017-09-09 13:08:11|5|0|'New mandatory evacuations have been announced for areas in North Central Florida. Here''s the latest:  http://www. wcjb.com/content/news/E vacuations-for-NCFL-443293843.html   … pic.twitter.com/bz2izVTXlS'|'New mandatory evacuations have been announced for areas in North Central Florida. Here''s the latest:   wcjb.com/content/news/E vacuations-for-NCFL-443293843.html   … '|false|906564906467581953|/WCJB20/status/906564906467581953||||
WCJB20|2017-09-11 02:16:00|18|5|Number without power:__NEWLINE__GRU 15,579__NEWLINE__Clay Electric 72,404__NEWLINE__Ocala Electric Utility 32,746__NEWLINE__FPL 19,270__NEWLINE__Duke Energy 31,676__NEWLINE__Newberry Electric 13,365 pic.twitter.com/kOYtTVZIys|Number without power:__NEWLINE__GRU 15,579__NEWLINE__Clay Electric 72,404__NEWLINE__Ocala Electric Utility 32,746__NEWLINE__FPL 19,270__NEWLINE__Duke Energy 31,676__NEWLINE__Newberry Electric 13,365 |false|907125552775094273|/WCJB20/status/907125552775094273||||
WCJB20|2017-09-17 14:29:52|4|0|'Columbia county Sheriff''s dept.: US 27, although open earlier, is closed again. Road blocks are up while they wait for a bridge inspector.'|'Columbia county Sheriff''s dept.: US 27, although open earlier, is closed again. Road blocks are up while they wait for a bridge inspector.'|false|909484565995155456|/WCJB20/status/909484565995155456||||
WCJB20|2017-10-12 13:09:06|0|0|'TV20''S Alexis Cruz sat down with a Physician from UF Health to talk about evolving medicine for senior citizens. http://bit.ly/2xBE9DV  '|'TV20''S Alexis Cruz sat down with a Physician from UF Health to talk about evolving medicine for senior citizens.   '|false|918523938300485632|/WCJB20/status/918523938300485632||||
WCJB20|2017-10-20 15:46:04|0|2|Dry and mild weather continues into the weekend, but a cold front brings big changes next week! Details:  http://www. wcjb.com/weather   pic.twitter.com/2MeHVNBP8f|Dry and mild weather continues into the weekend, but a cold front brings big changes next week! Details:   wcjb.com/weather   |false|921462541297049607|/WCJB20/status/921462541297049607||||
WCJB20|2017-09-20 18:24:48|0|1|Schools in North Central Florida want to relieve parents from hurricane stress by giving their kids free meals….__NEWLINE____NEWLINE__ http://www. wcjb.com/content/news/F ree-school-meals-after-hurricane-446222413.html   … pic.twitter.com/zEFijZMgs1|Schools in North Central Florida want to relieve parents from hurricane stress by giving their kids free meals….__NEWLINE____NEWLINE__  wcjb.com/content/news/F ree-school-meals-after-hurricane-446222413.html   … |false|910630851855167489|/WCJB20/status/910630851855167489|FL|27.7567667|-81.4639835|210.85168210265104
WCJB20|2017-09-29 13:15:57|4|1|A Gainesville woman is hospitalized after a home invasion robbery in Holly Heights late Thursday night. http://bit.ly/2x2ZJkj  |A Gainesville woman is hospitalized after a home invasion robbery in Holly Heights late Thursday night.   |false|913814620296695808|/WCJB20/status/913814620296695808||||
WCJB20|2017-09-10 19:36:07|1|0|Send us any information, photos, and video of damages in your area! __NEWLINE__Please stay safe and do not drive or leave shelter to record!|Send us any information, photos, and video of damages in your area! __NEWLINE__Please stay safe and do not drive or leave shelter to record!|false|907024920185593857|/WCJB20/status/907024920185593857||||
WCJB20|2017-10-11 12:49:07|1|0|Marion county deputies say a robber is behind bars for demanding pills from a drug store in Ocala. DETAILS: http://bit.ly/2gdt09z  |Marion county deputies say a robber is behind bars for demanding pills from a drug store in Ocala. DETAILS:   |false|918156518473814016|/WCJB20/status/918156518473814016||||
WCJB20|2017-09-27 18:10:27|1|2|'State grant helps improve city of Waldo''s outdated sewer system  http://www. wcjb.com/content/news/S tate-grant-helps-improve-city-of-Waldos-outdated-sewer-system-448326113.html   … pic.twitter.com/daPSZVi6bf'|'State grant helps improve city of Waldo''s outdated sewer system   wcjb.com/content/news/S tate-grant-helps-improve-city-of-Waldos-outdated-sewer-system-448326113.html   … '|false|913163956881100800|/WCJB20/status/913163956881100800||||
WCJB20|2017-09-08 00:31:58|4|3|For the latest shelter information for North Central Florida, visit this link:  http://www. wcjb.com/content/news/H urricane-shelters-for-the-NCFL-area-442895053.html   … pic.twitter.com/MyRn3bM985|For the latest shelter information for North Central Florida, visit this link:   wcjb.com/content/news/H urricane-shelters-for-the-NCFL-area-442895053.html   … |false|906012212279390208|/WCJB20/status/906012212279390208||||
WCJB20|2017-09-15 12:08:57|7|2|Alachua County officials have lifted the mandatory evacuation of flood prone areas. Residents can return, though the areas are still flooded pic.twitter.com/1kG7ygdkpI|Alachua County officials have lifted the mandatory evacuation of flood prone areas. Residents can return, though the areas are still flooded |false|908724325443923969|/WCJB20/status/908724325443923969||||
WCJB20|2017-10-16 19:05:24|1|0|Protests begin ahead of Richard Spencer event. READ MORE: http://www. wcjb.com/content/news/P rotests-begin-ahead-of-Richard-Spencer-event-451167793.html   …|Protests begin ahead of Richard Spencer event. READ MORE:  wcjb.com/content/news/P rotests-begin-ahead-of-Richard-Spencer-event-451167793.html   …|false|920063154301886466|/WCJB20/status/920063154301886466||||
WCJB20|2017-10-02 08:21:53|1|3|'It''s being called the deadliest mass shooting in modern U.S. history__NEWLINE____NEWLINE__DETAILS: http://www. wcjb.com/content/news/5 0-dead-after-shooting-on-Las-Vegas-Strip-449041683.html   …'|'It''s being called the deadliest mass shooting in modern U.S. history__NEWLINE____NEWLINE__DETAILS:  wcjb.com/content/news/5 0-dead-after-shooting-on-Las-Vegas-Strip-449041683.html   …'|false|914827778956152832|/WCJB20/status/914827778956152832||||
WCJB20|2017-09-20 18:46:24|1|0|FULL STORY: Huge economic loss expected for agriculture industry after Irma industryhttp://www.wcjb.com/video?vid=446225853 pic.twitter.com/Hlpd1b3gHJ|FULL STORY: Huge economic loss expected for agriculture industry after Irma industry |false|910636289745195009|/WCJB20/status/910636289745195009||||
WCJB20|2017-10-19 12:34:27|4|14|pic.twitter.com/djP7Ev8drM||false|921051933212897280|/WCJB20/status/921051933212897280||||
WCJB20|2017-10-19 15:06:56|8|10|pic.twitter.com/xm0ztVrDLM||false|921090305948045312|/WCJB20/status/921090305948045312||||
WCJB20|2017-09-10 14:03:59|3|3|**UPDATE** Bradford County will be enforcing a county wide curfew 12pm today 9/10 - Monday 8PM  http://bit.ly/2xne9k8   pic.twitter.com/x1XFToXs5z|**UPDATE** Bradford County will be enforcing a county wide curfew 12pm today 9/10 - Monday 8PM     |false|906941337592909824|/WCJB20/status/906941337592909824||||
WCJB20|2017-09-08 18:57:44|1|2|FULL STORY: Local search and rescue team ready to help Irma victims  http://www. wcjb.com/content/news/L ocal-search-and-rescue-team-ready-to-help-443320223.html   … pic.twitter.com/YlzZ4X1TJ4|FULL STORY: Local search and rescue team ready to help Irma victims   wcjb.com/content/news/L ocal-search-and-rescue-team-ready-to-help-443320223.html   … |false|906290484808704000|/WCJB20/status/906290484808704000||||
WCJB20|2017-09-11 14:13:50|3|1|**UPDATE**__NEWLINE__The curfew for Levy County be lifted at 2pm This will give damage crews time to make sure that there are no major unknown hazards pic.twitter.com/4nAi9dTecb|**UPDATE**__NEWLINE__The curfew for Levy County be lifted at 2pm This will give damage crews time to make sure that there are no major unknown hazards |false|907306203545575424|/WCJB20/status/907306203545575424||||
WCJB20|2017-09-11 23:50:06|1|0|As people in Marion County begin to recover from Irma, one group of volunteers is checking on their neighbors. http://www. wcjb.com/content/news/L ocal-search-and-rescue-team-helps-neighbors-after-Irma-443852863.html   …|As people in Marion County begin to recover from Irma, one group of volunteers is checking on their neighbors.  wcjb.com/content/news/L ocal-search-and-rescue-team-helps-neighbors-after-Irma-443852863.html   …|false|907451225700016128|/WCJB20/status/907451225700016128||||
WCJB20|2017-10-03 18:40:24|2|1|The Gainesville Emergency Services Unit is monitoring the Las Vegas massacre. TV20’s Kelly Gonzalez reports...__NEWLINE____NEWLINE__ http://www. wcjb.com/content/news/E mergency-Services-Unit-prepared-for-worst-449316113.html   … pic.twitter.com/iY6I1nemkT|The Gainesville Emergency Services Unit is monitoring the Las Vegas massacre. TV20’s Kelly Gonzalez reports...__NEWLINE____NEWLINE__  wcjb.com/content/news/E mergency-Services-Unit-prepared-for-worst-449316113.html   … |false|915345821872291840|/WCJB20/status/915345821872291840||||
WCJB20|2017-10-28 18:27:26|0|1|T.D. 18 strengthens to Tropical Storm Philippe. Philippe will continue to bring rain to south FL overnight tonight.  http://www. wcjb.com/weather   pic.twitter.com/L7mvECATPH|T.D. 18 strengthens to Tropical Storm Philippe. Philippe will continue to bring rain to south FL overnight tonight.   wcjb.com/weather   |false|924402252248506369|/WCJB20/status/924402252248506369||||
WCJB20|2017-09-08 00:34:16|2|3|'TV20''s Chief Meteorologist Bill Quinlan''s 11 p.m. Hurricane Irma update:  http://www. wcjb.com/content/news/L atest-Hurricane-Irma-Weather-Update-443154863.html   … pic.twitter.com/YjshFax5VC'|'TV20''s Chief Meteorologist Bill Quinlan''s 11 p.m. Hurricane Irma update:   wcjb.com/content/news/L atest-Hurricane-Irma-Weather-Update-443154863.html   … '|false|906012787700244480|/WCJB20/status/906012787700244480||||
WCJB20|2017-09-14 18:49:29|1|0|10-year-old dies in mobile home fire in Marion County.  http://www. wcjb.com/content/news/1 0-year-old-dies-in-mobile-home-fire-neighbors-rescue-baby-brother.html   … pic.twitter.com/9R4SnfRwxn|10-year-old dies in mobile home fire in Marion County.   wcjb.com/content/news/1 0-year-old-dies-in-mobile-home-fire-neighbors-rescue-baby-brother.html   … |false|908462734613909504|/WCJB20/status/908462734613909504||||
WCJB20|2017-10-11 18:25:08|2|0|Richard Spencer protestors freedom of expression called into question  http://www. wcjb.com/content/news/F reedom-of-expression--450488553.html   … pic.twitter.com/6wwdTxVPri|Richard Spencer protestors freedom of expression called into question   wcjb.com/content/news/F reedom-of-expression--450488553.html   … |false|918241081103405056|/WCJB20/status/918241081103405056||||
WCJB20|2017-09-15 14:32:20|2|0|Schools in Putnam County will will start again on Monday, Sept. 18th. __NEWLINE__No decisions have been made at this time about makeup days. pic.twitter.com/75exiT8rWz|Schools in Putnam County will will start again on Monday, Sept. 18th. __NEWLINE__No decisions have been made at this time about makeup days. |false|908760409120870401|/WCJB20/status/908760409120870401||||
WCJB20|2017-09-07 17:37:36|3|1|The UF vs. Northern-Colorado game scheduled for this Saturday has now been cancelled.  http://bit.ly/2wMPDIh   pic.twitter.com/raVtjMCJlA|The UF vs. Northern-Colorado game scheduled for this Saturday has now been cancelled.     |false|905907931648069633|/WCJB20/status/905907931648069633||||
WCJB20|2017-10-04 18:31:10|1|0|Two kids and their bus driver were hurt in an Alachua County hit-and-run crash this morning. TV20’s Kelly Gonzalez reports... pic.twitter.com/bIHWXeWP1F|Two kids and their bus driver were hurt in an Alachua County hit-and-run crash this morning. TV20’s Kelly Gonzalez reports... |false|915705885904834565|/WCJB20/status/915705885904834565||||
WCJB20|2017-09-14 14:02:06|1|0|A Gainesville man is behind bars after an argument over a social media post. DETAILS:  http://bit.ly/2y1Ovxu   pic.twitter.com/LX7HKUKhNw|A Gainesville man is behind bars after an argument over a social media post. DETAILS:     |false|908390414889181184|/WCJB20/status/908390414889181184||||
WCJB20|2017-10-22 15:44:55|0|2|'It''s a hot and muggy Sunday - even some 90s on the map! Big relief from the heat on Tuesday!  http://www. wcjb.com/weather   pic.twitter.com/aKcjkPOLrY'|'It''s a hot and muggy Sunday - even some 90s on the map! Big relief from the heat on Tuesday!   wcjb.com/weather   '|false|922187028439150593|/WCJB20/status/922187028439150593||||
