username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
wedupbs|2017-10-08 09:45:11|0|1|'T''int right, T''int fair, T''int proper! Watch an exclusive scene from #PoldarkPBS  airing TONIGHT at 9pm. pic.twitter.com/DiKKLVIlmF'|'T''int right, T''int fair, T''int proper! Watch an exclusive scene from #PoldarkPBS  airing TONIGHT at 9pm. '|false|917023066340904961|/wedupbs/status/917023066340904961||||
wedupbs|2017-09-24 10:05:09|0|0|TONIGHT on #VietnamWarPBS : Shaken by the Tet Offensive, assassinations and unrest, America seems to be coming apart.  http://www. pbs.org/kenburns/the-v ietnam-war/watch/episode-6/   …|TONIGHT on #VietnamWarPBS : Shaken by the Tet Offensive, assassinations and unrest, America seems to be coming apart.   pbs.org/kenburns/the-v ietnam-war/watch/episode-6/   …|false|911954663221682176|/wedupbs/status/911954663221682176||||
wedupbs|2017-10-26 16:41:19|2|5|Tomorrow, tune in at 8:30pm to discuss #FloridaThisWeek  with panelists @Paula_Dockery , @stevebousquet , @adamsmithtimes  and @JessEhrlich .|Tomorrow, tune in at 8:30pm to discuss #FloridaThisWeek  with panelists @Paula_Dockery , @stevebousquet , @adamsmithtimes  and @JessEhrlich .|false|923650773875154945|/wedupbs/status/923650773875154945||||
wedupbs|2017-10-03 19:50:07|0|0|As tensions rise between the U.S. and North Korea, get a rare glimpse inside the regime. 10/4 on @frontlinepbs : http://to.pbs.org/2k2BIbT  |As tensions rise between the U.S. and North Korea, get a rare glimpse inside the regime. 10/4 on @frontlinepbs :   |false|915363366901776385|/wedupbs/status/915363366901776385||||
wedupbs|2017-09-28 09:45:41|3|3|'We''re so excited to have Ed Slott (@theslottreport ) here with us today at the WEDU & @CFTampaBay  12th Annual Estate & Tax Planning Seminar! pic.twitter.com/9ed24MFiZ3'|'We''re so excited to have Ed Slott (@theslottreport ) here with us today at the WEDU & @CFTampaBay  12th Annual Estate & Tax Planning Seminar! '|false|913399316533972992|/wedupbs/status/913399316533972992||||
wedupbs|2017-09-17 20:10:07|0|3|Pepsi or Coke? Could cause some relationship drama-rama?! via @Rewire_dot_org http://bit.ly/2wc6hBQ  |Pepsi or Coke? Could cause some relationship drama-rama?! via @Rewire_dot_org   |false|909570191172005889|/wedupbs/status/909570191172005889||||
wedupbs|2017-09-16 15:10:14|0|2|'Here''s how the Vietnam War affects us today.  http://bit.ly/2eXMhaL    via @Rewire_dot_org'|'Here''s how the Vietnam War affects us today.      via @Rewire_dot_org'|false|909132334338895872|/wedupbs/status/909132334338895872||||
wedupbs|2017-10-16 10:02:23|0|1|Apply or nominate your #nonprofit  for the #WEDUBeMore  Awards - only 2 weeks remain -  http://mailchi.mp/wedu/bma13-app -nom-101617   …|Apply or nominate your #nonprofit  for the #WEDUBeMore  Awards - only 2 weeks remain -   -nom-101617   …|false|919926499372863493|/wedupbs/status/919926499372863493||||
wedupbs|2017-10-30 19:40:09|0|0|Wednesday, join experts on @novapbs  as they reconstruct the Great Hurricane of 1780 to help predict future risks.  http://video.wedu.org/video/30055664 71/   …|Wednesday, join experts on @novapbs  as they reconstruct the Great Hurricane of 1780 to help predict future risks.   71/   …|false|925145328529047552|/wedupbs/status/925145328529047552||||
wedupbs|2017-10-29 06:55:06|0|1|# FloridaThisWeek  from Friday, Oct. 17 w/ panelists @Paula_Dockery , @stevebousquet , @adamsmithtimes  & @JessEhrlich  repeats today at 12:30.|# FloridaThisWeek  from Friday, Oct. 17 w/ panelists @Paula_Dockery , @stevebousquet , @adamsmithtimes  & @JessEhrlich  repeats today at 12:30.|false|924590409770258432|/wedupbs/status/924590409770258432||||
