'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
EasternFlorida|2017-10-10 11:30:26|1|1|Current & accepted EFSC students can apply for Titan Scholarships until the system closes on Oct. 25. More info:  http://bit.ly/1Q3hYxX   pic.twitter.com/jkmp1U7XHB|Current & accepted EFSC students can apply for Titan Scholarships until the system closes on Oct. 25. More info:     |false|917774329341005825|/EasternFlorida/status/917774329341005825
EasternFlorida|2017-10-26 11:43:29|0|1|Pack the stands on Friday, Oct. 27 as we kick off the 2017-18 basketball season! Read more:  http://bit.ly/2hbLDYZ   pic.twitter.com/b8ZB4fVpus|Pack the stands on Friday, Oct. 27 as we kick off the 2017-18 basketball season! Read more:     |false|923575818785345539|/EasternFlorida/status/923575818785345539
EasternFlorida|2017-09-07 23:32:49|0|2|EFSC is aware of this order. Stay safe and monitor our updates on how long closure will last|EFSC is aware of this order. Stay safe and monitor our updates on how long closure will last|false|905997325109264384|/EasternFlorida/status/905997325109264384
EasternFlorida|2017-10-26 13:32:10|5|11|Pre-season #5 national ranking for @EasternFLMBB  -- way to go guys! https://twitter.com/njcaa/status/9 23595138915557376   …|Pre-season #5 national ranking for @EasternFLMBB  -- way to go guys!  23595138915557376   …|false|923603171364175872|/EasternFlorida/status/923603171364175872
EasternFlorida|2017-09-06 14:46:58|0|0|A determination about Monday will be made in the coming days. Check EFSC's website & social media channels for details. Stay safe!|A determination about Monday will be made in the coming days. Check EFSC's website & social media channels for details. Stay safe!|false|905502601688567808|/EasternFlorida/status/905502601688567808
EasternFlorida|2017-10-16 13:47:28|7|9|An exciting new chapter in student life began today at EFSC with the groundbreaking for a new Student Union in Melb.  http://bit.ly/2gewJA4   pic.twitter.com/8BMM3VeWfw|An exciting new chapter in student life began today at EFSC with the groundbreaking for a new Student Union in Melb.     |false|919983142353633280|/EasternFlorida/status/919983142353633280
EasternFlorida|2017-10-28 21:22:48|1|3|Congrats @EFSCsoccer  on a rainy win in overtime tonight to play on in the postseason! https://twitter.com/efsctitans/sta tus/924427198643220481   …|Congrats @EFSCsoccer  on a rainy win in overtime tonight to play on in the postseason!  tus/924427198643220481   …|false|924446387286237186|/EasternFlorida/status/924446387286237186
EasternFlorida|2017-10-01 18:00:29|1|1|Looking for outside scholarships? The Community Foundation for Brevard has 3 just for EFSC students! Apply by 11/7.  http://bit.ly/2fC1v9B   pic.twitter.com/hFhSDFQfKi|Looking for outside scholarships? The Community Foundation for Brevard has 3 just for EFSC students! Apply by 11/7.     |false|914610999386394626|/EasternFlorida/status/914610999386394626
EasternFlorida|2017-09-27 16:52:39|0|4|The trick is to use a mnemonic device: "I had a sandwich, which means my car is probably SANDWICHED between 2 other cars...somewhere." |The trick is to use a mnemonic device: "I had a sandwich, which means my car is probably SANDWICHED between 2 other cars...somewhere." |false|913144377236758528|/EasternFlorida/status/913144377236758528
EasternFlorida|2017-10-19 19:00:38|2|2|Interested in Nursing at Eastern Florida? Request access to PAFB & join us for a free lunch next week to have your questions answered! pic.twitter.com/UZtADK7Du2|Interested in Nursing at Eastern Florida? Request access to PAFB & join us for a free lunch next week to have your questions answered! |false|921149119464435712|/EasternFlorida/status/921149119464435712
