'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
WFTV|2017-09-07 11:28:24|14|7|WATCH: #Hurricane  watch issued for #SouthFlorida  as #Irma  approaches #TurksandCaicos   http://at.wftv.com/2gNXGOE    #wftv pic.twitter.com/mmWsDvFCqf|WATCH: #Hurricane  watch issued for #SouthFlorida  as #Irma  approaches #TurksandCaicos       #wftv |false|905815017899118592|/WFTV/status/905815017899118592
WFTV|2017-10-19 19:20:20|6|20|Best party of the year.  "It's the Great Pumpkin, Charlie Brown" is on tonight at 8! pic.twitter.com/T5RrR4Ns1P|Best party of the year.  "It's the Great Pumpkin, Charlie Brown" is on tonight at 8! |false|921154076175368193|/WFTV/status/921154076175368193
WFTV|2017-10-31 09:00:03|4|1|Today's the last day to donate! Many students from #PR  are coming here w/ nothing__NEWLINE__Let's help them have a good start:  http://at.wftv.com/2yn6CSo   pic.twitter.com/VsB6RulEFW|Today's the last day to donate! Many students from #PR  are coming here w/ nothing__NEWLINE__Let's help them have a good start:     |false|925346630060056576|/WFTV/status/925346630060056576
WFTV|2017-09-07 10:05:57|6|7|Brevard County issues mandatory evacuation order  http://at.wftv.com/2waYdfK  |Brevard County issues mandatory evacuation order    |false|905794271416025090|/WFTV/status/905794271416025090
WFTV|2017-10-21 00:28:43|0|0|Nets beat Magic 126-121 in first game without Lin http://at.wftv.com/2yFyNvC  |Nets beat Magic 126-121 in first game without Lin   |false|921594069817679873|/WFTV/status/921594069817679873
WFTV|2017-09-15 06:53:17|7|6|# BREAKING : 18 hospitalized after reports of #explosion , #stampede  at #London  #subway  station  http://at.wftv.com/2ybmiVM    #wftv pic.twitter.com/13ubzlM8CP|# BREAKING : 18 hospitalized after reports of #explosion , #stampede  at #London  #subway  station      #wftv |false|908644888127901696|/WFTV/status/908644888127901696
WFTV|2017-11-01 09:55:08|3|1|# BREAKING : Police: Driver flees after striking student at #Orlando  bus stop  http://at.wftv.com/2lFAJPY    #wftv pic.twitter.com/MDl4yDjJsn|# BREAKING : Police: Driver flees after striking student at #Orlando  bus stop      #wftv |false|925722880066846720|/WFTV/status/925722880066846720
WFTV|2017-11-01 12:30:59|13|2|Her attacker is behind bars, but a local woman says she’s still being terrorized. #9Investigates  how it could happen on #WFTV  at 5:30pm pic.twitter.com/pspUkQ8PP0|Her attacker is behind bars, but a local woman says she’s still being terrorized. #9Investigates  how it could happen on #WFTV  at 5:30pm |false|925762101465010179|/WFTV/status/925762101465010179
WFTV|2017-09-23 15:18:08|4|2|FHP: At least one dead in Pine Hills crash  http://at.wftv.com/2xZMVQF  |FHP: At least one dead in Pine Hills crash    |false|911671038580273152|/WFTV/status/911671038580273152
WFTV|2017-09-09 16:54:08|4|6|Interactive map: FPL power outages  http://at.wftv.com/2famCvZ  |Interactive map: FPL power outages    |false|906621767732678658|/WFTV/status/906621767732678658
WFTV|2017-10-16 15:14:11|8|2|University of Florida to host white supremacist event, expects $500,000 in security costs http://at.wftv.com/2gJOibQ  |University of Florida to host white supremacist event, expects $500,000 in security costs   |false|920004965367730179|/WFTV/status/920004965367730179
WFTV|2017-09-09 15:00:03|2|2|Have questions about #Irma ? We are here to help with our Hurricane Help Line. pic.twitter.com/gSXF7NWO1f|Have questions about #Irma ? We are here to help with our Hurricane Help Line. |false|906593059592437761|/WFTV/status/906593059592437761
WFTV|2017-09-22 17:48:38|4|4|Action 9 investigates water in gas at local stations  http://at.wftv.com/2xY0DDN  |Action 9 investigates water in gas at local stations    |false|911346524180893698|/WFTV/status/911346524180893698
WFTV|2017-09-22 17:46:24|2|3|Ocala bride and groom denied refund after Hurricane Irma cancels wedding http://at.wftv.com/2xY8xgs  |Ocala bride and groom denied refund after Hurricane Irma cancels wedding   |false|911345962228097024|/WFTV/status/911345962228097024
WFTV|2017-09-10 10:40:02|3|1|Central Florida Shelters __NEWLINE__ http://at.wftv.com/2eNMJIG   pic.twitter.com/Dul6mUv8Ao|Central Florida Shelters __NEWLINE__    |false|906890012809154561|/WFTV/status/906890012809154561
WFTV|2017-09-09 19:45:06|11|4|Florida attorney: You can be fired for skipping work during a storm  http://at.wftv.com/2fa4fY7    #IrmaHurricane2017  #HurricaneIrma pic.twitter.com/QncM6Hcl4m|Florida attorney: You can be fired for skipping work during a storm      #IrmaHurricane2017  #HurricaneIrma |false|906664791841939456|/WFTV/status/906664791841939456
WFTV|2017-09-15 08:27:15|2|2|Hurricane Irma: Removal of tree debris begins in Orange County http://at.wftv.com/2x7cVrF  |Hurricane Irma: Removal of tree debris begins in Orange County   |false|908668535857131521|/WFTV/status/908668535857131521
WFTV|2017-09-05 17:14:06|11|9|IRMA LATEST: The storm is still a Cat 5 with 185 mph winds. The latest here:  http://at.wftv.com/2wDcQMj    #Irma  #WFTV pic.twitter.com/eQV0BDaBBg|IRMA LATEST: The storm is still a Cat 5 with 185 mph winds. The latest here:      #Irma  #WFTV |false|905177243323957248|/WFTV/status/905177243323957248
WFTV|2017-09-25 22:43:43|5|10|Central Florida still dealing with removal of Hurricane Irma debris http://at.wftv.com/2y506jo  |Central Florida still dealing with removal of Hurricane Irma debris   |false|912507948521459712|/WFTV/status/912507948521459712
WFTV|2017-10-03 17:44:19|2|1|Union wants to provide Volusia County beach safety officers with rifles http://at.wftv.com/2xd2l4d  |Union wants to provide Volusia County beach safety officers with rifles   |false|915331706676219910|/WFTV/status/915331706676219910
WFTV|2017-10-13 18:04:22|12|17|Matted, abandoned dog in Oviedo gets much-needed makeover http://at.wftv.com/2i8EjRc  |Matted, abandoned dog in Oviedo gets much-needed makeover   |false|918960629397979141|/WFTV/status/918960629397979141
WFTV|2017-10-30 15:30:01|4|1|Why police say fake ID’s look more realistic than ever.  @JDealWFTV  investigates today on #WFTV  at 5:30 p.m.   http://at.wftv.com/2hgqxIZ   pic.twitter.com/E3dQxMDAtd|Why police say fake ID’s look more realistic than ever.  @JDealWFTV  investigates today on #WFTV  at 5:30 p.m.      |false|925082380276080640|/WFTV/status/925082380276080640
WFTV|2017-10-31 18:06:13|2|0|Hurricane Irma forces closure of longtime citrus grove's retail store on Merritt Island http://at.wftv.com/2ij6FEB  |Hurricane Irma forces closure of longtime citrus grove's retail store on Merritt Island   |false|925484079818133505|/WFTV/status/925484079818133505
WFTV|2017-10-25 05:33:51|3|2|Last day to request food help after Irma at Camping World Stadium  http://at.wftv.com/2z6W6Q2  |Last day to request food help after Irma at Camping World Stadium    |false|923120409763041280|/WFTV/status/923120409763041280
WFTV|2017-10-03 09:38:25|5|3|Watch: #Orlando  visitors travel to #Pulse  nightclub to reflect on #LasVegas  #shooting   http://at.wftv.com/2ykNfJV    #wftv pic.twitter.com/KxnIP8xp9H|Watch: #Orlando  visitors travel to #Pulse  nightclub to reflect on #LasVegas  #shooting       #wftv |false|915209424117125120|/WFTV/status/915209424117125120
WFTV|2017-10-21 12:45:35|14|1|FHP: 2 dead, 1 injured in Volusia County motorcycle crash http://at.wftv.com/2yYBvNC  |FHP: 2 dead, 1 injured in Volusia County motorcycle crash   |false|921779509682233345|/WFTV/status/921779509682233345
WFTV|2017-09-20 06:14:52|5|4|WATCH: Maria nears Puerto Rico as dangerous Category 4 hurricane  http://at.wftv.com/2xR9O8U  |WATCH: Maria nears Puerto Rico as dangerous Category 4 hurricane    |false|910447158809284609|/WFTV/status/910447158809284609
WFTV|2017-09-10 09:06:04|6|10|We are Central Florida tough. We have prepared for this forever. There will be a Tuesday! - @BShieldsWFTV|We are Central Florida tough. We have prepared for this forever. There will be a Tuesday! - @BShieldsWFTV|false|906866365256159238|/WFTV/status/906866365256159238
WFTV|2017-09-10 19:24:58|2|0|HELP LINE:__NEWLINE__Have questions about #Irma ? We are here to help with our Hurricane Help Line. pic.twitter.com/3fo9Exyyw1|HELP LINE:__NEWLINE__Have questions about #Irma ? We are here to help with our Hurricane Help Line. |false|907022114863054853|/WFTV/status/907022114863054853
WFTV|2017-09-10 17:00:02|2|3|Have questions about #Irma ? We are here to help with our Hurricane Help Line. pic.twitter.com/xGwscJv0KI|Have questions about #Irma ? We are here to help with our Hurricane Help Line. |false|906985642256715778|/WFTV/status/906985642256715778
WFTV|2017-10-13 08:25:01|7|2|Teenage boy accused of sexually extorting classmates with their nude photos  http://at.wftv.com/2g6J5KF    #wftv pic.twitter.com/ruQEwzzmv2|Teenage boy accused of sexually extorting classmates with their nude photos      #wftv |false|918814831322550272|/WFTV/status/918814831322550272
WFTV|2017-09-21 11:00:04|2|3|Wise words from Mother Teresa. #SpreadLoveandKindness   http://at.wftv.com/2w51sWP   pic.twitter.com/qZ9xXjGpuS|Wise words from Mother Teresa. #SpreadLoveandKindness      |false|910881318761885696|/WFTV/status/910881318761885696
WFTV|2017-10-13 11:14:28|4|0|UPDATE: Woman killed, man injured when vehicle crashes into ditch along #I95  near #Rockledge   http://at.wftv.com/2ylVLqV    #wftv pic.twitter.com/dzUsEeqlVG|UPDATE: Woman killed, man injured when vehicle crashes into ditch along #I95  near #Rockledge       #wftv |false|918857477239771136|/WFTV/status/918857477239771136
WFTV|2017-10-14 13:13:34|3|3|WATCH: Florida detective captures 9-foot snake http://at.wftv.com/2ia4ruX  |WATCH: Florida detective captures 9-foot snake   |false|919249835835916293|/WFTV/status/919249835835916293
WFTV|2017-09-11 05:08:53|3|2|Major power outages in Florida because of #HurricaneIrma .  Here's some numbers to call when reporting a power outage. pic.twitter.com/mYawPpp06k|Major power outages in Florida because of #HurricaneIrma .  Here's some numbers to call when reporting a power outage. |false|907169062735814656|/WFTV/status/907169062735814656
WFTV|2017-10-25 12:29:31|0|2|Gov. Scott proposes $63 million for teacher supply grants http://at.wftv.com/2z602Am  |Gov. Scott proposes $63 million for teacher supply grants   |false|923225018322038806|/WFTV/status/923225018322038806
WFTV|2017-09-13 12:46:21|1|2|Two men appear to be caught with stolen power pole on SUV in Jacksonville http://at.wftv.com/2fisCmy  |Two men appear to be caught with stolen power pole on SUV in Jacksonville   |false|908008965086248960|/WFTV/status/908008965086248960
WFTV|2017-10-16 04:21:18|2|2|# BREAKING : #Orlando  police Chief John Mina: Orlando bicycle officer shoots armed man who shot at him. #wftv|# BREAKING : #Orlando  police Chief John Mina: Orlando bicycle officer shoots armed man who shot at him. #wftv|false|919840664753528832|/WFTV/status/919840664753528832
