username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
cw18tv|2017-09-26 14:05:46|0|0|'They''re an elite flying force, and they''re coming to CW18. Don''t miss the premiere of Valor on Monday October...  http://fb.me/1LB3eC91I  '|'They''re an elite flying force, and they''re coming to CW18. Don''t miss the premiere of Valor on Monday October...    '|false|912739992249802752|/cw18tv/status/912739992249802752||||
cw18tv|2017-10-18 09:42:47|0|0|'With the gunman still at large, the race is on to save Pop''s from closing its doors forever. Riverdale is all new... http://fb.me/2bCjMbir4  '|'With the gunman still at large, the race is on to save Pop''s from closing its doors forever. Riverdale is all new...   '|false|920646340681576457|/cw18tv/status/920646340681576457||||
cw18tv|2017-10-19 14:20:10|0|0|Join the CW18 Crew this Saturday and Sunday, 10-5pm at Winter Springs ARToberFEST! Come support your community,... http://fb.me/z4Ccoh7I  |Join the CW18 Crew this Saturday and Sunday, 10-5pm at Winter Springs ARToberFEST! Come support your community,...   |false|921078535090872320|/cw18tv/status/921078535090872320|Winter Springs, AR|||
cw18tv|2017-10-19 10:24:20|0|0|Ready for a night of all-new action? Catch new episodes of Supernatural and Arrow tonight starting at 8pm on CW18!|Ready for a night of all-new action? Catch new episodes of Supernatural and Arrow tonight starting at 8pm on CW18!|false|921019186813513728|/cw18tv/status/921019186813513728||||
cw18tv|2017-10-31 10:38:59|0|0|Cisco is shocked by a new arrival on Earth-1, while Barry runs into an old nemesis. Spend Halloween with all-new... http://fb.me/ATnRjUR9  |Cisco is shocked by a new arrival on Earth-1, while Barry runs into an old nemesis. Spend Halloween with all-new...   |false|925371526081384449|/cw18tv/status/925371526081384449||||
cw18tv|2017-09-10 20:40:11|0|0|So that our sister station, WESH 2, can bring you continuing coverage of Hurricane Irma, you can see Sunday Night...  http://fb.me/8PeRTV08a  |So that our sister station, WESH 2, can bring you continuing coverage of Hurricane Irma, you can see Sunday Night...    |false|907041041899032578|/cw18tv/status/907041041899032578||||
cw18tv|2017-09-13 11:16:59|0|0|'Find out more about tonight''s Matter of Fact prime-time special, State of Addiction. Watch it tonight at 10pm on... http://fb.me/93Bfb7Dl4  '|'Find out more about tonight''s Matter of Fact prime-time special, State of Addiction. Watch it tonight at 10pm on...   '|false|907986475341504514|/cw18tv/status/907986475341504514||||
cw18tv|2017-10-12 14:35:06|0|0|'The boys are back on new nights and times! Don''t miss the season premieres of Supernatural and Arrow, tonight beginning at 8pm on CW18!'|'The boys are back on new nights and times! Don''t miss the season premieres of Supernatural and Arrow, tonight beginning at 8pm on CW18!'|false|918545579529076738|/cw18tv/status/918545579529076738||||
cw18tv|2017-10-11 12:24:39|0|0|Get ready for a new generation of wealth and scandal! Dynasty premieres tonight at 9pm, right after the season...  http://fb.me/9BzIUgU2S  |Get ready for a new generation of wealth and scandal! Dynasty premieres tonight at 9pm, right after the season...    |false|918150361440976896|/cw18tv/status/918150361440976896||||
cw18tv|2017-10-09 11:44:57|0|1|CW18 premiere week is here! It all kicks off tonight with Supergirl at 8pm, and the all new drama, Valor, at 9pm...  http://fb.me/yWT5sRBJ  |CW18 premiere week is here! It all kicks off tonight with Supergirl at 8pm, and the all new drama, Valor, at 9pm...    |false|917415595825680384|/cw18tv/status/917415595825680384||||
cw18tv|2017-09-13 11:12:22|0|0|'Don''t miss the Matter of Fact prime-time special, State of Addiction, a live conversation about the opioid crisis...  http://fb.me/8CM6O8tYQ  '|'Don''t miss the Matter of Fact prime-time special, State of Addiction, a live conversation about the opioid crisis...    '|false|907985309601816577|/cw18tv/status/907985309601816577||||
cw18tv|2017-09-30 10:36:22|0|0|The CW18 Crew rocked out all night at Hard Rock Live! Foster the People rocked the house, while we hung out with...  http://fb.me/4c5tiQTrb  |The CW18 Crew rocked out all night at Hard Rock Live! Foster the People rocked the house, while we hung out with...    |false|914136846845739008|/cw18tv/status/914136846845739008||||
cw18tv|2017-11-01 10:39:56|0|0|The Carringtons will do anything to hide their scandalous family secrets on an all-new Dynasty, right after an... http://fb.me/2hnlvn6Zs  |The Carringtons will do anything to hide their scandalous family secrets on an all-new Dynasty, right after an...   |false|925734154427404288|/cw18tv/status/925734154427404288||||
cw18tv|2017-10-13 09:42:25|0|0|'Friday night belongs to the ladies! Don''t miss the season premieres of Crazy Ex-Girlfriend and Jane the Virgin,...  http://fb.me/IEJiXoFO  '|'Friday night belongs to the ladies! Don''t miss the season premieres of Crazy Ex-Girlfriend and Jane the Virgin,...    '|false|918834312518053888|/cw18tv/status/918834312518053888||||
cw18tv|2017-10-17 09:25:28|0|0|Barry has his hands full with a high-tech villain and a heavy dose of personal drama. The Flash is all new...  http://fb.me/9MlYbFqzx  |Barry has his hands full with a high-tech villain and a heavy dose of personal drama. The Flash is all new...    |false|920279597500862464|/cw18tv/status/920279597500862464||||
cw18tv|2017-10-01 09:08:23|1|1|Click here to support Hurricane Maria Relief, Orocovis PR organized by Pueblo Sano  http://fb.me/z9hiLKER  |Click here to support Hurricane Maria Relief, Orocovis PR organized by Pueblo Sano    |false|914477092439494656|/cw18tv/status/914477092439494656||||
cw18tv|2017-09-16 09:00:56|0|0|Come out to the Daytona International Speedway to donate, and hang with the CW18 Crew! #ShareYourPower  #MyOneBlood  #SavingLives  #BigRedBus|Come out to the Daytona International Speedway to donate, and hang with the CW18 Crew! #ShareYourPower  #MyOneBlood  #SavingLives  #BigRedBus|false|909039400864157697|/cw18tv/status/909039400864157697||||
cw18tv|2017-10-18 09:47:54|0|0|When suspicions arise about Matthew’s “accidental” death, the Carringtons find themselves in the crosshairs....  http://fb.me/1k9q2pwai  |When suspicions arise about Matthew’s “accidental” death, the Carringtons find themselves in the crosshairs....    |false|920647629809348611|/cw18tv/status/920647629809348611||||
cw18tv|2017-09-09 13:21:17|0|0|http://fb.me/7yEEOnZW4  |  |false|906568202100068354|/cw18tv/status/906568202100068354||||
cw18tv|2017-09-10 20:36:10|0|0|http://fb.me/5ZxWvn0k8  |  |false|907040035026948096|/cw18tv/status/907040035026948096||||
cw18tv|2017-10-22 19:23:05|0|0|ARToberFEST was a blast this weekend! You really can’t beat art, schnitzel, live German music, and free CW18...  http://fb.me/4iUslnTBq  |ARToberFEST was a blast this weekend! You really can’t beat art, schnitzel, live German music, and free CW18...    |false|922241932713234432|/cw18tv/status/922241932713234432||||
