'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
WMBBTV|2017-09-22 20:39:58|2|6|Rutherford Leads Port St. Joe 10-7 at the Half #13FNF|Rutherford Leads Port St. Joe 10-7 at the Half #13FNF|false|911389645224775685|/WMBBTV/status/911389645224775685
WMBBTV|2017-10-10 17:16:12|3|0|The latest track on T.S. Ophelia through 4 pm Sunday. pic.twitter.com/2jmrSxhnid|The latest track on T.S. Ophelia through 4 pm Sunday. |false|917861347550998528|/WMBBTV/status/917861347550998528
WMBBTV|2017-09-16 23:06:14|0|1|The latest track on Jose through Thursday 10 PM. pic.twitter.com/DQIHgzZytL|The latest track on Jose through Thursday 10 PM. |false|909252124856524800|/WMBBTV/status/909252124856524800
WMBBTV|2017-10-25 08:35:29|2|3|Start your Wednesday with this feel good story #HonorTheBadge https://twitter.com/wmbbkelseypeck /status/923164353905512448   …|Start your Wednesday with this feel good story #HonorTheBadge  /status/923164353905512448   …|false|923166119229382658|/WMBBTV/status/923166119229382658
WMBBTV|2017-09-11 16:24:28|11|17|The "report" about Gov. Rick Scott being injured in a freak weather accident is false. Please ignore it and don't share it.|The "report" about Gov. Rick Scott being injured in a freak weather accident is false. Please ignore it and don't share it.|false|907339078357667840|/WMBBTV/status/907339078357667840
WMBBTV|2017-10-13 05:34:42|0|0|The weekend forecast is sort of half and half. Sunny and warm Sat.with aftn showers and thunderstorms on Sunday. pic.twitter.com/DOs1L43FKK|The weekend forecast is sort of half and half. Sunny and warm Sat.with aftn showers and thunderstorms on Sunday. |false|918771971730522113|/WMBBTV/status/918771971730522113
WMBBTV|2017-10-06 22:24:55|2|0|JCSO is Investigating Death's Near Bascom http://www. mypanhandle.com/news/jcso-is-i nvestigating-deaths-near-bascom/829346457   …|JCSO is Investigating Death's Near Bascom  mypanhandle.com/news/jcso-is-i nvestigating-deaths-near-bascom/829346457   …|false|916489486724411393|/WMBBTV/status/916489486724411393
WMBBTV|2017-10-09 16:28:26|0|0|A few spotty showers on the radar will die out after sunset. pic.twitter.com/vAy4ncpl47|A few spotty showers on the radar will die out after sunset. |false|917486938097160192|/WMBBTV/status/917486938097160192
WMBBTV|2017-10-20 22:03:36|1|0|Final #13FNF pic.twitter.com/NOApJdnj5w|Final #13FNF |false|921557551979925506|/WMBBTV/status/921557551979925506
WMBBTV|2017-09-23 19:48:47|0|1|Sunday will be warm once again with isolated afternoon thunderstorms. High upper 80's to low 90's. pic.twitter.com/t2PuKTEnzs|Sunday will be warm once again with isolated afternoon thunderstorms. High upper 80's to low 90's. |false|911739150935760896|/WMBBTV/status/911739150935760896
WMBBTV|2017-09-15 09:15:04|8|5|ICYMI: Local Man Says He Found Bigfoot http://www. mypanhandle.com/news/local-man -says-he-found-bigfoot/811261583   …|ICYMI: Local Man Says He Found Bigfoot  mypanhandle.com/news/local-man -says-he-found-bigfoot/811261583   …|false|908680569332076551|/WMBBTV/status/908680569332076551
WMBBTV|2017-09-08 22:22:01|13|40|Final Score __NEWLINE__Mosley Dolphins 41__NEWLINE__Rutherford Rams 0|Final Score __NEWLINE__Mosley Dolphins 41__NEWLINE__Rutherford Rams 0|false|906341895273578496|/WMBBTV/status/906341895273578496
WMBBTV|2017-09-14 16:03:30|5|6|The Summit Bank on 23rd Street in Panama City has been robbed. Police are searching for the suspect. Heavy police presence in area.|The Summit Bank on 23rd Street in Panama City has been robbed. Police are searching for the suspect. Heavy police presence in area.|false|908420965993996288|/WMBBTV/status/908420965993996288
WMBBTV|2017-10-27 22:08:39|1|1|Final __NEWLINE__#13FNF pic.twitter.com/T6jJlAfDBD|Final __NEWLINE__#13FNF |false|924095537934159872|/WMBBTV/status/924095537934159872
WMBBTV|2017-10-04 11:07:26|4|1|Advisory on Tropical Depression 16  http://www. mypanhandle.com/news/advisory- on-tropical-depression-16/825376344   …|Advisory on Tropical Depression 16   mypanhandle.com/news/advisory- on-tropical-depression-16/825376344   …|false|915594215001923587|/WMBBTV/status/915594215001923587
WMBBTV|2017-10-08 05:14:19|0|2|# TropicalStormNate  racing NNE at 23 mph toward Alabama at 4am. #TornadoWatch  for Panhandle until 10 AM CDT. -- Meteorologist Anthony Peoples pic.twitter.com/xJql4Qm8jO|# TropicalStormNate  racing NNE at 23 mph toward Alabama at 4am. #TornadoWatch  for Panhandle until 10 AM CDT. -- Meteorologist Anthony Peoples |false|916954902957559808|/WMBBTV/status/916954902957559808
WMBBTV|2017-09-13 17:54:14|0|1|Three Okaloosa School Employees Charged in Autistic Child Abuse Case http://www. mypanhandle.com/news/three-oka loosa-school-employees-charged-in-autistic-child-abuse-case/810658859   …|Three Okaloosa School Employees Charged in Autistic Child Abuse Case  mypanhandle.com/news/three-oka loosa-school-employees-charged-in-autistic-child-abuse-case/810658859   …|false|908086443389616130|/WMBBTV/status/908086443389616130
WMBBTV|2017-09-19 11:42:19|1|3|Suspects are believed to be in a wooded area near Mosley and Haney. Lots of law enforcement searching and on local campuses.|Suspects are believed to be in a wooded area near Mosley and Haney. Lots of law enforcement searching and on local campuses.|false|910167177579376640|/WMBBTV/status/910167177579376640
WMBBTV|2017-09-09 12:58:14|3|4|Northwest Florida Irma Updates. The latest from Bay, Calhoun, Gulf and Tyndall Air Force Base  http://www. mypanhandle.com/news/northwest -florida-irma-updates/806912369   …|Northwest Florida Irma Updates. The latest from Bay, Calhoun, Gulf and Tyndall Air Force Base   mypanhandle.com/news/northwest -florida-irma-updates/806912369   …|false|906562401943908354|/WMBBTV/status/906562401943908354
WMBBTV|2017-10-09 16:29:49|1|1|Warm and muggy overnight with areas of fog. Warm and humid Tues. with sctd shwrs and tstms. Cold front on Thursday. pic.twitter.com/kQFwbau54r|Warm and muggy overnight with areas of fog. Warm and humid Tues. with sctd shwrs and tstms. Cold front on Thursday. |false|917487286773862400|/WMBBTV/status/917487286773862400
WMBBTV|2017-09-15 21:19:18|2|0|Final #13FNF pic.twitter.com/KOG55VtDvF|Final #13FNF |false|908862827263270912|/WMBBTV/status/908862827263270912
WMBBTV|2017-10-13 22:10:05|0|1|Light of Word Christian handed a loss by Franklin County. Franklin County wins 55-32 FINAL #13FNF pic.twitter.com/tCJBupM59m|Light of Word Christian handed a loss by Franklin County. Franklin County wins 55-32 FINAL #13FNF |false|919022467456237568|/WMBBTV/status/919022467456237568
