'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
mycbs4|2017-09-21 19:49:03|0|1|Two charged with sex trafficking of 14-year-old girl:  http://bit.ly/2jRrZp1    #gainesville|Two charged with sex trafficking of 14-year-old girl:      #gainesville|false|911014441076056064|/mycbs4/status/911014441076056064
mycbs4|2017-09-13 14:19:12|6|9|# Gainesville 's viral 'hot cops' respond to attention, promise a calendar to benefit #HurricaneIrma  victims:  http://bit.ly/2jpMyIO   pic.twitter.com/H8oUq6pdCy|# Gainesville 's viral 'hot cops' respond to attention, promise a calendar to benefit #HurricaneIrma  victims:     |false|908032329226039300|/mycbs4/status/908032329226039300
mycbs4|2017-09-09 14:56:54|3|1|Alachua County issues mandatory evacuation for residents living in unsafe structures, flood-prone areas: http://bit.ly/2jehyeI  |Alachua County issues mandatory evacuation for residents living in unsafe structures, flood-prone areas:   |false|906592266009108483|/mycbs4/status/906592266009108483
mycbs4|2017-10-20 11:13:51|5|2|# Gainesville  police: Men shouted 'Heil Hitler' before shot fired near #UF  campus Thursday. 3 Texas men charged:  http://bit.ly/2ywvOpn   pic.twitter.com/AEPWoi8Ivx|# Gainesville  police: Men shouted 'Heil Hitler' before shot fired near #UF  campus Thursday. 3 Texas men charged:     |false|921394037642416129|/mycbs4/status/921394037642416129
mycbs4|2017-10-08 00:31:18|2|1|Gators fall to LSU, 17-16. Recap by @MeganPlain : http://bit.ly/2kxbrD1  |Gators fall to LSU, 17-16. Recap by @MeganPlain :   |false|916883679552659457|/mycbs4/status/916883679552659457
mycbs4|2017-09-21 13:23:07|0|0|Former Levy County pastor accused of stealing more than $76,000 from his church:  http://bit.ly/2xW0ali   pic.twitter.com/43HcbgJWgR|Former Levy County pastor accused of stealing more than $76,000 from his church:     |false|910917320196927489|/mycbs4/status/910917320196927489
mycbs4|2017-09-21 19:48:16|0|0|Alachua County School Board joins fight against Florida charter school bill. By @GabrielleArzola :  http://bit.ly/2jP26pN    #Gainesville|Alachua County School Board joins fight against Florida charter school bill. By @GabrielleArzola :      #Gainesville|false|911014245797695488|/mycbs4/status/911014245797695488
mycbs4|2017-09-21 12:13:13|2|10|.@GainesvillePD : Suspect's glasses, rap videos helped link him and 2 others to home invasion near @UF  campus:  http://bit.ly/2jNUe7Z   pic.twitter.com/CNRPZ1Rqm2|.@GainesvillePD : Suspect's glasses, rap videos helped link him and 2 others to home invasion near @UF  campus:     |false|910899726840721409|/mycbs4/status/910899726840721409
mycbs4|2017-10-29 20:10:53|2|1|What do you think of Florida's decision to part ways with Coach Jim McElwain?|What do you think of Florida's decision to part ways with Coach Jim McElwain?|false|924790674112811009|/mycbs4/status/924790674112811009
mycbs4|2017-09-26 19:09:29|1|2|Alachua County officials ask residents complaining about debris removal to please be patient:  http://bit.ly/2k1Z3dS    By @GabrielleArzola|Alachua County officials ask residents complaining about debris removal to please be patient:      By @GabrielleArzola|false|912816423889760261|/mycbs4/status/912816423889760261
mycbs4|2017-09-16 19:22:04|2|6|# Gators  win! pic.twitter.com/W0VhLZF3AZ|# Gators  win! |false|909195711941681152|/mycbs4/status/909195711941681152
mycbs4|2017-09-22 11:31:08|0|0|.@GainesvillePD  charge 57-year-old #Gainesville  man with murder in roommate's death:  http://bit.ly/2xWZeNU   pic.twitter.com/12ZtPt8oPd|.@GainesvillePD  charge 57-year-old #Gainesville  man with murder in roommate's death:     |false|911251523480453120|/mycbs4/status/911251523480453120
mycbs4|2017-09-09 17:22:52|2|1|Update: @AlachuaCounty  opens 5 more emergency shelters. Complete list here:  http://bit.ly/2jehyeI   __NEWLINE__#HurricaneIrma  #Gainesville pic.twitter.com/7O5BFqdNHh|Update: @AlachuaCounty  opens 5 more emergency shelters. Complete list here:     __NEWLINE__#HurricaneIrma  #Gainesville |false|906628999631253505|/mycbs4/status/906628999631253505
