'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
WPBF25News|2017-09-25 11:30:02|0|0|New Apple iPhone feature may change how you drive  http://dlvr.it/PqLlyM   pic.twitter.com/EQXd7HAKmL|New Apple iPhone feature may change how you drive     |false|912338411922399232|/WPBF25News/status/912338411922399232
WPBF25News|2017-10-12 05:01:07|0|0|Nanny faces charges of child neglect, possession of controlled substances, and driving while intoxicated​  http://bit.ly/2hDqlTh   pic.twitter.com/zfs3ir4JEj|Nanny faces charges of child neglect, possession of controlled substances, and driving while intoxicated​     |false|918401132145332225|/WPBF25News/status/918401132145332225
WPBF25News|2017-09-13 11:42:10|0|0|Former Sen. Pete Domenici dies at 85  http://dlvr.it/PmllVn   pic.twitter.com/YM4P3zXqdg|Former Sen. Pete Domenici dies at 85     |false|907992809130442752|/WPBF25News/status/907992809130442752
WPBF25News|2017-10-02 08:01:08|1|0|1 in 5 millennials are moving home to 'chase the dream'  http://bit.ly/2yQyonL   pic.twitter.com/ZpDW0agni0|1 in 5 millennials are moving home to 'chase the dream'     |false|914822553797058560|/WPBF25News/status/914822553797058560
WPBF25News|2017-10-22 10:01:06|1|0|At least 54 Egyptian police killed in ambush, say officials  http://bit.ly/2zGq0Yq   pic.twitter.com/usLoFmuQx5|At least 54 Egyptian police killed in ambush, say officials     |false|922100501742784513|/WPBF25News/status/922100501742784513
WPBF25News|2017-09-12 22:01:10|0|1|Born at just 1 pound, preemie defies odds of survival  http://bit.ly/2wWiYQJ   pic.twitter.com/wV4giql67j|Born at just 1 pound, preemie defies odds of survival     |false|907786197929480192|/WPBF25News/status/907786197929480192
WPBF25News|2017-09-22 09:30:16|0|0|Deputies search for man accused of exposing himself, attempted false imprisonment  http://bit.ly/2fmQhFV   pic.twitter.com/sfIiU00yvb|Deputies search for man accused of exposing himself, attempted false imprisonment     |false|911221109562970113|/WPBF25News/status/911221109562970113
WPBF25News|2017-09-09 09:01:14|4|1|Gov. Scott urges Floridians in evacuation zones to leave before midnight  http://bit.ly/2faH9AQ   pic.twitter.com/viqcqkKTlU|Gov. Scott urges Floridians in evacuation zones to leave before midnight     |false|906502759914057728|/WPBF25News/status/906502759914057728
WPBF25News|2017-10-18 17:18:15|0|0|Transit bus barely misses family after slamming into home  http://dlvr.it/PwPsqp   pic.twitter.com/57rzZBLSSg|Transit bus barely misses family after slamming into home     |false|920760963162189824|/WPBF25News/status/920760963162189824
WPBF25News|2017-09-10 12:15:38|6|2|# Breaking  @FLGovScott  has requested a disaster declaration from @realDonaldTrump pic.twitter.com/eiW2vLwUdO|# Breaking  @FLGovScott  has requested a disaster declaration from @realDonaldTrump |false|906914068941983748|/WPBF25News/status/906914068941983748
