'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
CBS12|2017-10-06 21:15:01|2|7|3 Washington cougar cubs make their way to Ohio zoo  http://bit.ly/2xmhssh   pic.twitter.com/TnC4GwI6dM|3 Washington cougar cubs make their way to Ohio zoo     |false|916471892516642816|/CBS12/status/916471892516642816
CBS12|2017-10-01 17:08:03|1|2|A Flood Alert is in effect for the Treasure Coast. Track rain on @CBS12  radar  http://cbs12.com/weather/radar   pic.twitter.com/Dw396aQFEq|A Flood Alert is in effect for the Treasure Coast. Track rain on @CBS12  radar     |false|914597803145486336|/CBS12/status/914597803145486336
CBS12|2017-09-15 10:30:33|2|4|Scott: Only 18 percent of homes across Florida don't have power, but if you don't have power it's a big deal.  http://bit.ly/2fboA2q   pic.twitter.com/VP4YSu0Jve|Scott: Only 18 percent of homes across Florida don't have power, but if you don't have power it's a big deal.     |false|908699565011951617|/CBS12/status/908699565011951617
CBS12|2017-10-21 12:30:02|0|0|BREAKING: Police identify 24-year-old man killed in West Palm Beach shooting.__NEWLINE__ http://bit.ly/2l3vaKF   pic.twitter.com/kgNy8asPtb|BREAKING: Police identify 24-year-old man killed in West Palm Beach shooting.__NEWLINE__    |false|921775597285773312|/CBS12/status/921775597285773312
CBS12|2017-10-29 12:05:54|2|1|JUST IN: Puerto Rico gov seeks to cancel $300M Whitefish contract.__NEWLINE__ http://bit.ly/2ibU7ic   pic.twitter.com/8OJVU680CW|JUST IN: Puerto Rico gov seeks to cancel $300M Whitefish contract.__NEWLINE__    |false|924668625704902659|/CBS12/status/924668625704902659
CBS12|2017-10-19 17:00:02|0|2|Kelly defends Trump's call to war widow, raps congresswoman.__NEWLINE__ http://bit.ly/2yCaAWN   pic.twitter.com/oWR27mb2Wq|Kelly defends Trump's call to war widow, raps congresswoman.__NEWLINE__    |false|921118769627332608|/CBS12/status/921118769627332608
CBS12|2017-09-19 22:56:59|10|2|Man arrested for choking pregnant girlfriend. __NEWLINE__ http://bit.ly/2xdB5l2   pic.twitter.com/MgtUnlmT3W|Man arrested for choking pregnant girlfriend. __NEWLINE__    |false|910336961642196992|/CBS12/status/910336961642196992
CBS12|2017-10-29 13:52:49|0|0|BREAKING: 18-year-old man charged with 1st degree murder in Fort Pierce.__NEWLINE__ http://bit.ly/2yX9WS8   pic.twitter.com/m67ms7MSI9|BREAKING: 18-year-old man charged with 1st degree murder in Fort Pierce.__NEWLINE__    |false|924695531393355777|/CBS12/status/924695531393355777
CBS12|2017-09-11 12:11:44|1|1|St. Lucie County Sheriff Mascara: Hutchinson Island North is now open to residents and business owners.|St. Lucie County Sheriff Mascara: Hutchinson Island North is now open to residents and business owners.|false|907275475084627968|/CBS12/status/907275475084627968
CBS12|2017-09-11 10:11:22|2|0|Stacy is relieved #Irma  turned inland. pic.twitter.com/TOBO861WrA|Stacy is relieved #Irma  turned inland. |false|907245183053582341|/CBS12/status/907245183053582341
CBS12|2017-10-26 15:43:04|2|2|# BREAKING  Walmart store on Belvedere evacuated due to fire. Photos and video:  http://bit.ly/2hcmJIt   pic.twitter.com/L5lFyR4cyw|# BREAKING  Walmart store on Belvedere evacuated due to fire. Photos and video:     |false|923636113083904000|/CBS12/status/923636113083904000
CBS12|2017-09-08 12:46:53|1|2|"If you're still in the Keys, get out now. Anywhere in the state, if you're under evacuation leave now."__NEWLINE__ http://bit.ly/2eRz86V   pic.twitter.com/yAp2KgKoSI|"If you're still in the Keys, get out now. Anywhere in the state, if you're under evacuation leave now."__NEWLINE__    |false|906197156343799813|/CBS12/status/906197156343799813
CBS12|2017-09-10 12:20:42|5|2|# BREAKING  Storm is 80 miles south of Naples and up to 15-foot storm surge expected in some areas @FLGovScott|# BREAKING  Storm is 80 miles south of Naples and up to 15-foot storm surge expected in some areas @FLGovScott|false|906915343624437760|/CBS12/status/906915343624437760
CBS12|2017-10-03 18:30:01|1|0|Judge denies 'Making a Murderer' Avery's request for new trial  http://bit.ly/2hLaMwC   pic.twitter.com/jvUvuUr54e|Judge denies 'Making a Murderer' Avery's request for new trial     |false|915343208082677760|/CBS12/status/915343208082677760
CBS12|2017-10-26 12:06:32|8|4|Watch: Baby in car during deadly ambush on couple in Riviera Beach. @MaxineBentzel  on story today.  http://bit.ly/2zGL7sA   pic.twitter.com/V4VEKjPw8A|Watch: Baby in car during deadly ambush on couple in Riviera Beach. @MaxineBentzel  on story today.     |false|923581623114878977|/CBS12/status/923581623114878977
