username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
SFLCW|2017-10-20 05:35:05|0|0|Parents create awesome ‘Wheel of Fortune’ costume for son in wheelchair  http://bit.ly/2hR8gkR   pic.twitter.com/A9EWdC5CNz|Parents create awesome ‘Wheel of Fortune’ costume for son in wheelchair     |false|921308782642245632|/SFLCW/status/921308782642245632||||
SFLCW|2017-10-20 11:25:09|0|0|Rebecca turns to Nathaniel to craft a truly evil plan against Josh TONIGHT on an all new episode of #CrazyExGirlfriend  at 8/7c! pic.twitter.com/zpIU2HtXnR|Rebecca turns to Nathaniel to craft a truly evil plan against Josh TONIGHT on an all new episode of #CrazyExGirlfriend  at 8/7c! |false|921396879228841984|/SFLCW/status/921396879228841984||||
SFLCW|2017-10-06 05:35:05|1|1|Foodie Fix: American Social  http://bit.ly/2y3NE2A   pic.twitter.com/moppY7dtSU|Foodie Fix: American Social     |false|916235354084175872|/SFLCW/status/916235354084175872||||
SFLCW|2017-09-16 05:35:04|0|0|The 10 industries with the fastest job growth  http://bit.ly/2fbRQpX   pic.twitter.com/14cqoowB3G|The 10 industries with the fastest job growth     |false|908987592724684800|/SFLCW/status/908987592724684800||||
SFLCW|2017-09-12 05:05:07|0|0|Target to slash prices on ‘thousands’ of items  http://bit.ly/2wUgTVd   pic.twitter.com/WncHgsw5Ii|Target to slash prices on ‘thousands’ of items     |false|907530503489769472|/SFLCW/status/907530503489769472||||
SFLCW|2017-10-18 04:35:06|0|0|The 10 highest paying industries in the U.S.  http://bit.ly/2hNfhmS   pic.twitter.com/DqmbmuNf06|The 10 highest paying industries in the U.S.     |false|920568910646308864|/SFLCW/status/920568910646308864||||
SFLCW|2017-10-04 07:05:06|0|0|Playtex recalls 3.6 million children’s plates and bowls because of choking hazard  http://bit.ly/2yX2eXC   pic.twitter.com/IDA5Xfz8g4|Playtex recalls 3.6 million children’s plates and bowls because of choking hazard     |false|915533228445962240|/SFLCW/status/915533228445962240||||
SFLCW|2017-10-13 04:35:05|0|0|Can you spot the yellow M&M in this candy corn?  http://bit.ly/2hEMVuZ   pic.twitter.com/Ss9W0LpExs|Can you spot the yellow M&M in this candy corn?     |false|918756967065276416|/SFLCW/status/918756967065276416||||
SFLCW|2017-10-17 16:00:57|0|2|'DC''s #LegendsOfTomorrow  find themselves in the middle of a circus in 1870 TONIGHT at 9/8c! pic.twitter.com/qv7cGnmYHM'|'DC''s #LegendsOfTomorrow  find themselves in the middle of a circus in 1870 TONIGHT at 9/8c! '|false|920379121527672833|/SFLCW/status/920379121527672833||||
SFLCW|2017-09-15 05:05:08|0|1|YMCA Opens its doors to South Florida  http://bit.ly/2h6V1fB   pic.twitter.com/Kz5OnLjE4Y|YMCA Opens its doors to South Florida     |false|908617668286132226|/SFLCW/status/908617668286132226|FL|27.7567667|-81.4639835|210.85168210265104
SFLCW|2017-10-12 06:05:14|0|0|Video captures 11-year-old’s joy after learning her adoption is final  http://bit.ly/2hD6BPI   pic.twitter.com/hotIirydc5|Video captures 11-year-old’s joy after learning her adoption is final     |false|918417267817439232|/SFLCW/status/918417267817439232||||
SFLCW|2017-09-15 04:35:04|0|0|SpaceX releases fail video of all of its rocket explosions  http://bit.ly/2h722Nh   pic.twitter.com/9J8olq0QCQ|SpaceX releases fail video of all of its rocket explosions     |false|908610104953581568|/SFLCW/status/908610104953581568||||
SFLCW|2017-10-11 02:35:06|0|0|Disneyland takes on eerie, orange glow amid Southern California wildfire  http://bit.ly/2yECaDB   pic.twitter.com/p90RStHMo9|Disneyland takes on eerie, orange glow amid Southern California wildfire     |false|918001996698980353|/SFLCW/status/918001996698980353|CA|36.7014631|-118.7559974|358.57430104148074
SFLCW|2017-09-27 04:05:04|0|0|Walmart wants to send someone to stock your fridge — even when you’re not home  http://bit.ly/2xJOYaI   pic.twitter.com/KMND3PEEOk|Walmart wants to send someone to stock your fridge — even when you’re not home     |false|912951209408987137|/SFLCW/status/912951209408987137||||
SFLCW|2017-10-14 06:05:07|0|1|Zappos matching up to $1M for Las Vegas shooting victims and families  http://bit.ly/2yL2LPx   pic.twitter.com/GL3jd8ogOI|Zappos matching up to $1M for Las Vegas shooting victims and families     |false|919142015341940736|/SFLCW/status/919142015341940736||||
SFLCW|2017-09-28 06:35:05|0|0|Incredible video shows person kiteboarding off N.C. coast during Maria’s winds  http://bit.ly/2xMeBru   pic.twitter.com/enwTfyo5u6|Incredible video shows person kiteboarding off N.C. coast during Maria’s winds     |false|913351347877097472|/SFLCW/status/913351347877097472||||
SFLCW|2017-10-27 04:42:07|0|0|Super Teachers: Jolynne Woodmansee  http://bit.ly/2yNX6rA   pic.twitter.com/JI0VSJwFdE|Super Teachers: Jolynne Woodmansee     |false|923832168446595072|/SFLCW/status/923832168446595072||||
