username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
wsretv|2017-10-27 17:22:48|0|1|Be satisfied with each bite of this sun-dried tomato walnut pasta. (from @PBSFood )  http://www. pbs.org/food/fresh-tas tes/italian-inspired-sun-dried-tomato-walnut-pasta/   … pic.twitter.com/47AyDmlzaT|Be satisfied with each bite of this sun-dried tomato walnut pasta. (from @PBSFood )   pbs.org/food/fresh-tas tes/italian-inspired-sun-dried-tomato-walnut-pasta/   … |false|924023601753481218|/wsretv/status/924023601753481218||||
wsretv|2017-09-21 18:28:59|1|1|'Thank you @pnj  & Melissa! See THE 2 SIDES PROJECT next Fri 9/29 at 7pm #atTheAmos  on @PensacolaState ''s main campus. http://www. pnj.com/story/news/mil itary/2017/09/21/2-sides-project-documentary-vietnam-war/680595001/   …'|'Thank you @pnj  & Melissa! See THE 2 SIDES PROJECT next Fri 9/29 at 7pm #atTheAmos  on @PensacolaState ''s main campus.  pnj.com/story/news/mil itary/2017/09/21/2-sides-project-documentary-vietnam-war/680595001/   …'|false|910994292054863873|/wsretv/status/910994292054863873||||
wsretv|2017-10-19 13:34:01|0|1|'We can''t wait to celebrate our 50th Anniversary at the 2017 Wine & Food Classic. See you there! pic.twitter.com/9xI3G7TqVx'|'We can''t wait to celebrate our 50th Anniversary at the 2017 Wine & Food Classic. See you there! '|false|921066922485141505|/wsretv/status/921066922485141505||||
wsretv|2017-10-24 11:03:57|1|4|Come on down to the WSRE PBS KIDS Imagination Station this morning and have fun playing and counting pumpkins with us! |Come on down to the WSRE PBS KIDS Imagination Station this morning and have fun playing and counting pumpkins with us! |false|922841096350306308|/wsretv/status/922841096350306308||||
wsretv|2017-10-17 12:18:16|0|1|It’s #NationalEstatePlanningAwareness  Week. Are your ducks in a row? Go to  http://wsre.org/FreeGuide    or call Maryette at 484-1246 for a FREE Personal Estate Planning Guide. pic.twitter.com/qWqrpfIqkP|It’s #NationalEstatePlanningAwareness  Week. Are your ducks in a row? Go to      or call Maryette at 484-1246 for a FREE Personal Estate Planning Guide. |false|920323083080265728|/wsretv/status/920323083080265728||||
wsretv|2017-09-14 19:57:53|0|2|'WSRE is proud to be hosting a screening tonight of Ken Burns'' documentary "The Vietnam War" at the Destin Public...  http://fb.me/1p3fWoYC9  '|'WSRE is proud to be hosting a screening tonight of Ken Burns'' documentary "The Vietnam War" at the Destin Public...    '|false|908479950818365440|/wsretv/status/908479950818365440||||
wsretv|2017-09-14 13:15:29|0|0|I added a video to a @YouTube  playlist  http://youtu.be/KTYO6DiXgTU?a    Environmental Issues Impacting Our Community __PIPE__ AWARE! __PIPE__ WSRE|I added a video to a @YouTube  playlist      Environmental Issues Impacting Our Community __PIPE__ AWARE! __PIPE__ WSRE|false|908378683102154752|/wsretv/status/908378683102154752||||
wsretv|2017-10-26 17:48:29|0|1|Potluck on the patio today for former WSRE Development Director Janie Stewart--retiring after 20 years of raising...  http://fb.me/9lZuefNNV  |Potluck on the patio today for former WSRE Development Director Janie Stewart--retiring after 20 years of raising...    |false|923667674982313984|/wsretv/status/923667674982313984||||
wsretv|2017-10-06 18:35:06|0|4|# StudioAmped  Songwriters Edition will be produced in front of a LIVE audience TONIGHT at 7pm #atTheAmos . Do you support local music?__NEWLINE__ https://www. facebook.com/events/4965812 84057380/   …|# StudioAmped  Songwriters Edition will be produced in front of a LIVE audience TONIGHT at 7pm #atTheAmos . Do you support local music?__NEWLINE__  facebook.com/events/4965812 84057380/   …|false|916431652116713472|/wsretv/status/916431652116713472||||
wsretv|2017-10-24 16:38:22|0|1|Congratulations to Chef George Lazi and George Artisan Bakery & Bistro (People’s Choice Best Overall; Best Booth;...  http://fb.me/9lmKwnpoh  |Congratulations to Chef George Lazi and George Artisan Bakery & Bistro (People’s Choice Best Overall; Best Booth;...    |false|922925256355979264|/wsretv/status/922925256355979264||||
wsretv|2017-10-03 15:18:42|0|0|# MediaAlert : Join studio audience during “#StudioAmped ” Season 10 production #atTheAmos http://www. wsre.org/blogs/press-ro om-blog/media-alert-join-studio-audience-during-studioamped-season-10-production/   …|# MediaAlert : Join studio audience during “#StudioAmped ” Season 10 production #atTheAmos  wsre.org/blogs/press-ro om-blog/media-alert-join-studio-audience-during-studioamped-season-10-production/   …|false|915295060060704768|/wsretv/status/915295060060704768||||
wsretv|2017-09-11 17:14:01|1|6|Our first over-the-air broadcast was transmitted over UHF Channel 23 to homes in the greater Pensacola area on Sept. 11, 1967. #WSRE  #WSRETV pic.twitter.com/WuPqgAmdMO|Our first over-the-air broadcast was transmitted over UHF Channel 23 to homes in the greater Pensacola area on Sept. 11, 1967. #WSRE  #WSRETV |false|907351546840666112|/wsretv/status/907351546840666112||||
wsretv|2017-10-31 17:17:59|0|1|I added a video to a @YouTube  playlist  http://youtu.be/QYONRcP9xnw?a    Lawful Immigration __PIPE__ inStudio __PIPE__ WSRE|I added a video to a @YouTube  playlist      Lawful Immigration __PIPE__ inStudio __PIPE__ WSRE|false|925471940327985153|/wsretv/status/925471940327985153||||
wsretv|2017-09-22 15:56:59|0|0|This morning our WSRE producer/directors enjoyed giving Lighthouse Private Christian Academy 7th grade class a...  http://fb.me/8FhnreJ6t  |This morning our WSRE producer/directors enjoyed giving Lighthouse Private Christian Academy 7th grade class a...    |false|911318427352092677|/wsretv/status/911318427352092677||||
wsretv|2017-10-04 15:45:57|0|1|I added a video to a @YouTube  playlist  http://youtu.be/9daaZdl4Iik?a    State and National History Day __PIPE__ inStudio __PIPE__ WSRE|I added a video to a @YouTube  playlist      State and National History Day __PIPE__ inStudio __PIPE__ WSRE|false|915664304535408640|/wsretv/status/915664304535408640||||
