username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
10NewsWTSP|2017-09-18 12:35:04|3|2|Notice something wrong with your car? It might be bad gas  http://on.wtsp.com/2xtipxH   pic.twitter.com/CQAU3VAF2f|Notice something wrong with your car? It might be bad gas     |false|909818064232951808|/10NewsWTSP/status/909818064232951808||||
10NewsWTSP|2017-09-12 04:38:42|0|2|.@10NewsTraffic  and @SeanStreicher  are talking about this right now on #Brightside . https://twitter.com/PascoSheriff/s tatus/907521776460156930   …|.@10NewsTraffic  and @SeanStreicher  are talking about this right now on #Brightside .  tatus/907521776460156930   …|false|907523852439343104|/10NewsWTSP/status/907523852439343104||||
10NewsWTSP|2017-09-09 20:15:54|7|5|# HurricaneIrma  All access to Clearwater Beach via Memorial Causeway and Gulf Blvd. will be shut down at 6am Sunday.   #hurricaneirma2017|# HurricaneIrma  All access to Clearwater Beach via Memorial Causeway and Gulf Blvd. will be shut down at 6am Sunday.   #hurricaneirma2017|false|906672543620386816|/10NewsWTSP/status/906672543620386816||||
10NewsWTSP|2017-09-05 11:35:06|6|4|When to evacuate: Should I stay or should I go?  http://on.wtsp.com/2gCqqpM   pic.twitter.com/TjhInCGYB5|When to evacuate: Should I stay or should I go?     |false|905091930056511488|/10NewsWTSP/status/905091930056511488||||
10NewsWTSP|2017-10-04 00:05:10|1|1|Woman loses finger when ring gets caught on fence  http://on.wtsp.com/2yYwCku   pic.twitter.com/QCiP0RgFJd|Woman loses finger when ring gets caught on fence     |false|915427548724699136|/10NewsWTSP/status/915427548724699136||||
10NewsWTSP|2017-09-11 03:05:09|4|3|Police rescue family stuck in ditch amid Hurricane Irma  http://on.wtsp.com/2wRwG7b   pic.twitter.com/uIiPG7fTzu|Police rescue family stuck in ditch amid Hurricane Irma     |false|907137923358838784|/10NewsWTSP/status/907137923358838784||||
10NewsWTSP|2017-10-08 03:35:06|1|3|The latest on Nate  http://on.wtsp.com/2y7cZsh   pic.twitter.com/m9mm8J3UFF|The latest on Nate     |false|916929934744080384|/10NewsWTSP/status/916929934744080384||||
10NewsWTSP|2017-10-13 00:35:07|1|0|'11Alive speaks with slain baby''s grandfather  http://on.wtsp.com/2hDx1Rk   pic.twitter.com/J1jYplGb0Z'|'11Alive speaks with slain baby''s grandfather     '|false|918696577597763584|/10NewsWTSP/status/918696577597763584||||
10NewsWTSP|2017-10-21 19:35:07|1|1|Father buries his two sons; Saturday funeral held for slain toddlers  http://on.wtsp.com/2xe0Mio   pic.twitter.com/atAdixFp9l|Father buries his two sons; Saturday funeral held for slain toddlers     |false|921882570404564992|/10NewsWTSP/status/921882570404564992||||
10NewsWTSP|2017-10-20 10:35:06|0|2|Honolulu makes it illegal to smoke in cars with kids  http://on.wtsp.com/2yUZg9e   pic.twitter.com/MmnuqOrFa5|Honolulu makes it illegal to smoke in cars with kids     |false|921384285533360129|/10NewsWTSP/status/921384285533360129||||
10NewsWTSP|2017-09-16 17:05:06|1|4|Duke Energy customers now can speak directly to representative  http://on.wtsp.com/2fchjzL   pic.twitter.com/YQzEZMzKB4|Duke Energy customers now can speak directly to representative     |false|909161245466644481|/10NewsWTSP/status/909161245466644481||||
10NewsWTSP|2017-09-12 03:20:04|1|0|POWER OUT   Hundreds of thousands of people in the Tampa Bay area are still without power after #HurricaneIrma   http://on.wtsp.com/2eJKki4   pic.twitter.com/FmGyj81CzW|POWER OUT   Hundreds of thousands of people in the Tampa Bay area are still without power after #HurricaneIrma      |false|907504065650839552|/10NewsWTSP/status/907504065650839552||||
10NewsWTSP|2017-10-06 00:35:08|2|0|1,000 ISIS militants surrender as Iraq retakes key town of Hawija  http://on.wtsp.com/2y3FkzP   pic.twitter.com/UEiIWSLyXJ|1,000 ISIS militants surrender as Iraq retakes key town of Hawija     |false|916159866745638912|/10NewsWTSP/status/916159866745638912||||
10NewsWTSP|2017-10-05 08:05:08|0|2|Members of Congress push for extra time for DREAMers delayed by hurricanes  http://on.wtsp.com/2yYMl33   pic.twitter.com/OfnqQN1Obw|Members of Congress push for extra time for DREAMers delayed by hurricanes     |false|915910726673367040|/10NewsWTSP/status/915910726673367040||||
10NewsWTSP|2017-09-14 17:20:05|3|1|Residents evacuated from assisted living facility:  http://youtu.be/C_sIQdopEik?a    via @YouTube|Residents evacuated from assisted living facility:      |false|908440238204313601|/10NewsWTSP/status/908440238204313601||||
10NewsWTSP|2017-09-05 20:35:08|3|4|VERIFY: Will Hurricane Irma be a Category 6 storm?  http://on.wtsp.com/2eJgvSF   pic.twitter.com/HCniw0NJFj|VERIFY: Will Hurricane Irma be a Category 6 storm?     |false|905227834087677953|/10NewsWTSP/status/905227834087677953||||
10NewsWTSP|2017-09-07 18:35:06|1|5|Watch Hurricane Irma from these web cams  http://on.wtsp.com/2wMPvsp   pic.twitter.com/aVhtfNg0st|Watch Hurricane Irma from these web cams     |false|905922402789597186|/10NewsWTSP/status/905922402789597186||||
10NewsWTSP|2017-09-07 05:35:07|2|4|Local task force team returns home from Harvey, now racing to prepare for Irma  http://on.wtsp.com/2xR90xy   pic.twitter.com/XXxvxCzKkm|Local task force team returns home from Harvey, now racing to prepare for Irma     |false|905726112684285952|/10NewsWTSP/status/905726112684285952||||
10NewsWTSP|2017-10-11 17:05:06|0|0|Body recovered from New Port Richey house fire  http://on.wtsp.com/2yFgGa2   pic.twitter.com/W77txSlnRl|Body recovered from New Port Richey house fire     |false|918220940605050880|/10NewsWTSP/status/918220940605050880||||
