username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
FOX13News|2017-10-11 10:00:04|0|1|'Man charged in shooting after ''numerous'' rifles found in home. MORE:  http://www. fox13news.com/news/local-new s/man-charged-in-shooting-after-numerous-rifles-found-in-home   … pic.twitter.com/UGMDhpsQNC'|'Man charged in shooting after ''numerous'' rifles found in home. MORE:   fox13news.com/news/local-new s/man-charged-in-shooting-after-numerous-rifles-found-in-home   … '|false|918113978802257920|/FOX13News/status/918113978802257920||||
FOX13News|2017-09-29 07:58:51|3|4|BREAKING: Alligator trapper dies in Zephyrhills traffic crash at Otis Allen Rd & Old Lakeland Hwy. More to come. pic.twitter.com/3bcFxLBLfr|BREAKING: Alligator trapper dies in Zephyrhills traffic crash at Otis Allen Rd & Old Lakeland Hwy. More to come. |false|913734817619038210|/FOX13News/status/913734817619038210||||
FOX13News|2017-09-03 20:11:50|8|6|Wrong way driver arrested for 4th DUI in less than a year  http://www. fox13news.com/news/local-new s/278434291-story   … pic.twitter.com/aK2lV8a2ld|Wrong way driver arrested for 4th DUI in less than a year   fox13news.com/news/local-new s/278434291-story   … |false|904497192123158528|/FOX13News/status/904497192123158528||||
FOX13News|2017-09-09 06:54:01|31|23|TAMPA BAY IMPACT: Here is a breakdown of how Hurricane Irma could affect you: __NEWLINE____NEWLINE__ http://bit.ly/2gRCdEu   https://twitter.com/DaveOFox13/sta tus/906469525499121664   …|TAMPA BAY IMPACT: Here is a breakdown of how Hurricane Irma could affect you: __NEWLINE____NEWLINE__     tus/906469525499121664   …|false|906470743353028608|/FOX13News/status/906470743353028608||||
FOX13News|2017-09-08 10:49:07|19|12|# BREAKING  Mandatory evacuation issued for Hernando County residents in zones A&B, all mobile homes in county:  http://bit.ly/2xiw8bn   pic.twitter.com/2Dc8xlIDFe|# BREAKING  Mandatory evacuation issued for Hernando County residents in zones A&B, all mobile homes in county:     |false|906167519194566656|/FOX13News/status/906167519194566656||||
FOX13News|2017-10-02 07:43:33|65|96|Our thoughts are with you, Las Vegas. pic.twitter.com/yAeRRjTulN|Our thoughts are with you, Las Vegas. |false|914818131406868480|/FOX13News/status/914818131406868480||||
FOX13News|2017-09-26 06:45:00|3|1|'Nephew accused of stealing uncle''s Marion County patrol car, uniform to impersonate deputy STORY:  http://fox13news.com/news/local-new s/nephew-accused-of-stealing-uncles-patrol-car-uniform-to-impersonate-deputy   … pic.twitter.com/XG51bMgbLX'|'Nephew accused of stealing uncle''s Marion County patrol car, uniform to impersonate deputy STORY:   s/nephew-accused-of-stealing-uncles-patrol-car-uniform-to-impersonate-deputy   … '|false|912629070151725057|/FOX13News/status/912629070151725057||||
FOX13News|2017-10-27 15:22:53|2|0|'Neighbor charged with Safety Harbor man''s June murder:  http://www. fox13news.com/news/local-new s/neighbor-charged-with-safety-harbor-mans-murder   … pic.twitter.com/Y1EzYVbS8p'|'Neighbor charged with Safety Harbor man''s June murder:   fox13news.com/news/local-new s/neighbor-charged-with-safety-harbor-mans-murder   … '|false|923993423480328192|/FOX13News/status/923993423480328192||||
FOX13News|2017-10-03 10:05:48|8|4|. @PolkCoSheriff  Grady Judd releases details on arrests in undercover porn bust. WATCH:  https://www. facebook.com/FOX13TampaBay/ videos/10155192814043525/   … pic.twitter.com/acqWyinhje|. @PolkCoSheriff  Grady Judd releases details on arrests in undercover porn bust. WATCH:   facebook.com/FOX13TampaBay/ videos/10155192814043525/   … |false|915216316159668226|/FOX13News/status/915216316159668226||||
FOX13News|2017-09-13 08:30:01|28|8|STILL MISSING: Jabez Spann, a 14-year-old from Sarasota, was last seen on Labor Day. SPREAD THE WORD:  http://www. fox13news.com/news/local-new s/missing-sarasota-teenager-missing-since-labor-day   … pic.twitter.com/em8lO6czqP|STILL MISSING: Jabez Spann, a 14-year-old from Sarasota, was last seen on Labor Day. SPREAD THE WORD:   fox13news.com/news/local-new s/missing-sarasota-teenager-missing-since-labor-day   … |false|907944453427605504|/FOX13News/status/907944453427605504||||
FOX13News|2017-09-14 08:27:01|18|11|'This is what Florida''s power outages look like from space, before and after. __NEWLINE__LATEST POWER OUTAGES:  http://bit.ly/2xVFZ2X   pic.twitter.com/RmlexfBHye'|'This is what Florida''s power outages look like from space, before and after. __NEWLINE__LATEST POWER OUTAGES:     '|false|908306085714391040|/FOX13News/status/908306085714391040||||
FOX13News|2017-10-19 10:29:26|2|12|Hillsborough County Fair opens today:  http://www. fox13news.com/news/local-new s/hillsborough-county-fair-opens-today   … pic.twitter.com/Od3Og5CNiG|Hillsborough County Fair opens today:   fox13news.com/news/local-new s/hillsborough-county-fair-opens-today   … |false|921020470849392640|/FOX13News/status/921020470849392640||||
FOX13News|2017-09-18 08:00:01|1|3|Dog dies after contact with downed power line in St. Petersburg. STORY:  http://www. fox13news.com/news/local-new s/dog-dies-after-contact-with-downed-power-line   … pic.twitter.com/Dprivg2SXS|Dog dies after contact with downed power line in St. Petersburg. STORY:   fox13news.com/news/local-new s/dog-dies-after-contact-with-downed-power-line   … |false|909748846535643136|/FOX13News/status/909748846535643136||||
FOX13News|2017-09-10 08:42:40|18|13|BREAKING: Manatee County has issued a 24-hour curfew beginning at 3 p.m. today. LATEST:  http://bit.ly/2xVkKiH   pic.twitter.com/WzqOsdpefS|BREAKING: Manatee County has issued a 24-hour curfew beginning at 3 p.m. today. LATEST:     |false|906860474431688704|/FOX13News/status/906860474431688704||||
FOX13News|2017-10-02 10:56:11|1|16|Pres. Trump: Melania and I are praying for every American who is hurt. We pray for the entire nation to find unity and peace. pic.twitter.com/KgWd4HgBlS|Pres. Trump: Melania and I are praying for every American who is hurt. We pray for the entire nation to find unity and peace. |false|914866607243059200|/FOX13News/status/914866607243059200||||
FOX13News|2017-10-09 17:06:24|27|7|'AMBER ALERT: Texas girl missing after being left outside at 3 a.m. because she wouldn''t drink her milk, police say:__NEWLINE__ http://bit.ly/2g6HDvx   pic.twitter.com/MS7ap0njtR'|'AMBER ALERT: Texas girl missing after being left outside at 3 a.m. because she wouldn''t drink her milk, police say:__NEWLINE__    '|false|917496492318961665|/FOX13News/status/917496492318961665|TX|31.8160381|-99.5120986|464.57546726754583
FOX13News|2017-09-25 10:09:55|1|18|. @realDonaldTrump  responds to NFL players kneeling during National Anthem:  http://bit.ly/2hrFBX9   pic.twitter.com/Cu580QwAnR|. @realDonaldTrump  responds to NFL players kneeling during National Anthem:     |false|912318250482126849|/FOX13News/status/912318250482126849||||
