'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
abc27|2017-09-23 08:00:10|0|0|Monday DIRECTV could remove WTXL ABC 27 from your lineup. Learn more at  https://buff.ly/2wbhVsq   pic.twitter.com/bYDZOYDl5i|Monday DIRECTV could remove WTXL ABC 27 from your lineup. Learn more at     |false|911560821297356800|/abc27/status/911560821297356800
abc27|2017-10-03 10:30:18|1|0|RECALL ALERT: Over 38k pounds of ground turkey meat recalled due to possibility of metal shavings in packaging »  https://buff.ly/2fHjgAx   pic.twitter.com/Ht6xZScNmu|RECALL ALERT: Over 38k pounds of ground turkey meat recalled due to possibility of metal shavings in packaging »     |false|915222481635553280|/abc27/status/915222481635553280
abc27|2017-09-21 13:01:30|0|0|Federal investigators to study bus crash that killed three migrant workers MORE >>  https://buff.ly/2xhtsKo   pic.twitter.com/Yms8HZ8too|Federal investigators to study bus crash that killed three migrant workers MORE >>     |false|910911879433900033|/abc27/status/910911879433900033
abc27|2017-10-11 15:05:22|3|0|Woman wanted in FBI child sex assault case__NEWLINE__PLEASE #RT  >>   https://buff.ly/2yby7y9   pic.twitter.com/IJSSthxp91|Woman wanted in FBI child sex assault case__NEWLINE__PLEASE #RT  >>      |false|918190807798214657|/abc27/status/918190807798214657
abc27|2017-09-22 17:43:14|1|0|11th patient from sweltering nursing home dies__NEWLINE__MORE HERE >>   https://buff.ly/2xXnOho   pic.twitter.com/8MRfrokZLO|11th patient from sweltering nursing home dies__NEWLINE__MORE HERE >>      |false|911345166048428032|/abc27/status/911345166048428032
abc27|2017-10-18 08:15:04|0|0|SECOND CUP: A Tallahassee Night of Inspiration __NEWLINE__MORE >>  https://buff.ly/2yuQtI3   pic.twitter.com/D5RG6cO8El|SECOND CUP: A Tallahassee Night of Inspiration __NEWLINE__MORE >>     |false|920624268114911232|/abc27/status/920624268114911232
abc27|2017-10-04 13:39:45|0|0|BREAKING: Soldier sentenced for aggravated child pornography, extortion__NEWLINE__MORE HERE >>  https://buff.ly/2xZl2qK   pic.twitter.com/9xY282VJ2L|BREAKING: Soldier sentenced for aggravated child pornography, extortion__NEWLINE__MORE HERE >>     |false|915632549006839810|/abc27/status/915632549006839810
abc27|2017-09-13 10:55:09|0|0|Carbon monoxide and nursing home deaths reported after Irma__NEWLINE__MORE HERE >>  https://buff.ly/2jmCEHG   pic.twitter.com/uKXNWDdBxn|Carbon monoxide and nursing home deaths reported after Irma__NEWLINE__MORE HERE >>     |false|907980976915144705|/abc27/status/907980976915144705
abc27|2017-09-04 12:51:29|0|0|Tropics check with @AlexCorderoWX : https://twitter.com/AlexCorderoWX/ status/904748676475703297   …|Tropics check with @AlexCorderoWX :  status/904748676475703297   …|false|904748765298515969|/abc27/status/904748765298515969
abc27|2017-10-23 15:00:27|2|2|Florida Gov. wants more spent on environmental programs __NEWLINE__MORE >>  https://buff.ly/2xZ73CW   pic.twitter.com/BZ2TSiHlab|Florida Gov. wants more spent on environmental programs __NEWLINE__MORE >>     |false|922538225993945088|/abc27/status/922538225993945088
abc27|2017-10-27 09:30:03|0|0|Spooky fun, including tricks and treats, for kids and families are offered around our area__NEWLINE__MORE >>  https://buff.ly/2zTHGQj   pic.twitter.com/sWiT4L7G6c|Spooky fun, including tricks and treats, for kids and families are offered around our area__NEWLINE__MORE >>     |false|923904627032158208|/abc27/status/923904627032158208
abc27|2017-10-25 07:48:01|1|1|SECOND CUP: Brewfest Tallahassee 2017 is this weekend__NEWLINE__MORE >>  https://buff.ly/2yMQzg1   pic.twitter.com/p2bKIsXZuB|SECOND CUP: Brewfest Tallahassee 2017 is this weekend__NEWLINE__MORE >>     |false|923154175135047681|/abc27/status/923154175135047681
abc27|2017-10-24 12:00:24|0|0|Thomasville man arrested for child porn__NEWLINE__MORE HERE >>  https://buff.ly/2yL4sv2   pic.twitter.com/iy7oYWZqhT|Thomasville man arrested for child porn__NEWLINE__MORE HERE >>     |false|922855300759277569|/abc27/status/922855300759277569
abc27|2017-09-20 10:56:30|1|0|UPDATE: TPD still searching for suspect in fatal Tallahassee shooting__NEWLINE__MORE HERE >>  https://buff.ly/2fbytKb   pic.twitter.com/ScQdnOxZcG|UPDATE: TPD still searching for suspect in fatal Tallahassee shooting__NEWLINE__MORE HERE >>     |false|910518034485391361|/abc27/status/910518034485391361
abc27|2017-10-23 05:30:11|0|0|Watch WTXL News at 6! pic.twitter.com/6jNJ3dtC4i|Watch WTXL News at 6! |false|922394710949416961|/abc27/status/922394710949416961
abc27|2017-10-16 14:01:07|1|0|Mother charged with 2 toddlers' deaths __NEWLINE__MORE >>  https://buff.ly/2kRFlC6   pic.twitter.com/67yLNRpRD3|Mother charged with 2 toddlers' deaths __NEWLINE__MORE >>     |false|919986577442508803|/abc27/status/919986577442508803
abc27|2017-10-02 11:06:05|0|0|Family of three killed in Florida mobile home fire__NEWLINE__MORE HERE >>  https://buff.ly/2xSI8PX   pic.twitter.com/GxnObZTLaS|Family of three killed in Florida mobile home fire__NEWLINE__MORE HERE >>     |false|914869098194096128|/abc27/status/914869098194096128
