username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
WUCFTV|2017-10-19 10:46:01|0|0|Spread the Word! Emmy®-nominated Kingdom of Shadows from @POVdocs  is back, and now streaming as part of #MiHistoria|Spread the Word! Emmy®-nominated Kingdom of Shadows from @POVdocs  is back, and now streaming as part of #MiHistoria|false|921024642164211712|/WUCFTV/status/921024642164211712||||
WUCFTV|2017-10-18 14:15:00|0|0|'Communists, Nationalists, and China''s Revolutions __PIPE__ #CrashCourse  World History (Grades 9-13+)  https://goo.gl/vt7wL9   pic.twitter.com/PwZNidTiBk'|'Communists, Nationalists, and China''s Revolutions __PIPE__ #CrashCourse  World History (Grades 9-13+)     '|false|920714848962363392|/WUCFTV/status/920714848962363392||||
WUCFTV|2017-09-24 16:15:08|1|2|Happy Birthday, Jim Henson! Learn how he and @TheMuppets  continue to make a difference in the world.  https://goo.gl/w6c8fT   pic.twitter.com/DJm1A8McC2|Happy Birthday, Jim Henson! Learn how he and @TheMuppets  continue to make a difference in the world.     |false|912047771280138241|/WUCFTV/status/912047771280138241||||
WUCFTV|2017-09-28 15:30:19|0|0|'ACTIVITY: Students play a role - Congress or Presidency - while learning about division among the branches of gov''t!  https://goo.gl/ffUzcv   pic.twitter.com/aBKn6FRJDk'|'ACTIVITY: Students play a role - Congress or Presidency - while learning about division among the branches of gov''t!     '|false|913486044573683712|/WUCFTV/status/913486044573683712||||
WUCFTV|2017-09-20 19:25:05|0|0|INTERACTIVE ACTIVITY: Students learn how the branches of government are connected and have shared responsibilities!  https://goo.gl/fqyVCy   pic.twitter.com/i3PNOXCH01|INTERACTIVE ACTIVITY: Students learn how the branches of government are connected and have shared responsibilities!     |false|910646024536051712|/WUCFTV/status/910646024536051712||||
WUCFTV|2017-10-13 09:32:00|0|0|Tomorrow’s the big day! What’s one piece of advice you have for students working towards graduation? #AmGradWUCF pic.twitter.com/0Fl77Ty0DA|Tomorrow’s the big day! What’s one piece of advice you have for students working towards graduation? #AmGradWUCF |false|918831691006906368|/WUCFTV/status/918831691006906368||||
WUCFTV|2017-10-31 10:02:59|0|1|Have you checked this out?  http://conta.cc/2gPuWpj   pic.twitter.com/V9CGn6Ztne|Have you checked this out?     |false|925362467424866307|/WUCFTV/status/925362467424866307||||
WUCFTV|2017-09-07 06:02:38|2|0|5AM Hurricane #Irma  update: A look at when to expect the winds. #hurricaneirma pic.twitter.com/4hPt43idup|5AM Hurricane #Irma  update: A look at when to expect the winds. #hurricaneirma |false|905733035865362432|/WUCFTV/status/905733035865362432||||
WUCFTV|2017-10-15 12:05:08|0|0|Encourage 10/11th graders who have a strong scientific interest to apply for #EmperorScienceAward  by 11/1 deadline!  https://goo.gl/L3iADK   pic.twitter.com/jHrFAIAgF7|Encourage 10/11th graders who have a strong scientific interest to apply for #EmperorScienceAward  by 11/1 deadline!     |false|919595002254254081|/WUCFTV/status/919595002254254081||||
WUCFTV|2017-09-11 10:00:17|0|0|Have you checked this out?  http://conta.cc/2eMCGUg   pic.twitter.com/SCV6N357Cs|Have you checked this out?     |false|907242396504743936|/WUCFTV/status/907242396504743936||||
WUCFTV|2017-09-21 10:15:01|0|0|Honor #InternationalDayofPeace  by helping students learn to express gratitude + appreciate the kindness of others! http://to.pbs.org/2wk5fCA  |Honor #InternationalDayofPeace  by helping students learn to express gratitude + appreciate the kindness of others!   |false|910869982224859136|/WUCFTV/status/910869982224859136||||
WUCFTV|2017-10-20 15:10:02|0|1|@ ThirdRailPBS  is LIVE with a preview of tonight’s debate with relationship therapist and sex educator @DrLauraBerman https://goo.gl/3CBQGw  |@ ThirdRailPBS  is LIVE with a preview of tonight’s debate with relationship therapist and sex educator @DrLauraBerman   |false|921453471412482050|/WUCFTV/status/921453471412482050||||
WUCFTV|2017-09-22 15:50:05|0|0|'Build on kids'' understanding of natural #history  + #science  with the help of @TheKrattBros ! Explore the collection:  https://goo.gl/fjx816   pic.twitter.com/o0DFf8Z2yi'|'Build on kids'' understanding of natural #history  + #science  with the help of @TheKrattBros ! Explore the collection:     '|false|911316693791756288|/WUCFTV/status/911316693791756288||||
WUCFTV|2017-09-11 11:39:00|0|1|How Vietnam vets deal with the scars of the war. THURSDAY at 8pm on WUCF.  https://goo.gl/aobEB2    #VietnamWarPBS pic.twitter.com/gHuiqH3A6d|How Vietnam vets deal with the scars of the war. THURSDAY at 8pm on WUCF.      #VietnamWarPBS |false|907267239325335552|/WUCFTV/status/907267239325335552||||
WUCFTV|2017-09-27 20:00:02|1|0|TUNE IN NOW: #TheVietnamWar  Episode 9 - "A Disrespectful Loyalty"__NEWLINE____NEWLINE__Watch LIVE on @PBS  or STREAM here --> https://goo.gl/NMNxjW  |TUNE IN NOW: #TheVietnamWar  Episode 9 - "A Disrespectful Loyalty"__NEWLINE____NEWLINE__Watch LIVE on @PBS  or STREAM here -->   |false|913191532655546368|/WUCFTV/status/913191532655546368||||
WUCFTV|2017-11-01 11:53:05|0|2|On this edition of "SCIENCE! Kids", Miss Sarah and Miss Nylah from @orlandoscience  explain how operant conditioning to reinforces behaviors! pic.twitter.com/7gfBmg0f3a|On this edition of "SCIENCE! Kids", Miss Sarah and Miss Nylah from @orlandoscience  explain how operant conditioning to reinforces behaviors! |false|925752564800458752|/WUCFTV/status/925752564800458752||||
WUCFTV|2017-09-10 11:02:06|3|2|'# HurricaneIrma  11a: Irma moving north near 9 mph w/increase in forward speed is expected. Don''t just focus on track! Storm is wide! pic.twitter.com/PVjRNO5gqg'|'# HurricaneIrma  11a: Irma moving north near 9 mph w/increase in forward speed is expected. Don''t just focus on track! Storm is wide! '|false|906895565618860032|/WUCFTV/status/906895565618860032||||
WUCFTV|2017-10-04 07:22:20|5|2|Did you miss some of your favorite PBS shows due to #HurricaneIrma ? Check out these rescheduled shows: pic.twitter.com/W1jPcEJEqG|Did you miss some of your favorite PBS shows due to #HurricaneIrma ? Check out these rescheduled shows: |false|915537568481136640|/WUCFTV/status/915537568481136640||||
WUCFTV|2017-10-05 08:40:51|3|3|'TONIGHT is the night! Come on a roadtrip with WUCF and explore #Sanford ''s roots! #CFRoadtrip pic.twitter.com/q9YKpM3qAp'|'TONIGHT is the night! Come on a roadtrip with WUCF and explore #Sanford ''s roots! #CFRoadtrip '|false|915919712231591936|/WUCFTV/status/915919712231591936||||
WUCFTV|2017-10-31 15:10:07|0|1|Deadline is tomorrow! 10th/11th graders w/ passion for #science  are invited to apply for the #EmperorScienceAward :  https://goo.gl/dvv51m   pic.twitter.com/WJSvPFAa2R|Deadline is tomorrow! 10th/11th graders w/ passion for #science  are invited to apply for the #EmperorScienceAward :     |false|925439759379464193|/WUCFTV/status/925439759379464193||||
WUCFTV|2017-10-01 08:27:00|0|1|@ RuffRuffmanPBS  & friends Blossom & Chet are here to help kids tackle kitchen chemistry, structural science & more! http://to.pbs.org/2fBTEWp  |@ RuffRuffmanPBS  & friends Blossom & Chet are here to help kids tackle kitchen chemistry, structural science & more!   |false|914466677063950336|/WUCFTV/status/914466677063950336||||
WUCFTV|2017-09-09 10:02:43|0|0|A big thank you to @FhpOrlando  for keeping our roads safe! https://twitter.com/wucftv/status/ 906489846751023104   …|A big thank you to @FhpOrlando  for keeping our roads safe!  906489846751023104   …|false|906518230319206401|/WUCFTV/status/906518230319206401||||
WUCFTV|2017-10-03 19:00:41|0|0|STUDENTS! If you could be a scientific researcher, what would you study and why? APPLY NOW for #EmperorScienceAward !  https://goo.gl/W1YHjn   pic.twitter.com/VcZgQhmGmF|STUDENTS! If you could be a scientific researcher, what would you study and why? APPLY NOW for #EmperorScienceAward !     |false|915350923676983297|/WUCFTV/status/915350923676983297||||
WUCFTV|2017-10-17 13:49:01|0|0|Calling all film buffs! Celebrate #HispanicHeritageMonth  with 20+ can’t-miss stories. Our quiz will get you started   http://to.pbs.org/2wYvhvN   pic.twitter.com/PpAWRQZFgQ|Calling all film buffs! Celebrate #HispanicHeritageMonth  with 20+ can’t-miss stories. Our quiz will get you started      |false|920345919257690112|/WUCFTV/status/920345919257690112||||
WUCFTV|2017-09-01 22:00:00|0|0|Morse is on hospital duty Sunday in a new episode of Endeavour on @masterpiecepbs ! #masterpiecepbs pic.twitter.com/vlrvbdoMA8|Morse is on hospital duty Sunday in a new episode of Endeavour on @masterpiecepbs ! #masterpiecepbs |false|903799641505968129|/WUCFTV/status/903799641505968129||||
WUCFTV|2017-09-25 19:30:12|1|0|'Why has our Constitution endured for so long? One prof says it''s because of its ability to be amended:  https://goo.gl/nNY8TS    #history pic.twitter.com/l3pXXcpWGx'|'Why has our Constitution endured for so long? One prof says it''s because of its ability to be amended:      #history '|false|912459248168312832|/WUCFTV/status/912459248168312832||||
WUCFTV|2017-09-06 08:10:54|1|2|Have your kids help put together an emergency supply kit with help from @danieltigertv ! #HurricaneIrma pic.twitter.com/HrIrVQcaTv|Have your kids help put together an emergency supply kit with help from @danieltigertv ! #HurricaneIrma |false|905402929993142272|/WUCFTV/status/905402929993142272||||
WUCFTV|2017-09-19 19:30:08|0|0|10/11th graders who   science! APPLY for #EmperorScienceAward  cancer research opp to work w/ a mentoring scientist!  https://goo.gl/bscNRn   pic.twitter.com/r5Zrin1XSj|10/11th graders who   science! APPLY for #EmperorScienceAward  cancer research opp to work w/ a mentoring scientist!     |false|910284906042937345|/WUCFTV/status/910284906042937345||||
WUCFTV|2017-10-24 12:01:21|0|0|'Register for TONIGHT''s 7PM EDT cross-curricular PD event featuring science+social studies #climatechange  curriculum  https://goo.gl/VH3ani   pic.twitter.com/K6BctuMTCm'|'Register for TONIGHT''s 7PM EDT cross-curricular PD event featuring science+social studies #climatechange  curriculum     '|false|922855540891553794|/WUCFTV/status/922855540891553794||||
