username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
mysuncoast|2017-10-17 18:36:13|0|3|State leaders say they support freedom of speech, but have not patience for violence from any side of this debate. https://buff.ly/2kWxjI6  |State leaders say they support freedom of speech, but have not patience for violence from any side of this debate.   |false|920418199220506624|/mysuncoast/status/920418199220506624||||
mysuncoast|2017-09-14 13:02:04|0|0|U.S. Army soldiers hurt in explosion__NEWLINE__ https://buff.ly/2jr4gvA   pic.twitter.com/ccgpJTEVeE|U.S. Army soldiers hurt in explosion__NEWLINE__    |false|908375308029583360|/mysuncoast/status/908375308029583360||||
mysuncoast|2017-10-24 10:49:02|0|2|Air Force: Despite getting a green light on recalling retired pilots to fix a shortage, there are no plans to do so.  https://buff.ly/2y1bwFj   pic.twitter.com/gVYIIccSii|Air Force: Despite getting a green light on recalling retired pilots to fix a shortage, there are no plans to do so.     |false|922837342171385858|/mysuncoast/status/922837342171385858||||
mysuncoast|2017-10-02 19:20:01|0|0|"I honestly thought I was going to die" https://buff.ly/2xbCMvw  |"I honestly thought I was going to die"   |false|914993404152569856|/mysuncoast/status/914993404152569856||||
mysuncoast|2017-09-19 11:19:40|0|1|Boil water notice lifted for all of Manasota Key. MORE > >  https://buff.ly/2jGX7qY   pic.twitter.com/Nd4avpKDUp|Boil water notice lifted for all of Manasota Key. MORE > >     |false|910161475809026054|/mysuncoast/status/910161475809026054||||
mysuncoast|2017-10-24 14:25:12|2|1|Government Accountability Office: Climate change already costing US billions in losses__NEWLINE__ https://buff.ly/2ld8QhV   pic.twitter.com/yO35ijblgM|Government Accountability Office: Climate change already costing US billions in losses__NEWLINE__    |false|922891741983920129|/mysuncoast/status/922891741983920129||||
mysuncoast|2017-10-25 11:33:00|0|1|Firefighters and construction workers say the move jeopardizes their health.__NEWLINE__ https://buff.ly/2gIjz26  |Firefighters and construction workers say the move jeopardizes their health.__NEWLINE__   |false|923210794300473344|/mysuncoast/status/923210794300473344||||
mysuncoast|2017-09-18 10:49:01|3|3|From noon until 5 p.m., at the Renaissance, ready-to-eat meals will be handed out. DETAILS>>> https://buff.ly/2wBrksD   pic.twitter.com/ggzhC99hMv|From noon until 5 p.m., at the Renaissance, ready-to-eat meals will be handed out. DETAILS>>>    |false|909791374442156032|/mysuncoast/status/909791374442156032||||
mysuncoast|2017-09-25 16:37:05|0|1|Pet winners announced for 2018 Suncoast Humane Society’s Calendar Contest__NEWLINE__ https://buff.ly/2jZFAdF   pic.twitter.com/3VmORRss5e|Pet winners announced for 2018 Suncoast Humane Society’s Calendar Contest__NEWLINE__    |false|912415682335248385|/mysuncoast/status/912415682335248385||||
mysuncoast|2017-09-13 06:27:48|0|1|__NEWLINE__Do you have power back yet? Remember, you can always watch Good Morning Suncoast LIVE on your mobile device>>  https://buff.ly/2f47zr1   pic.twitter.com/JZ0h4GinjN|__NEWLINE__Do you have power back yet? Remember, you can always watch Good Morning Suncoast LIVE on your mobile device>>     |false|907913699419189248|/mysuncoast/status/907913699419189248||||
