username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
ABC7SWFL|2017-09-17 20:10:12|0|1|ABC7 takes to the skies with Civil Air Patrol http://bit.ly/2hcj6Bs  |ABC7 takes to the skies with Civil Air Patrol   |false|909570211971551238|/ABC7SWFL/status/909570211971551238||||
ABC7SWFL|2017-09-08 17:21:06|0|0|Hurricane Warning for Hendry County in FL.  http://www. abc-7.com  |Hurricane Warning for Hendry County in FL.   abc-7.com  |false|906266166045245440|/ABC7SWFL/status/906266166045245440||||
ABC7SWFL|2017-09-07 10:45:15|1|0|Lee Co EOC: United Way 211 hotline is open. Most people calling about special needs shelters #TrackingIrma|Lee Co EOC: United Way 211 hotline is open. Most people calling about special needs shelters #TrackingIrma|false|905804161975025665|/ABC7SWFL/status/905804161975025665||||
ABC7SWFL|2017-09-08 12:37:16|0|0|Charlotte EOC: Thinking about evacuating the red zone. Call 211 with questions #TrackingIrma|Charlotte EOC: Thinking about evacuating the red zone. Call 211 with questions #TrackingIrma|false|906194737257992192|/ABC7SWFL/status/906194737257992192||||
ABC7SWFL|2017-09-07 11:29:00|0|0|[Updated] Where to find sandbags in Southwest Florida. Bring your own sandbags in case  http://bit.ly/2x8i5Fa    #TrackingIrma|[Updated] Where to find sandbags in Southwest Florida. Bring your own sandbags in case      #TrackingIrma|false|905815170815062016|/ABC7SWFL/status/905815170815062016||||
ABC7SWFL|2017-10-03 17:51:24|0|1|Looks like a little system may be spinning off the coast of #SWFL  by Thur night at 8. Get More from @jpweather  on ABC7 News at 6 on WZVN. pic.twitter.com/NTCjV5gBXl|Looks like a little system may be spinning off the coast of #SWFL  by Thur night at 8. Get More from @jpweather  on ABC7 News at 6 on WZVN. |false|915333488978653184|/ABC7SWFL/status/915333488978653184||||
ABC7SWFL|2017-09-10 09:36:25|0|0|LCSO: The Barrier Islands have winds of about 32-38 mph #TrackingIrma|LCSO: The Barrier Islands have winds of about 32-38 mph #TrackingIrma|false|906874000978182145|/ABC7SWFL/status/906874000978182145||||
ABC7SWFL|2017-09-23 19:20:35|0|0|Immokalee graves covered in water http://bit.ly/2hmskPA  |Immokalee graves covered in water   |false|911732052978012160|/ABC7SWFL/status/911732052978012160||||
ABC7SWFL|2017-09-09 09:00:37|0|0|Collier EOC: Likely to add 20 additional shelters later this morning #TrackingIrma|Collier EOC: Likely to add 20 additional shelters later this morning #TrackingIrma|false|906502603894394880|/ABC7SWFL/status/906502603894394880||||
ABC7SWFL|2017-10-20 17:01:13|0|0|# FortMyers  #Friday  5PM - Few showers & the humidity is starting to come up. Watch @jpweather  at 6 as he tracks more weekend humidity. pic.twitter.com/HzJp7xhXIK|# FortMyers  #Friday  5PM - Few showers & the humidity is starting to come up. Watch @jpweather  at 6 as he tracks more weekend humidity. |false|921481455028629515|/ABC7SWFL/status/921481455028629515||||
ABC7SWFL|2017-10-02 08:26:31|2|0|Marilou Danley, who was person of interest in Vegas shooting, no longer believed to be involved, police said.|Marilou Danley, who was person of interest in Vegas shooting, no longer believed to be involved, police said.|false|914828942418300930|/ABC7SWFL/status/914828942418300930||||
ABC7SWFL|2017-10-14 16:48:24|0|2|"(Weinstein) does not merit the respect of his colleagues," the academy said in a statement http://bit.ly/2yo4464  |"(Weinstein) does not merit the respect of his colleagues," the academy said in a statement   |false|919303902520102912|/ABC7SWFL/status/919303902520102912||||
