username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
WeatherNation|2017-09-09 08:42:55|15|25|Along with Hurricane #Irma , we are tracking Hurricane Jose and whats left of tropical system Katia pic.twitter.com/OqQ0JTsBmJ|Along with Hurricane #Irma , we are tracking Hurricane Jose and whats left of tropical system Katia |false|906498150470377473|/WeatherNation/status/906498150470377473||||
WeatherNation|2017-10-16 08:15:59|36|34|# Ophelia  is impacting Ireland today. Reports of 86 mph winds (139 km/hr) have already been recorded at Roches Point Co. pic.twitter.com/Y4pO4zG5ct|# Ophelia  is impacting Ireland today. Reports of 86 mph winds (139 km/hr) have already been recorded at Roches Point Co. |false|919899722185285634|/WeatherNation/status/919899722185285634||||
WeatherNation|2017-09-29 07:13:49|1|3|Another VIPIR Check - Scattered rain showers across Texas, from Dallas to San Antonio #WeatherNation pic.twitter.com/YPVsPw355t|Another VIPIR Check - Scattered rain showers across Texas, from Dallas to San Antonio #WeatherNation |false|913723482957004800|/WeatherNation/status/913723482957004800||||
WeatherNation|2017-09-06 13:33:15|29|25|.@WeatherNation  Field Correspondent @AlaStormTracker  gives an update on #HurricaneIrma  from #PuertoRico . pic.twitter.com/qwynf9K1yL|.@WeatherNation  Field Correspondent @AlaStormTracker  gives an update on #HurricaneIrma  from #PuertoRico . |false|905484051158491137|/WeatherNation/status/905484051158491137||||
WeatherNation|2017-10-23 18:03:04|7|4|A look at the forecast for November from @NWSCPC __NEWLINE____NEWLINE__ http://bit.ly/2i0U7BB   pic.twitter.com/bhbI97kZ5R|A look at the forecast for November from @NWSCPC __NEWLINE____NEWLINE__    |false|922584183188443136|/WeatherNation/status/922584183188443136||||
WeatherNation|2017-09-08 22:54:21|17|23|.@WeatherLiveTV  is giving us an update from Hollywood Beach, Florida, as #Irma  continues to move closer to the state. pic.twitter.com/x8VorflIl3|.@WeatherLiveTV  is giving us an update from Hollywood Beach, Florida, as #Irma  continues to move closer to the state. |false|906350030356856832|/WeatherNation/status/906350030356856832||||
WeatherNation|2017-10-13 17:55:23|30|40|Active California fires have claimed at least 32 lives, 18 of which are from Sonoma County, CA. #CAfire  #CAwx pic.twitter.com/naUkBH7X7Z|Active California fires have claimed at least 32 lives, 18 of which are from Sonoma County, CA. #CAfire  #CAwx |false|918958368735166464|/WeatherNation/status/918958368735166464|Sonoma County, CA|38.285056|-122.4212575|
WeatherNation|2017-09-08 08:53:48|25|24|IRMA: Florida residents are making final preparations for #HurricaneIrma . #Irma  is now a strong Category 4 storm. How are you preparing? pic.twitter.com/qbqlktTzMd|IRMA: Florida residents are making final preparations for #HurricaneIrma . #Irma  is now a strong Category 4 storm. How are you preparing? |false|906138502886154241|/WeatherNation/status/906138502886154241||||
WeatherNation|2017-10-30 05:46:21|9|8|'Today''s high temperature forecast. #weather  #WeatherNation pic.twitter.com/4isNx0moAO'|'Today''s high temperature forecast. #weather  #WeatherNation '|false|924935495922024448|/WeatherNation/status/924935495922024448||||
WeatherNation|2017-10-24 13:12:44|9|14|A CONFIRMED EF-2 tornado moved through Spartanburg, SC yesterday per the NWS in Greenville/Spartanburg pic.twitter.com/OP0bY4O4yW|A CONFIRMED EF-2 tornado moved through Spartanburg, SC yesterday per the NWS in Greenville/Spartanburg |false|922873503807713281|/WeatherNation/status/922873503807713281|Spartanburg, SC|34.9498007|-81.9320157|
WeatherNation|2017-10-25 00:09:03|9|16|Fall conditions are in full swing in the state of #Utah , just in time for Halloween. #UTwx pic.twitter.com/8BUYlsAo9n|Fall conditions are in full swing in the state of #Utah , just in time for Halloween. #UTwx |false|923038672055803904|/WeatherNation/status/923038672055803904||||
WeatherNation|2017-09-10 18:04:38|22|36|# IRMA  TIMELAPSE - Hurricane #Irma  impacts Ft. Myers, Florida #flwx pic.twitter.com/wuWTzpQdQP|# IRMA  TIMELAPSE - Hurricane #Irma  impacts Ft. Myers, Florida #flwx |false|907001897453740032|/WeatherNation/status/907001897453740032||||
WeatherNation|2017-10-22 17:16:55|23|34|NEW VIDEO: A waterspout just off the coast of Gulf Shores, AL moves towards the coast. #ALwx  #Tornado  #Waterspout pic.twitter.com/cdsnpZQwhQ|NEW VIDEO: A waterspout just off the coast of Gulf Shores, AL moves towards the coast. #ALwx  #Tornado  #Waterspout |false|922210178430263296|/WeatherNation/status/922210178430263296|Gulf Shores, AL|30.259257|-87.7119929396743|
WeatherNation|2017-09-24 00:30:44|5|25|DUCK SPOTTING - These ducks in Colorado enjoying a tranquil moment in the afternoon! #cowx pic.twitter.com/XiMvd5KOn2|DUCK SPOTTING - These ducks in Colorado enjoying a tranquil moment in the afternoon! #cowx |false|911810107301806080|/WeatherNation/status/911810107301806080||||
WeatherNation|2017-10-15 23:16:37|3|16|It was a peaceful morning #sunrise  out of Hansville, WA Sunday. #WAwx pic.twitter.com/xdICyS3GqY|It was a peaceful morning #sunrise  out of Hansville, WA Sunday. #WAwx |false|919763985024434176|/WeatherNation/status/919763985024434176|Hansville, WA|47.9187044|-122.5543141|
WeatherNation|2017-09-23 21:48:18|43|27|RECOVERY EFFORTS - How you can help assist those in Puerto Rico ->  http://bit.ly/2ylJMqA    @UNIDOSxPR  @jayfonsecapr  @NWSSanJuan  #prwx  #Maria pic.twitter.com/NRFFlBzDi0|RECOVERY EFFORTS - How you can help assist those in Puerto Rico ->      @UNIDOSxPR  @jayfonsecapr  @NWSSanJuan  #prwx  #Maria |false|911769227194859520|/WeatherNation/status/911769227194859520||||
WeatherNation|2017-09-23 22:56:29|74|191|San Juan is trying to get back to normal after #Maria  created widespread damage to #PuertoRico .  Our very own @iCyclone  ​is on the scene. pic.twitter.com/cFcU0PsTGA|San Juan is trying to get back to normal after #Maria  created widespread damage to #PuertoRico .  Our very own @iCyclone  ​is on the scene. |false|911786385215852544|/WeatherNation/status/911786385215852544||||
WeatherNation|2017-09-13 20:25:06|67|78|SCARY VIDEO - Not something you want to see on the lake -- check out this confirmed funnel cloud over Lake Tahoe! #nvwx  #cawx  @NWSReno pic.twitter.com/1IxzQB83zS|SCARY VIDEO - Not something you want to see on the lake -- check out this confirmed funnel cloud over Lake Tahoe! #nvwx  #cawx  @NWSReno |false|908124411470819329|/WeatherNation/status/908124411470819329||||
WeatherNation|2017-09-27 16:44:47|5|4|VIDEO: The storm left many of the neighborhood’s brightly-colored houses in ruins. http://bit.ly/2y8MXWA  |VIDEO: The storm left many of the neighborhood’s brightly-colored houses in ruins.   |false|913142397701206016|/WeatherNation/status/913142397701206016||||
WeatherNation|2017-09-07 12:58:57|46|123|Calm conditions but long gas lines and heavy traffic in #Kissimmee . @iCyclone  has the latest from #Florida  as people prepare for #Irma . pic.twitter.com/TgqGczYbP4|Calm conditions but long gas lines and heavy traffic in #Kissimmee . @iCyclone  has the latest from #Florida  as people prepare for #Irma . |false|905837807230271488|/WeatherNation/status/905837807230271488||||
