username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
ACLUFL|2017-09-30 12:00:04|8|9|'If you''re in #Miami , come hang out with us on Sunday while we watch @peoplepower ''s #LetPeopleVote  event! Details: https://go.peoplepower.org/event/voting_r ights/10308   …'|'If you''re in #Miami , come hang out with us on Sunday while we watch @peoplepower ''s #LetPeopleVote  event! Details:  ights/10308   …'|false|914157909268770817|/ACLUFL/status/914157909268770817||||
ACLUFL|2017-09-06 13:50:04|414|595|With this series of tweets, @PolkCoSheriff  Grady Judd is exploiting a natural disaster and endangering lives. https://twitter.com/PolkCoSheriff/ status/905438240278278144   …|With this series of tweets, @PolkCoSheriff  Grady Judd is exploiting a natural disaster and endangering lives.  status/905438240278278144   …|false|905488282754179072|/ACLUFL/status/905488282754179072||||
ACLUFL|2017-10-04 18:00:02|2|3|Join our Deputy Director @ResLegalDiva  for a conversation on the cost of free speech in an era of activism on Oct. 11 at @FLMemorialUniv . pic.twitter.com/xYVQRBWiDv|Join our Deputy Director @ResLegalDiva  for a conversation on the cost of free speech in an era of activism on Oct. 11 at @FLMemorialUniv . |false|915698049535660033|/ACLUFL/status/915698049535660033||||
ACLUFL|2017-09-22 12:54:46|2|0|Help the @essie4justice  group get national information on the impact the incarceration of women has on loved ones.  https://www. surveymonkey.com/r/essiesurvey  |Help the @essie4justice  group get national information on the impact the incarceration of women has on loved ones.   surveymonkey.com/r/essiesurvey  |false|911272572322447361|/ACLUFL/status/911272572322447361||||
ACLUFL|2017-10-25 11:31:10|4|9|Our client spent 16 months in pre-trial detention because she couldn’t afford bail. Freedom shouldn’t depend on someone’s bank account. pic.twitter.com/BWQqhJovVE|Our client spent 16 months in pre-trial detention because she couldn’t afford bail. Freedom shouldn’t depend on someone’s bank account. |false|923210334860664834|/ACLUFL/status/923210334860664834||||
ACLUFL|2017-09-13 16:04:58|2|5|Six things to know as you go back to school. #KnowYourNeighbor https://www. aclu.org/blog/juvenile- justice/student-rights-school-six-things-you-need-know   …|Six things to know as you go back to school. #KnowYourNeighbor  aclu.org/blog/juvenile- justice/student-rights-school-six-things-you-need-know   …|false|908058948653256704|/ACLUFL/status/908058948653256704||||
ACLUFL|2017-10-05 12:23:01|0|1|Join us Thursday, Oct. 19 in Davie to learn how you can defend your most fundamental rights—free speech & protest.  https://www. aclufl.org/en/events/lawy ers-and-resistance-free-speech-protest-how-help   … pic.twitter.com/EERv76tMBB|Join us Thursday, Oct. 19 in Davie to learn how you can defend your most fundamental rights—free speech & protest.   aclufl.org/en/events/lawy ers-and-resistance-free-speech-protest-how-help   … |false|915975623885037569|/ACLUFL/status/915975623885037569||||
ACLUFL|2017-10-29 13:00:03|1|4|Pre-arrest diversion programs for youth increase public safety, improve youth outcomes & save taxpayer money.  http://bit.ly/steppingup2017   pic.twitter.com/utfJA478zV|Pre-arrest diversion programs for youth increase public safety, improve youth outcomes & save taxpayer money.     |false|924682253388705799|/ACLUFL/status/924682253388705799||||
ACLUFL|2017-10-13 16:00:01|15|19|Money bail tears communities apart & fuels already egregious racial disparities in the justice system. #BailReform https://www. aclu.org/bail-reform-bi ll   …|Money bail tears communities apart & fuels already egregious racial disparities in the justice system. #BailReform  aclu.org/bail-reform-bi ll   …|false|918929337356660737|/ACLUFL/status/918929337356660737||||
ACLUFL|2017-10-07 16:00:02|1|0|'100,000. That''s the approximate of people currently locked away in one of FL''s prisons. It''s time to change that.  https://go.peoplepower.org/event/action_a ttend/10352   … pic.twitter.com/6JBUT8jzxC'|'100,000. That''s the approximate of people currently locked away in one of FL''s prisons. It''s time to change that.   ttend/10352   … '|false|916755012050546689|/ACLUFL/status/916755012050546689||||
ACLUFL|2017-09-11 16:15:27|1|1|There are more people on Kris Kobach’s voter fraud commission than people he has convicted of voter fraud. https://www. aclu.org/blog/voting-ri ghts/fighting-voter-suppression/kris-kobach-pushes-voter-fraud-lies-while-meeting   …|There are more people on Kris Kobach’s voter fraud commission than people he has convicted of voter fraud.  aclu.org/blog/voting-ri ghts/fighting-voter-suppression/kris-kobach-pushes-voter-fraud-lies-while-meeting   …|false|907336809864032256|/ACLUFL/status/907336809864032256||||
